date,open,high,low,close,volume,ticker
2022-08-22,4.9,4.92,4.81,4.81,1338160.0,A2M.AX
2022-08-23,4.76,4.83,4.72,4.72,1735053.0,A2M.AX
2022-08-24,4.73,4.81,4.73,4.79,1240979.0,A2M.AX
2022-08-25,4.82,4.89,4.76,4.89,1461842.0,A2M.AX
2022-08-26,4.89,4.93,4.835,4.91,1743171.0,A2M.AX
2022-08-29,5.19,5.43,5.16,5.4,11770461.0,A2M.AX
2022-08-30,5.43,5.77,5.42,5.73,10660454.0,A2M.AX
2022-08-31,5.71,5.78,5.53,5.55,6839972.0,A2M.AX
2022-09-01,5.51,5.71,5.43,5.7,6500999.0,A2M.AX
2022-09-02,5.7,5.83,5.65,5.83,5326068.0,A2M.AX
2022-09-05,5.83,5.91,5.71,5.73,10004269.0,A2M.AX
2022-09-06,5.75,5.76,5.65,5.67,2250358.0,A2M.AX
2022-09-07,5.6,5.62,5.44,5.53,3719808.0,A2M.AX
2022-09-08,5.52,5.62,5.52,5.58,1814794.0,A2M.AX
2022-09-09,5.54,5.58,5.385,5.56,4967113.0,A2M.AX
2022-09-12,5.75,5.88,5.66,5.7,5363284.0,A2M.AX
2022-09-13,5.69,5.7,5.58,5.69,2911932.0,A2M.AX
2022-09-14,5.54,5.68,5.46,5.65,2764156.0,A2M.AX
2022-09-15,5.69,5.715,5.6,5.6,2417630.0,A2M.AX
2022-09-16,5.52,5.6,5.47,5.56,7210213.0,A2M.AX
2022-09-19,5.54,5.58,5.44,5.46,2303956.0,A2M.AX
2022-09-20,5.45,5.58,5.45,5.55,2143468.0,A2M.AX
2022-09-21,5.5,5.53,5.45,5.49,2777895.0,A2M.AX
2022-09-23,5.48,5.52,5.24,5.26,3554154.0,A2M.AX
2022-09-26,5.1,5.36,5.08,5.33,3034984.0,A2M.AX
2022-09-27,5.36,5.39,5.27,5.35,2183838.0,A2M.AX
2022-09-28,5.25,5.4,5.25,5.4,3483355.0,A2M.AX
2022-09-29,5.4,5.46,5.365,5.37,2179526.0,A2M.AX
2022-09-30,5.36,5.43,5.27,5.4,3004475.0,A2M.AX
2022-10-03,5.44,5.57,5.29,5.29,2516236.0,A2M.AX
2022-10-04,5.35,5.58,5.33,5.56,3371607.0,A2M.AX
2022-10-05,5.56,5.56,5.43,5.53,3823663.0,A2M.AX
2022-10-06,5.52,5.52,5.43,5.51,2275346.0,A2M.AX
2022-10-07,5.44,5.55,5.4,5.51,2147696.0,A2M.AX
2022-10-10,5.4,5.57,5.4,5.49,3065091.0,A2M.AX
2022-10-11,5.43,5.53,5.41,5.49,2531412.0,A2M.AX
2022-10-12,5.47,5.49,5.43,5.44,1570772.0,A2M.AX
2022-10-13,5.43,5.46,5.37,5.37,2201127.0,A2M.AX
2022-10-14,5.45,5.46,5.26,5.31,3466405.0,A2M.AX
2022-10-17,5.25,5.33,5.19,5.27,2340482.0,A2M.AX
2022-10-18,5.31,5.38,5.29,5.34,2278201.0,A2M.AX
2022-10-19,5.4,5.52,5.37,5.39,5163337.0,A2M.AX
2022-10-20,5.35,5.43,5.32,5.35,3117215.0,A2M.AX
2022-10-21,5.3,5.36,5.29,5.32,2130167.0,A2M.AX
2022-10-24,5.38,5.44,5.33,5.43,2666396.0,A2M.AX
2022-10-25,5.45,5.46,5.33,5.38,2628881.0,A2M.AX
2022-10-26,5.39,5.4,5.27,5.27,1865930.0,A2M.AX
2022-10-27,5.29,5.325,5.24,5.29,1905650.0,A2M.AX
2022-10-28,5.26,5.335,5.25,5.25,2401391.0,A2M.AX
2022-10-31,5.31,5.34,5.21,5.26,2486382.0,A2M.AX
2022-11-01,5.25,5.28,5.14,5.2,4434841.0,A2M.AX
2022-11-02,5.17,5.31,5.17,5.27,2233624.0,A2M.AX
2022-11-03,5.65,5.77,5.45,5.49,12189916.0,A2M.AX
2022-11-04,5.47,5.48,5.29,5.42,4091015.0,A2M.AX
2022-11-07,5.45,5.54,5.44,5.51,3559715.0,A2M.AX
2022-11-08,5.59,5.785,5.59,5.73,5764179.0,A2M.AX
2022-11-09,5.76,5.82,5.72,5.73,5205323.0,A2M.AX
2022-11-10,5.73,5.85,5.68,5.83,3771457.0,A2M.AX
2022-11-11,5.93,5.97,5.83,5.84,3844104.0,A2M.AX
2022-11-14,5.85,5.95,5.83,5.91,2604332.0,A2M.AX
2022-11-15,5.92,5.98,5.86,5.87,2776853.0,A2M.AX
2022-11-16,5.9,6.11,5.88,6.01,4020720.0,A2M.AX
2022-11-17,6.05,6.15,6.02,6.15,3881172.0,A2M.AX
2022-11-18,6.0,6.07,5.85,5.95,4921654.0,A2M.AX
2022-11-21,6.01,6.07,6.0,6.04,1977830.0,A2M.AX
2022-11-22,6.05,6.19,6.04,6.18,2643289.0,A2M.AX
2022-11-23,6.18,6.25,6.18,6.21,2130918.0,A2M.AX
2022-11-24,6.22,6.255,6.105,6.11,1466458.0,A2M.AX
2022-11-25,6.14,6.27,6.14,6.24,2037375.0,A2M.AX
2022-11-28,6.22,6.24,6.08,6.1,3029522.0,A2M.AX
2022-11-29,6.18,6.19,6.065,6.12,2094470.0,A2M.AX
2022-11-30,6.08,6.24,6.08,6.2,4229046.0,A2M.AX
2022-12-01,6.3,6.36,6.265,6.27,3553959.0,A2M.AX
2022-12-02,6.28,6.34,6.23,6.33,2104402.0,A2M.AX
2022-12-05,6.33,6.34,6.255,6.29,1245590.0,A2M.AX
2022-12-06,6.26,6.42,6.24,6.39,2100299.0,A2M.AX
2022-12-07,6.37,6.45,6.35,6.36,2381900.0,A2M.AX
2022-12-08,6.41,6.47,6.38,6.43,2792892.0,A2M.AX
2022-12-09,6.43,6.63,6.4,6.61,5709394.0,A2M.AX
2022-12-12,6.6,6.65,6.555,6.62,2485986.0,A2M.AX
2022-12-13,6.65,6.755,6.61,6.65,3571004.0,A2M.AX
2022-12-14,6.75,6.94,6.69,6.93,4103799.0,A2M.AX
2022-12-15,6.94,7.0,6.85,6.88,6603880.0,A2M.AX
2022-12-16,6.8,6.83,6.65,6.74,6214375.0,A2M.AX
2022-12-19,6.77,6.81,6.68,6.71,1702468.0,A2M.AX
2022-12-20,6.71,6.76,6.53,6.54,1924074.0,A2M.AX
2022-12-21,6.6,6.73,6.6,6.72,1581048.0,A2M.AX
2022-12-22,6.73,6.78,6.68,6.75,2051556.0,A2M.AX
2022-12-23,6.73,6.765,6.66,6.75,1056178.0,A2M.AX
2022-12-28,6.76,6.93,6.75,6.89,1964411.0,A2M.AX
2022-12-29,6.87,6.99,6.86,6.96,2233175.0,A2M.AX
2022-12-30,6.97,6.98,6.83,6.88,1651416.0,A2M.AX
2023-01-03,6.88,6.9,6.77,6.77,1044005.0,A2M.AX
2023-01-04,6.88,7.07,6.84,7.05,3231567.0,A2M.AX
2023-01-05,6.98,7.1,6.94,6.95,3126485.0,A2M.AX
2023-01-06,6.95,6.95,6.83,6.83,1547751.0,A2M.AX
2023-01-09,6.86,6.94,6.83,6.92,1731873.0,A2M.AX
2023-01-10,6.92,7.02,6.86,6.96,1729774.0,A2M.AX
2023-01-11,7.0,7.05,6.94,6.94,964351.0,A2M.AX
2023-01-12,6.95,7.02,6.91,6.92,1686100.0,A2M.AX
2023-01-13,6.94,7.05,6.91,7.0,1926851.0,A2M.AX
2023-01-16,7.0,7.08,6.94,6.94,2192387.0,A2M.AX
2023-01-17,6.96,7.14,6.94,6.98,3263922.0,A2M.AX
2023-01-18,7.0,7.03,6.92,6.96,2165474.0,A2M.AX
2023-01-19,6.9,6.96,6.84,6.84,2824296.0,A2M.AX
2023-01-20,6.85,6.9,6.79,6.85,2587033.0,A2M.AX
2023-01-23,6.83,6.88,6.78,6.84,1420634.0,A2M.AX
2023-01-24,6.83,6.84,6.75,6.77,1653938.0,A2M.AX
2023-01-25,6.73,6.75,6.625,6.68,2613700.0,A2M.AX
2023-01-27,6.68,6.87,6.67,6.82,3113678.0,A2M.AX
2023-01-30,6.82,6.89,6.8,6.84,1932777.0,A2M.AX
2023-01-31,6.82,6.88,6.785,6.82,2138953.0,A2M.AX
2023-02-01,6.85,6.89,6.7,6.7,2567549.0,A2M.AX
2023-02-02,6.78,6.92,6.72,6.92,2599889.0,A2M.AX
2023-02-03,6.91,6.94,6.76,6.92,3486705.0,A2M.AX
2023-02-06,6.92,6.95,6.85,6.87,1069516.0,A2M.AX
2023-02-07,6.86,6.92,6.82,6.82,2641635.0,A2M.AX
2023-02-08,6.83,6.855,6.74,6.83,1896391.0,A2M.AX
2023-02-09,6.82,6.85,6.76,6.79,1747231.0,A2M.AX
2023-02-10,6.76,6.88,6.72,6.85,2206145.0,A2M.AX
2023-02-13,6.83,6.885,6.75,6.81,1869714.0,A2M.AX
2023-02-14,6.82,6.88,6.745,6.75,1483768.0,A2M.AX
2023-02-15,6.8,6.81,6.65,6.66,1362544.0,A2M.AX
2023-02-16,6.7,6.75,6.63,6.68,1837665.0,A2M.AX
2023-02-17,6.94,7.12,6.89,7.1,5782176.0,A2M.AX
2023-02-20,6.94,6.94,6.42,6.49,12305473.0,A2M.AX
2023-02-21,6.33,6.33,6.045,6.08,9656897.0,A2M.AX
2023-02-22,6.07,6.47,6.06,6.46,6070722.0,A2M.AX
