date,open,high,low,close,volume,ticker
2022-08-22,3.15,3.25,3.13,3.17,542381.0,ABB.AX
2022-08-23,3.18,3.18,3.12,3.13,310820.0,ABB.AX
2022-08-24,3.12,3.145,3.1,3.14,569110.0,ABB.AX
2022-08-25,3.13,3.175,3.09,3.13,609713.0,ABB.AX
2022-08-26,3.15,3.17,3.1,3.14,494475.0,ABB.AX
2022-08-29,2.95,2.95,2.45,2.66,8357736.0,ABB.AX
2022-08-30,2.72,2.81,2.65,2.67,3928658.0,ABB.AX
2022-08-31,2.66,2.89,2.65,2.78,2820198.0,ABB.AX
2022-09-01,2.77,2.77,2.66,2.66,2071153.0,ABB.AX
2022-09-02,2.67,2.68,2.5,2.51,3097217.0,ABB.AX
2022-09-05,2.55,2.63,2.54,2.56,1023950.0,ABB.AX
2022-09-06,2.56,2.57,2.48,2.49,1350366.0,ABB.AX
2022-09-07,2.47,2.48,2.38,2.44,2859880.0,ABB.AX
2022-09-08,2.47,2.5,2.44,2.47,1242318.0,ABB.AX
2022-09-09,2.48,2.55,2.46,2.46,775798.0,ABB.AX
2022-09-12,2.5,2.53,2.44,2.48,696729.0,ABB.AX
2022-09-13,2.46,2.505,2.45,2.5,606327.0,ABB.AX
2022-09-14,2.42,2.42,2.36,2.38,1369433.0,ABB.AX
2022-09-15,2.43,2.44,2.34,2.34,1022499.0,ABB.AX
2022-09-16,2.32,2.38,2.32,2.36,1780573.0,ABB.AX
2022-09-19,2.34,2.35,2.25,2.29,1016957.0,ABB.AX
2022-09-20,2.29,2.37,2.28,2.34,1034393.0,ABB.AX
2022-09-21,2.34,2.39,2.31,2.35,1369238.0,ABB.AX
2022-09-23,2.37,2.37,2.28,2.3,1306896.0,ABB.AX
2022-09-26,2.24,2.27,2.18,2.22,1516555.0,ABB.AX
2022-09-27,2.22,2.25,2.13,2.13,768408.0,ABB.AX
2022-09-28,2.13,2.2,2.13,2.17,511406.0,ABB.AX
2022-09-29,2.25,2.35,2.24,2.28,1643126.0,ABB.AX
2022-09-30,2.29,2.3,2.2,2.28,658079.0,ABB.AX
2022-10-03,2.28,2.29,2.14,2.15,984062.0,ABB.AX
2022-10-04,2.2,2.25,2.165,2.23,1066408.0,ABB.AX
2022-10-05,2.26,2.29,2.2,2.24,975111.0,ABB.AX
2022-10-06,2.24,2.3,2.22,2.25,572813.0,ABB.AX
2022-10-07,2.25,2.27,2.2,2.2,451277.0,ABB.AX
2022-10-10,2.2,2.21,2.1,2.1,1598024.0,ABB.AX
2022-10-11,2.13,2.13,2.0,2.04,1181005.0,ABB.AX
2022-10-12,2.03,2.04,1.95,1.95,2385834.0,ABB.AX
2022-10-13,1.95,2.1,1.95,2.05,1119447.0,ABB.AX
2022-10-14,2.11,2.22,2.1,2.21,1553675.0,ABB.AX
2022-10-17,2.21,2.22,2.12,2.13,1104650.0,ABB.AX
2022-10-18,2.2,2.29,2.17,2.28,1463133.0,ABB.AX
2022-10-19,2.28,2.33,2.225,2.25,1530445.0,ABB.AX
2022-10-20,2.22,2.24,2.19,2.24,883517.0,ABB.AX
2022-10-21,2.25,2.4,2.21,2.23,2646249.0,ABB.AX
2022-10-24,2.3,2.41,2.26,2.35,3424786.0,ABB.AX
2022-10-25,2.35,2.39,2.29,2.32,1302017.0,ABB.AX
2022-10-26,2.36,2.4,2.31,2.36,1834441.0,ABB.AX
2022-10-27,2.37,2.41,2.32,2.33,990138.0,ABB.AX
2022-10-28,2.32,2.34,2.25,2.27,1421147.0,ABB.AX
2022-10-31,2.26,2.35,2.24,2.34,1265051.0,ABB.AX
2022-11-01,2.36,2.5,2.34,2.5,1893471.0,ABB.AX
2022-11-02,2.49,2.57,2.45,2.55,1017200.0,ABB.AX
2022-11-03,2.52,2.535,2.43,2.52,1037342.0,ABB.AX
2022-11-04,2.52,2.55,2.48,2.51,723196.0,ABB.AX
2022-11-07,2.54,2.54,2.44,2.45,684155.0,ABB.AX
2022-11-08,2.45,2.49,2.41,2.47,745267.0,ABB.AX
2022-11-09,2.5,2.63,2.48,2.6,1318619.0,ABB.AX
2022-11-10,2.59,2.59,2.47,2.5,1148903.0,ABB.AX
2022-11-11,2.64,2.66,2.58,2.63,1768256.0,ABB.AX
2022-11-14,2.63,2.66,2.52,2.57,1120687.0,ABB.AX
2022-11-15,2.53,2.57,2.47,2.49,1067880.0,ABB.AX
2022-11-16,2.5,2.55,2.47,2.52,565936.0,ABB.AX
2022-11-17,2.51,2.63,2.51,2.61,836272.0,ABB.AX
2022-11-18,2.61,2.655,2.57,2.6,663137.0,ABB.AX
2022-11-21,2.6,2.63,2.56,2.57,460006.0,ABB.AX
2022-11-22,2.59,2.59,2.535,2.58,342696.0,ABB.AX
2022-11-23,2.61,2.62,2.5,2.5,478214.0,ABB.AX
2022-11-24,2.52,2.65,2.51,2.65,858342.0,ABB.AX
2022-11-25,2.63,2.71,2.61,2.69,537722.0,ABB.AX
2022-11-28,2.7,2.7,2.63,2.65,292357.0,ABB.AX
2022-11-29,2.68,2.68,2.61,2.64,299107.0,ABB.AX
2022-11-30,2.65,2.65,2.58,2.62,1321375.0,ABB.AX
2022-12-01,2.67,2.7,2.63,2.65,634922.0,ABB.AX
2022-12-02,2.67,2.85,2.65,2.83,1258891.0,ABB.AX
2022-12-05,2.83,2.83,2.75,2.79,1218165.0,ABB.AX
2022-12-06,2.79,2.79,2.66,2.67,988252.0,ABB.AX
2022-12-07,2.59,2.63,2.53,2.56,1077305.0,ABB.AX
2022-12-08,2.55,2.56,2.5,2.5,454866.0,ABB.AX
2022-12-09,2.49,2.51,2.47,2.5,292062.0,ABB.AX
2022-12-12,2.5,2.5,2.42,2.47,402991.0,ABB.AX
2022-12-13,2.47,2.59,2.45,2.57,403246.0,ABB.AX
2022-12-14,2.59,2.6,2.52,2.57,574951.0,ABB.AX
2022-12-15,2.57,2.585,2.53,2.55,457917.0,ABB.AX
2022-12-16,2.51,2.54,2.49,2.53,583621.0,ABB.AX
2022-12-19,2.53,2.54,2.48,2.5,246477.0,ABB.AX
2022-12-20,2.5,2.5,2.45,2.45,195609.0,ABB.AX
2022-12-21,2.47,2.53,2.46,2.52,201540.0,ABB.AX
2022-12-22,2.54,2.625,2.51,2.6,440088.0,ABB.AX
2022-12-23,2.52,2.6,2.52,2.6,98264.0,ABB.AX
2022-12-28,2.6,2.6,2.51,2.57,154117.0,ABB.AX
2022-12-29,2.52,2.56,2.52,2.55,47718.0,ABB.AX
2022-12-30,2.55,2.61,2.55,2.61,166511.0,ABB.AX
2023-01-03,2.59,2.66,2.54,2.6,237868.0,ABB.AX
2023-01-04,2.6,2.72,2.58,2.69,327614.0,ABB.AX
2023-01-05,2.69,2.75,2.62,2.74,410174.0,ABB.AX
2023-01-06,2.73,2.75,2.7,2.75,134471.0,ABB.AX
2023-01-09,2.75,2.77,2.6,2.6,487088.0,ABB.AX
2023-01-10,2.65,2.68,2.63,2.68,185547.0,ABB.AX
2023-01-11,2.68,2.75,2.67,2.73,198775.0,ABB.AX
2023-01-12,2.75,2.75,2.69,2.74,135351.0,ABB.AX
2023-01-13,2.75,2.79,2.72,2.79,902841.0,ABB.AX
2023-01-16,2.8,2.92,2.79,2.89,928352.0,ABB.AX
2023-01-17,2.87,2.95,2.86,2.92,427961.0,ABB.AX
2023-01-18,2.95,3.04,2.94,2.99,602010.0,ABB.AX
2023-01-19,2.96,2.99,2.89,2.97,220259.0,ABB.AX
2023-01-20,2.98,2.99,2.92,2.97,160202.0,ABB.AX
2023-01-23,3.0,3.06,2.98,3.04,521041.0,ABB.AX
2023-01-24,3.03,3.085,3.0,3.07,501038.0,ABB.AX
2023-01-25,3.09,3.13,3.04,3.07,594726.0,ABB.AX
2023-01-27,3.07,3.11,3.045,3.06,257652.0,ABB.AX
2023-01-30,3.06,3.15,3.06,3.11,252699.0,ABB.AX
2023-01-31,3.1,3.12,2.94,3.0,558248.0,ABB.AX
2023-02-01,3.01,3.04,2.94,2.98,408804.0,ABB.AX
2023-02-02,2.98,3.04,2.96,2.99,349597.0,ABB.AX
2023-02-03,2.97,3.01,2.93,2.97,305825.0,ABB.AX
2023-02-06,2.96,3.01,2.92,2.92,166010.0,ABB.AX
2023-02-07,2.93,3.03,2.93,3.0,376124.0,ABB.AX
2023-02-08,3.02,3.12,3.02,3.04,793383.0,ABB.AX
2023-02-09,3.06,3.08,2.99,3.07,559369.0,ABB.AX
2023-02-10,3.07,3.07,2.94,3.03,417124.0,ABB.AX
2023-02-13,3.04,3.05,2.94,2.96,376338.0,ABB.AX
2023-02-14,2.96,2.99,2.92,2.97,328663.0,ABB.AX
2023-02-15,2.98,3.05,2.98,3.02,221495.0,ABB.AX
2023-02-16,2.96,3.08,2.96,3.05,274647.0,ABB.AX
2023-02-17,3.05,3.07,3.0,3.05,316908.0,ABB.AX
2023-02-20,3.06,3.06,2.97,3.0,238657.0,ABB.AX
2023-02-21,2.98,2.99,2.925,2.95,363191.0,ABB.AX
2023-02-22,2.95,2.98,2.87,2.95,476725.0,ABB.AX
2023-02-23,2.98,2.98,2.88,2.91,360240.0,ABB.AX
2023-02-24,2.89,2.94,2.82,2.93,531182.0,ABB.AX
2023-02-27,2.84,2.94,2.71,2.9,1592232.0,ABB.AX
2023-02-28,2.93,3.15,2.92,3.12,1974511.0,ABB.AX
2023-03-01,3.12,3.35,3.11,3.17,1905525.0,ABB.AX
2023-03-02,3.18,3.23,3.12,3.21,809921.0,ABB.AX
2023-03-03,3.25,3.37,3.19,3.37,1592720.0,ABB.AX
2023-03-06,3.39,3.46,3.36,3.42,1145385.0,ABB.AX
2023-03-07,3.42,3.44,3.33,3.43,664554.0,ABB.AX
2023-03-08,3.4,3.4,3.27,3.4,877706.0,ABB.AX
2023-03-09,3.42,3.46,3.36,3.36,468819.0,ABB.AX
2023-03-10,3.36,3.36,3.21,3.24,917723.0,ABB.AX
2023-03-13,3.2,3.225,3.1,3.17,798987.0,ABB.AX
2023-03-14,3.14,3.15,3.05,3.08,640375.0,ABB.AX
2023-03-15,3.09,3.19,3.08,3.08,397292.0,ABB.AX
2023-03-16,3.08,3.08,3.0,3.07,412433.0,ABB.AX
2023-03-17,3.04,3.19,3.0,3.19,838205.0,ABB.AX
2023-03-20,3.16,3.165,3.08,3.09,780029.0,ABB.AX
2023-03-21,3.09,3.23,3.09,3.22,507386.0,ABB.AX
2023-03-22,3.25,3.27,3.16,3.17,402259.0,ABB.AX
2023-03-23,3.15,3.22,3.12,3.21,286715.0,ABB.AX
2023-03-24,3.15,3.15,3.0,3.14,975898.0,ABB.AX
2023-03-27,3.15,3.22,3.12,3.14,285159.0,ABB.AX
2023-03-28,3.15,3.23,3.14,3.2,394195.0,ABB.AX
2023-03-29,3.2,3.22,3.15,3.18,284015.0,ABB.AX
2023-03-30,3.21,3.27,3.1,3.14,603361.0,ABB.AX
2023-03-31,3.13,3.21,3.1,3.12,1034658.0,ABB.AX
2023-04-03,3.1,3.13,3.06,3.1,666854.0,ABB.AX
2023-04-04,3.11,3.14,3.08,3.11,257564.0,ABB.AX
2023-04-05,3.12,3.17,3.09,3.13,228269.0,ABB.AX
2023-04-06,3.15,3.21,3.125,3.17,284260.0,ABB.AX
2023-04-11,3.13,3.21,3.1,3.17,491155.0,ABB.AX
2023-04-12,3.17,3.2,3.12,3.19,428248.0,ABB.AX
2023-04-13,3.15,3.18,3.09,3.12,539242.0,ABB.AX
2023-04-14,3.12,3.34,3.12,3.31,866644.0,ABB.AX
2023-04-17,3.31,3.36,3.25,3.28,380828.0,ABB.AX
2023-04-18,3.28,3.32,3.23,3.31,320635.0,ABB.AX
