date,open,high,low,close,volume,ticker
2022-08-22,18.09,18.09,17.94,17.95,1649960.0,AMC.AX
2022-08-23,18.14,18.23,18.1,18.2,2896234.0,AMC.AX
2022-08-24,18.13,18.175,18.09,18.15,1840575.0,AMC.AX
2022-08-25,18.28,18.32,18.22,18.28,1904966.0,AMC.AX
2022-08-26,18.46,18.56,18.44,18.51,1854254.0,AMC.AX
2022-08-29,18.01,18.11,17.93,18.07,1542736.0,AMC.AX
2022-08-30,17.82,17.88,17.71,17.81,2054653.0,AMC.AX
2022-08-31,17.82,17.94,17.79,17.82,1696531.0,AMC.AX
2022-09-01,17.52,17.61,17.4,17.5,2419286.0,AMC.AX
2022-09-02,17.6,17.71,17.57,17.64,1006025.0,AMC.AX
2022-09-05,17.68,17.81,17.615,17.7,1561300.0,AMC.AX
2022-09-06,17.63,17.71,17.525,17.58,1852680.0,AMC.AX
2022-09-07,17.36,17.43,17.27,17.35,2302234.0,AMC.AX
2022-09-08,17.84,17.95,17.79,17.89,2738126.0,AMC.AX
2022-09-09,17.9,17.98,17.81,17.82,1976288.0,AMC.AX
2022-09-12,17.87,18.0,17.77,17.94,2152921.0,AMC.AX
2022-09-13,17.94,18.035,17.89,17.99,2121459.0,AMC.AX
2022-09-14,17.7,17.82,17.55,17.7,2176138.0,AMC.AX
2022-09-15,17.46,17.57,17.36,17.5,3096370.0,AMC.AX
2022-09-16,17.45,17.57,17.43,17.49,10788086.0,AMC.AX
2022-09-19,17.35,17.38,17.17,17.26,2412916.0,AMC.AX
2022-09-20,17.51,17.57,17.38,17.38,2094192.0,AMC.AX
2022-09-21,17.12,17.16,16.95,17.0,2341182.0,AMC.AX
2022-09-23,16.86,16.9,16.66,16.77,2079115.0,AMC.AX
2022-09-26,16.46,16.89,16.46,16.81,2366881.0,AMC.AX
2022-09-27,16.72,16.8,16.66,16.73,2071764.0,AMC.AX
2022-09-28,16.64,16.65,16.47,16.58,2162074.0,AMC.AX
2022-09-29,16.7,16.86,16.7,16.8,1577571.0,AMC.AX
2022-09-30,16.63,16.735,16.58,16.64,2273521.0,AMC.AX
2022-10-03,16.71,16.8,16.62,16.68,957006.0,AMC.AX
2022-10-04,16.89,17.1,16.89,17.06,2040982.0,AMC.AX
2022-10-05,17.3,17.34,17.16,17.2,1752455.0,AMC.AX
2022-10-06,17.09,17.17,16.98,17.17,2197213.0,AMC.AX
2022-10-07,17.15,17.32,17.12,17.12,1615170.0,AMC.AX
2022-10-10,16.82,17.02,16.8,16.98,967771.0,AMC.AX
2022-10-11,17.19,17.29,17.14,17.17,2536623.0,AMC.AX
2022-10-12,17.15,17.29,17.15,17.16,1430259.0,AMC.AX
2022-10-13,16.92,16.93,16.78,16.81,1869718.0,AMC.AX
2022-10-14,17.51,17.65,17.44,17.58,2186086.0,AMC.AX
2022-10-17,17.36,17.5,17.35,17.43,1812548.0,AMC.AX
2022-10-18,17.54,17.69,17.52,17.64,1360472.0,AMC.AX
2022-10-19,17.74,17.91,17.7,17.74,1277845.0,AMC.AX
