date,open,high,low,close,volume,ticker
2022-08-22,3.7925,3.8588,3.7395,3.7925,753797.0,APX.AX
2022-08-23,3.7571,3.819,3.6864,3.7041,601928.0,APX.AX
2022-08-24,3.7041,3.766,3.6511,3.6864,545685.0,APX.AX
2022-08-25,3.7129,4.0356,3.6068,3.6422,3126414.0,APX.AX
2022-08-26,3.5803,3.6157,3.4124,3.4389,2349824.0,APX.AX
2022-08-29,3.2709,3.377,3.2267,3.324,1735806.0,APX.AX
2022-08-30,3.3328,3.3682,3.2532,3.2798,1013430.0,APX.AX
2022-08-31,3.2709,3.3416,3.2621,3.2974,814802.0,APX.AX
2022-09-01,3.2621,3.2798,3.156,3.1825,795433.0,APX.AX
2022-09-02,3.209,3.2798,3.1648,3.1825,917287.0,APX.AX
2022-09-05,3.1648,3.2444,3.0764,3.1383,545920.0,APX.AX
2022-09-06,3.1206,3.2621,3.1206,3.2002,438470.0,APX.AX
2022-09-07,3.209,3.3151,3.1825,3.3151,504607.0,APX.AX
2022-09-08,3.2974,3.3947,3.2886,3.3505,666993.0,APX.AX
2022-09-09,3.3416,3.4831,3.3151,3.377,574453.0,APX.AX
2022-09-12,3.4035,3.4875,3.324,3.324,1271798.0,APX.AX
2022-09-13,3.4389,3.4389,3.3151,3.3505,510068.0,APX.AX
2022-09-14,3.2179,3.3328,3.156,3.3063,660896.0,APX.AX
2022-09-15,3.2798,3.324,3.2002,3.209,524310.0,APX.AX
2022-09-16,3.1825,3.1914,3.0499,3.0499,4008097.0,APX.AX
2022-09-19,3.0499,3.1737,3.0145,3.0145,754665.0,APX.AX
2022-09-20,3.0499,3.2179,3.0322,3.0322,730997.0,APX.AX
2022-09-21,3.0322,3.0676,2.9527,2.9792,590556.0,APX.AX
2022-09-23,2.9792,2.9969,2.8289,2.8731,699196.0,APX.AX
2022-09-26,2.8289,2.8731,2.7935,2.8024,877468.0,APX.AX
2022-09-27,2.8112,2.8466,2.767,2.8024,674708.0,APX.AX
2022-09-28,2.8112,2.8731,2.7582,2.8466,487093.0,APX.AX
2022-09-29,2.8731,2.9173,2.8289,2.8819,609568.0,APX.AX
2022-09-30,2.8289,2.8466,2.7051,2.7582,1002967.0,APX.AX
2022-10-03,2.7493,2.7493,2.6167,2.7051,630054.0,APX.AX
2022-10-04,2.7935,2.8201,2.7228,2.7935,688283.0,APX.AX
2022-10-05,2.8377,2.9527,2.8377,2.9438,705473.0,APX.AX
2022-10-06,2.546,2.6167,2.4134,2.5991,4725611.0,APX.AX
2022-10-07,2.5195,2.6167,2.493,2.5372,1543587.0,APX.AX
2022-10-10,2.4664,2.4841,2.3957,2.3957,1202347.0,APX.AX
2022-10-11,2.4046,2.4311,2.3427,2.3692,729821.0,APX.AX
2022-10-12,2.3427,2.3957,2.2985,2.3515,953747.0,APX.AX
2022-10-13,2.3692,2.4576,2.3338,2.4576,813041.0,APX.AX
2022-10-14,2.4753,2.5106,2.3427,2.3427,1258820.0,APX.AX
2022-10-17,2.3427,2.3604,2.2808,2.3073,842670.0,APX.AX
2022-10-18,2.3692,2.5018,2.3692,2.4841,908232.0,APX.AX
2022-10-19,2.4753,2.5151,2.4222,2.4399,473133.0,APX.AX
2022-10-20,2.4134,2.4311,2.3515,2.3604,494017.0,APX.AX
2022-10-21,2.3604,2.3692,2.2543,2.272,842762.0,APX.AX
2022-10-24,2.2896,2.3338,2.2631,2.2808,2617182.0,APX.AX
2022-10-25,2.325,2.3604,2.2808,2.2896,510453.0,APX.AX
2022-10-26,2.2985,2.3515,2.272,2.2985,528889.0,APX.AX
2022-10-27,2.2366,2.325,2.1924,2.3162,1054627.0,APX.AX
2022-10-28,2.3073,2.3073,2.2189,2.2543,598150.0,APX.AX
2022-10-31,2.2985,2.3162,2.2189,2.2454,518323.0,APX.AX
2022-11-01,2.2454,2.3869,2.2189,2.3427,843940.0,APX.AX
2022-11-02,2.3427,2.3957,2.3162,2.3338,379909.0,APX.AX
2022-11-03,2.2985,2.2985,2.2366,2.2631,507883.0,APX.AX
2022-11-04,2.2454,2.2543,2.1747,2.2012,1026918.0,APX.AX
2022-11-07,2.2366,2.2366,2.1836,2.2012,565728.0,APX.AX
2022-11-08,2.2454,2.2543,2.1924,2.2189,771194.0,APX.AX
2022-11-09,2.2366,2.2543,2.1394,2.1659,976569.0,APX.AX
2022-11-10,2.1394,2.1659,2.104,2.1394,804340.0,APX.AX
2022-11-11,2.2543,2.4046,2.1836,2.325,2360550.0,APX.AX
2022-11-14,2.378,2.5283,2.325,2.5283,1202441.0,APX.AX
2022-11-15,2.5195,2.5637,2.378,2.5106,1492866.0,APX.AX
2022-11-16,2.4841,2.4841,2.3162,2.3162,1733081.0,APX.AX
2022-11-17,2.2985,2.3338,2.2543,2.2985,992101.0,APX.AX
2022-11-18,2.2985,2.4046,2.2985,2.3692,695376.0,APX.AX
2022-11-21,2.3515,2.4046,2.325,2.378,875683.0,APX.AX
2022-11-22,2.378,2.3869,2.272,2.2985,1319847.0,APX.AX
2022-11-23,2.2985,2.3427,2.2808,2.2985,790754.0,APX.AX
2022-11-24,2.272,2.3692,2.2587,2.3515,1045711.0,APX.AX
2022-11-25,2.3604,2.5372,2.3604,2.5106,1296535.0,APX.AX
2022-11-28,2.5195,2.5195,2.4134,2.4753,564282.0,APX.AX
2022-11-29,2.4576,2.4753,2.3913,2.4576,554029.0,APX.AX
2022-11-30,2.4311,2.4399,2.325,2.3604,6533075.0,APX.AX
2022-12-01,2.4753,2.6875,2.4488,2.6167,2550969.0,APX.AX
2022-12-02,2.6167,2.7317,2.546,2.7051,1288430.0,APX.AX
2022-12-05,2.7051,2.7317,2.5637,2.6963,1226495.0,APX.AX
2022-12-06,2.6167,2.6654,2.4488,2.4488,2066687.0,APX.AX
2022-12-07,2.4576,2.4576,2.3427,2.3604,2046786.0,APX.AX
2022-12-08,2.378,2.3957,2.3073,2.3073,1031509.0,APX.AX
2022-12-09,2.3604,2.378,2.2631,2.2896,1243341.0,APX.AX
2022-12-12,2.272,2.3604,2.2012,2.3604,1397174.0,APX.AX
2022-12-13,2.378,2.3957,2.325,2.3427,715647.0,APX.AX
2022-12-14,2.3869,2.3869,2.2896,2.2896,897182.0,APX.AX
2022-12-15,2.2896,2.3604,2.2675,2.325,1026802.0,APX.AX
