date,open,high,low,close,volume,ticker
2022-08-22,0.405,0.41,0.39,0.395,5484610.0,BET.AX
2022-08-23,0.39,0.4,0.375,0.385,2652294.0,BET.AX
2022-08-24,0.39,0.4,0.385,0.39,2561319.0,BET.AX
2022-08-25,0.4,0.415,0.39,0.405,2706077.0,BET.AX
2022-08-26,0.41,0.44,0.3825,0.39,10501905.0,BET.AX
2022-08-29,0.375,0.395,0.365,0.39,5776966.0,BET.AX
2022-08-30,0.4,0.42,0.385,0.41,6182096.0,BET.AX
2022-08-31,0.41,0.425,0.4075,0.415,5495366.0,BET.AX
2022-09-01,0.415,0.415,0.4,0.405,4579476.0,BET.AX
2022-09-02,0.405,0.41,0.39,0.395,6021907.0,BET.AX
2022-09-05,0.4,0.41,0.39,0.4,3073985.0,BET.AX
2022-09-06,0.4,0.405,0.385,0.395,8426642.0,BET.AX
2022-09-07,0.39,0.435,0.39,0.42,9462681.0,BET.AX
2022-09-08,0.43,0.43,0.415,0.425,4512231.0,BET.AX
2022-09-09,0.425,0.44,0.415,0.435,4160328.0,BET.AX
2022-09-12,0.445,0.45,0.395,0.405,8317349.0,BET.AX
2022-09-13,0.405,0.41,0.385,0.39,4723628.0,BET.AX
2022-09-14,0.38,0.39,0.365,0.39,4734916.0,BET.AX
2022-09-15,0.39,0.39,0.365,0.365,3328181.0,BET.AX
2022-09-16,0.365,0.365,0.345,0.345,8163374.0,BET.AX
2022-09-19,0.35,0.365,0.335,0.335,4803147.0,BET.AX
2022-09-20,0.345,0.35,0.3375,0.34,2545680.0,BET.AX
2022-09-21,0.34,0.34,0.32,0.32,4164064.0,BET.AX
2022-09-23,0.315,0.315,0.3025,0.315,4785179.0,BET.AX
2022-09-26,0.305,0.31,0.295,0.305,5449776.0,BET.AX
2022-09-27,0.31,0.315,0.2975,0.305,2110035.0,BET.AX
2022-09-28,0.31,0.325,0.305,0.31,2379504.0,BET.AX
2022-09-29,0.32,0.335,0.315,0.33,3447687.0,BET.AX
2022-09-30,0.325,0.325,0.31,0.315,1853781.0,BET.AX
2022-10-03,0.31,0.32,0.305,0.315,2106095.0,BET.AX
2022-10-04,0.325,0.3325,0.315,0.325,3994346.0,BET.AX
2022-10-05,0.33,0.35,0.33,0.34,3731107.0,BET.AX
2022-10-06,0.34,0.36,0.335,0.36,2431109.0,BET.AX
2022-10-07,0.35,0.36,0.335,0.335,3805200.0,BET.AX
2022-10-10,0.33,0.34,0.315,0.33,5561232.0,BET.AX
2022-10-11,0.33,0.3375,0.325,0.33,5333881.0,BET.AX
2022-10-12,0.33,0.3475,0.325,0.325,3118342.0,BET.AX
2022-10-13,0.33,0.345,0.315,0.33,2471915.0,BET.AX
2022-10-14,0.34,0.345,0.32,0.33,3853110.0,BET.AX
2022-10-17,0.32,0.33,0.3175,0.32,2232383.0,BET.AX
2022-10-18,0.33,0.37,0.3275,0.365,8368866.0,BET.AX
2022-10-19,0.36,0.37,0.35,0.36,3102222.0,BET.AX
2022-10-20,0.355,0.355,0.34,0.34,2602647.0,BET.AX
2022-10-21,0.335,0.335,0.33,0.335,3479763.0,BET.AX
2022-10-24,0.35,0.355,0.335,0.335,2538188.0,BET.AX
2022-10-25,0.34,0.34,0.31,0.315,5622357.0,BET.AX
2022-10-26,0.315,0.3175,0.295,0.3,8175138.0,BET.AX
2022-10-27,0.305,0.32,0.3,0.305,4335271.0,BET.AX
2022-10-28,0.305,0.305,0.26,0.265,13417501.0,BET.AX
2022-10-31,0.275,0.275,0.265,0.275,5087801.0,BET.AX
2022-11-01,0.28,0.285,0.27,0.27,2495091.0,BET.AX
2022-11-02,0.28,0.29,0.275,0.28,4706314.0,BET.AX
2022-11-03,0.275,0.28,0.265,0.265,2573343.0,BET.AX
2022-11-04,0.27,0.27,0.26,0.26,4327811.0,BET.AX
2022-11-07,0.27,0.27,0.24,0.245,6279844.0,BET.AX
2022-11-08,0.25,0.26,0.245,0.255,2794229.0,BET.AX
2022-11-09,0.25,0.265,0.25,0.255,2257166.0,BET.AX
2022-11-10,0.25,0.255,0.245,0.25,2027301.0,BET.AX
2022-11-11,0.27,0.27,0.255,0.255,3262463.0,BET.AX
2022-11-14,0.26,0.27,0.26,0.26,2270101.0,BET.AX
2022-11-15,0.26,0.29,0.26,0.28,2701204.0,BET.AX
2022-11-16,0.28,0.295,0.28,0.285,2558372.0,BET.AX
2022-11-17,0.285,0.29,0.28,0.285,1309721.0,BET.AX
2022-11-18,0.28,0.3,0.28,0.29,1170931.0,BET.AX
2022-11-21,0.29,0.295,0.28,0.28,1382770.0,BET.AX
2022-11-22,0.275,0.29,0.27,0.29,2580715.0,BET.AX
2022-11-23,0.295,0.3,0.285,0.295,1185550.0,BET.AX
2022-11-24,0.295,0.3,0.285,0.29,1444840.0,BET.AX
2022-11-25,0.285,0.31,0.285,0.3,2579501.0,BET.AX
2022-11-28,0.295,0.305,0.28,0.28,2221028.0,BET.AX
2022-11-29,0.285,0.285,0.275,0.275,745812.0,BET.AX
2022-11-30,0.275,0.28,0.26,0.26,26138835.0,BET.AX
2022-12-01,0.27,0.285,0.26,0.26,4771523.0,BET.AX
2022-12-02,0.26,0.28,0.26,0.27,2532695.0,BET.AX
2022-12-05,0.275,0.315,0.275,0.315,5046707.0,BET.AX
2022-12-06,0.3,0.305,0.2875,0.29,2252676.0,BET.AX
2022-12-07,0.28,0.29,0.27,0.28,3319699.0,BET.AX
2022-12-08,0.275,0.295,0.275,0.285,1385824.0,BET.AX
2022-12-09,0.29,0.31,0.29,0.31,3169336.0,BET.AX
2022-12-12,0.31,0.31,0.3,0.305,2412778.0,BET.AX
2022-12-13,0.305,0.315,0.29,0.29,1752397.0,BET.AX
2022-12-14,0.29,0.3,0.275,0.28,3200985.0,BET.AX
2022-12-15,0.28,0.28,0.27,0.28,1333143.0,BET.AX
2022-12-16,0.28,0.29,0.27,0.285,4633925.0,BET.AX
2022-12-19,0.285,0.295,0.28,0.29,1162600.0,BET.AX
2022-12-20,0.285,0.29,0.28,0.285,1031636.0,BET.AX
2022-12-21,0.29,0.29,0.28,0.28,507445.0,BET.AX
2022-12-22,0.28,0.2875,0.275,0.28,641518.0,BET.AX
2022-12-23,0.275,0.28,0.265,0.275,990983.0,BET.AX
2022-12-28,0.275,0.28,0.265,0.27,1118562.0,BET.AX
2022-12-29,0.27,0.28,0.2675,0.28,859176.0,BET.AX
2022-12-30,0.28,0.285,0.27,0.275,1237263.0,BET.AX
2023-01-03,0.27,0.275,0.265,0.275,1024927.0,BET.AX
2023-01-04,0.27,0.28,0.27,0.28,512906.0,BET.AX
2023-01-05,0.28,0.28,0.275,0.275,1042884.0,BET.AX
2023-01-06,0.275,0.295,0.275,0.29,1363074.0,BET.AX
2023-01-09,0.29,0.29,0.27,0.28,1854006.0,BET.AX
2023-01-10,0.28,0.28,0.265,0.27,1343894.0,BET.AX
2023-01-11,0.27,0.2775,0.27,0.27,874229.0,BET.AX
2023-01-12,0.27,0.28,0.27,0.27,723226.0,BET.AX
2023-01-13,0.27,0.275,0.265,0.275,1024240.0,BET.AX
2023-01-16,0.28,0.29,0.2725,0.29,1667713.0,BET.AX
2023-01-17,0.285,0.29,0.28,0.29,992465.0,BET.AX
2023-01-18,0.285,0.285,0.275,0.285,1021230.0,BET.AX
2023-01-19,0.28,0.28,0.265,0.27,3221191.0,BET.AX
2023-01-20,0.265,0.27,0.25,0.255,8325843.0,BET.AX
2023-01-23,0.255,0.26,0.255,0.255,1571631.0,BET.AX
2023-01-24,0.255,0.265,0.255,0.255,1625556.0,BET.AX
2023-01-25,0.26,0.265,0.255,0.26,2876515.0,BET.AX
2023-01-27,0.26,0.2675,0.255,0.255,2159452.0,BET.AX
2023-01-30,0.255,0.26,0.25,0.255,2170555.0,BET.AX
2023-01-31,0.255,0.265,0.225,0.225,9402899.0,BET.AX
2023-02-01,0.225,0.235,0.215,0.225,5244004.0,BET.AX
2023-02-02,0.23,0.23,0.22,0.225,2395868.0,BET.AX
2023-02-03,0.23,0.2425,0.23,0.23,5294470.0,BET.AX
2023-02-06,0.23,0.23,0.215,0.22,4807158.0,BET.AX
2023-02-07,0.22,0.22,0.205,0.21,6114960.0,BET.AX
2023-02-08,0.215,0.22,0.2,0.205,4966178.0,BET.AX
2023-02-09,0.205,0.21,0.2,0.2,5028435.0,BET.AX
2023-02-10,0.2,0.2025,0.195,0.2,4279877.0,BET.AX
2023-02-13,0.2,0.2,0.185,0.185,4845137.0,BET.AX
2023-02-14,0.185,0.19,0.175,0.175,5128628.0,BET.AX
2023-02-15,0.175,0.19,0.175,0.19,2573291.0,BET.AX
2023-02-16,0.195,0.205,0.19,0.205,2881135.0,BET.AX
2023-02-17,0.2,0.205,0.195,0.195,2142440.0,BET.AX
2023-02-20,0.195,0.2,0.185,0.185,2817973.0,BET.AX
2023-02-21,0.19,0.195,0.185,0.19,905980.0,BET.AX
2023-02-22,0.185,0.19,0.185,0.185,763071.0,BET.AX
2023-02-23,0.185,0.195,0.175,0.18,1579261.0,BET.AX
2023-02-24,0.185,0.19,0.1775,0.185,1797750.0,BET.AX
2023-02-27,0.185,0.205,0.18,0.205,3265944.0,BET.AX
2023-02-28,0.205,0.22,0.205,0.22,4540879.0,BET.AX
2023-03-01,0.215,0.225,0.205,0.205,3807693.0,BET.AX
2023-03-02,0.21,0.215,0.195,0.195,7362189.0,BET.AX
2023-03-03,0.195,0.2,0.19,0.195,2727628.0,BET.AX
2023-03-06,0.195,0.215,0.195,0.21,3177920.0,BET.AX
2023-03-07,0.205,0.22,0.205,0.22,1793377.0,BET.AX
2023-03-08,0.215,0.24,0.21,0.23,6072374.0,BET.AX
2023-03-09,0.235,0.26,0.2325,0.245,11255483.0,BET.AX
2023-03-10,0.245,0.245,0.2225,0.235,3460702.0,BET.AX
2023-03-13,0.235,0.235,0.205,0.205,6479251.0,BET.AX
2023-03-14,0.205,0.2075,0.19,0.195,7719462.0,BET.AX
2023-03-15,0.2,0.205,0.19,0.195,2370339.0,BET.AX
2023-03-16,0.2,0.2,0.18,0.185,4392921.0,BET.AX
2023-03-17,0.19,0.21,0.185,0.195,35693639.0,BET.AX
2023-03-20,0.19,0.195,0.18,0.18,4353983.0,BET.AX
2023-03-21,0.185,0.19,0.185,0.185,3585053.0,BET.AX
2023-03-22,0.185,0.19,0.18,0.19,1998032.0,BET.AX
2023-03-23,0.19,0.19,0.18,0.18,1283506.0,BET.AX
2023-03-24,0.18,0.185,0.18,0.18,2321157.0,BET.AX
2023-03-27,0.18,0.19,0.18,0.18,3199640.0,BET.AX
2023-03-28,0.18,0.18,0.17,0.175,20251011.0,BET.AX
2023-03-29,0.175,0.175,0.16,0.165,3921810.0,BET.AX
2023-03-30,0.165,0.17,0.155,0.16,3625631.0,BET.AX
2023-03-31,0.16,0.165,0.16,0.16,1089225.0,BET.AX
2023-04-03,0.165,0.175,0.1625,0.17,1301763.0,BET.AX
2023-04-04,0.17,0.175,0.165,0.17,1545321.0,BET.AX
2023-04-05,0.17,0.185,0.17,0.175,2898581.0,BET.AX
2023-04-06,0.175,0.18,0.175,0.18,457400.0,BET.AX
2023-04-11,0.18,0.18,0.17,0.175,1713693.0,BET.AX
2023-04-12,0.17,0.17,0.16,0.165,4700368.0,BET.AX
2023-04-13,0.16,0.1625,0.15,0.155,3666916.0,BET.AX
2023-04-14,0.16,0.165,0.15,0.155,3309602.0,BET.AX
2023-04-17,0.155,0.155,0.145,0.15,6635241.0,BET.AX
2023-04-18,0.15,0.155,0.1475,0.155,1934394.0,BET.AX
2023-04-19,0.155,0.165,0.15,0.16,2526528.0,BET.AX
2023-04-20,0.16,0.165,0.155,0.165,708311.0,BET.AX
2023-04-21,0.16,0.185,0.16,0.185,6591629.0,BET.AX
2023-04-24,0.19,0.19,0.165,0.165,2062398.0,BET.AX
2023-04-26,0.165,0.17,0.165,0.17,585373.0,BET.AX
2023-04-27,0.17,0.175,0.1625,0.165,1772305.0,BET.AX
2023-04-28,0.17,0.18,0.17,0.175,3009626.0,BET.AX
2023-05-01,0.175,0.175,0.1575,0.16,3301744.0,BET.AX
2023-05-02,0.16,0.165,0.155,0.155,1476019.0,BET.AX
2023-05-03,0.16,0.165,0.155,0.16,662433.0,BET.AX
2023-05-04,0.16,0.165,0.1575,0.165,1163156.0,BET.AX
2023-05-05,0.16,0.16,0.15,0.155,6812932.0,BET.AX
2023-05-08,0.15,0.1525,0.135,0.145,7435897.0,BET.AX
2023-05-09,0.145,0.15,0.1425,0.145,2153860.0,BET.AX
2023-05-10,0.145,0.15,0.1425,0.145,1465420.0,BET.AX
2023-05-11,0.15,0.16,0.145,0.155,2093450.0,BET.AX
2023-05-12,0.16,0.16,0.15,0.155,873382.0,BET.AX
2023-05-15,0.155,0.155,0.15,0.15,675854.0,BET.AX
2023-05-16,0.15,0.155,0.15,0.15,540914.0,BET.AX
2023-05-17,0.15,0.16,0.1425,0.145,2625495.0,BET.AX
2023-05-18,0.145,0.145,0.14,0.14,1179879.0,BET.AX
2023-05-19,0.145,0.145,0.14,0.145,1404496.0,BET.AX
2023-05-22,0.145,0.145,0.135,0.14,1165270.0,BET.AX
2023-05-23,0.14,0.145,0.135,0.14,635961.0,BET.AX
2023-05-24,0.14,0.14,0.13,0.13,2001207.0,BET.AX
2023-05-25,0.13,0.135,0.125,0.13,1636675.0,BET.AX
2023-05-26,0.13,0.135,0.1275,0.13,657427.0,BET.AX
2023-05-29,0.13,0.14,0.13,0.13,694334.0,BET.AX
2023-05-30,0.135,0.135,0.125,0.125,1078398.0,BET.AX
2023-05-31,0.135,0.165,0.135,0.15,13071424.0,BET.AX
2023-06-01,0.155,0.155,0.14,0.145,3588037.0,BET.AX
2023-06-02,0.15,0.195,0.145,0.18,8439981.0,BET.AX
2023-06-05,0.185,0.185,0.17,0.175,2080693.0,BET.AX
2023-06-06,0.17,0.175,0.165,0.17,812957.0,BET.AX
2023-06-07,0.165,0.17,0.1625,0.165,1862395.0,BET.AX
2023-06-08,0.17,0.17,0.155,0.155,1524149.0,BET.AX
2023-06-09,0.155,0.16,0.15,0.155,2223677.0,BET.AX
2023-06-13,0.15,0.15,0.14,0.145,1734336.0,BET.AX
2023-06-14,0.145,0.145,0.14,0.14,938292.0,BET.AX
2023-06-15,0.14,0.145,0.14,0.145,527762.0,BET.AX
2023-06-16,0.145,0.15,0.14,0.14,1540251.0,BET.AX
2023-06-19,0.14,0.145,0.1325,0.135,4019425.0,BET.AX
2023-06-20,0.135,0.1375,0.13,0.13,1044477.0,BET.AX
2023-06-21,0.13,0.14,0.13,0.13,3626564.0,BET.AX
2023-06-22,0.13,0.135,0.125,0.13,3270472.0,BET.AX
2023-06-23,0.13,0.135,0.125,0.13,1626324.0,BET.AX
2023-06-26,0.125,0.125,0.115,0.115,3237550.0,BET.AX
2023-06-27,0.115,0.125,0.1125,0.115,4419564.0,BET.AX
2023-06-28,0.12,0.14,0.1175,0.13,5425094.0,BET.AX
2023-06-29,0.135,0.145,0.13,0.14,5645843.0,BET.AX
2023-06-30,0.14,0.145,0.13,0.13,2948955.0,BET.AX
2023-07-03,0.135,0.15,0.135,0.15,2417753.0,BET.AX
2023-07-04,0.15,0.17,0.15,0.16,5875881.0,BET.AX
2023-07-05,0.165,0.18,0.165,0.175,8023435.0,BET.AX
2023-07-06,0.18,0.19,0.17,0.18,7978609.0,BET.AX
2023-07-07,0.175,0.185,0.165,0.185,2835275.0,BET.AX
2023-07-10,0.18,0.185,0.175,0.175,1667731.0,BET.AX
2023-07-11,0.18,0.1825,0.175,0.175,1230428.0,BET.AX
2023-07-12,0.18,0.18,0.17,0.17,556023.0,BET.AX
2023-07-13,0.175,0.175,0.165,0.165,1447457.0,BET.AX
2023-07-14,0.17,0.1725,0.16,0.16,2226080.0,BET.AX
2023-07-17,0.16,0.175,0.16,0.165,1843813.0,BET.AX
2023-07-18,0.165,0.17,0.16,0.16,2087638.0,BET.AX
2023-07-19,0.16,0.1625,0.155,0.16,2012972.0,BET.AX
2023-07-20,0.16,0.165,0.155,0.16,2487147.0,BET.AX
2023-07-21,0.16,0.16,0.145,0.145,7991899.0,BET.AX
2023-07-24,0.145,0.16,0.145,0.155,3127856.0,BET.AX
2023-07-25,0.155,0.1725,0.155,0.17,3016750.0,BET.AX
2023-07-26,0.17,0.18,0.165,0.17,4804800.0,BET.AX
2023-07-27,0.175,0.185,0.17,0.185,4116461.0,BET.AX
2023-07-28,0.185,0.19,0.17,0.18,3956465.0,BET.AX
2023-07-31,0.175,0.175,0.15,0.15,10819187.0,BET.AX
2023-08-01,0.15,0.1525,0.1425,0.145,3455632.0,BET.AX
2023-08-02,0.145,0.145,0.13,0.135,3255803.0,BET.AX
2023-08-03,0.135,0.14,0.13,0.13,5714846.0,BET.AX
2023-08-04,0.13,0.135,0.125,0.13,1540795.0,BET.AX
2023-08-07,0.13,0.135,0.13,0.13,1360466.0,BET.AX
2023-08-08,0.13,0.135,0.125,0.125,1105871.0,BET.AX
2023-08-09,0.13,0.135,0.125,0.135,589814.0,BET.AX
2023-08-10,0.135,0.14,0.13,0.135,1092678.0,BET.AX
2023-08-11,0.14,0.14,0.13,0.14,853238.0,BET.AX
2023-08-14,0.14,0.1425,0.135,0.14,1215825.0,BET.AX
2023-08-15,0.135,0.1375,0.135,0.135,534612.0,BET.AX
2023-08-16,0.135,0.14,0.13,0.14,515951.0,BET.AX
2023-08-17,0.14,0.14,0.13,0.13,779760.0,BET.AX
2023-08-18,0.135,0.14,0.13,0.135,313956.0,BET.AX
2023-08-21,0.135,0.14,0.13,0.13,525880.0,BET.AX
2023-08-22,0.135,0.14,0.13,0.135,1489451.0,BET.AX
2023-08-23,0.135,0.14,0.13,0.14,1034066.0,BET.AX
2023-08-24,0.135,0.14,0.135,0.135,1635337.0,BET.AX
2023-08-25,0.135,0.135,0.13,0.135,281482.0,BET.AX
2023-08-28,0.1325,0.135,0.13,0.13,1028232.0,BET.AX
2023-08-29,0.13,0.1325,0.1275,0.13,2794992.0,BET.AX
2023-08-30,0.135,0.135,0.105,0.11,12754476.0,BET.AX
2023-08-31,0.115,0.1175,0.1,0.105,11836031.0,BET.AX
2023-09-01,0.105,0.105,0.097,0.098,10284825.0,BET.AX
2023-09-04,0.099,0.1025,0.0985,0.099,6824136.0,BET.AX
2023-09-05,0.1,0.1025,0.094,0.098,5866245.0,BET.AX
2023-09-06,0.097,0.1025,0.096,0.1,3534845.0,BET.AX
2023-09-07,0.1,0.105,0.097,0.099,4016972.0,BET.AX
2023-09-08,0.1,0.115,0.1,0.11,3788399.0,BET.AX
2023-09-11,0.11,0.115,0.1025,0.105,3910391.0,BET.AX
2023-09-12,0.105,0.11,0.1,0.105,1829156.0,BET.AX
2023-09-13,0.1,0.105,0.1,0.1,3320532.0,BET.AX
2023-09-14,0.1,0.115,0.1,0.11,4163487.0,BET.AX
2023-09-15,0.11,0.115,0.099,0.099,44225600.0,BET.AX
2023-09-18,0.099,0.1025,0.094,0.094,12127101.0,BET.AX
2023-09-19,0.094,0.096,0.091,0.094,3939624.0,BET.AX
2023-09-20,0.095,0.096,0.091,0.092,2686078.0,BET.AX
2023-09-21,0.093,0.094,0.091,0.091,3099939.0,BET.AX
2023-09-22,0.092,0.095,0.091,0.094,2232563.0,BET.AX
2023-09-25,0.092,0.098,0.092,0.093,901013.0,BET.AX
2023-09-26,0.094,0.095,0.093,0.093,498003.0,BET.AX
2023-09-27,0.093,0.095,0.092,0.092,2306599.0,BET.AX
2023-09-28,0.094,0.095,0.092,0.093,741638.0,BET.AX
2023-09-29,0.0935,0.097,0.092,0.092,4507075.0,BET.AX
2023-10-02,0.093,0.093,0.09,0.092,5501452.0,BET.AX
2023-10-03,0.092,0.093,0.089,0.092,3513124.0,BET.AX
2023-10-04,0.09,0.092,0.089,0.092,2644433.0,BET.AX
2023-10-05,0.093,0.094,0.09,0.091,817614.0,BET.AX
2023-10-06,0.091,0.092,0.09,0.09,1487199.0,BET.AX
2023-10-09,0.092,0.092,0.089,0.091,910858.0,BET.AX
2023-10-10,0.089,0.096,0.089,0.091,2398999.0,BET.AX
2023-10-11,0.092,0.093,0.089,0.089,1196705.0,BET.AX
2023-10-12,0.09,0.09,0.089,0.089,223616.0,BET.AX
2023-10-13,0.093,0.093,0.089,0.089,250952.0,BET.AX
2023-10-16,0.089,0.09,0.085,0.085,1953216.0,BET.AX
2023-10-17,0.087,0.09,0.081,0.088,3943525.0,BET.AX
2023-10-18,0.088,0.091,0.084,0.085,791287.0,BET.AX
2023-10-19,0.085,0.087,0.082,0.085,322142.0,BET.AX
2023-10-20,0.084,0.086,0.082,0.085,468715.0,BET.AX
2023-10-23,0.085,0.087,0.081,0.081,801083.0,BET.AX
2023-10-24,0.083,0.087,0.082,0.087,1805227.0,BET.AX
2023-10-25,0.084,0.086,0.079,0.081,1784329.0,BET.AX
2023-10-26,0.08,0.083,0.08,0.083,202098.0,BET.AX
2023-10-27,0.081,0.084,0.079,0.084,573577.0,BET.AX
2023-10-30,0.082,0.083,0.079,0.079,399150.0,BET.AX
2023-10-31,0.08,0.081,0.078,0.079,1063435.0,BET.AX
2023-11-01,0.079,0.084,0.079,0.084,5603505.0,BET.AX
2023-11-02,0.083,0.085,0.08,0.082,1212414.0,BET.AX
2023-11-03,0.085,0.095,0.084,0.093,5364022.0,BET.AX
2023-11-06,0.095,0.095,0.089,0.089,1236007.0,BET.AX
2023-11-07,0.089,0.091,0.088,0.088,679577.0,BET.AX
2023-11-08,0.088,0.093,0.086,0.092,2937693.0,BET.AX
2023-11-09,0.091,0.091,0.0875,0.088,1366971.0,BET.AX
2023-11-10,0.09,0.093,0.09,0.093,3629361.0,BET.AX
2023-11-13,0.095,0.095,0.088,0.089,764005.0,BET.AX
2023-11-14,0.089,0.091,0.088,0.09,942505.0,BET.AX
2023-11-15,0.09,0.092,0.088,0.088,1758811.0,BET.AX
2023-11-16,0.089,0.093,0.089,0.089,880003.0,BET.AX
2023-11-17,0.09,0.09,0.088,0.088,854732.0,BET.AX
2023-11-20,0.088,0.09,0.086,0.089,3002661.0,BET.AX
2023-11-21,0.086,0.087,0.085,0.087,1424475.0,BET.AX
2023-11-22,0.087,0.087,0.085,0.085,180804.0,BET.AX
2023-11-23,0.085,0.087,0.085,0.085,1222548.0,BET.AX
2023-11-24,0.087,0.087,0.085,0.087,299365.0,BET.AX
2023-11-27,0.087,0.09,0.085,0.09,1017678.0,BET.AX
2023-11-28,0.09,0.09,0.085,0.087,440034.0,BET.AX
2023-11-29,0.087,0.089,0.085,0.089,517678.0,BET.AX
2023-11-30,0.089,0.089,0.088,0.089,485102.0,BET.AX
2023-12-01,0.088,0.088,0.085,0.085,857769.0,BET.AX
2023-12-04,0.085,0.086,0.085,0.085,432065.0,BET.AX
2023-12-05,0.085,0.088,0.083,0.088,1095955.0,BET.AX
