date,open,high,low,close,volume,ticker
2022-08-22,4.07,4.09,4.06,4.06,410607.0,BWP.AX
2022-08-23,4.04,4.07,4.02,4.07,931761.0,BWP.AX
2022-08-24,4.06,4.07,4.0,4.0,615211.0,BWP.AX
2022-08-25,4.01,4.03,3.98,4.02,834923.0,BWP.AX
2022-08-26,4.06,4.07,4.0,4.0,716824.0,BWP.AX
2022-08-29,3.95,4.0,3.935,3.99,571403.0,BWP.AX
2022-08-30,3.98,4.01,3.965,3.99,666646.0,BWP.AX
2022-08-31,3.98,4.0,3.965,3.98,809784.0,BWP.AX
2022-09-01,3.96,3.97,3.88,3.92,1066816.0,BWP.AX
2022-09-02,3.9,3.97,3.9,3.96,726226.0,BWP.AX
2022-09-05,3.94,3.97,3.91,3.95,429385.0,BWP.AX
2022-09-06,3.97,3.98,3.92,3.93,456281.0,BWP.AX
2022-09-07,3.93,3.94,3.88,3.92,815578.0,BWP.AX
2022-09-08,3.94,3.99,3.93,3.99,1078322.0,BWP.AX
2022-09-09,3.95,4.02,3.935,4.0,1086989.0,BWP.AX
2022-09-12,4.03,4.07,3.98,4.04,935737.0,BWP.AX
2022-09-13,4.04,4.095,4.04,4.08,657413.0,BWP.AX
2022-09-14,4.05,4.05,3.95,3.96,1390653.0,BWP.AX
2022-09-15,3.98,3.99,3.89,3.9,1848769.0,BWP.AX
2022-09-16,3.87,3.94,3.86,3.93,2160394.0,BWP.AX
2022-09-19,3.94,3.96,3.9,3.94,802887.0,BWP.AX
2022-09-20,3.96,3.96,3.9,3.9,540109.0,BWP.AX
2022-09-21,3.86,3.89,3.83,3.83,741404.0,BWP.AX
2022-09-23,3.82,3.83,3.62,3.67,2295801.0,BWP.AX
2022-09-26,3.63,3.7,3.62,3.68,1269367.0,BWP.AX
2022-09-27,3.65,3.68,3.58,3.6,919088.0,BWP.AX
2022-09-28,3.58,3.6,3.51,3.58,823029.0,BWP.AX
2022-09-29,3.64,3.68,3.615,3.66,966298.0,BWP.AX
2022-09-30,3.63,3.7,3.62,3.7,2274943.0,BWP.AX
2022-10-03,3.71,3.8,3.7,3.74,1288633.0,BWP.AX
2022-10-04,3.76,3.88,3.75,3.88,1556904.0,BWP.AX
2022-10-05,3.88,3.91,3.82,3.83,1541673.0,BWP.AX
2022-10-06,3.8,3.845,3.79,3.83,785887.0,BWP.AX
2022-10-07,3.82,3.84,3.78,3.82,803503.0,BWP.AX
2022-10-10,3.74,3.79,3.72,3.76,665865.0,BWP.AX
2022-10-11,3.74,3.75,3.66,3.68,1129625.0,BWP.AX
2022-10-12,3.68,3.73,3.68,3.71,686781.0,BWP.AX
2022-10-13,3.68,3.72,3.65,3.67,513786.0,BWP.AX
2022-10-14,3.76,3.76,3.66,3.69,772780.0,BWP.AX
2022-10-17,3.69,3.72,3.66,3.7,979788.0,BWP.AX
2022-10-18,3.73,3.77,3.72,3.75,958387.0,BWP.AX
2022-10-19,3.75,3.79,3.73,3.74,789148.0,BWP.AX
2022-10-20,3.71,3.74,3.66,3.71,1372877.0,BWP.AX
2022-10-21,3.73,3.745,3.68,3.71,1356856.0,BWP.AX
2022-10-24,3.76,3.8,3.715,3.73,1060293.0,BWP.AX
2022-10-25,3.73,3.77,3.72,3.76,815039.0,BWP.AX
2022-10-26,3.8,3.89,3.77,3.86,1657414.0,BWP.AX
2022-10-27,3.88,3.95,3.87,3.93,1188893.0,BWP.AX
2022-10-28,3.95,4.015,3.94,3.98,902341.0,BWP.AX
