date,open,high,low,close,volume,ticker
2022-08-22,12.95,13.11,12.82,13.1,6345705.0,BXB.AX
2022-08-23,13.08,13.13,12.53,12.64,7194629.0,BXB.AX
2022-08-24,12.5,12.61,12.36,12.5,7138947.0,BXB.AX
2022-08-25,12.72,12.73,12.49,12.66,4715574.0,BXB.AX
2022-08-26,12.53,12.72,12.52,12.64,3962933.0,BXB.AX
2022-08-29,12.52,12.6,12.31,12.43,3575199.0,BXB.AX
2022-08-30,12.44,12.585,12.34,12.51,2698906.0,BXB.AX
2022-08-31,12.49,12.495,12.37,12.38,5315940.0,BXB.AX
2022-09-01,12.26,12.49,12.26,12.29,3747998.0,BXB.AX
2022-09-02,12.25,12.36,12.2,12.3,3717019.0,BXB.AX
2022-09-05,12.31,12.345,12.16,12.26,5175018.0,BXB.AX
2022-09-06,12.21,12.29,12.01,12.05,4970607.0,BXB.AX
2022-09-07,11.9,11.91,11.65,11.84,4845987.0,BXB.AX
2022-09-08,11.86,12.07,11.77,11.93,4450660.0,BXB.AX
2022-09-09,11.89,11.93,11.72,11.84,2898741.0,BXB.AX
2022-09-12,11.9,11.94,11.75,11.84,3307194.0,BXB.AX
2022-09-13,11.95,12.13,11.88,12.08,5337775.0,BXB.AX
2022-09-14,12.05,12.05,11.91,12.0,5502588.0,BXB.AX
2022-09-15,12.11,12.22,12.03,12.17,5680124.0,BXB.AX
2022-09-16,12.06,12.13,11.98,12.13,15192952.0,BXB.AX
2022-09-19,12.1,12.1,11.88,11.93,2139441.0,BXB.AX
2022-09-20,12.03,12.06,11.86,11.96,3518597.0,BXB.AX
2022-09-21,11.82,11.96,11.79,11.81,3371316.0,BXB.AX
2022-09-23,11.72,11.73,11.61,11.67,5145229.0,BXB.AX
2022-09-26,11.57,11.71,11.405,11.58,3445892.0,BXB.AX
2022-09-27,11.56,11.65,11.48,11.53,5633630.0,BXB.AX
2022-09-28,11.57,11.65,11.48,11.55,4153188.0,BXB.AX
2022-09-29,11.5,11.73,11.48,11.67,5778852.0,BXB.AX
2022-09-30,11.66,11.695,11.31,11.41,5176675.0,BXB.AX
2022-10-03,11.4,11.4,11.12,11.23,4296226.0,BXB.AX
2022-10-04,11.42,11.53,11.34,11.49,5138177.0,BXB.AX
2022-10-05,11.61,11.67,11.52,11.67,6061853.0,BXB.AX
2022-10-06,11.76,11.84,11.525,11.64,4321137.0,BXB.AX
2022-10-07,11.66,11.7,11.54,11.6,4763135.0,BXB.AX
2022-10-10,11.4,11.55,11.4,11.46,2744881.0,BXB.AX
2022-10-11,11.55,11.55,11.425,11.49,3621944.0,BXB.AX
2022-10-12,11.52,11.57,11.42,11.42,3508519.0,BXB.AX
2022-10-13,11.43,11.46,11.23,11.3,3709432.0,BXB.AX
2022-10-14,11.43,11.55,11.38,11.52,4767911.0,BXB.AX
2022-10-17,11.52,11.56,11.4,11.56,5915698.0,BXB.AX
2022-10-18,11.64,11.76,11.46,11.59,9107349.0,BXB.AX
2022-10-19,11.65,11.72,11.505,11.54,5013408.0,BXB.AX
2022-10-20,11.51,11.51,11.305,11.31,4120828.0,BXB.AX
2022-10-21,11.2,11.21,10.88,11.13,5389683.0,BXB.AX
2022-10-24,11.31,11.37,11.14,11.16,2346023.0,BXB.AX
2022-10-25,11.25,11.3,11.125,11.17,2763925.0,BXB.AX
2022-10-26,11.18,11.28,11.16,11.22,2814924.0,BXB.AX
2022-10-27,11.24,11.36,11.19,11.28,2915344.0,BXB.AX
2022-10-28,11.22,11.425,11.18,11.38,2686324.0,BXB.AX
2022-10-31,11.56,11.72,11.49,11.68,3898553.0,BXB.AX
2022-11-01,11.56,11.6,11.35,11.56,4019602.0,BXB.AX
2022-11-02,11.46,11.76,11.42,11.65,4693907.0,BXB.AX
2022-11-03,11.58,11.7,11.48,11.69,4447115.0,BXB.AX
2022-11-04,11.61,11.64,11.365,11.4,2928658.0,BXB.AX
2022-11-07,11.41,11.515,11.3,11.45,2856537.0,BXB.AX
2022-11-08,11.48,11.62,11.38,11.59,3879009.0,BXB.AX
2022-11-09,11.59,11.74,11.53,11.57,2266930.0,BXB.AX
2022-11-10,11.54,11.58,11.365,11.37,3805048.0,BXB.AX
2022-11-11,11.58,11.58,11.33,11.45,4712607.0,BXB.AX
2022-11-14,11.36,11.41,11.19,11.26,3156361.0,BXB.AX
2022-11-15,11.27,11.46,11.24,11.29,3671249.0,BXB.AX
2022-11-16,11.31,11.34,11.23,11.3,2450001.0,BXB.AX
2022-11-17,11.4,11.53,11.33,11.33,3826803.0,BXB.AX
2022-11-18,11.45,11.56,11.36,11.52,3467883.0,BXB.AX
2022-11-21,11.57,11.61,11.47,11.52,2161486.0,BXB.AX
2022-11-22,11.62,11.76,11.56,11.68,3833036.0,BXB.AX
2022-11-23,11.76,11.78,11.66,11.75,2900280.0,BXB.AX
2022-11-24,11.82,11.855,11.71,11.82,3249382.0,BXB.AX
2022-11-25,11.86,11.99,11.76,11.91,1582417.0,BXB.AX
2022-11-28,11.89,11.98,11.84,11.95,2836873.0,BXB.AX
2022-11-29,12.0,12.18,11.93,12.02,3210076.0,BXB.AX
2022-11-30,12.03,12.11,11.91,12.11,9997804.0,BXB.AX
2022-12-01,12.18,12.24,12.12,12.16,2785088.0,BXB.AX
2022-12-02,12.17,12.19,11.995,12.03,3153529.0,BXB.AX
2022-12-05,12.06,12.18,11.98,12.03,3831785.0,BXB.AX
2022-12-06,12.15,12.19,12.07,12.13,4166196.0,BXB.AX
2022-12-07,12.05,12.09,11.94,11.96,3685728.0,BXB.AX
2022-12-08,11.93,11.94,11.74,11.82,3448497.0,BXB.AX
2022-12-09,11.83,11.965,11.735,11.94,4360934.0,BXB.AX
2022-12-12,11.96,12.06,11.96,12.02,3334737.0,BXB.AX
2022-12-13,12.1,12.21,12.04,12.14,2349588.0,BXB.AX
2022-12-14,12.19,12.31,12.115,12.24,3138603.0,BXB.AX
2022-12-15,12.41,12.41,12.225,12.34,4594435.0,BXB.AX
2022-12-16,12.08,12.45,12.06,12.43,7170362.0,BXB.AX
2022-12-19,12.45,12.45,12.13,12.2,2003833.0,BXB.AX
2022-12-20,12.23,12.29,12.05,12.14,2327374.0,BXB.AX
2022-12-21,12.24,12.24,12.09,12.16,3628262.0,BXB.AX
2022-12-22,12.25,12.33,12.18,12.23,2340872.0,BXB.AX
2022-12-23,12.16,12.2,12.06,12.19,1189474.0,BXB.AX
2022-12-28,12.26,12.26,12.07,12.15,1153161.0,BXB.AX
2022-12-29,12.17,12.17,11.96,12.04,1749851.0,BXB.AX
2022-12-30,12.09,12.19,12.07,12.07,1629837.0,BXB.AX
2023-01-03,12.11,12.14,11.92,11.95,2368182.0,BXB.AX
2023-01-04,11.99,12.09,11.89,11.95,1797042.0,BXB.AX
2023-01-05,11.91,11.91,11.7,11.77,2836584.0,BXB.AX
2023-01-06,11.79,11.8,11.62,11.67,2105271.0,BXB.AX
2023-01-09,11.74,11.74,11.53,11.56,2048467.0,BXB.AX
2023-01-10,11.51,11.55,11.39,11.5,2844536.0,BXB.AX
2023-01-11,11.55,11.59,11.46,11.56,2023002.0,BXB.AX
2023-01-12,11.57,11.79,11.55,11.71,2737822.0,BXB.AX
2023-01-13,11.71,11.77,11.63,11.68,2579146.0,BXB.AX
2023-01-16,11.7,11.79,11.66,11.72,1100618.0,BXB.AX
2023-01-17,11.7,11.81,11.7,11.81,2852807.0,BXB.AX
2023-01-18,11.74,11.79,11.68,11.74,3117014.0,BXB.AX
2023-01-19,11.78,11.79,11.55,11.73,3147817.0,BXB.AX
2023-01-20,11.81,11.86,11.57,11.72,3885949.0,BXB.AX
2023-01-23,11.7,11.75,11.58,11.69,3232651.0,BXB.AX
2023-01-24,11.64,11.78,11.54,11.71,2949632.0,BXB.AX
2023-01-25,11.75,11.82,11.65,11.72,2917554.0,BXB.AX
2023-01-27,11.9,11.97,11.82,11.9,4142771.0,BXB.AX
2023-01-30,11.95,12.03,11.89,12.02,5092722.0,BXB.AX
2023-01-31,12.12,12.21,11.93,11.99,3413443.0,BXB.AX
2023-02-01,12.03,12.095,11.945,12.03,3319104.0,BXB.AX
2023-02-02,12.12,12.15,12.0,12.08,3749439.0,BXB.AX
2023-02-03,12.17,12.31,12.11,12.26,4175694.0,BXB.AX
2023-02-06,12.25,12.3,12.165,12.27,1743579.0,BXB.AX
2023-02-07,12.27,12.33,12.185,12.26,2510668.0,BXB.AX
2023-02-08,12.26,12.28,11.935,12.01,4563109.0,BXB.AX
2023-02-09,12.05,12.05,11.87,11.97,3935371.0,BXB.AX
2023-02-10,11.98,11.99,11.85,11.94,2005817.0,BXB.AX
2023-02-13,11.96,12.07,11.77,11.9,3193070.0,BXB.AX
2023-02-14,11.96,11.97,11.835,11.9,3024635.0,BXB.AX
2023-02-15,11.9,11.99,11.82,11.99,4071016.0,BXB.AX
2023-02-16,12.06,12.25,11.98,12.22,3554981.0,BXB.AX
2023-02-17,12.18,12.19,12.05,12.13,3551970.0,BXB.AX
2023-02-20,12.19,12.22,12.1,12.18,1652053.0,BXB.AX
2023-02-21,12.1,12.13,11.97,12.03,3184475.0,BXB.AX
2023-02-22,12.03,12.06,11.93,12.03,2293958.0,BXB.AX
2023-02-23,12.04,12.14,12.02,12.07,3036870.0,BXB.AX
2023-02-24,12.52,13.15,12.47,12.97,8670029.0,BXB.AX
2023-02-27,12.97,13.05,12.72,12.86,6525974.0,BXB.AX
2023-02-28,12.86,12.955,12.68,12.87,7783579.0,BXB.AX
2023-03-01,12.91,13.1,12.8,13.03,5003571.0,BXB.AX
2023-03-02,13.08,13.19,12.98,13.07,9986099.0,BXB.AX
2023-03-03,13.03,13.16,12.98,13.09,6262503.0,BXB.AX
2023-03-06,13.17,13.18,13.04,13.13,2965981.0,BXB.AX
2023-03-07,13.19,13.32,13.09,13.3,3701717.0,BXB.AX
2023-03-08,13.24,13.43,13.15,13.32,6622292.0,BXB.AX
2023-03-09,13.34,13.55,13.28,13.45,4715483.0,BXB.AX
2023-03-10,13.45,13.48,13.23,13.28,2962715.0,BXB.AX
2023-03-13,13.15,13.17,13.02,13.08,2494563.0,BXB.AX
2023-03-14,13.02,13.08,12.83,13.02,5563649.0,BXB.AX
2023-03-15,13.11,13.11,13.01,13.09,6290281.0,BXB.AX
2023-03-16,12.63,13.11,12.63,13.08,6701838.0,BXB.AX
2023-03-17,13.23,13.245,13.065,13.18,8560151.0,BXB.AX
2023-03-20,13.15,13.15,12.865,12.91,3599264.0,BXB.AX
2023-03-21,12.99,13.16,12.965,13.07,2732166.0,BXB.AX
2023-03-22,13.1,13.29,13.08,13.22,3100155.0,BXB.AX
2023-03-23,13.1,13.36,13.095,13.33,3206708.0,BXB.AX
2023-03-24,13.37,13.38,13.23,13.32,3042478.0,BXB.AX
2023-03-27,13.45,13.54,13.375,13.5,2357232.0,BXB.AX
2023-03-28,13.63,13.65,13.37,13.45,3775854.0,BXB.AX
2023-03-29,13.35,13.48,13.22,13.46,3531248.0,BXB.AX
2023-03-30,13.58,13.58,13.35,13.44,6804592.0,BXB.AX
2023-03-31,13.34,13.48,13.26,13.43,3972908.0,BXB.AX
2023-04-03,13.59,13.62,13.4,13.47,3009351.0,BXB.AX
2023-04-04,13.45,13.52,13.43,13.52,3344638.0,BXB.AX
2023-04-05,13.45,13.67,13.43,13.61,4627338.0,BXB.AX
2023-04-06,13.64,13.73,13.6,13.69,3532522.0,BXB.AX
2023-04-11,13.79,13.91,13.76,13.82,2975351.0,BXB.AX
2023-04-12,13.82,13.97,13.81,13.87,3594400.0,BXB.AX
2023-04-13,13.92,14.0,13.7,13.85,4236093.0,BXB.AX
2023-04-14,13.84,13.98,13.78,13.93,2835021.0,BXB.AX
2023-04-17,13.97,14.07,13.86,14.0,2835198.0,BXB.AX
2023-04-18,14.01,14.07,13.9,13.99,4142860.0,BXB.AX
2023-04-19,13.92,13.97,13.795,13.91,3978846.0,BXB.AX
2023-04-20,14.66,14.66,13.91,13.91,5588633.0,BXB.AX
2023-04-21,13.85,14.21,13.84,14.12,6317295.0,BXB.AX
2023-04-24,14.2,14.27,14.135,14.18,3125059.0,BXB.AX
2023-04-26,14.15,14.39,14.13,14.37,6730345.0,BXB.AX
2023-04-27,14.4,14.43,14.175,14.32,4352226.0,BXB.AX
2023-04-28,14.32,14.37,14.13,14.25,3995067.0,BXB.AX
2023-05-01,14.37,14.43,14.24,14.28,2345739.0,BXB.AX
2023-05-02,14.23,14.25,14.05,14.13,3165706.0,BXB.AX
2023-05-03,14.14,14.19,13.98,14.13,4144926.0,BXB.AX
2023-05-04,14.0,14.19,13.99,14.16,2902483.0,BXB.AX
2023-05-05,14.19,14.245,14.12,14.18,2533330.0,BXB.AX
2023-05-08,14.21,14.24,14.09,14.18,2204813.0,BXB.AX
2023-05-09,14.34,14.34,14.04,14.15,2230452.0,BXB.AX
2023-05-10,14.21,14.25,14.06,14.13,3020687.0,BXB.AX
2023-05-11,14.09,14.24,13.98,14.21,3922421.0,BXB.AX
2023-05-12,14.27,14.36,14.19,14.28,3805363.0,BXB.AX
2023-05-15,14.35,14.48,14.3,14.42,3577377.0,BXB.AX
2023-05-16,14.42,14.44,14.14,14.43,4799834.0,BXB.AX
2023-05-17,14.43,14.43,14.28,14.39,3637775.0,BXB.AX
2023-05-18,14.43,14.58,14.34,14.51,4043762.0,BXB.AX
2023-05-19,14.51,14.58,14.44,14.48,3874893.0,BXB.AX
2023-05-22,14.5,14.53,14.39,14.48,1559634.0,BXB.AX
2023-05-23,14.57,14.6,14.31,14.38,2667684.0,BXB.AX
2023-05-24,14.36,14.395,14.235,14.37,2485230.0,BXB.AX
2023-05-25,14.31,14.34,14.2,14.26,4271231.0,BXB.AX
2023-05-26,14.26,14.3,13.98,14.03,3042105.0,BXB.AX
2023-05-29,14.11,14.16,14.05,14.07,2131378.0,BXB.AX
2023-05-30,13.95,14.1,13.95,13.99,2620821.0,BXB.AX
2023-05-31,14.02,14.07,13.74,13.74,13293789.0,BXB.AX
2023-06-01,13.75,13.82,13.67,13.73,5510451.0,BXB.AX
2023-06-02,13.67,13.74,13.3,13.38,6653067.0,BXB.AX
2023-06-05,13.48,13.55,13.4,13.46,3993933.0,BXB.AX
2023-06-06,13.44,13.48,13.31,13.38,4862700.0,BXB.AX
2023-06-07,13.31,13.595,13.27,13.5,7435691.0,BXB.AX
2023-06-08,13.52,13.64,13.42,13.62,4766014.0,BXB.AX
2023-06-09,13.61,13.63,13.52,13.54,5530659.0,BXB.AX
2023-06-13,13.5,13.73,13.5,13.64,6306357.0,BXB.AX
2023-06-14,13.73,13.8,13.645,13.77,8749815.0,BXB.AX
2023-06-15,13.86,13.91,13.785,13.87,4821649.0,BXB.AX
2023-06-16,13.82,13.92,13.76,13.85,9064826.0,BXB.AX
2023-06-19,13.91,14.025,13.87,13.99,2258431.0,BXB.AX
2023-06-20,14.11,14.19,14.02,14.13,2523448.0,BXB.AX
2023-06-21,14.15,14.27,14.02,14.06,3033313.0,BXB.AX
2023-06-22,14.12,14.24,14.06,14.18,6739029.0,BXB.AX
2023-06-23,14.21,14.26,13.98,14.05,5576132.0,BXB.AX
2023-06-26,14.08,14.09,13.97,14.07,2359125.0,BXB.AX
2023-06-27,14.11,14.12,13.96,14.08,3658360.0,BXB.AX
2023-06-28,14.2,14.24,14.11,14.2,3032428.0,BXB.AX
2023-06-29,14.2,14.41,14.12,14.36,2632199.0,BXB.AX
2023-06-30,14.4,14.5,14.28,14.41,3942328.0,BXB.AX
2023-07-03,14.48,14.64,14.42,14.59,3377282.0,BXB.AX
2023-07-04,14.46,14.51,14.355,14.4,2178550.0,BXB.AX
2023-07-05,14.34,14.52,14.34,14.39,2575255.0,BXB.AX
2023-07-06,14.37,14.47,14.25,14.31,4301432.0,BXB.AX
2023-07-07,14.25,14.27,13.99,14.09,2674341.0,BXB.AX
2023-07-10,14.07,14.18,13.88,13.95,2042793.0,BXB.AX
2023-07-11,14.0,14.07,13.89,13.98,2846000.0,BXB.AX
2023-07-12,14.01,14.055,13.855,13.89,3376188.0,BXB.AX
2023-07-13,13.95,14.035,13.91,13.97,3247656.0,BXB.AX
2023-07-14,14.04,14.11,13.98,14.06,2336909.0,BXB.AX
2023-07-17,14.12,14.17,14.07,14.16,1635073.0,BXB.AX
2023-07-18,14.18,14.19,13.93,14.0,2018638.0,BXB.AX
