date,open,high,low,close,volume,ticker
2022-08-22,99.31,99.8,98.81,98.96,1796830.0,CBA.AX
2022-08-23,98.5,98.685,97.02,97.02,2354382.0,CBA.AX
2022-08-24,97.25,98.03,97.16,97.2,2155170.0,CBA.AX
2022-08-25,97.53,98.05,96.65,97.82,1706595.0,CBA.AX
2022-08-26,98.2,98.7,97.65,98.31,1915332.0,CBA.AX
2022-08-29,96.53,96.74,95.62,96.28,2107747.0,CBA.AX
2022-08-30,96.41,97.31,96.32,96.55,1833997.0,CBA.AX
2022-08-31,96.56,97.47,96.05,97.47,2916918.0,CBA.AX
2022-09-01,95.87,96.96,94.65,96.05,3228601.0,CBA.AX
2022-09-02,96.1,97.4,96.06,96.95,2183269.0,CBA.AX
2022-09-05,97.48,97.48,95.905,96.51,1963119.0,CBA.AX
2022-09-06,96.22,96.65,96.11,96.11,1676568.0,CBA.AX
2022-09-07,96.01,96.575,94.05,94.1,2876328.0,CBA.AX
2022-09-08,94.67,95.66,93.85,95.21,2701707.0,CBA.AX
2022-09-09,95.77,97.29,94.34,95.53,3030132.0,CBA.AX
2022-09-12,96.0,96.7,95.63,96.28,1596321.0,CBA.AX
2022-09-13,97.0,98.08,96.74,97.94,2343197.0,CBA.AX
2022-09-14,95.63,95.68,94.43,94.46,2958659.0,CBA.AX
2022-09-15,94.85,95.34,94.66,95.06,3364419.0,CBA.AX
2022-09-16,94.55,95.28,94.045,94.23,5980478.0,CBA.AX
2022-09-19,94.25,95.03,94.25,94.66,1474030.0,CBA.AX
2022-09-20,95.95,96.8,95.66,96.53,2389248.0,CBA.AX
2022-09-21,96.28,96.28,95.08,95.45,1946963.0,CBA.AX
2022-09-23,94.52,94.89,93.4,93.64,2720087.0,CBA.AX
2022-09-26,92.6,93.98,92.28,93.61,2274251.0,CBA.AX
2022-09-27,93.94,94.34,92.975,93.43,2709362.0,CBA.AX
2022-09-28,92.5,93.0,91.79,92.54,2433767.0,CBA.AX
2022-09-29,93.83,94.19,93.12,93.12,2094138.0,CBA.AX
2022-09-30,93.22,93.23,90.26,90.7,3741428.0,CBA.AX
2022-10-03,91.15,91.37,89.66,90.61,2038034.0,CBA.AX
2022-10-04,92.0,94.87,91.89,94.79,3030551.0,CBA.AX
2022-10-05,95.99,97.6,95.79,97.29,3870008.0,CBA.AX
2022-10-06,96.6,97.08,96.07,96.88,2055834.0,CBA.AX
2022-10-07,94.99,96.73,94.89,96.42,2455127.0,CBA.AX
2022-10-10,95.36,95.55,94.44,94.96,1721714.0,CBA.AX
2022-10-11,95.3,95.46,93.83,94.0,1981852.0,CBA.AX
2022-10-12,94.25,96.85,94.15,96.29,2662711.0,CBA.AX
2022-10-13,97.4,99.34,96.96,98.13,3321019.0,CBA.AX
2022-10-14,99.76,99.95,98.85,98.9,2341611.0,CBA.AX
2022-10-17,98.73,98.88,97.915,98.09,1600452.0,CBA.AX
2022-10-18,99.47,100.0,98.65,99.78,2472383.0,CBA.AX
2022-10-19,100.3,100.8,100.0,100.48,2337497.0,CBA.AX
2022-10-20,99.79,100.845,99.56,100.77,2969685.0,CBA.AX
2022-10-21,100.0,100.48,98.38,99.28,3151996.0,CBA.AX
2022-10-24,101.1,101.18,99.74,100.48,1627347.0,CBA.AX
2022-10-25,101.5,101.92,100.69,101.78,1902730.0,CBA.AX
2022-10-26,102.0,102.57,101.6,102.0,1915194.0,CBA.AX
2022-10-27,103.2,103.55,99.79,102.42,2830132.0,CBA.AX
2022-10-28,103.18,103.54,102.82,103.22,2426561.0,CBA.AX
2022-10-31,104.22,105.0,103.815,104.68,3084095.0,CBA.AX
2022-11-01,104.75,106.05,103.82,106.05,2628163.0,CBA.AX
2022-11-02,106.06,106.8,105.22,105.97,2073713.0,CBA.AX
2022-11-03,104.76,104.9,103.96,104.5,2143283.0,CBA.AX
2022-11-04,103.77,103.99,102.53,103.05,2787631.0,CBA.AX
2022-11-07,103.98,103.99,102.5,103.08,1717044.0,CBA.AX
2022-11-08,103.54,104.83,103.3,104.48,1872728.0,CBA.AX
2022-11-09,104.5,105.25,103.77,104.77,1990001.0,CBA.AX
2022-11-10,105.43,105.43,103.85,104.04,2073110.0,CBA.AX
2022-11-11,106.4,106.4,104.97,105.81,3384469.0,CBA.AX
2022-11-14,105.49,105.49,103.905,105.1,1919104.0,CBA.AX
2022-11-15,105.8,107.45,105.53,106.48,2427583.0,CBA.AX
2022-11-16,105.19,105.47,103.42,104.58,2941625.0,CBA.AX
2022-11-17,105.92,105.92,105.0,105.64,2655083.0,CBA.AX
2022-11-18,105.55,106.23,105.16,105.82,3028383.0,CBA.AX
2022-11-21,106.6,107.125,106.22,106.58,2766456.0,CBA.AX
2022-11-22,106.74,107.87,106.63,107.5,2395517.0,CBA.AX
2022-11-23,108.0,108.29,107.74,108.07,1932908.0,CBA.AX
2022-11-24,108.07,108.32,107.57,108.01,1691775.0,CBA.AX
2022-11-25,108.2,109.2,107.92,109.2,2163400.0,CBA.AX
2022-11-28,108.75,109.06,108.13,108.48,1928931.0,CBA.AX
2022-11-29,108.26,108.43,107.51,108.09,1650824.0,CBA.AX
2022-11-30,108.38,108.71,107.43,107.86,5911776.0,CBA.AX
2022-12-01,108.48,108.99,108.08,108.42,1369948.0,CBA.AX
2022-12-02,108.4,108.4,106.42,106.95,3451688.0,CBA.AX
2022-12-05,107.33,107.71,106.9,106.94,1433376.0,CBA.AX
2022-12-06,106.53,107.75,106.32,106.44,2016506.0,CBA.AX
2022-12-07,105.55,106.34,104.57,105.55,2903191.0,CBA.AX
2022-12-08,105.94,105.99,104.9,105.35,1828854.0,CBA.AX
2022-12-09,105.3,105.68,104.53,104.98,2054672.0,CBA.AX
2022-12-12,105.0,105.48,104.61,105.39,1353473.0,CBA.AX
2022-12-13,106.33,107.2,105.9,106.44,2662642.0,CBA.AX
2022-12-14,106.62,107.06,105.84,106.92,1959240.0,CBA.AX
2022-12-15,106.7,107.69,106.22,106.8,2244376.0,CBA.AX
2022-12-16,106.06,106.29,105.16,105.98,5159674.0,CBA.AX
2022-12-19,105.0,105.76,104.75,105.63,1136661.0,CBA.AX
2022-12-20,105.81,106.11,104.93,105.33,1662006.0,CBA.AX
2022-12-21,106.01,106.28,104.73,104.73,2285186.0,CBA.AX
2022-12-22,105.35,106.11,105.32,105.62,1462993.0,CBA.AX
2022-12-23,104.7,104.96,104.21,104.82,1367754.0,CBA.AX
2022-12-28,104.42,104.55,102.76,103.1,1666602.0,CBA.AX
2022-12-29,103.14,103.32,101.85,102.08,1718922.0,CBA.AX
2022-12-30,102.55,103.15,102.55,102.6,1537609.0,CBA.AX
2023-01-03,103.73,103.9,100.21,101.05,1709983.0,CBA.AX
2023-01-04,101.5,103.29,101.06,103.14,2276220.0,CBA.AX
2023-01-05,103.56,104.7,103.21,103.32,1693577.0,CBA.AX
2023-01-06,102.88,103.57,102.52,103.18,2450188.0,CBA.AX
2023-01-09,103.88,104.285,103.27,103.32,1048736.0,CBA.AX
2023-01-10,102.81,104.05,102.6,103.32,1075679.0,CBA.AX
2023-01-11,103.7,103.88,103.0,103.53,1092327.0,CBA.AX
2023-01-12,104.3,105.35,103.79,105.18,2087584.0,CBA.AX
2023-01-13,105.65,107.06,105.59,106.5,1929496.0,CBA.AX
2023-01-16,106.69,107.59,106.33,107.35,1250653.0,CBA.AX
2023-01-17,107.3,107.95,107.08,107.44,2328626.0,CBA.AX
2023-01-18,107.56,108.0,106.87,107.65,1756089.0,CBA.AX
2023-01-19,108.23,108.83,107.23,108.74,2196287.0,CBA.AX
2023-01-20,108.7,109.15,108.38,108.66,3741095.0,CBA.AX
2023-01-23,109.0,109.11,108.4,108.61,2380416.0,CBA.AX
2023-01-24,108.4,108.54,107.35,108.05,1494747.0,CBA.AX
2023-01-25,108.01,109.2,107.79,108.83,1620732.0,CBA.AX
2023-01-27,109.5,109.95,108.95,109.85,2186238.0,CBA.AX
2023-01-30,109.7,110.1,109.585,109.76,1465480.0,CBA.AX
2023-01-31,109.86,110.45,109.62,110.06,1745314.0,CBA.AX
2023-02-01,110.49,110.81,109.6,110.15,2037070.0,CBA.AX
2023-02-02,110.55,110.55,109.73,109.73,2267124.0,CBA.AX
2023-02-03,109.9,111.43,109.8,111.15,2487251.0,CBA.AX
2023-02-06,111.2,111.38,110.39,110.75,1325884.0,CBA.AX
2023-02-07,110.86,111.04,109.95,110.3,1606239.0,CBA.AX
2023-02-08,110.4,110.69,110.15,110.32,1486405.0,CBA.AX
2023-02-09,110.21,110.6,109.59,110.21,1378411.0,CBA.AX
2023-02-10,109.85,110.19,109.56,109.95,1516258.0,CBA.AX
2023-02-13,109.86,109.9,109.03,109.3,1552187.0,CBA.AX
2023-02-14,110.31,110.4,109.09,109.25,1712454.0,CBA.AX
2023-02-15,104.11,106.15,102.08,103.0,7122390.0,CBA.AX
2023-02-16,102.36,103.31,101.37,101.5,4756659.0,CBA.AX
2023-02-17,101.2,102.57,100.65,100.97,4030572.0,CBA.AX
2023-02-20,101.0,102.39,100.98,102.23,1597651.0,CBA.AX
2023-02-21,102.03,102.21,101.2,101.52,1842679.0,CBA.AX
2023-02-22,98.7,100.15,98.46,99.2,3345735.0,CBA.AX
2023-02-23,99.46,100.58,99.46,99.9,2366921.0,CBA.AX
2023-02-24,99.79,101.29,99.71,101.22,2873586.0,CBA.AX
2023-02-27,101.1,101.75,100.73,101.39,1875413.0,CBA.AX
2023-02-28,101.22,101.71,100.46,100.69,4181654.0,CBA.AX
2023-03-01,99.95,100.37,99.05,99.05,2589393.0,CBA.AX
2023-03-02,99.26,99.6,97.07,97.07,3973674.0,CBA.AX
2023-03-03,97.3,98.115,97.19,97.75,2835253.0,CBA.AX
2023-03-06,98.19,99.23,98.1,98.6,1734529.0,CBA.AX
2023-03-07,98.85,99.25,98.15,98.9,2461272.0,CBA.AX
2023-03-08,98.35,98.94,97.83,98.41,1862278.0,CBA.AX
2023-03-09,98.81,99.25,98.42,98.72,2100981.0,CBA.AX
2023-03-10,96.81,97.11,95.23,95.51,3399512.0,CBA.AX
2023-03-13,96.0,96.65,94.88,95.12,2531902.0,CBA.AX
2023-03-14,93.14,95.28,93.05,95.28,4703866.0,CBA.AX
2023-03-15,96.2,96.97,94.64,95.4,3162252.0,CBA.AX
2023-03-16,94.0,96.15,93.35,95.3,6488332.0,CBA.AX
2023-03-17,96.23,96.63,95.34,96.45,6451777.0,CBA.AX
2023-03-20,95.2,97.13,95.06,96.08,2079792.0,CBA.AX
2023-03-21,96.9,97.52,96.25,96.52,2225019.0,CBA.AX
2023-03-22,97.9,98.76,97.14,97.14,2889674.0,CBA.AX
2023-03-23,96.77,97.4,96.45,97.03,1900925.0,CBA.AX
2023-03-24,96.04,96.79,95.35,95.84,2765386.0,CBA.AX
2023-03-27,96.42,96.5,95.04,95.07,2040884.0,CBA.AX
2023-03-28,95.6,96.58,95.5,96.06,1915223.0,CBA.AX
2023-03-29,95.31,96.34,94.85,96.34,2120814.0,CBA.AX
2023-03-30,97.56,97.95,97.01,97.75,2611402.0,CBA.AX
2023-03-31,98.35,98.78,97.91,98.32,2549472.0,CBA.AX
2023-04-03,98.59,100.0,98.55,99.27,2174951.0,CBA.AX
2023-04-04,99.75,99.86,98.5,98.98,1577845.0,CBA.AX
2023-04-05,98.69,99.59,98.67,99.06,1535460.0,CBA.AX
2023-04-06,99.4,99.48,98.325,99.01,1780447.0,CBA.AX
2023-04-11,99.71,100.1,99.43,99.76,1821000.0,CBA.AX
2023-04-12,100.35,100.36,98.68,99.23,1656007.0,CBA.AX
2023-04-13,99.24,99.49,98.2,98.22,1668839.0,CBA.AX
2023-04-14,98.22,99.28,98.2,99.11,1352457.0,CBA.AX
2023-04-17,100.0,100.48,99.57,99.74,2059296.0,CBA.AX
