date,open,high,low,close,volume,ticker
2022-08-22,2.81,2.81,2.76,2.76,633295.0,CGC.AX
2022-08-23,2.74,2.74,2.66,2.67,1076404.0,CGC.AX
2022-08-24,2.68,2.73,2.66,2.71,890895.0,CGC.AX
2022-08-25,2.72,2.75,2.71,2.74,740906.0,CGC.AX
2022-08-26,2.72,2.795,2.7,2.79,1451111.0,CGC.AX
2022-08-29,2.72,2.76,2.65,2.66,1238739.0,CGC.AX
2022-08-30,2.69,2.73,2.64,2.71,1081777.0,CGC.AX
2022-08-31,2.66,2.71,2.66,2.69,949659.0,CGC.AX
2022-09-01,2.67,2.68,2.63,2.66,868805.0,CGC.AX
2022-09-02,2.66,2.69,2.62,2.64,791771.0,CGC.AX
2022-09-05,2.65,2.65,2.61,2.61,705852.0,CGC.AX
2022-09-06,2.6,2.635,2.57,2.59,1446743.0,CGC.AX
2022-09-07,2.53,2.595,2.52,2.57,1021698.0,CGC.AX
2022-09-08,2.57,2.62,2.56,2.61,1030383.0,CGC.AX
2022-09-09,2.59,2.63,2.58,2.6,876755.0,CGC.AX
2022-09-12,2.64,2.65,2.605,2.63,1203805.0,CGC.AX
2022-09-13,2.66,2.68,2.62,2.66,1042282.0,CGC.AX
2022-09-14,2.55,2.56,2.51,2.54,1257895.0,CGC.AX
2022-09-15,2.55,2.59,2.54,2.56,1163823.0,CGC.AX
2022-09-16,2.53,2.58,2.53,2.56,1321943.0,CGC.AX
2022-09-19,2.56,2.56,2.51,2.52,964805.0,CGC.AX
2022-09-20,2.54,2.6,2.525,2.6,1245920.0,CGC.AX
2022-09-21,2.59,2.61,2.57,2.6,993153.0,CGC.AX
2022-09-23,2.59,2.6,2.53,2.54,1005466.0,CGC.AX
2022-09-26,2.45,2.45,2.13,2.18,8730933.0,CGC.AX
2022-09-27,2.21,2.26,2.18,2.24,2406164.0,CGC.AX
2022-09-28,2.23,2.27,2.2,2.21,1985351.0,CGC.AX
2022-09-29,2.22,2.26,2.19,2.24,1567434.0,CGC.AX
2022-09-30,2.24,2.25,2.185,2.24,1570036.0,CGC.AX
2022-10-03,2.22,2.24,2.165,2.17,891978.0,CGC.AX
2022-10-04,2.2,2.25,2.18,2.24,1282711.0,CGC.AX
2022-10-05,2.24,2.3,2.24,2.27,947079.0,CGC.AX
2022-10-06,2.28,2.3,2.26,2.27,897288.0,CGC.AX
2022-10-07,2.27,2.28,2.24,2.24,513010.0,CGC.AX
2022-10-10,2.23,2.23,2.19,2.21,568714.0,CGC.AX
2022-10-11,2.24,2.27,2.21,2.25,988636.0,CGC.AX
2022-10-12,2.24,2.3,2.22,2.28,813877.0,CGC.AX
2022-10-13,2.27,2.295,2.26,2.28,920394.0,CGC.AX
2022-10-14,2.32,2.32,2.28,2.31,589700.0,CGC.AX
2022-10-17,2.12,2.14,1.93,2.0,11624155.0,CGC.AX
2022-10-18,2.02,2.16,2.0,2.14,7047689.0,CGC.AX
2022-10-19,2.12,2.25,2.1,2.23,5006524.0,CGC.AX
2022-10-20,2.25,2.27,2.2,2.23,2089253.0,CGC.AX
2022-10-21,2.24,2.26,2.23,2.23,1277465.0,CGC.AX
2022-10-24,2.28,2.29,2.23,2.25,1057476.0,CGC.AX
2022-10-25,2.28,2.28,2.22,2.23,775325.0,CGC.AX
2022-10-26,2.49,2.53,2.41,2.47,3927846.0,CGC.AX
2022-10-27,2.46,2.55,2.44,2.54,1851217.0,CGC.AX
2022-10-28,2.55,2.55,2.43,2.47,1319951.0,CGC.AX
2022-10-31,2.53,2.55,2.48,2.54,1943047.0,CGC.AX
2022-11-01,2.54,2.65,2.51,2.65,1622087.0,CGC.AX
2022-11-02,2.59,2.65,2.55,2.58,1933005.0,CGC.AX
2022-11-03,2.54,2.6,2.52,2.57,1226680.0,CGC.AX
2022-11-04,2.57,2.61,2.54,2.6,798704.0,CGC.AX
2022-11-07,2.6,2.62,2.59,2.62,1033073.0,CGC.AX
2022-11-08,2.6,2.63,2.57,2.59,1109615.0,CGC.AX
2022-11-09,2.6,2.64,2.6,2.63,1008805.0,CGC.AX
2022-11-10,2.63,2.66,2.62,2.64,756538.0,CGC.AX
2022-11-11,2.71,2.73,2.66,2.73,1390226.0,CGC.AX
2022-11-14,2.73,2.74,2.68,2.7,1008579.0,CGC.AX
2022-11-15,2.72,2.74,2.68,2.7,974229.0,CGC.AX
2022-11-16,2.7,2.73,2.67,2.68,673019.0,CGC.AX
2022-11-17,2.73,2.73,2.685,2.73,1137239.0,CGC.AX
2022-11-18,2.73,2.74,2.67,2.7,697901.0,CGC.AX
2022-11-21,2.73,2.75,2.69,2.74,937659.0,CGC.AX
2022-11-22,2.74,2.77,2.71,2.75,695456.0,CGC.AX
2022-11-23,2.76,2.77,2.73,2.75,1182687.0,CGC.AX
