date,open,high,low,close,volume,ticker
2022-08-22,19.34,19.395,19.2,19.35,2471273.0,COL.AX
2022-08-23,19.18,19.21,18.67,18.7,4612244.0,COL.AX
2022-08-24,18.28,18.36,17.72,17.84,9357462.0,COL.AX
2022-08-25,17.7,17.72,17.39,17.65,7966372.0,COL.AX
2022-08-26,17.5,17.87,17.49,17.65,5808747.0,COL.AX
2022-08-29,17.57,17.57,17.27,17.29,6898559.0,COL.AX
2022-08-30,17.48,17.48,17.22,17.4,6174347.0,COL.AX
2022-08-31,17.42,17.69,17.4,17.56,6092857.0,COL.AX
2022-09-01,17.48,17.91,17.47,17.77,5637906.0,COL.AX
2022-09-02,17.58,17.66,17.4,17.56,4138733.0,COL.AX
2022-09-05,17.5,17.65,17.44,17.63,2112265.0,COL.AX
2022-09-06,17.59,17.75,17.51,17.6,3159077.0,COL.AX
2022-09-07,17.52,17.61,17.4,17.45,4470361.0,COL.AX
2022-09-08,17.5,17.56,17.39,17.44,4269257.0,COL.AX
2022-09-09,17.22,17.32,17.12,17.24,3212502.0,COL.AX
2022-09-12,17.34,17.34,17.19,17.24,1615836.0,COL.AX
2022-09-13,17.26,17.33,17.17,17.29,2386531.0,COL.AX
2022-09-14,17.05,17.13,16.66,16.69,5205681.0,COL.AX
2022-09-15,16.95,16.95,16.65,16.66,3994591.0,COL.AX
2022-09-16,16.52,16.62,16.355,16.6,8002929.0,COL.AX
2022-09-19,16.59,16.74,16.53,16.72,2589272.0,COL.AX
2022-09-20,16.79,16.81,16.65,16.75,2549782.0,COL.AX
2022-09-21,16.61,16.76,16.6,16.6,2437494.0,COL.AX
2022-09-23,16.58,16.64,16.22,16.34,2967908.0,COL.AX
2022-09-26,16.18,16.72,16.14,16.66,3396624.0,COL.AX
2022-09-27,16.78,16.84,16.56,16.68,4399835.0,COL.AX
2022-09-28,16.4,16.74,16.38,16.61,6213869.0,COL.AX
2022-09-29,16.55,16.74,16.54,16.66,3688308.0,COL.AX
2022-09-30,16.62,16.71,16.42,16.43,4013938.0,COL.AX
2022-10-03,16.47,16.56,16.27,16.3,1898670.0,COL.AX
2022-10-04,16.35,16.61,16.33,16.52,2459902.0,COL.AX
2022-10-05,16.56,16.63,16.425,16.57,2974835.0,COL.AX
2022-10-06,16.44,16.48,16.3,16.43,2214316.0,COL.AX
2022-10-07,16.28,16.36,16.21,16.3,3106601.0,COL.AX
2022-10-10,16.25,16.44,16.19,16.4,2445763.0,COL.AX
2022-10-11,16.57,16.585,16.39,16.4,3368428.0,COL.AX
2022-10-12,16.43,16.57,16.35,16.35,2459383.0,COL.AX
2022-10-13,16.29,16.4,16.21,16.23,2548336.0,COL.AX
2022-10-14,16.29,16.65,16.28,16.64,3365241.0,COL.AX
2022-10-17,16.58,16.64,16.4,16.4,2498863.0,COL.AX
2022-10-18,16.46,16.68,16.45,16.57,2184234.0,COL.AX
2022-10-19,16.6,16.71,16.55,16.55,1818361.0,COL.AX
2022-10-20,16.59,16.6,16.42,16.58,2797936.0,COL.AX
2022-10-21,16.46,16.54,16.33,16.33,3067399.0,COL.AX
2022-10-24,16.54,16.61,16.45,16.48,2108928.0,COL.AX
2022-10-25,16.77,16.875,16.57,16.6,3216728.0,COL.AX
2022-10-26,16.64,16.74,16.03,16.16,5944523.0,COL.AX
2022-10-27,16.14,16.32,16.1,16.21,3280826.0,COL.AX
2022-10-28,16.2,16.3,16.12,16.27,2277006.0,COL.AX
