date,open,high,low,close,volume,ticker
2022-08-22,19.7,20.0,19.4,19.45,610024.0,CTD.AX
2022-08-23,19.12,19.17,18.77,18.78,506800.0,CTD.AX
2022-08-24,18.91,19.29,18.57,18.88,377989.0,CTD.AX
2022-08-25,19.27,19.28,18.74,18.91,475668.0,CTD.AX
2022-08-26,18.98,19.12,18.69,19.0,424611.0,CTD.AX
2022-08-29,18.43,18.67,18.15,18.4,415454.0,CTD.AX
2022-08-30,18.5,18.84,18.32,18.6,454061.0,CTD.AX
2022-08-31,18.38,19.59,18.31,19.4,591663.0,CTD.AX
2022-09-01,18.95,19.28,18.72,19.13,475300.0,CTD.AX
2022-09-02,19.2,19.41,19.03,19.15,275379.0,CTD.AX
2022-09-05,19.22,19.45,18.71,18.95,246142.0,CTD.AX
2022-09-06,18.98,19.44,18.82,19.09,460852.0,CTD.AX
2022-09-07,18.85,19.04,18.49,18.93,324020.0,CTD.AX
2022-09-08,19.17,19.52,19.08,19.52,313373.0,CTD.AX
2022-09-09,19.47,19.88,19.05,19.25,430467.0,CTD.AX
2022-09-12,19.7,19.87,19.42,19.67,277160.0,CTD.AX
2022-09-13,19.7,19.7,19.37,19.66,299867.0,CTD.AX
2022-09-14,19.14,19.35,18.87,19.33,286048.0,CTD.AX
2022-09-15,19.43,19.67,19.23,19.23,359999.0,CTD.AX
2022-09-16,18.88,19.305,18.88,19.12,612776.0,CTD.AX
2022-09-19,19.0,19.46,18.78,18.78,230875.0,CTD.AX
2022-09-20,19.2,19.57,19.06,19.19,336000.0,CTD.AX
2022-09-21,19.0,19.18,18.41,18.58,259178.0,CTD.AX
2022-09-23,18.26,18.78,17.45,17.64,491213.0,CTD.AX
2022-09-26,17.31,17.86,17.2,17.65,336724.0,CTD.AX
2022-09-27,17.57,17.63,17.28,17.51,397920.0,CTD.AX
2022-09-28,17.36,17.52,16.81,17.0,445407.0,CTD.AX
2022-09-29,17.23,17.32,16.94,17.11,554692.0,CTD.AX
2022-09-30,16.81,16.85,16.5,16.74,511596.0,CTD.AX
2022-10-03,16.25,16.55,16.02,16.4,407500.0,CTD.AX
2022-10-04,16.45,17.1,16.44,17.07,395983.0,CTD.AX
2022-10-05,17.6,17.84,17.31,17.59,499471.0,CTD.AX
2022-10-06,17.63,17.76,17.12,17.12,380655.0,CTD.AX
2022-10-07,16.83,17.22,16.83,17.09,283132.0,CTD.AX
2022-10-10,16.51,16.87,16.47,16.66,771609.0,CTD.AX
2022-10-11,16.58,17.17,16.58,17.04,429740.0,CTD.AX
2022-10-12,16.78,17.01,16.765,16.89,509584.0,CTD.AX
2022-10-13,17.06,17.14,16.44,16.44,465331.0,CTD.AX
2022-10-14,16.7,16.77,16.52,16.57,312956.0,CTD.AX
2022-10-17,16.33,16.47,16.13,16.2,405393.0,CTD.AX
2022-10-18,16.36,17.07,16.24,16.78,747599.0,CTD.AX
2022-10-19,17.19,17.5,16.92,17.24,410123.0,CTD.AX
2022-10-20,17.05,17.1,16.85,17.0,496017.0,CTD.AX
2022-10-21,16.8,17.0,16.74,16.74,251033.0,CTD.AX
2022-10-24,17.22,17.22,16.56,16.58,232825.0,CTD.AX
2022-10-25,16.73,16.99,16.57,16.99,299315.0,CTD.AX
2022-10-26,17.18,17.54,17.1,17.18,310546.0,CTD.AX
2022-10-27,17.25,17.57,16.61,17.47,490208.0,CTD.AX
2022-10-28,17.09,17.62,16.86,16.89,389017.0,CTD.AX
2022-10-31,17.43,17.58,17.14,17.47,407684.0,CTD.AX
2022-11-01,17.35,17.93,17.27,17.93,378229.0,CTD.AX
2022-11-02,18.0,18.13,17.79,17.92,355246.0,CTD.AX
2022-11-03,17.47,17.67,17.26,17.51,241351.0,CTD.AX
2022-11-04,17.2,17.59,17.2,17.56,253622.0,CTD.AX
2022-11-07,17.6,17.99,17.57,17.66,207486.0,CTD.AX
2022-11-08,17.57,17.66,17.17,17.36,336921.0,CTD.AX
2022-11-09,17.25,17.56,17.19,17.37,173711.0,CTD.AX
2022-11-10,17.33,17.38,17.05,17.12,202360.0,CTD.AX
2022-11-11,18.17,18.9,18.07,18.29,623208.0,CTD.AX
2022-11-14,18.4,18.45,17.72,17.84,418945.0,CTD.AX
2022-11-15,17.8,17.8,17.46,17.74,356681.0,CTD.AX
2022-11-16,17.68,17.73,17.47,17.57,286058.0,CTD.AX
2022-11-17,17.76,17.79,17.4,17.58,423142.0,CTD.AX
2022-11-18,17.58,17.72,16.86,16.92,695549.0,CTD.AX
2022-11-21,17.15,17.18,16.35,16.47,544076.0,CTD.AX
2022-11-22,16.7,16.79,16.17,16.51,809472.0,CTD.AX
2022-11-23,16.66,16.77,16.41,16.68,352525.0,CTD.AX
2022-11-24,16.69,16.96,16.57,16.73,688508.0,CTD.AX
2022-11-25,16.94,17.07,16.78,16.85,512693.0,CTD.AX
2022-11-28,16.97,16.97,16.53,16.53,494998.0,CTD.AX
2022-11-29,16.41,16.54,16.14,16.53,764376.0,CTD.AX
2022-11-30,16.53,16.86,16.35,16.53,959834.0,CTD.AX
2022-12-01,16.85,16.85,16.32,16.4,818180.0,CTD.AX
2022-12-02,16.34,16.39,15.44,15.44,1386196.0,CTD.AX
2022-12-05,15.51,15.79,15.06,15.31,2325712.0,CTD.AX
2022-12-06,15.16,15.25,14.94,15.19,1354337.0,CTD.AX
2022-12-07,14.93,15.0,14.54,14.61,963940.0,CTD.AX
2022-12-08,14.51,14.56,14.11,14.28,865262.0,CTD.AX
2022-12-09,14.36,14.44,14.01,14.09,513048.0,CTD.AX
2022-12-12,14.02,14.21,13.72,14.21,679414.0,CTD.AX
2022-12-13,14.43,14.83,14.14,14.76,627399.0,CTD.AX
2022-12-14,14.93,15.19,14.86,15.02,825219.0,CTD.AX
2022-12-15,14.77,15.07,14.65,14.88,476327.0,CTD.AX
2022-12-16,14.85,15.03,14.58,14.87,581853.0,CTD.AX
2022-12-19,14.8,15.03,14.76,14.99,326122.0,CTD.AX
2022-12-20,14.85,14.99,14.38,14.46,737250.0,CTD.AX
2022-12-21,14.7,14.88,14.51,14.6,519709.0,CTD.AX
2022-12-22,14.65,14.88,14.6,14.78,389324.0,CTD.AX
2022-12-23,14.71,14.82,14.54,14.67,439123.0,CTD.AX
2022-12-28,14.8,14.99,14.73,14.79,246925.0,CTD.AX
2022-12-29,14.7,14.8,14.4,14.48,304280.0,CTD.AX
2022-12-30,14.7,14.84,14.55,14.73,273090.0,CTD.AX
2023-01-03,14.89,14.91,14.68,14.73,298408.0,CTD.AX
2023-01-04,15.0,15.09,14.86,15.03,305726.0,CTD.AX
2023-01-05,15.25,15.62,15.13,15.58,418820.0,CTD.AX
2023-01-06,15.44,15.68,15.3,15.62,298160.0,CTD.AX
2023-01-09,15.78,16.04,15.76,15.89,331185.0,CTD.AX
2023-01-10,16.15,16.23,15.98,16.03,317902.0,CTD.AX
