date,open,high,low,close,volume,ticker
2022-08-22,0.91,0.935,0.88,0.905,1164377.0,CTT.AX
2022-08-23,0.88,0.88,0.74,0.765,2758596.0,CTT.AX
2022-08-24,0.77,0.88,0.77,0.88,926546.0,CTT.AX
2022-08-25,0.88,0.92,0.85,0.91,718701.0,CTT.AX
2022-08-26,0.93,0.98,0.905,0.955,1514534.0,CTT.AX
2022-08-29,0.9,0.9,0.825,0.875,1780667.0,CTT.AX
2022-08-30,0.83,1.015,0.72,0.72,5495637.0,CTT.AX
2022-08-31,0.715,0.84,0.64,0.81,2962689.0,CTT.AX
2022-09-01,0.745,0.76,0.685,0.69,1581147.0,CTT.AX
2022-09-02,0.7,0.78,0.7,0.73,1193640.0,CTT.AX
2022-09-05,0.7,0.705,0.615,0.645,1619136.0,CTT.AX
2022-09-06,0.64,0.67,0.635,0.635,676461.0,CTT.AX
2022-09-07,0.63,0.705,0.59,0.705,1670170.0,CTT.AX
2022-09-08,0.725,0.82,0.725,0.82,1113953.0,CTT.AX
2022-09-09,0.84,0.92,0.84,0.895,1226586.0,CTT.AX
2022-09-12,0.96,1.04,0.95,1.005,1875876.0,CTT.AX
2022-09-13,1.025,1.1,1.0,1.06,2261502.0,CTT.AX
2022-09-14,0.92,1.0,0.91,1.0,2297091.0,CTT.AX
2022-09-15,1.03,1.075,0.9675,0.99,826809.0,CTT.AX
2022-09-16,0.985,1.0,0.935,1.0,1556726.0,CTT.AX
2022-09-19,1.0,1.0,0.94,0.96,831148.0,CTT.AX
2022-09-20,0.945,0.965,0.92,0.93,268544.0,CTT.AX
2022-09-21,0.91,0.93,0.87,0.875,670153.0,CTT.AX
2022-09-23,0.845,0.845,0.775,0.8,949281.0,CTT.AX
2022-09-26,0.76,0.815,0.745,0.78,639688.0,CTT.AX
2022-09-27,0.82,0.82,0.77,0.79,239528.0,CTT.AX
2022-09-28,0.75,0.77,0.725,0.75,571775.0,CTT.AX
2022-09-29,0.78,0.825,0.77,0.81,946730.0,CTT.AX
2022-09-30,0.8,0.805,0.74,0.745,376311.0,CTT.AX
2022-10-03,0.755,0.755,0.705,0.71,289347.0,CTT.AX
2022-10-04,0.78,0.845,0.77,0.84,605306.0,CTT.AX
2022-10-05,0.87,0.95,0.86,0.905,1233615.0,CTT.AX
2022-10-06,0.885,0.905,0.885,0.905,264334.0,CTT.AX
2022-10-07,0.88,0.905,0.875,0.905,103627.0,CTT.AX
2022-10-10,0.89,0.89,0.835,0.835,415698.0,CTT.AX
2022-10-11,0.955,0.98,0.84,0.845,2066463.0,CTT.AX
2022-10-12,0.855,0.905,0.83,0.88,577831.0,CTT.AX
2022-10-13,0.89,1.05,0.89,1.05,1819120.0,CTT.AX
2022-10-14,1.1,1.325,1.1,1.325,4109060.0,CTT.AX
2022-10-17,1.24,1.3,1.185,1.21,3920677.0,CTT.AX
2022-10-18,1.29,1.31,1.21,1.27,1893597.0,CTT.AX
2022-10-19,1.26,1.265,1.16,1.185,1259598.0,CTT.AX
2022-10-20,1.15,1.18,1.13,1.145,1529247.0,CTT.AX
2022-10-21,1.12,1.3,1.12,1.27,1106933.0,CTT.AX
2022-10-24,1.315,1.55,1.3,1.55,2919686.0,CTT.AX
2022-10-25,1.59,1.925,1.59,1.75,5358131.0,CTT.AX
2022-10-26,1.76,1.865,1.725,1.75,1967333.0,CTT.AX
2022-10-27,1.8,1.86,1.78,1.82,1174104.0,CTT.AX
2022-10-28,1.78,1.825,1.635,1.665,2119089.0,CTT.AX
2022-10-31,1.74,1.75,1.6,1.625,783646.0,CTT.AX
2022-11-01,1.625,1.945,1.625,1.905,1685119.0,CTT.AX
2022-11-02,1.905,1.965,1.815,1.83,1002056.0,CTT.AX
2022-11-03,1.78,1.815,1.725,1.81,743610.0,CTT.AX
2022-11-04,1.76,1.82,1.7,1.775,1100594.0,CTT.AX
2022-11-07,1.815,1.95,1.765,1.85,950272.0,CTT.AX
2022-11-08,1.85,2.04,1.83,1.925,2013661.0,CTT.AX
2022-11-09,1.93,2.0,1.775,1.8,1727415.0,CTT.AX
2022-11-10,1.725,1.81,1.68,1.7,677776.0,CTT.AX
2022-11-11,1.83,1.87,1.68,1.685,1476741.0,CTT.AX
2022-11-14,1.685,1.815,1.66,1.7,2027166.0,CTT.AX
2022-11-15,1.785,1.81,1.69,1.735,1696388.0,CTT.AX
2022-11-16,1.74,1.75,1.61,1.67,1757464.0,CTT.AX
2022-11-17,1.75,1.855,1.66,1.68,2311595.0,CTT.AX
2022-11-18,1.5,1.6,1.425,1.475,3187856.0,CTT.AX
2022-11-21,1.475,1.49,1.41,1.42,1252554.0,CTT.AX
2022-11-22,1.42,1.42,1.28,1.34,1587366.0,CTT.AX
2022-11-23,1.35,1.4,1.305,1.34,617986.0,CTT.AX
2022-11-24,1.34,1.45,1.34,1.44,1679360.0,CTT.AX
