date,open,high,low,close,volume,ticker
2022-08-22,12.01,12.18,11.93,12.12,2747575.0,IGO.AX
2022-08-23,12.12,12.36,12.07,12.08,2221335.0,IGO.AX
2022-08-24,12.39,12.53,12.31,12.49,2538035.0,IGO.AX
2022-08-25,12.91,13.02,12.685,12.71,3737762.0,IGO.AX
2022-08-26,13.0,13.06,12.83,13.02,2805145.0,IGO.AX
2022-08-29,12.48,12.68,12.45,12.67,4033557.0,IGO.AX
2022-08-30,12.7,13.23,12.54,13.15,4199025.0,IGO.AX
2022-08-31,12.98,13.75,12.93,13.44,6515666.0,IGO.AX
2022-09-01,13.08,13.23,12.82,13.01,5095793.0,IGO.AX
2022-09-02,12.9,13.06,12.57,12.59,4265645.0,IGO.AX
2022-09-05,12.65,12.83,12.51,12.72,2937409.0,IGO.AX
2022-09-06,13.03,13.1,12.9,12.96,4536680.0,IGO.AX
2022-09-07,12.43,12.9,12.39,12.84,2686969.0,IGO.AX
2022-09-08,13.11,13.54,12.94,13.54,4636742.0,IGO.AX
2022-09-09,14.0,14.4,13.89,14.31,6131074.0,IGO.AX
2022-09-12,14.49,14.72,14.46,14.64,4147901.0,IGO.AX
2022-09-13,14.9,15.045,14.79,14.95,3866608.0,IGO.AX
2022-09-14,14.37,14.77,14.26,14.56,4377410.0,IGO.AX
2022-09-15,14.84,14.96,14.62,14.63,4168571.0,IGO.AX
2022-09-16,14.26,14.48,13.91,14.02,4802176.0,IGO.AX
2022-09-19,14.28,14.585,14.23,14.27,3671379.0,IGO.AX
2022-09-20,14.81,15.09,14.7,14.93,3520391.0,IGO.AX
2022-09-21,14.75,14.87,14.6,14.78,2876387.0,IGO.AX
2022-09-23,14.7,14.98,14.47,14.7,3921514.0,IGO.AX
2022-09-26,14.2,14.25,13.59,13.59,4910504.0,IGO.AX
2022-09-27,13.72,14.05,13.64,13.99,3754342.0,IGO.AX
2022-09-28,14.2,14.23,13.6,13.64,4976501.0,IGO.AX
2022-09-29,14.25,14.32,13.93,13.93,4207243.0,IGO.AX
2022-09-30,13.68,13.85,13.53,13.7,3745193.0,IGO.AX
2022-10-03,13.7,13.89,13.5,13.82,2327181.0,IGO.AX
2022-10-04,14.13,14.73,14.06,14.66,4982513.0,IGO.AX
2022-10-05,14.79,15.03,14.6,15.03,8338326.0,IGO.AX
2022-10-06,15.08,15.61,15.03,15.18,5366727.0,IGO.AX
2022-10-07,15.11,15.55,15.035,15.43,3837356.0,IGO.AX
2022-10-10,15.0,15.43,15.0,15.34,3077929.0,IGO.AX
2022-10-11,15.44,15.68,15.395,15.57,3830977.0,IGO.AX
2022-10-12,15.61,15.855,15.54,15.68,3667469.0,IGO.AX
2022-10-13,15.5,15.8,15.11,15.38,4710522.0,IGO.AX
2022-10-14,15.84,15.97,15.155,15.32,5010255.0,IGO.AX
