date,open,high,low,close,volume,ticker
2022-08-22,35.94,36.12,35.29,35.8,983199.0,JHX.AX
2022-08-23,35.15,35.39,34.26,34.34,1249629.0,JHX.AX
2022-08-24,33.46,34.96,33.46,34.29,1211935.0,JHX.AX
2022-08-25,34.54,35.2,34.03,34.73,1003275.0,JHX.AX
2022-08-26,34.55,35.02,34.19,34.66,730220.0,JHX.AX
2022-08-29,33.0,33.46,32.825,33.24,1164154.0,JHX.AX
2022-08-30,33.11,33.69,32.98,33.05,1331003.0,JHX.AX
2022-08-31,32.86,33.87,32.45,33.51,2156477.0,JHX.AX
2022-09-01,32.83,33.43,32.63,33.21,1283566.0,JHX.AX
2022-09-02,33.59,34.15,33.17,33.24,930818.0,JHX.AX
2022-09-05,33.11,34.49,33.04,33.71,731919.0,JHX.AX
2022-09-06,33.55,33.92,33.21,33.21,1107454.0,JHX.AX
2022-09-07,33.0,33.12,32.4,32.73,1345015.0,JHX.AX
2022-09-08,33.14,33.96,32.85,33.74,967852.0,JHX.AX
2022-09-09,33.32,34.31,33.32,34.05,880536.0,JHX.AX
2022-09-12,34.46,34.97,34.2,34.72,1013498.0,JHX.AX
2022-09-13,34.75,35.6,34.33,35.32,1361758.0,JHX.AX
2022-09-14,33.98,34.105,33.055,33.97,1709562.0,JHX.AX
2022-09-15,33.81,34.21,33.46,33.51,1063082.0,JHX.AX
2022-09-16,33.32,33.43,31.88,31.99,2107305.0,JHX.AX
2022-09-19,32.54,32.545,31.93,32.0,825510.0,JHX.AX
2022-09-20,32.3,32.76,32.11,32.57,1200301.0,JHX.AX
2022-09-21,31.95,32.83,31.85,32.54,1275869.0,JHX.AX
2022-09-23,31.78,31.91,30.56,30.89,1402161.0,JHX.AX
2022-09-26,30.23,31.35,29.48,31.1,1233598.0,JHX.AX
2022-09-27,30.77,31.01,30.39,30.79,1824369.0,JHX.AX
2022-09-28,30.7,31.02,30.05,30.51,956498.0,JHX.AX
2022-09-29,31.1,31.82,30.91,30.98,2229322.0,JHX.AX
2022-09-30,30.7,31.09,30.595,30.84,1295517.0,JHX.AX
2022-10-03,30.95,31.33,30.62,30.7,705838.0,JHX.AX
2022-10-04,31.35,32.08,31.29,32.08,1304675.0,JHX.AX
2022-10-05,33.99,34.82,33.58,34.29,2714491.0,JHX.AX
2022-10-06,33.87,34.23,33.1,33.57,1253488.0,JHX.AX
2022-10-07,33.3,33.81,32.92,33.47,878609.0,JHX.AX
2022-10-10,32.78,33.2,31.95,32.45,780824.0,JHX.AX
2022-10-11,33.0,33.61,32.72,32.97,898354.0,JHX.AX
2022-10-12,32.75,33.07,32.39,32.87,1287795.0,JHX.AX
2022-10-13,32.6,33.04,32.2,32.24,1139810.0,JHX.AX
2022-10-14,32.78,33.02,32.42,32.9,801201.0,JHX.AX
2022-10-17,32.0,32.19,31.37,31.4,1269051.0,JHX.AX
2022-10-18,32.34,32.64,32.01,32.47,1370994.0,JHX.AX
2022-10-19,32.74,33.33,32.6,33.16,934264.0,JHX.AX
2022-10-20,32.59,32.72,32.08,32.25,1411373.0,JHX.AX
2022-10-21,31.95,32.14,31.71,31.74,1181147.0,JHX.AX
2022-10-24,32.86,33.09,32.63,32.93,1358733.0,JHX.AX
2022-10-25,33.22,33.71,32.87,33.19,962205.0,JHX.AX
2022-10-26,33.95,34.14,33.07,33.32,835706.0,JHX.AX
2022-10-27,33.14,33.5,32.77,32.99,866124.0,JHX.AX
2022-10-28,33.21,33.75,33.14,33.46,689835.0,JHX.AX
2022-10-31,34.21,34.22,33.67,34.0,880265.0,JHX.AX
2022-11-01,33.9,34.68,33.565,34.68,793728.0,JHX.AX
2022-11-02,34.58,34.84,33.96,34.11,1374108.0,JHX.AX
2022-11-03,33.45,33.45,32.81,33.05,829873.0,JHX.AX
2022-11-04,32.72,33.69,32.4,32.97,1108129.0,JHX.AX
