date,open,high,low,close,volume,ticker
2022-08-22,4.72,4.815,4.64,4.76,344629.0,NAN.AX
2022-08-23,4.53,4.905,4.53,4.68,1982670.0,NAN.AX
2022-08-24,4.52,4.58,4.23,4.42,1939040.0,NAN.AX
2022-08-25,4.46,4.46,4.32,4.33,1512199.0,NAN.AX
2022-08-26,4.28,4.29,4.08,4.13,1018314.0,NAN.AX
2022-08-29,4.0,4.17,3.94,4.13,1342052.0,NAN.AX
2022-08-30,4.05,4.13,4.035,4.06,700928.0,NAN.AX
2022-08-31,4.04,4.18,4.02,4.12,1952691.0,NAN.AX
2022-09-01,4.12,4.18,4.1,4.12,741810.0,NAN.AX
2022-09-02,4.11,4.15,4.05,4.06,399069.0,NAN.AX
2022-09-05,4.0,4.08,3.94,4.04,604821.0,NAN.AX
2022-09-06,4.01,4.11,4.0,4.0,534348.0,NAN.AX
2022-09-07,3.94,4.01,3.91,3.94,571904.0,NAN.AX
2022-09-08,4.02,4.12,4.0,4.07,995541.0,NAN.AX
2022-09-09,4.05,4.12,4.02,4.03,705341.0,NAN.AX
2022-09-12,4.07,4.12,4.025,4.05,367588.0,NAN.AX
2022-09-13,4.08,4.15,4.05,4.13,636924.0,NAN.AX
2022-09-14,3.96,4.05,3.93,4.01,382701.0,NAN.AX
2022-09-15,4.01,4.04,3.75,3.77,924099.0,NAN.AX
2022-09-16,3.72,3.75,3.555,3.68,1358135.0,NAN.AX
2022-09-19,3.61,3.71,3.61,3.66,481440.0,NAN.AX
2022-09-20,3.65,3.73,3.62,3.64,271949.0,NAN.AX
2022-09-21,3.57,3.61,3.54,3.57,327515.0,NAN.AX
2022-09-23,3.5,3.59,3.345,3.42,850449.0,NAN.AX
2022-09-26,3.35,3.62,3.34,3.58,930191.0,NAN.AX
2022-09-27,3.56,3.58,3.48,3.49,410919.0,NAN.AX
2022-09-28,3.42,3.53,3.37,3.45,794242.0,NAN.AX
2022-09-29,3.56,3.61,3.5,3.5,573882.0,NAN.AX
2022-09-30,3.41,3.5,3.36,3.46,1010634.0,NAN.AX
2022-10-03,3.46,3.5,3.395,3.45,235271.0,NAN.AX
2022-10-04,3.46,3.55,3.43,3.51,1124906.0,NAN.AX
2022-10-05,3.56,3.78,3.525,3.74,1175273.0,NAN.AX
2022-10-06,3.68,3.8,3.66,3.8,596988.0,NAN.AX
2022-10-07,3.73,3.82,3.72,3.72,342904.0,NAN.AX
2022-10-10,3.65,3.65,3.5,3.5,265740.0,NAN.AX
2022-10-11,3.5,3.52,3.39,3.41,909153.0,NAN.AX
2022-10-12,3.36,3.43,3.315,3.39,818896.0,NAN.AX
2022-10-13,3.35,3.45,3.28,3.42,1109931.0,NAN.AX
2022-10-14,3.5,3.64,3.46,3.61,504655.0,NAN.AX
2022-10-17,3.5,3.63,3.49,3.6,235672.0,NAN.AX
2022-10-18,3.67,3.85,3.67,3.82,449259.0,NAN.AX
2022-10-19,3.85,3.91,3.81,3.87,802025.0,NAN.AX
2022-10-20,3.78,3.78,3.62,3.62,697451.0,NAN.AX
2022-10-21,3.6,3.64,3.56,3.58,381715.0,NAN.AX
2022-10-24,3.69,3.695,3.62,3.68,160682.0,NAN.AX
2022-10-25,3.78,3.79,3.72,3.77,405507.0,NAN.AX
2022-10-26,3.77,3.82,3.71,3.81,268930.0,NAN.AX
2022-10-27,3.86,3.92,3.82,3.88,283360.0,NAN.AX
2022-10-28,3.8,3.87,3.8,3.84,195936.0,NAN.AX
2022-10-31,3.97,4.12,3.95,4.11,790649.0,NAN.AX
2022-11-01,4.12,4.27,4.06,4.27,533869.0,NAN.AX
2022-11-02,4.27,4.34,4.08,4.16,401353.0,NAN.AX
2022-11-03,4.05,4.29,4.03,4.21,556821.0,NAN.AX
2022-11-04,4.09,4.27,4.05,4.27,319726.0,NAN.AX
2022-11-07,4.35,4.35,4.16,4.23,372080.0,NAN.AX
2022-11-08,4.23,4.31,4.18,4.29,283578.0,NAN.AX
2022-11-09,4.29,4.44,4.29,4.43,294220.0,NAN.AX
2022-11-10,4.31,4.43,4.31,4.36,844571.0,NAN.AX
2022-11-11,4.66,4.75,4.5,4.59,656810.0,NAN.AX
2022-11-14,4.49,4.53,4.41,4.43,573543.0,NAN.AX
2022-11-15,4.46,4.48,4.42,4.48,369271.0,NAN.AX
2022-11-16,4.42,4.47,4.38,4.39,278400.0,NAN.AX
2022-11-17,4.39,4.52,4.39,4.52,1099840.0,NAN.AX
2022-11-18,4.65,5.03,4.56,4.58,1869299.0,NAN.AX
2022-11-21,4.39,4.47,3.97,4.02,1851971.0,NAN.AX
2022-11-22,4.05,4.16,3.9,4.14,1364538.0,NAN.AX
2022-11-23,4.17,4.19,4.05,4.17,322167.0,NAN.AX
2022-11-24,4.2,4.2,4.08,4.16,285791.0,NAN.AX
2022-11-25,4.29,4.64,4.26,4.62,841099.0,NAN.AX
2022-11-28,4.62,4.69,4.535,4.66,381535.0,NAN.AX
2022-11-29,4.69,4.88,4.63,4.88,447230.0,NAN.AX
2022-11-30,4.76,4.78,4.63,4.74,635916.0,NAN.AX
2022-12-01,4.88,4.88,4.69,4.84,335898.0,NAN.AX
2022-12-02,4.8,4.86,4.71,4.86,372979.0,NAN.AX
2022-12-05,4.89,4.9,4.8,4.89,451794.0,NAN.AX
2022-12-06,4.85,4.9,4.79,4.82,736553.0,NAN.AX
2022-12-07,4.71,4.89,4.68,4.78,707989.0,NAN.AX
2022-12-08,4.82,4.84,4.75,4.75,555279.0,NAN.AX
2022-12-09,4.89,4.89,4.74,4.84,419211.0,NAN.AX
2022-12-12,4.68,4.69,4.18,4.36,1642820.0,NAN.AX
2022-12-13,4.45,4.59,4.32,4.55,2305272.0,NAN.AX
2022-12-14,4.59,4.61,4.45,4.55,1586989.0,NAN.AX
2022-12-15,4.44,4.55,4.32,4.35,1237323.0,NAN.AX
2022-12-16,4.35,4.48,4.35,4.38,6001064.0,NAN.AX
2022-12-19,4.46,4.5,4.35,4.35,398210.0,NAN.AX
2022-12-20,4.35,4.41,4.2,4.2,495780.0,NAN.AX
2022-12-21,4.26,4.34,4.21,4.28,527978.0,NAN.AX
2022-12-22,4.35,4.44,4.27,4.44,560515.0,NAN.AX
2022-12-23,4.31,4.38,4.24,4.3,252112.0,NAN.AX
2022-12-28,4.26,4.3,4.21,4.26,213772.0,NAN.AX
2022-12-29,4.29,4.29,4.2,4.26,297172.0,NAN.AX
2022-12-30,4.3,4.3,4.24,4.29,263904.0,NAN.AX
2023-01-03,4.3,4.3,4.18,4.24,187189.0,NAN.AX
2023-01-04,4.35,4.4,4.28,4.35,288990.0,NAN.AX
2023-01-05,4.41,4.42,4.31,4.32,438691.0,NAN.AX
2023-01-06,4.27,4.35,4.25,4.35,321545.0,NAN.AX
2023-01-09,4.38,4.39,4.33,4.37,421327.0,NAN.AX
2023-01-10,4.37,4.45,4.33,4.43,1603795.0,NAN.AX
2023-01-11,4.46,4.545,4.44,4.47,388683.0,NAN.AX
2023-01-12,4.56,4.63,4.52,4.58,826257.0,NAN.AX
2023-01-13,4.64,4.64,4.43,4.48,363079.0,NAN.AX
2023-01-16,4.48,4.62,4.43,4.62,484346.0,NAN.AX
2023-01-17,4.6,4.61,4.52,4.61,302065.0,NAN.AX
2023-01-18,4.64,4.77,4.61,4.74,571058.0,NAN.AX
2023-01-19,5.1,5.42,5.06,5.12,1775259.0,NAN.AX
2023-01-20,4.96,5.05,4.7,4.78,1097319.0,NAN.AX
2023-01-23,4.8,4.91,4.8,4.9,683371.0,NAN.AX
2023-01-24,4.9,4.92,4.81,4.87,1168076.0,NAN.AX
2023-01-25,4.84,4.89,4.78,4.84,674279.0,NAN.AX
2023-01-27,4.85,4.87,4.76,4.87,555322.0,NAN.AX
