date,open,high,low,close,volume,ticker
2022-08-22,1.96,2.06,1.915,2.03,1502375.0,PNV.AX
2022-08-23,1.98,2.09,1.965,1.965,1246548.0,PNV.AX
2022-08-24,1.965,2.01,1.95,2.0,851567.0,PNV.AX
2022-08-25,2.0,2.08,1.99,2.02,1172366.0,PNV.AX
2022-08-26,2.04,2.09,1.635,1.64,5482672.0,PNV.AX
2022-08-29,1.535,1.54,1.34,1.36,8158999.0,PNV.AX
2022-08-30,1.39,1.42,1.29,1.335,4293226.0,PNV.AX
2022-08-31,1.36,1.36,1.2975,1.31,2662834.0,PNV.AX
2022-09-01,1.3,1.34,1.275,1.335,2330986.0,PNV.AX
2022-09-02,1.32,1.34,1.27,1.27,1453598.0,PNV.AX
2022-09-05,1.235,1.365,1.225,1.32,2323179.0,PNV.AX
2022-09-06,1.33,1.355,1.28,1.3,1191855.0,PNV.AX
2022-09-07,1.315,1.365,1.305,1.31,897729.0,PNV.AX
2022-09-08,1.35,1.3825,1.34,1.375,1386376.0,PNV.AX
2022-09-09,1.39,1.44,1.37,1.435,1449449.0,PNV.AX
2022-09-12,1.445,1.47,1.395,1.41,1541334.0,PNV.AX
2022-09-13,1.4,1.41,1.36,1.41,875291.0,PNV.AX
2022-09-14,1.36,1.445,1.35,1.415,1798999.0,PNV.AX
2022-09-15,1.4,1.425,1.35,1.355,827073.0,PNV.AX
2022-09-16,1.375,1.38,1.335,1.355,340638.0,PNV.AX
2022-09-19,1.5,1.635,1.45,1.49,4799904.0,PNV.AX
2022-09-20,1.52,1.59,1.395,1.42,2493866.0,PNV.AX
2022-09-21,1.425,1.485,1.405,1.47,1783367.0,PNV.AX
2022-09-23,1.475,1.49,1.375,1.4,2308985.0,PNV.AX
2022-09-26,1.36,1.44,1.36,1.395,1548686.0,PNV.AX
2022-09-27,1.37,1.43,1.37,1.43,1082693.0,PNV.AX
2022-09-28,1.45,1.46,1.39,1.455,2197768.0,PNV.AX
2022-09-29,1.5,1.52,1.39,1.395,2149159.0,PNV.AX
2022-09-30,1.37,1.3875,1.285,1.3,1981287.0,PNV.AX
2022-10-03,1.28,1.385,1.28,1.33,1140596.0,PNV.AX
2022-10-04,1.35,1.455,1.35,1.445,2198522.0,PNV.AX
2022-10-05,1.47,1.47,1.395,1.465,1569500.0,PNV.AX
2022-10-06,1.5,1.805,1.495,1.805,5864433.0,PNV.AX
2022-10-07,1.77,1.835,1.675,1.75,3051164.0,PNV.AX
2022-10-10,1.72,1.73,1.645,1.66,1942818.0,PNV.AX
2022-10-11,1.695,1.78,1.69,1.76,2106207.0,PNV.AX
2022-10-12,1.755,1.78,1.685,1.69,2341429.0,PNV.AX
2022-10-13,1.69,1.775,1.67,1.715,2356887.0,PNV.AX
2022-10-14,1.76,1.78,1.675,1.72,2473596.0,PNV.AX
2022-10-17,1.7,1.815,1.685,1.775,2626214.0,PNV.AX
2022-10-18,1.835,2.01,1.81,1.995,3973018.0,PNV.AX
2022-10-19,1.945,2.01,1.91,1.97,2528454.0,PNV.AX
2022-10-20,1.93,1.975,1.905,1.935,1911053.0,PNV.AX
2022-10-21,1.93,1.96,1.815,1.92,1818515.0,PNV.AX
2022-10-24,1.97,2.02,1.935,2.01,2018229.0,PNV.AX
2022-10-25,2.02,2.1,1.945,1.945,1926348.0,PNV.AX
2022-10-26,1.975,1.975,1.82,1.875,2160596.0,PNV.AX
2022-10-27,1.88,2.01,1.88,1.98,1653038.0,PNV.AX
2022-10-28,1.96,2.0,1.92,1.955,838145.0,PNV.AX
2022-10-31,1.96,2.04,1.94,2.0,1310894.0,PNV.AX
2022-11-01,2.01,2.05,1.97,2.04,2125352.0,PNV.AX
2022-11-02,2.05,2.13,1.995,2.06,2249754.0,PNV.AX
2022-11-03,1.98,2.07,1.94,1.995,1286791.0,PNV.AX
2022-11-04,1.99,2.04,1.92,2.04,1391435.0,PNV.AX
2022-11-07,2.05,2.09,2.01,2.03,1074713.0,PNV.AX
2022-11-08,2.01,2.07,1.995,2.01,1534780.0,PNV.AX
2022-11-09,2.0,2.035,1.96,1.985,936896.0,PNV.AX
2022-11-10,1.97,1.975,1.91,1.91,1156344.0,PNV.AX
2022-11-11,1.98,2.0,1.92,1.99,11991563.0,PNV.AX
2022-11-14,2.0,2.14,1.98,2.12,2086990.0,PNV.AX
2022-11-15,2.09,2.14,2.07,2.13,1342067.0,PNV.AX
2022-11-16,2.12,2.18,2.06,2.18,973770.0,PNV.AX
2022-11-17,2.18,2.18,2.12,2.16,783424.0,PNV.AX
2022-11-18,2.15,2.16,2.1,2.1,788321.0,PNV.AX
2022-11-21,2.12,2.18,2.08,2.09,839142.0,PNV.AX
2022-11-22,2.09,2.09,2.09,2.09,0.0,PNV.AX
2022-11-23,2.0,2.0,1.9,1.905,3259049.0,PNV.AX
2022-11-24,1.9,1.95,1.9,1.905,1695922.0,PNV.AX
2022-11-25,1.905,1.99,1.905,1.955,1852517.0,PNV.AX
2022-11-28,1.95,1.97,1.885,1.915,2206831.0,PNV.AX
2022-11-29,1.9,2.01,1.9,1.94,1859859.0,PNV.AX
2022-11-30,1.94,2.02,1.925,2.02,2129189.0,PNV.AX
2022-12-01,2.03,2.08,2.01,2.03,1405384.0,PNV.AX
2022-12-02,2.03,2.05,1.99,1.99,1050866.0,PNV.AX
2022-12-05,1.97,2.01,1.935,1.935,1313232.0,PNV.AX
2022-12-06,1.93,1.99,1.93,1.94,1686527.0,PNV.AX
2022-12-07,1.935,1.955,1.9,1.9,1834988.0,PNV.AX
2022-12-08,1.905,1.95,1.905,1.935,2008042.0,PNV.AX
2022-12-09,1.94,1.98,1.93,1.945,1646951.0,PNV.AX
2022-12-12,1.935,1.985,1.9,1.96,1324555.0,PNV.AX
2022-12-13,1.95,2.06,1.94,2.04,2012318.0,PNV.AX
2022-12-14,2.06,2.1,2.015,2.08,1622712.0,PNV.AX
2022-12-15,2.08,2.08,2.0,2.0,1323993.0,PNV.AX
2022-12-16,2.01,2.09,1.985,2.05,1803772.0,PNV.AX
2022-12-19,2.04,2.04,1.91,1.91,1542287.0,PNV.AX
2022-12-20,1.93,1.93,1.805,1.805,1786533.0,PNV.AX
2022-12-21,1.85,1.885,1.825,1.855,1644395.0,PNV.AX
2022-12-22,1.855,1.92,1.85,1.905,711735.0,PNV.AX
2022-12-23,1.89,1.95,1.865,1.94,840206.0,PNV.AX
2022-12-28,1.945,1.975,1.905,1.975,755717.0,PNV.AX
2022-12-29,1.98,2.03,1.95,1.96,981558.0,PNV.AX
2022-12-30,1.96,2.04,1.96,2.02,487036.0,PNV.AX
2023-01-03,2.04,2.07,1.97,2.04,705788.0,PNV.AX
2023-01-04,2.06,2.09,2.01,2.02,1262081.0,PNV.AX
2023-01-05,2.04,2.17,2.02,2.17,2281785.0,PNV.AX
2023-01-06,2.16,2.2,2.12,2.16,1097417.0,PNV.AX
2023-01-09,2.17,2.3,2.16,2.3,2684705.0,PNV.AX
2023-01-10,2.3,2.53,2.27,2.5,4774214.0,PNV.AX
2023-01-11,2.47,2.48,2.35,2.44,3284802.0,PNV.AX
2023-01-12,2.44,2.53,2.44,2.53,2022252.0,PNV.AX
2023-01-13,2.53,2.58,2.48,2.54,2540893.0,PNV.AX
2023-01-16,2.61,2.65,2.515,2.59,3064264.0,PNV.AX
2023-01-17,2.55,2.56,2.4,2.42,2459004.0,PNV.AX
