date,open,high,low,close,volume,ticker
2022-08-22,0.64,0.65,0.64,0.64,38811.0,RZI.AX
2022-08-23,0.62,0.645,0.62,0.64,21687.0,RZI.AX
2022-08-24,0.64,0.65,0.64,0.64,89245.0,RZI.AX
2022-08-25,0.64,0.695,0.64,0.65,55346.0,RZI.AX
2022-08-26,0.65,0.65,0.62,0.62,43852.0,RZI.AX
2022-08-29,0.62,0.62,0.59,0.6,79481.0,RZI.AX
2022-08-30,0.6,0.6,0.585,0.585,25652.0,RZI.AX
2022-08-31,0.585,0.62,0.58,0.615,68245.0,RZI.AX
2022-09-01,0.58,0.61,0.58,0.61,28362.0,RZI.AX
2022-09-02,0.61,0.61,0.57,0.57,146109.0,RZI.AX
2022-09-05,0.57,0.585,0.565,0.57,12365.0,RZI.AX
2022-09-06,0.6,0.6,0.49,0.52,673720.0,RZI.AX
2022-09-07,0.515,0.52,0.49,0.49,818612.0,RZI.AX
2022-09-08,0.49,0.51,0.49,0.5,117787.0,RZI.AX
2022-09-09,0.535,0.57,0.535,0.55,76920.0,RZI.AX
2022-09-12,0.55,0.56,0.505,0.56,114679.0,RZI.AX
2022-09-13,0.55,0.595,0.545,0.55,60850.0,RZI.AX
2022-09-14,0.535,0.56,0.52,0.55,72765.0,RZI.AX
2022-09-15,0.53,0.5375,0.53,0.53,47724.0,RZI.AX
2022-09-16,0.53,0.55,0.53,0.54,24424.0,RZI.AX
2022-09-19,0.53,0.55,0.53,0.54,16154.0,RZI.AX
2022-09-20,0.53,0.53,0.53,0.53,17554.0,RZI.AX
2022-09-21,0.535,0.535,0.51,0.51,20297.0,RZI.AX
2022-09-23,0.515,0.515,0.495,0.5,30365.0,RZI.AX
2022-09-26,0.475,0.52,0.42,0.48,431574.0,RZI.AX
2022-09-27,0.52,0.52,0.5,0.5,23568.0,RZI.AX
2022-09-28,0.505,0.54,0.505,0.52,41024.0,RZI.AX
2022-09-29,0.52,0.53,0.5,0.515,45540.0,RZI.AX
2022-09-30,0.52,0.52,0.5,0.5,8774.0,RZI.AX
2022-10-03,0.495,0.515,0.49,0.49,26515.0,RZI.AX
2022-10-04,0.5,0.5,0.49,0.49,23653.0,RZI.AX
2022-10-05,0.5,0.515,0.5,0.51,32855.0,RZI.AX
2022-10-06,0.5,0.51,0.5,0.5,24734.0,RZI.AX
2022-10-07,0.5,0.52,0.5,0.51,24939.0,RZI.AX
2022-10-10,0.52,0.52,0.5,0.505,17654.0,RZI.AX
2022-10-11,0.505,0.52,0.505,0.52,8202.0,RZI.AX
2022-10-12,0.52,0.525,0.51,0.525,6134.0,RZI.AX
2022-10-13,0.52,0.525,0.52,0.52,21832.0,RZI.AX
2022-10-14,0.52,0.52,0.51,0.52,16150.0,RZI.AX
2022-10-17,0.51,0.525,0.51,0.52,13444.0,RZI.AX
2022-10-18,0.52,0.555,0.52,0.535,19659.0,RZI.AX
