date,open,high,low,close,volume,ticker
2022-08-22,4.12,4.19,4.11,4.18,19296035.0,S32.AX
2022-08-23,4.18,4.2,4.12,4.12,15454219.0,S32.AX
2022-08-24,4.21,4.25,4.165,4.23,18170274.0,S32.AX
2022-08-25,4.43,4.44,4.25,4.27,25222302.0,S32.AX
2022-08-26,4.35,4.37,4.23,4.23,18372890.0,S32.AX
2022-08-29,4.11,4.16,4.06,4.09,20485678.0,S32.AX
2022-08-30,4.13,4.185,4.12,4.15,19946313.0,S32.AX
2022-08-31,4.04,4.165,4.02,4.15,26979186.0,S32.AX
2022-09-01,4.06,4.14,4.06,4.06,15879511.0,S32.AX
2022-09-02,3.99,4.06,3.96,4.0,21763070.0,S32.AX
2022-09-05,4.07,4.17,4.05,4.15,15290141.0,S32.AX
2022-09-06,4.16,4.23,4.12,4.14,16405835.0,S32.AX
2022-09-07,4.09,4.1,4.01,4.05,22255349.0,S32.AX
2022-09-08,4.07,4.11,4.03,4.11,27376574.0,S32.AX
2022-09-09,4.15,4.28,4.13,4.25,24262432.0,S32.AX
2022-09-12,4.36,4.36,4.24,4.25,15002494.0,S32.AX
2022-09-13,4.31,4.36,4.26,4.31,46967257.0,S32.AX
2022-09-14,4.18,4.32,4.165,4.32,22671853.0,S32.AX
2022-09-15,4.02,4.065,3.88,4.0,41923080.0,S32.AX
2022-09-16,3.95,3.99,3.86,3.88,39583582.0,S32.AX
2022-09-19,3.97,3.99,3.91,3.91,18546599.0,S32.AX
2022-09-20,3.99,4.05,3.93,4.02,17597339.0,S32.AX
2022-09-21,3.93,3.96,3.86,3.9,18148825.0,S32.AX
2022-09-23,3.91,3.92,3.84,3.86,17612335.0,S32.AX
2022-09-26,3.7,3.73,3.58,3.59,24902143.0,S32.AX
2022-09-27,3.64,3.74,3.63,3.7,21754859.0,S32.AX
2022-09-28,3.78,3.8,3.64,3.66,19310665.0,S32.AX
2022-09-29,3.81,3.81,3.65,3.66,27149712.0,S32.AX
2022-09-30,3.68,3.7,3.63,3.63,32911358.0,S32.AX
2022-10-03,3.61,3.66,3.53,3.56,22216180.0,S32.AX
2022-10-04,3.69,3.78,3.655,3.75,38308643.0,S32.AX
2022-10-05,3.82,3.89,3.81,3.89,23021451.0,S32.AX
2022-10-06,3.85,3.93,3.85,3.9,32283674.0,S32.AX
2022-10-07,3.85,3.905,3.84,3.84,15682634.0,S32.AX
2022-10-10,3.83,3.84,3.78,3.78,13490172.0,S32.AX
2022-10-11,3.76,3.8,3.65,3.67,23698787.0,S32.AX
2022-10-12,3.65,3.73,3.65,3.7,24123802.0,S32.AX
2022-10-13,3.76,3.82,3.74,3.75,18057413.0,S32.AX
2022-10-14,3.84,3.86,3.79,3.84,14334721.0,S32.AX
2022-10-17,3.75,3.76,3.72,3.76,26805683.0,S32.AX
2022-10-18,3.81,3.86,3.775,3.85,18664493.0,S32.AX
2022-10-19,3.84,3.85,3.75,3.77,20553269.0,S32.AX
2022-10-20,3.72,3.73,3.6,3.67,44037696.0,S32.AX
2022-10-21,3.67,3.73,3.65,3.72,23257302.0,S32.AX
2022-10-24,3.77,3.84,3.64,3.65,33026474.0,S32.AX
2022-10-25,3.63,3.64,3.515,3.6,30131026.0,S32.AX
2022-10-26,3.62,3.7,3.605,3.64,21514966.0,S32.AX
2022-10-27,3.69,3.835,3.69,3.75,22489693.0,S32.AX
2022-10-28,3.69,3.72,3.6,3.6,16559143.0,S32.AX
2022-10-31,3.62,3.64,3.58,3.6,16747416.0,S32.AX
2022-11-01,3.63,3.725,3.63,3.72,14557393.0,S32.AX
2022-11-02,3.76,3.82,3.76,3.8,19728507.0,S32.AX
2022-11-03,3.66,3.71,3.66,3.68,17288046.0,S32.AX
2022-11-04,3.67,3.81,3.67,3.81,18482809.0,S32.AX
2022-11-07,3.96,3.97,3.86,3.95,17011184.0,S32.AX
2022-11-08,3.97,4.0,3.89,3.9,19604647.0,S32.AX
2022-11-09,4.0,4.0,3.92,3.92,22733923.0,S32.AX
2022-11-10,3.88,3.915,3.86,3.87,15185432.0,S32.AX
2022-11-11,4.04,4.09,3.995,4.09,23467753.0,S32.AX
2022-11-14,4.2,4.33,4.19,4.33,34307465.0,S32.AX
2022-11-15,4.2,4.28,4.2,4.28,20449389.0,S32.AX
2022-11-16,4.26,4.3,4.215,4.22,17879974.0,S32.AX
2022-11-17,4.16,4.17,3.99,4.0,27549550.0,S32.AX
2022-11-18,4.02,4.04,3.91,3.91,20865856.0,S32.AX
2022-11-21,3.89,3.91,3.815,3.85,23343428.0,S32.AX
2022-11-22,3.86,3.99,3.82,3.93,27870570.0,S32.AX
2022-11-23,4.0,4.02,3.97,4.01,12165904.0,S32.AX
2022-11-24,4.03,4.07,4.0,4.0,12637483.0,S32.AX
2022-11-25,4.05,4.05,3.995,4.02,10315454.0,S32.AX
2022-11-28,3.92,3.98,3.91,3.95,14526811.0,S32.AX
2022-11-29,3.96,4.07,3.905,4.07,22124678.0,S32.AX
2022-11-30,4.05,4.08,4.015,4.02,28713420.0,S32.AX
2022-12-01,4.16,4.32,4.15,4.29,34410284.0,S32.AX
2022-12-02,4.2,4.29,4.19,4.19,22760263.0,S32.AX
2022-12-05,4.31,4.37,4.29,4.34,24370952.0,S32.AX
2022-12-06,4.2,4.36,4.19,4.3,25169601.0,S32.AX
2022-12-07,4.33,4.39,4.32,4.33,24797008.0,S32.AX
2022-12-08,4.26,4.28,4.095,4.11,33483440.0,S32.AX
2022-12-09,4.14,4.24,4.14,4.19,16644968.0,S32.AX
2022-12-12,4.18,4.19,4.1,4.1,17689444.0,S32.AX
2022-12-13,4.13,4.13,4.06,4.06,17533878.0,S32.AX
2022-12-14,4.17,4.24,4.15,4.21,17683799.0,S32.AX
2022-12-15,4.2,4.23,4.15,4.19,15563307.0,S32.AX
2022-12-16,4.15,4.195,4.1,4.1,31134213.0,S32.AX
2022-12-19,4.12,4.18,4.12,4.13,9803846.0,S32.AX
2022-12-20,4.06,4.1,4.02,4.03,14738121.0,S32.AX
2022-12-21,4.05,4.15,4.015,4.1,14703043.0,S32.AX
2022-12-22,4.16,4.18,4.09,4.1,16292808.0,S32.AX
2022-12-23,4.08,4.11,4.06,4.07,9091070.0,S32.AX
2022-12-28,4.08,4.115,4.06,4.11,9109289.0,S32.AX
2022-12-29,4.05,4.065,3.96,3.99,14383064.0,S32.AX
2022-12-30,4.03,4.06,3.975,4.0,12388056.0,S32.AX
2023-01-03,4.02,4.03,3.91,3.94,10515163.0,S32.AX
2023-01-04,3.99,4.07,3.98,4.07,12362739.0,S32.AX
2023-01-05,4.12,4.13,4.06,4.07,13388326.0,S32.AX
2023-01-06,4.11,4.26,4.11,4.25,18456584.0,S32.AX
2023-01-09,4.38,4.45,4.365,4.41,20074007.0,S32.AX
2023-01-10,4.43,4.5,4.43,4.45,15716687.0,S32.AX
2023-01-11,4.47,4.545,4.45,4.5,16870817.0,S32.AX
2023-01-12,4.55,4.63,4.52,4.55,15574405.0,S32.AX
2023-01-13,4.57,4.64,4.56,4.6,20241643.0,S32.AX
2023-01-16,4.65,4.72,4.64,4.7,15591090.0,S32.AX
2023-01-17,4.62,4.64,4.5,4.56,19491001.0,S32.AX
2023-01-18,4.54,4.55,4.48,4.51,19967385.0,S32.AX
2023-01-19,4.53,4.58,4.505,4.56,18125535.0,S32.AX
2023-01-20,4.6,4.615,4.555,4.57,25270418.0,S32.AX
2023-01-23,4.52,4.67,4.52,4.63,19139841.0,S32.AX
2023-01-24,4.72,4.87,4.7,4.83,19713251.0,S32.AX
2023-01-25,4.83,4.84,4.74,4.76,16506843.0,S32.AX
2023-01-27,4.65,4.71,4.63,4.71,25854453.0,S32.AX
2023-01-30,4.73,4.74,4.645,4.67,13413638.0,S32.AX
2023-01-31,4.62,4.655,4.53,4.54,23492653.0,S32.AX
2023-02-01,4.61,4.65,4.595,4.63,13912353.0,S32.AX
2023-02-02,4.73,4.815,4.7,4.72,20550756.0,S32.AX
2023-02-03,4.6,4.755,4.6,4.68,18966172.0,S32.AX
2023-02-06,4.63,4.68,4.58,4.61,7988953.0,S32.AX
2023-02-07,4.63,4.7,4.62,4.64,14449945.0,S32.AX
2023-02-08,4.68,4.75,4.68,4.74,17160560.0,S32.AX
2023-02-09,4.68,4.72,4.66,4.69,13261399.0,S32.AX
2023-02-10,4.68,4.69,4.58,4.58,13638584.0,S32.AX
2023-02-13,4.6,4.64,4.54,4.58,20136910.0,S32.AX
2023-02-14,4.67,4.68,4.63,4.64,13282276.0,S32.AX
2023-02-15,4.7,4.71,4.6,4.62,13954404.0,S32.AX
2023-02-16,4.58,4.675,4.45,4.66,17794357.0,S32.AX
2023-02-17,4.77,4.78,4.5,4.53,21640022.0,S32.AX
2023-02-20,4.52,4.53,4.42,4.48,14512393.0,S32.AX
2023-02-21,4.44,4.61,4.44,4.58,16070906.0,S32.AX
2023-02-22,4.59,4.63,4.57,4.59,13320499.0,S32.AX
2023-02-23,4.5,4.54,4.46,4.51,16150077.0,S32.AX
2023-02-24,4.49,4.52,4.41,4.41,19910441.0,S32.AX
2023-02-27,4.32,4.365,4.27,4.29,14611062.0,S32.AX
2023-02-28,4.38,4.4,4.31,4.34,20308818.0,S32.AX
2023-03-01,4.33,4.49,4.33,4.47,14456219.0,S32.AX
2023-03-02,4.6,4.72,4.55,4.7,46319078.0,S32.AX
2023-03-03,4.67,4.76,4.67,4.76,14323218.0,S32.AX
2023-03-06,4.81,4.82,4.675,4.72,19219962.0,S32.AX
2023-03-07,4.65,4.67,4.59,4.63,16814055.0,S32.AX
2023-03-08,4.53,4.55,4.49,4.53,13512430.0,S32.AX
2023-03-09,4.5,4.5,4.42,4.48,21271780.0,S32.AX
2023-03-10,4.4,4.42,4.3,4.33,17111410.0,S32.AX
2023-03-13,4.32,4.33,4.24,4.29,17586102.0,S32.AX
2023-03-14,4.23,4.23,4.13,4.16,20038224.0,S32.AX
2023-03-15,4.21,4.26,4.18,4.2,16139961.0,S32.AX
2023-03-16,3.93,4.07,3.93,4.0,34664163.0,S32.AX
2023-03-17,4.02,4.15,4.01,4.15,46606422.0,S32.AX
2023-03-20,4.12,4.16,4.01,4.02,13225407.0,S32.AX
