date,open,high,low,close,volume,ticker
2022-08-22,14.08,14.16,14.03,14.13,3666554.0,TCL.AX
2022-08-23,14.02,14.07,13.91,13.97,4079951.0,TCL.AX
2022-08-24,14.0,14.03,13.9,13.92,4536471.0,TCL.AX
2022-08-25,13.9,13.98,13.84,13.92,3926795.0,TCL.AX
2022-08-26,13.91,14.04,13.85,13.88,3448003.0,TCL.AX
2022-08-29,13.77,13.97,13.76,13.88,4974400.0,TCL.AX
2022-08-30,13.81,14.03,13.77,13.97,3723766.0,TCL.AX
2022-08-31,13.89,14.07,13.87,13.96,6702194.0,TCL.AX
2022-09-01,13.76,13.905,13.73,13.85,4967577.0,TCL.AX
2022-09-02,13.92,13.92,13.78,13.8,3003145.0,TCL.AX
2022-09-05,13.81,13.85,13.72,13.81,2669092.0,TCL.AX
2022-09-06,13.92,13.94,13.71,13.71,3233485.0,TCL.AX
2022-09-07,13.7,13.82,13.5,13.6,4996162.0,TCL.AX
2022-09-08,13.64,13.89,13.64,13.85,4745289.0,TCL.AX
2022-09-09,13.72,13.875,13.72,13.84,4007240.0,TCL.AX
2022-09-12,13.91,13.91,13.795,13.88,2711907.0,TCL.AX
2022-09-13,14.02,14.02,13.82,13.9,2263139.0,TCL.AX
2022-09-14,13.45,13.6,13.35,13.4,6374954.0,TCL.AX
2022-09-15,13.22,13.45,13.22,13.37,7330357.0,TCL.AX
2022-09-16,13.32,13.35,13.04,13.04,11676551.0,TCL.AX
2022-09-19,13.03,13.16,12.93,13.16,4324437.0,TCL.AX
2022-09-20,13.25,13.3,13.135,13.27,3892449.0,TCL.AX
2022-09-21,13.2,13.33,13.04,13.05,3596493.0,TCL.AX
2022-09-23,12.85,13.01,12.85,12.91,5112770.0,TCL.AX
2022-09-26,12.85,13.13,12.82,13.03,4302383.0,TCL.AX
2022-09-27,12.9,13.04,12.9,12.97,6446042.0,TCL.AX
2022-09-28,12.86,13.07,12.86,12.98,5264240.0,TCL.AX
2022-09-29,13.1,13.13,12.99,13.0,5051677.0,TCL.AX
2022-09-30,12.95,12.96,12.34,12.34,14708183.0,TCL.AX
2022-10-03,12.42,12.52,12.26,12.38,5289722.0,TCL.AX
2022-10-04,12.58,12.75,12.46,12.75,6301065.0,TCL.AX
2022-10-05,12.78,12.94,12.75,12.86,6712391.0,TCL.AX
2022-10-06,12.88,12.94,12.8,12.88,3700465.0,TCL.AX
2022-10-07,12.57,12.815,12.57,12.65,4565899.0,TCL.AX
2022-10-10,12.43,12.62,12.43,12.55,3332700.0,TCL.AX
2022-10-11,12.6,12.67,12.52,12.61,4917445.0,TCL.AX
2022-10-12,12.51,12.63,12.47,12.56,6264456.0,TCL.AX
2022-10-13,12.55,12.55,12.41,12.44,8337769.0,TCL.AX
2022-10-14,12.51,12.57,12.45,12.54,3525099.0,TCL.AX
2022-10-17,12.38,12.48,12.28,12.28,3824740.0,TCL.AX
2022-10-18,12.4,12.6,12.4,12.55,3562562.0,TCL.AX
