date,open,high,low,close,volume,ticker
2022-08-22,4.15,4.17,4.11,4.15,30469820.0,TLS.AX
2022-08-23,4.14,4.16,4.11,4.13,33447641.0,TLS.AX
2022-08-24,4.05,4.06,4.01,4.03,27611330.0,TLS.AX
2022-08-25,4.05,4.05,4.01,4.03,21711561.0,TLS.AX
2022-08-26,4.02,4.05,4.01,4.03,22455920.0,TLS.AX
2022-08-29,3.98,4.0,3.95,3.99,27231381.0,TLS.AX
2022-08-30,4.0,4.03,3.98,3.98,27542260.0,TLS.AX
2022-08-31,3.98,4.0,3.96,3.97,35395289.0,TLS.AX
2022-09-01,3.92,3.97,3.92,3.95,24843131.0,TLS.AX
2022-09-02,3.95,3.98,3.93,3.94,26085131.0,TLS.AX
2022-09-05,3.94,3.955,3.89,3.89,14364720.0,TLS.AX
2022-09-06,3.88,3.92,3.875,3.89,18744449.0,TLS.AX
2022-09-07,3.89,3.92,3.84,3.92,38642680.0,TLS.AX
2022-09-08,3.9,3.95,3.89,3.94,16426811.0,TLS.AX
2022-09-09,3.93,3.94,3.91,3.92,18726029.0,TLS.AX
2022-09-12,3.93,3.95,3.92,3.94,12557710.0,TLS.AX
2022-09-13,3.96,3.98,3.945,3.98,17502590.0,TLS.AX
2022-09-14,3.9,3.93,3.88,3.88,20628490.0,TLS.AX
2022-09-15,3.9,3.91,3.86,3.86,30114490.0,TLS.AX
2022-09-16,3.82,3.84,3.8,3.81,36432820.0,TLS.AX
2022-09-19,3.8,3.82,3.78,3.79,17897199.0,TLS.AX
2022-09-20,3.81,3.83,3.8,3.8,18795131.0,TLS.AX
2022-09-21,3.76,3.86,3.76,3.84,26783100.0,TLS.AX
2022-09-23,3.82,3.835,3.75,3.77,28819391.0,TLS.AX
2022-09-26,3.74,3.77,3.71,3.76,18869619.0,TLS.AX
2022-09-27,3.77,3.78,3.72,3.72,27897520.0,TLS.AX
2022-09-28,3.69,3.83,3.69,3.82,38348379.0,TLS.AX
2022-09-29,3.86,3.91,3.85,3.88,30426141.0,TLS.AX
2022-09-30,3.87,3.89,3.83,3.85,47105871.0,TLS.AX
2022-10-03,3.86,3.89,3.8,3.84,21996600.0,TLS.AX
2022-10-04,3.87,3.88,3.81,3.85,23966980.0,TLS.AX
2022-10-05,3.86,3.87,3.82,3.85,27633760.0,TLS.AX
2022-10-06,3.82,3.87,3.81,3.87,16594900.0,TLS.AX
2022-10-07,3.84,3.85,3.81,3.84,22177199.0,TLS.AX
2022-10-10,3.81,3.845,3.81,3.82,19751061.0,TLS.AX
2022-10-11,3.84,3.88,3.83,3.83,21358461.0,TLS.AX
2022-10-12,3.84,3.86,3.82,3.82,23896619.0,TLS.AX
2022-10-13,3.81,3.83,3.8,3.8,20337279.0,TLS.AX
2022-10-14,3.83,3.86,3.83,3.84,13339330.0,TLS.AX
2022-10-17,3.81,3.82,3.77,3.79,19037010.0,TLS.AX
2022-10-18,3.81,3.86,3.795,3.85,25570520.0,TLS.AX
2022-10-19,3.86,3.885,3.85,3.88,18875070.0,TLS.AX
2022-10-20,3.86,3.87,3.82,3.85,23574420.0,TLS.AX
2022-10-21,3.81,3.85,3.79,3.85,7380240.0,TLS.AX
2022-10-24,3.83,3.85,3.79,3.81,11114439.0,TLS.AX
2022-10-25,3.85,3.87,3.84,3.87,13186750.0,TLS.AX
2022-10-26,3.88,3.9,3.86,3.89,13473582.0,TLS.AX
2022-10-27,3.93,3.95,3.85,3.85,15930296.0,TLS.AX
2022-10-28,3.85,3.9,3.85,3.86,8244940.0,TLS.AX
2022-10-31,3.9,3.94,3.88,3.92,15555671.0,TLS.AX
2022-11-01,3.9,3.93,3.83,3.93,15244010.0,TLS.AX
2022-11-02,3.91,3.92,3.875,3.89,18187090.0,TLS.AX
2022-11-03,3.85,3.97,3.85,3.94,21272590.0,TLS.AX
2022-11-04,3.91,3.94,3.87,3.9,24406721.0,TLS.AX
2022-11-07,3.88,3.93,3.87,3.92,15500070.0,TLS.AX
2022-11-08,3.91,3.95,3.89,3.94,18885230.0,TLS.AX
2022-11-09,3.95,3.98,3.93,3.93,15577330.0,TLS.AX
2022-11-10,3.94,3.98,3.93,3.96,16664080.0,TLS.AX
2022-11-11,4.0,4.02,3.98,4.0,28990789.0,TLS.AX
2022-11-14,3.96,3.97,3.85,3.86,38243809.0,TLS.AX
2022-11-15,3.88,3.885,3.835,3.88,35285281.0,TLS.AX
2022-11-16,3.84,3.86,3.82,3.84,20192920.0,TLS.AX
2022-11-17,3.89,3.92,3.865,3.88,26263070.0,TLS.AX
2022-11-18,3.9,3.95,3.89,3.94,12817470.0,TLS.AX
2022-11-21,3.95,3.96,3.91,3.91,13881750.0,TLS.AX
2022-11-22,3.91,3.955,3.91,3.93,14466210.0,TLS.AX
2022-11-23,3.95,3.96,3.93,3.96,15520130.0,TLS.AX
2022-11-24,3.97,3.97,3.93,3.94,13548130.0,TLS.AX
2022-11-25,3.96,4.01,3.95,4.0,11407660.0,TLS.AX
2022-11-28,4.0,4.03,3.97,4.01,16491350.0,TLS.AX
2022-11-29,4.0,4.04,3.99,4.0,18474711.0,TLS.AX
2022-11-30,3.99,4.0,3.94,3.98,52961207.0,TLS.AX
2022-12-01,4.0,4.0,3.96,3.98,16759770.0,TLS.AX
2022-12-02,4.0,4.02,3.97,4.0,19596490.0,TLS.AX
2022-12-05,4.0,4.03,3.98,4.01,15862610.0,TLS.AX
2022-12-06,4.04,4.08,4.03,4.03,24543949.0,TLS.AX
2022-12-07,4.02,4.025,3.97,4.01,25280150.0,TLS.AX
2022-12-08,4.0,4.005,3.96,3.99,15904500.0,TLS.AX
2022-12-09,3.99,4.01,3.975,4.0,15286240.0,TLS.AX
2022-12-12,4.0,4.02,3.98,4.0,16780660.0,TLS.AX
2022-12-13,4.02,4.035,4.01,4.03,20284369.0,TLS.AX
2022-12-14,4.04,4.09,4.02,4.08,29890631.0,TLS.AX
2022-12-15,4.08,4.08,4.03,4.08,28435500.0,TLS.AX
2022-12-16,4.04,4.08,4.04,4.05,28752779.0,TLS.AX
2022-12-19,4.06,4.07,4.03,4.05,15511660.0,TLS.AX
2022-12-20,4.04,4.06,4.01,4.04,22235820.0,TLS.AX
2022-12-21,4.03,4.06,4.01,4.02,19497789.0,TLS.AX
2022-12-22,4.04,4.04,4.01,4.02,15870070.0,TLS.AX
2022-12-23,4.03,4.05,4.0,4.04,9139821.0,TLS.AX
2022-12-28,4.04,4.05,3.99,4.01,9026123.0,TLS.AX
2022-12-29,4.02,4.02,3.97,3.98,9103081.0,TLS.AX
2022-12-30,3.99,4.01,3.98,3.99,10619940.0,TLS.AX
2023-01-03,3.98,4.0,3.94,3.95,10599440.0,TLS.AX
2023-01-04,3.99,4.01,3.97,3.97,12218330.0,TLS.AX
2023-01-05,4.01,4.03,3.97,3.97,15528730.0,TLS.AX
2023-01-06,4.0,4.0,3.95,3.97,10400230.0,TLS.AX
2023-01-09,3.98,4.0,3.96,3.97,12224470.0,TLS.AX
2023-01-10,3.97,3.99,3.955,3.96,11619920.0,TLS.AX
2023-01-11,3.97,3.985,3.95,3.97,16529580.0,TLS.AX
2023-01-12,3.98,4.02,3.97,4.01,18280330.0,TLS.AX
2023-01-13,4.02,4.04,4.0,4.02,15915840.0,TLS.AX
2023-01-16,4.03,4.04,4.005,4.02,11200690.0,TLS.AX
2023-01-17,4.02,4.1,4.01,4.09,21254801.0,TLS.AX
2023-01-18,4.11,4.125,4.07,4.09,32253400.0,TLS.AX
2023-01-19,4.09,4.16,4.08,4.15,23701539.0,TLS.AX
2023-01-20,4.14,4.16,4.105,4.11,23265750.0,TLS.AX
2023-01-23,4.1,4.115,4.07,4.08,21762340.0,TLS.AX
2023-01-24,4.07,4.12,4.07,4.09,23886859.0,TLS.AX
2023-01-25,4.13,4.14,4.08,4.08,22828090.0,TLS.AX
2023-01-27,4.08,4.12,4.075,4.09,19755449.0,TLS.AX
2023-01-30,4.11,4.14,4.08,4.11,13912000.0,TLS.AX
2023-01-31,4.12,4.14,4.08,4.08,22282359.0,TLS.AX
2023-02-01,4.09,4.16,4.09,4.15,23715279.0,TLS.AX
2023-02-02,4.18,4.18,4.12,4.12,31870461.0,TLS.AX
