date,open,high,low,close,volume,ticker
2022-08-22,22.07,22.14,21.7,21.8,6274644.0,WBC.AX
2022-08-23,21.5,21.59,21.31,21.36,6336297.0,WBC.AX
2022-08-24,21.34,21.52,21.27,21.38,5632321.0,WBC.AX
2022-08-25,21.5,21.62,21.4,21.59,4461470.0,WBC.AX
2022-08-26,21.55,21.8,21.55,21.68,3903593.0,WBC.AX
2022-08-29,21.25,21.34,21.16,21.27,4858793.0,WBC.AX
2022-08-30,21.28,21.45,21.28,21.28,5049960.0,WBC.AX
2022-08-31,21.28,21.61,21.28,21.61,8148605.0,WBC.AX
2022-09-01,21.31,21.39,21.03,21.23,6735527.0,WBC.AX
2022-09-02,21.27,21.48,21.23,21.4,4052776.0,WBC.AX
2022-09-05,21.4,21.42,21.2,21.35,3164675.0,WBC.AX
2022-09-06,21.3,21.42,21.2,21.27,4412182.0,WBC.AX
2022-09-07,21.18,21.31,20.78,20.83,6826868.0,WBC.AX
2022-09-08,20.96,21.25,20.85,21.17,5880367.0,WBC.AX
2022-09-09,21.22,21.68,21.2,21.25,7829498.0,WBC.AX
2022-09-12,21.32,21.55,21.31,21.47,4392343.0,WBC.AX
2022-09-13,21.62,21.68,21.505,21.59,4192536.0,WBC.AX
2022-09-14,21.1,21.19,21.01,21.19,5759459.0,WBC.AX
2022-09-15,21.28,21.63,21.26,21.54,10980870.0,WBC.AX
2022-09-16,21.49,21.715,21.44,21.53,13339680.0,WBC.AX
2022-09-19,21.59,21.6,21.42,21.55,4194669.0,WBC.AX
2022-09-20,21.76,21.94,21.7,21.89,6372310.0,WBC.AX
2022-09-21,21.72,21.8,21.59,21.73,5691875.0,WBC.AX
2022-09-23,21.51,21.59,21.35,21.42,6334644.0,WBC.AX
2022-09-26,21.15,21.27,21.0,21.18,7245913.0,WBC.AX
2022-09-27,21.15,21.27,21.03,21.06,7109898.0,WBC.AX
2022-09-28,20.9,21.08,20.8,20.93,6276362.0,WBC.AX
2022-09-29,21.16,21.31,21.12,21.12,7723097.0,WBC.AX
2022-09-30,21.04,21.04,20.54,20.64,10879390.0,WBC.AX
2022-10-03,20.7,20.81,20.42,20.6,4887450.0,WBC.AX
2022-10-04,20.89,21.54,20.87,21.43,10829990.0,WBC.AX
2022-10-05,21.84,22.22,21.79,22.15,11759780.0,WBC.AX
2022-10-06,21.98,22.08,21.91,21.94,6406272.0,WBC.AX
2022-10-07,21.68,21.97,21.67,21.88,5749145.0,WBC.AX
2022-10-10,21.69,21.79,21.43,21.58,5484796.0,WBC.AX
2022-10-11,21.7,21.78,21.52,21.6,4514959.0,WBC.AX
2022-10-12,21.64,22.52,21.61,22.41,10260960.0,WBC.AX
2022-10-13,22.99,23.38,22.92,23.07,12667720.0,WBC.AX
2022-10-14,23.58,23.7,23.36,23.5,9300348.0,WBC.AX
