date,open,high,low,close,volume,ticker
2022-08-22,33.55,33.63,32.935,33.03,5370622.0,WDS.AX
2022-08-23,33.52,34.22,33.13,33.67,6427197.0,WDS.AX
2022-08-24,34.35,34.82,34.22,34.82,5786828.0,WDS.AX
2022-08-25,35.6,36.2,35.34,35.51,6886960.0,WDS.AX
2022-08-26,35.35,36.04,35.01,35.95,5759329.0,WDS.AX
2022-08-29,35.66,35.81,34.91,35.35,4891355.0,WDS.AX
2022-08-30,36.5,36.68,35.7,35.87,6355421.0,WDS.AX
2022-08-31,34.65,34.82,34.1,34.25,12944144.0,WDS.AX
2022-09-01,34.03,34.22,33.3,33.47,7889708.0,WDS.AX
2022-09-02,33.37,33.72,33.02,33.65,5051831.0,WDS.AX
2022-09-05,34.2,35.2,34.15,35.08,5912497.0,WDS.AX
2022-09-06,35.51,35.69,34.95,35.08,4529615.0,WDS.AX
2022-09-07,34.7,34.72,33.78,33.97,6047242.0,WDS.AX
2022-09-08,31.53,32.22,31.41,32.1,8668170.0,WDS.AX
2022-09-09,31.95,32.62,31.8,32.52,5905940.0,WDS.AX
2022-09-12,33.06,33.26,32.68,32.85,4604800.0,WDS.AX
2022-09-13,33.3,33.48,33.12,33.14,5255708.0,WDS.AX
2022-09-14,32.82,32.9,32.15,32.34,5027918.0,WDS.AX
2022-09-15,33.15,33.88,33.0,33.73,7161319.0,WDS.AX
2022-09-16,33.03,33.18,32.15,32.74,12667254.0,WDS.AX
2022-09-19,32.4,32.76,32.22,32.43,3262839.0,WDS.AX
2022-09-20,32.8,33.18,32.74,33.06,3517795.0,WDS.AX
2022-09-21,32.82,32.97,32.24,32.44,3955604.0,WDS.AX
2022-09-23,32.2,32.36,31.32,31.78,6393809.0,WDS.AX
2022-09-26,30.2,30.42,29.55,30.2,12318666.0,WDS.AX
2022-09-27,30.21,30.98,30.0,30.67,7343143.0,WDS.AX
2022-09-28,31.04,31.92,30.6,30.75,6227056.0,WDS.AX
2022-09-29,32.28,32.35,31.61,31.69,5540100.0,WDS.AX
2022-09-30,31.9,32.23,31.38,31.66,5997232.0,WDS.AX
2022-10-03,32.28,32.49,31.66,32.05,3891665.0,WDS.AX
2022-10-04,33.05,33.63,32.53,33.63,7221278.0,WDS.AX
2022-10-05,34.01,34.42,33.715,33.87,5672509.0,WDS.AX
2022-10-06,34.4,35.05,34.34,34.75,6162402.0,WDS.AX
2022-10-07,35.42,35.5,34.71,34.83,6598371.0,WDS.AX
2022-10-10,34.83,34.97,34.28,34.58,3983801.0,WDS.AX
2022-10-11,34.22,34.34,33.75,33.75,4942527.0,WDS.AX
2022-10-12,33.35,33.7,32.75,33.11,5447869.0,WDS.AX
2022-10-13,33.23,33.4,32.65,32.65,3863863.0,WDS.AX
2022-10-14,33.69,34.2,33.65,33.95,5163170.0,WDS.AX
2022-10-17,33.0,33.24,32.84,33.13,3658110.0,WDS.AX
2022-10-18,33.17,33.29,32.67,32.88,3687489.0,WDS.AX
2022-10-19,32.6,32.68,31.97,32.55,4118900.0,WDS.AX
2022-10-20,33.67,34.895,33.56,34.56,14012974.0,WDS.AX
2022-10-21,34.3,35.47,34.19,35.47,9068290.0,WDS.AX
2022-10-24,36.17,36.35,35.47,35.61,5875773.0,WDS.AX
2022-10-25,35.88,35.93,35.275,35.28,5486597.0,WDS.AX
2022-10-26,35.29,35.94,34.78,34.9,4936768.0,WDS.AX
2022-10-27,35.69,36.0,35.41,36.0,4097202.0,WDS.AX
2022-10-28,35.9,36.62,35.86,36.0,6053010.0,WDS.AX
2022-10-31,36.09,36.26,35.56,35.98,5133219.0,WDS.AX
2022-11-01,36.25,36.81,36.12,36.81,4561050.0,WDS.AX
2022-11-02,37.39,37.9,37.25,37.25,6110869.0,WDS.AX
2022-11-03,36.7,37.03,36.07,36.74,4185266.0,WDS.AX
2022-11-04,36.92,38.25,36.73,38.17,6607697.0,WDS.AX
2022-11-07,38.5,39.16,38.5,39.16,7873668.0,WDS.AX
2022-11-08,39.25,39.58,38.57,38.7,6774174.0,WDS.AX
2022-11-09,38.3,39.06,38.2,38.89,4412141.0,WDS.AX
2022-11-10,37.75,38.54,37.7,37.98,6753487.0,WDS.AX
2022-11-11,38.57,39.1,38.15,38.5,7464446.0,WDS.AX
2022-11-14,38.9,39.32,38.5,39.06,5374770.0,WDS.AX
2022-11-15,38.8,38.83,38.27,38.52,4762051.0,WDS.AX
2022-11-16,38.67,39.4,38.66,39.07,4984707.0,WDS.AX
2022-11-17,39.3,39.31,38.195,38.2,4642624.0,WDS.AX
2022-11-18,38.19,38.42,37.82,37.89,6048126.0,WDS.AX
2022-11-21,37.71,37.79,37.21,37.36,4267095.0,WDS.AX
2022-11-22,37.66,38.54,37.56,38.43,4005601.0,WDS.AX
2022-11-23,39.19,39.23,38.775,38.78,3597768.0,WDS.AX
2022-11-24,38.5,38.82,38.215,38.23,4751837.0,WDS.AX
2022-11-25,38.01,38.105,37.465,37.97,2904006.0,WDS.AX
2022-11-28,37.8,37.99,36.61,36.96,5859054.0,WDS.AX
2022-11-29,35.12,36.98,35.11,36.83,7453596.0,WDS.AX
2022-11-30,36.3,37.29,35.71,37.29,14509522.0,WDS.AX
2022-12-01,36.7,36.95,36.2,36.65,6295596.0,WDS.AX
2022-12-02,36.08,36.37,35.55,35.71,6368549.0,WDS.AX
2022-12-05,35.6,36.63,35.45,36.41,4780405.0,WDS.AX
2022-12-06,35.54,36.75,35.4,36.75,5756425.0,WDS.AX
2022-12-07,35.93,36.21,35.73,36.0,6622643.0,WDS.AX
