date,open,high,low,close,close,volume
2022-08-29,96.53,96.74,95.62,96.28,86.2303,2107747
2022-08-30,96.41,97.31,96.32,96.55,86.4722,1833997
2022-08-31,96.56,97.47,96.05,97.47,87.2961,2916918
2022-09-01,95.87,96.96,94.65,96.05,86.0243,3228601
2022-09-02,96.1,97.4,96.06,96.95,86.8304,2183269
2022-09-05,97.48,97.48,95.905,96.51,86.4363,1963119
2022-09-06,96.22,96.65,96.11,96.11,86.0781,1676568
2022-09-07,96.01,96.575,94.05,94.1,84.2779,2876328
2022-09-08,94.67,95.66,93.85,95.21,85.272,2701707
2022-09-09,95.77,97.29,94.34,95.53,85.5586,3030132
2022-09-12,96.0,96.7,95.63,96.28,86.2303,1596321
2022-09-13,97.0,98.08,96.74,97.94,87.7171,2343197
2022-09-14,95.63,95.68,94.43,94.46,84.6003,2958659
2022-09-15,94.85,95.34,94.66,95.06,85.1377,3364419
2022-09-16,94.55,95.28,94.045,94.23,84.3943,5980478
2022-09-19,94.25,95.03,94.25,94.66,84.7794,1474030
2022-09-20,95.95,96.8,95.66,96.53,86.4542,2389248
2022-09-21,96.28,96.28,95.08,95.45,85.487,1946963
2022-09-23,94.52,94.89,93.4,93.64,83.8659,2720087
2022-09-26,92.6,93.98,92.28,93.61,83.839,2274251
2022-09-27,93.94,94.34,92.975,93.43,83.6778,2709362
2022-09-28,92.5,93.0,91.79,92.54,82.8807,2433767
2022-09-29,93.83,94.19,93.12,93.12,83.4002,2094138
2022-09-30,93.22,93.23,90.26,90.7,81.2328,3741428
2022-10-03,91.15,91.37,89.66,90.61,81.1522,2038034
2022-10-04,92.0,94.87,91.89,94.79,84.8959,3030551
2022-10-05,95.99,97.6,95.79,97.29,87.1349,3870008
2022-10-06,96.6,97.08,96.07,96.88,86.7677,2055834
2022-10-07,94.99,96.73,94.89,96.42,86.3557,2455127
2022-10-10,95.36,95.55,94.44,94.96,85.0481,1721714
2022-10-11,95.3,95.46,93.83,94.0,84.1883,1981852
2022-10-12,94.25,96.85,94.15,96.29,86.2393,2662711
2022-10-13,97.4,99.34,96.96,98.13,87.8872,3321019
2022-10-14,99.76,99.95,98.85,98.9,88.5769,2341611
2022-10-17,98.73,98.88,97.915,98.09,87.8514,1600452
2022-10-18,99.47,100.0,98.65,99.78,89.365,2472383
2022-10-19,100.3,100.8,100.0,100.48,89.9919,2337497
2022-10-20,99.79,100.845,99.56,100.77,90.2517,2969685
2022-10-21,100.0,100.48,98.38,99.28,88.9172,3151996
2022-10-24,101.1,101.18,99.74,100.48,89.9919,1627347
2022-10-25,101.5,101.92,100.69,101.78,91.1563,1902730
2022-10-26,102.0,102.57,101.6,102.0,91.3533,1915194
2022-10-27,103.2,103.55,99.79,102.42,91.7294,2830132
2022-10-28,103.18,103.54,102.82,103.22,92.4459,2426561
2022-10-31,104.22,105.0,103.815,104.68,93.7536,3084095
2022-11-01,104.75,106.05,103.82,106.05,94.9806,2628163
2022-11-02,106.06,106.8,105.22,105.97,94.9089,2073713
2022-11-03,104.76,104.9,103.96,104.5,93.5923,2143283
2022-11-04,103.77,103.99,102.53,103.05,92.2937,2787631
2022-11-07,103.98,103.99,102.5,103.08,92.3206,1717044
2022-11-08,103.54,104.83,103.3,104.48,93.5744,1872728
2022-11-09,104.5,105.25,103.77,104.77,93.8342,1990001
2022-11-10,105.43,105.43,103.85,104.04,93.1804,2073110
2022-11-11,106.4,106.4,104.97,105.81,94.7656,3384469
2022-11-14,105.49,105.49,103.905,105.1,94.1297,1919104
2022-11-15,105.8,107.45,105.53,106.48,95.3657,2427583
2022-11-16,105.19,105.47,103.42,104.58,93.664,2941625
2022-11-17,105.92,105.92,105.0,105.64,94.6133,2655083
2022-11-18,105.55,106.23,105.16,105.82,94.7746,3028383
2022-11-21,106.6,107.125,106.22,106.58,95.4552,2766456
2022-11-22,106.74,107.87,106.63,107.5,96.2792,2395517
2022-11-23,108.0,108.29,107.74,108.07,96.7897,1932908
2022-11-24,108.07,108.32,107.57,108.01,96.736,1691775
2022-11-25,108.2,109.2,107.92,109.2,97.8018,2163400
2022-11-28,108.75,109.06,108.13,108.48,97.1569,1928931
2022-11-29,108.26,108.43,107.51,108.09,96.8076,1650824
2022-11-30,108.38,108.71,107.43,107.86,96.6016,5911776
2022-12-01,108.48,108.99,108.08,108.42,97.1032,1369948
2022-12-02,108.4,108.4,106.42,106.95,95.7866,3451688
2022-12-05,107.33,107.71,106.9,106.94,95.7777,1433376
2022-12-06,106.53,107.75,106.32,106.44,95.3298,2016506
2022-12-07,105.55,106.34,104.57,105.55,94.5327,2903191
2022-12-08,105.94,105.99,104.9,105.35,94.3536,1828854
2022-12-09,105.3,105.68,104.53,104.98,94.0222,2054672
2022-12-12,105.0,105.48,104.61,105.39,94.3894,1353473
2022-12-13,106.33,107.2,105.9,106.44,95.3298,2662642
2022-12-14,106.62,107.06,105.84,106.92,95.7597,1959240
2022-12-15,106.7,107.69,106.22,106.8,95.6523,2244376
2022-12-16,106.06,106.29,105.16,105.98,94.9179,5159674
2022-12-19,105.0,105.76,104.75,105.63,94.6044,1136661
2022-12-20,105.81,106.11,104.93,105.33,94.3357,1662006
2022-12-21,106.01,106.28,104.73,104.73,93.7983,2285186
2022-12-22,105.35,106.11,105.32,105.62,94.5954,1462993
2022-12-23,104.7,104.96,104.21,104.82,93.8789,1367754
2022-12-28,104.42,104.55,102.76,103.1,92.3385,1666602
2022-12-29,103.14,103.32,101.85,102.08,91.4249,1718922
2022-12-30,102.55,103.15,102.55,102.6,91.8907,1537609
2023-01-03,103.73,103.9,100.21,101.05,90.5024,1709983
2023-01-04,101.5,103.29,101.06,103.14,92.3743,2276220
2023-01-05,103.56,104.7,103.21,103.32,92.5355,1693577
2023-01-06,102.88,103.57,102.52,103.18,92.4101,2450188
2023-01-09,103.88,104.285,103.27,103.32,92.5355,1048736
2023-01-10,102.81,104.05,102.6,103.32,92.5355,1075679
2023-01-11,103.7,103.88,103.0,103.53,92.7236,1092327
2023-01-12,104.3,105.35,103.79,105.18,94.2014,2087584
2023-01-13,105.65,107.06,105.59,106.5,95.3836,1929496
2023-01-16,106.69,107.59,106.33,107.35,96.1449,1250653
2023-01-17,107.3,107.95,107.08,107.44,96.2255,2328626
2023-01-18,107.56,108.0,106.87,107.65,96.4135,1756089
2023-01-19,108.23,108.83,107.23,108.74,97.3898,2196287
2023-01-20,108.7,109.15,108.38,108.66,97.3181,3741095
2023-01-23,109.0,109.11,108.4,108.61,97.2733,2380416
2023-01-24,108.4,108.54,107.35,108.05,96.7718,1494747
2023-01-25,108.01,109.2,107.79,108.83,97.4704,1620732
2023-01-27,109.5,109.95,108.95,109.85,98.3839,2186238
2023-01-30,109.7,110.1,109.585,109.76,98.3033,1465480
2023-01-31,109.86,110.45,109.62,110.06,98.572,1745314
2023-02-01,110.49,110.81,109.6,110.15,98.6526,2037070
2023-02-02,110.55,110.55,109.73,109.73,98.2764,2267124
2023-02-03,109.9,111.43,109.8,111.15,99.5482,2487251
2023-02-06,111.2,111.38,110.39,110.75,99.19,1325884
2023-02-07,110.86,111.04,109.95,110.3,98.7869,1606239
2023-02-08,110.4,110.69,110.15,110.32,98.8048,1486405
2023-02-09,110.21,110.6,109.59,110.21,98.7063,1378411
2023-02-10,109.85,110.19,109.56,109.95,98.4735,1516258
2023-02-13,109.86,109.9,109.03,109.3,97.8913,1552187
2023-02-14,110.31,110.4,109.09,109.25,97.8465,1712454
2023-02-15,104.11,106.15,102.08,103.0,92.2489,7122390
2023-02-16,102.36,103.31,101.37,101.5,90.9055,4756659
2023-02-17,101.2,102.57,100.65,100.97,90.4308,4030572
2023-02-20,101.0,102.39,100.98,102.23,91.5593,1597651
2023-02-21,102.03,102.21,101.2,101.52,90.9234,1842679
2023-02-22,98.7,100.15,98.46,99.2,90.7222,3345735
2023-02-23,99.46,100.58,99.46,99.9,91.3624,2366921
2023-02-24,99.79,101.29,99.71,101.22,92.5696,2873586
2023-02-27,101.1,101.75,100.73,101.39,92.725,1875413
2023-02-28,101.22,101.71,100.46,100.69,92.0849,4181654
2023-03-01,99.95,100.37,99.05,99.05,90.585,2589393
2023-03-02,99.26,99.6,97.07,97.07,88.7742,3973674
2023-03-03,97.3,98.115,97.19,97.75,89.3961,2835253
2023-03-06,98.19,99.23,98.1,98.6,90.1735,1734529
2023-03-07,98.85,99.25,98.15,98.9,90.4478,2461272
2023-03-08,98.35,98.94,97.83,98.41,89.9997,1862278
2023-03-09,98.81,99.25,98.42,98.72,90.2832,2100981
2023-03-10,96.81,97.11,95.23,95.51,87.3475,3399512
2023-03-13,96.0,96.65,94.88,95.12,86.9909,2531902
2023-03-14,93.14,95.28,93.05,95.28,87.1372,4703866
2023-03-15,96.2,96.97,94.64,95.4,87.2469,3162252
2023-03-16,94.0,96.15,93.35,95.3,87.1555,6488332
2023-03-17,96.23,96.63,95.34,96.45,88.2072,6451777
2023-03-20,95.2,97.13,95.06,96.08,87.8688,2079792
2023-03-21,96.9,97.52,96.25,96.52,88.2712,2225019
2023-03-22,97.9,98.76,97.14,97.14,88.8382,2889674
2023-03-23,96.77,97.4,96.45,97.03,88.7376,1900925
2023-03-24,96.04,96.79,95.35,95.84,87.6493,2765386
2023-03-27,96.42,96.5,95.04,95.07,86.9451,2040884
2023-03-28,95.6,96.58,95.5,96.06,87.8505,1915223
2023-03-29,95.31,96.34,94.85,96.34,88.1066,2120814
2023-03-30,97.56,97.95,97.01,97.75,89.3961,2611402
2023-03-31,98.35,98.78,97.91,98.32,89.9174,2549472
2023-04-03,98.59,100.0,98.55,99.27,90.7862,2174951
2023-04-04,99.75,99.86,98.5,98.98,90.521,1577845
2023-04-05,98.69,99.59,98.67,99.06,90.5942,1535460
2023-04-06,99.4,99.48,98.325,99.01,90.5484,1780447
2023-04-11,99.71,100.1,99.43,99.76,91.2343,1821000
2023-04-12,100.35,100.36,98.68,99.23,90.7496,1656007
2023-04-13,99.24,99.49,98.2,98.22,89.8259,1668839
2023-04-14,98.22,99.28,98.2,99.11,90.6399,1352457
2023-04-17,100.0,100.48,99.57,99.74,91.216,2059296
2023-04-18,99.12,99.62,99.12,99.4,90.9051,1848784
2023-04-19,99.38,99.67,99.07,99.37,90.8777,982903
2023-04-20,99.96,101.31,99.75,100.92,92.2952,2447545
2023-04-21,100.5,100.61,98.7,99.8,91.2709,3084544
2023-04-24,100.45,100.78,100.04,100.11,91.5544,1002073
2023-04-26,100.0,100.3,99.22,99.89,91.3532,2063264
2023-04-27,99.96,100.0,98.79,99.1,90.6307,1423491
2023-04-28,99.58,100.24,99.17,99.36,90.8685,2869131
2023-05-01,99.96,100.6,99.58,100.44,91.8562,1471474
2023-05-02,100.79,100.95,99.61,100.1,91.5453,2179624
2023-05-03,98.8,98.89,97.93,98.29,89.89,2145783
2023-05-04,95.94,97.24,94.82,95.76,87.5762,2992222
2023-05-05,95.6,96.48,94.37,96.13,87.9146,2799731
2023-05-08,97.0,97.54,96.31,97.12,88.82,2193033
2023-05-09,96.6,97.78,95.45,97.34,89.0212,2406124
2023-05-10,96.94,97.85,96.69,97.85,89.4876,2373018
2023-05-11,98.83,98.86,97.885,98.35,89.9448,2072546
2023-05-12,98.85,99.18,98.36,98.96,90.5027,1916311
2023-05-15,98.53,98.75,98.17,98.5,90.082,1288706
2023-05-16,98.3,98.94,97.59,97.59,89.2498,2441266
2023-05-17,97.11,97.3,96.01,97.14,88.8382,2147154
2023-05-18,98.37,98.42,97.76,98.0,89.6247,2118783
2023-05-19,98.8,99.87,98.67,99.8,91.2709,3056096
2023-05-22,99.69,99.8,98.6,98.9,90.4478,1376062
2023-05-23,98.9,99.93,98.68,99.44,90.9417,2886469
2023-05-24,99.2,99.98,98.84,99.93,91.3898,1818274
2023-05-25,99.4,99.67,97.695,97.72,89.3687,2862243
2023-05-26,97.8,98.68,97.79,98.16,89.7711,1923403
2023-05-29,99.36,99.69,98.85,99.57,91.0606,1530222
2023-05-30,99.2,99.7,98.73,99.18,90.7039,1617947
2023-05-31,98.89,99.0,96.78,96.78,88.509,12128740
2023-06-01,96.52,97.62,96.3,96.8,88.5273,2109961
2023-06-02,97.2,97.59,96.26,96.91,88.6279,2569521
2023-06-05,97.56,98.01,97.22,97.5,89.1675,2085675
2023-06-06,96.88,97.19,96.4,96.56,88.3078,2041599
2023-06-07,96.75,97.0,95.69,95.69,87.5122,2178339
2023-06-08,95.61,95.98,95.32,95.89,87.6951,2346149
2023-06-09,95.74,96.12,95.6,95.8,87.6128,1579114
2023-06-13,95.98,96.6,95.9,96.52,88.2712,1973419
2023-06-14,97.0,97.55,96.6,97.37,89.0486,2971378
2023-06-15,97.65,98.25,97.41,97.99,89.6156,2837488
2023-06-16,98.3,99.35,98.06,99.35,90.8594,6702838
2023-06-19,99.66,100.82,99.45,100.51,91.9202,2771173
2023-06-20,100.8,101.97,100.36,101.62,92.9354,2698905
2023-06-21,102.2,102.49,101.585,101.68,92.9902,2594424
2023-06-22,101.51,101.59,99.97,100.08,91.527,2313609
2023-06-23,99.6,99.8,98.0,98.51,90.0912,2750925
2023-06-26,98.38,98.5,97.49,97.93,89.5607,2559460
2023-06-27,98.55,99.27,98.43,98.43,90.018,2139922
2023-06-28,98.7,99.94,98.63,99.54,91.0331,2391541
2023-06-29,99.9,100.69,99.8,100.07,91.5178,1593529
2023-06-30,100.16,100.3,99.555,100.27,91.7007,2603014
2023-07-03,100.3,100.97,99.78,100.94,92.3135,2147940
2023-07-04,101.05,102.4,100.42,102.28,93.539,2188463
2023-07-05,102.11,102.39,101.4,101.78,93.0817,2156097
2023-07-06,101.06,101.46,100.13,100.43,91.8471,2182248
2023-07-07,99.23,99.42,98.41,98.73,90.2924,2017705
2023-07-10,99.14,99.47,98.32,98.52,90.1003,1152141
