date,open,high,low,close,volume
2022-08-29,7.3542,7.4523,7.3542,7.4103,2538049
2022-08-30,7.429,7.4476,7.3916,7.4476,1947884
2022-08-31,7.429,7.5224,7.4196,7.4757,4357946
2022-09-01,7.3729,7.4383,7.3449,7.4383,3238870
2022-09-02,7.4103,7.457,7.4009,7.429,2017872
2022-09-05,7.4009,7.457,7.4009,7.4476,2594938
2022-09-06,7.4476,7.4757,7.4196,7.4383,2887362
2022-09-07,7.4196,7.4383,7.3916,7.4383,4646933
2022-09-08,7.429,7.485,7.4009,7.485,4073887
2022-09-09,7.429,7.4944,7.4196,7.457,3517552
2022-09-12,7.4757,7.4757,7.2888,7.2981,3093881
2022-09-16,6.49,6.75,6.38,6.59,52248820
2022-09-19,6.57,6.57,6.48,6.54,15033360
2022-09-20,6.6,6.69,6.57,6.69,7242055
2022-09-21,6.45,6.53,6.34,6.34,7535403
2022-09-23,6.32,6.37,6.24,6.25,11624050
2022-09-26,6.25,6.32,6.23,6.3,7290169
2022-09-27,6.3,6.32,6.24,6.26,9033590
2022-09-28,6.25,6.275,6.225,6.23,8008789
2022-09-29,6.28,6.3,6.26,6.29,7888406
2022-09-30,6.25,6.26,6.22,6.23,18993490
2022-10-03,6.22,6.28,6.2,6.22,7256098
2022-10-04,6.3,6.3,6.24,6.3,9224155
2022-10-05,6.29,6.32,6.26,6.26,6980329
2022-10-06,6.26,6.31,6.23,6.31,8721208
2022-10-07,6.29,6.31,6.22,6.24,5245311
2022-10-10,6.2,6.23,6.14,6.16,5560184
2022-10-11,6.17,6.24,6.165,6.21,3721967
2022-10-12,6.22,6.36,6.21,6.32,11450200
2022-10-13,6.28,6.34,6.23,6.29,3903973
2022-10-14,6.31,6.33,6.26,6.28,3408209
2022-10-17,6.28,6.37,6.24,6.36,4992559
2022-10-18,6.35,6.41,6.31,6.41,3393222
2022-10-19,6.45,6.7,6.425,6.67,6497004
2022-10-20,6.55,6.56,6.46,6.52,8906054
2022-10-21,6.43,6.5,6.4,6.41,1946879
2022-10-24,6.56,6.56,6.435,6.44,2545619
2022-10-25,6.56,6.56,6.46,6.5,2000617
2022-10-26,6.51,6.55,6.49,6.54,2423464
2022-10-27,6.56,6.66,6.56,6.62,5545274
2022-10-28,6.48,6.63,6.47,6.6,1563338
2022-10-31,6.7,6.71,6.57,6.59,6408924
2022-11-01,6.51,6.67,6.51,6.65,3889445
2022-11-02,6.63,6.66,6.59,6.62,6506060
2022-11-03,6.59,6.6,6.48,6.55,1456828
2022-11-04,6.55,6.59,6.49,6.49,3097833
2022-11-07,6.45,6.58,6.45,6.51,3181945
2022-11-08,6.55,6.56,6.46,6.54,2039114
2022-11-09,6.65,6.65,6.49,6.5,2149617
2022-11-10,6.52,6.54,6.405,6.51,2452214
2022-11-11,6.84,6.84,6.58,6.6,3198782
2022-11-14,6.55,6.57,6.45,6.5,3013479
2022-11-15,6.5,6.56,6.47,6.56,3112297
2022-11-16,6.52,6.57,6.46,6.55,4029910
2022-11-17,6.59,6.67,6.55,6.62,2671674
2022-11-18,6.67,6.67,6.59,6.65,3216352
2022-11-21,6.8,6.9,6.71,6.9,2013278
2022-11-22,6.95,7.01,6.79,6.79,2958577
2022-11-23,6.87,6.97,6.84,6.97,3145481
2022-11-24,7.04,7.05,6.95,7.0,2440240
2022-11-25,7.04,7.04,6.96,7.03,1011390
