date,open,high,low,close,volume
2022-08-29,1.1,1.115,1.09,1.1,10447121
2022-08-30,1.1,1.125,1.095,1.12,11685927
2022-08-31,1.115,1.165,1.1075,1.165,29037918
2022-09-01,1.15,1.175,1.1325,1.165,17381338
2022-09-02,1.165,1.195,1.14,1.145,12919198
2022-09-05,1.145,1.15,1.12,1.13,15452865
2022-09-06,1.13,1.135,1.105,1.12,14529716
2022-09-07,1.11,1.125,1.1,1.1,10953343
2022-09-08,1.105,1.1275,1.1,1.125,10773346
2022-09-09,1.125,1.14,1.115,1.13,12181006
2022-09-12,1.15,1.18,1.135,1.175,27402857
2022-09-13,1.185,1.2,1.175,1.195,19761063
2022-09-14,1.17,1.18,1.16,1.18,14372787
2022-09-15,1.19,1.2,1.17,1.195,16060649
2022-09-16,1.19,1.215,1.185,1.21,30035791
2022-09-19,1.215,1.215,1.2,1.21,12208325
2022-09-20,1.21,1.21,1.18,1.185,7818020
2022-09-21,1.18,1.185,1.14,1.16,16584174
2022-09-23,1.15,1.1575,1.13,1.14,13333795
2022-09-26,1.12,1.13,1.105,1.12,15160093
2022-09-27,1.11,1.12,1.1025,1.115,10192630
2022-09-28,1.105,1.11,1.085,1.1,11273921
2022-09-29,1.11,1.13,1.1025,1.11,12794733
2022-09-30,1.1,1.11,1.0775,1.095,15170236
2022-10-03,1.09,1.095,1.065,1.065,5571424
2022-10-04,1.08,1.14,1.08,1.135,15476267
2022-10-05,1.15,1.1675,1.14,1.165,13024424
2022-10-06,1.16,1.175,1.15,1.165,8328847
2022-10-07,1.155,1.16,1.135,1.145,5937320
2022-10-10,1.13,1.14,1.115,1.125,7392018
2022-10-11,1.13,1.16,1.125,1.145,12011625
2022-10-12,1.145,1.155,1.135,1.14,10183082
2022-10-13,1.135,1.15,1.13,1.145,8897760
2022-10-14,1.16,1.195,1.1525,1.19,21325752
2022-10-17,1.175,1.185,1.16,1.165,7456607
2022-10-18,1.185,1.185,1.1675,1.17,13716604
2022-10-19,1.17,1.19,1.17,1.185,17260655
2022-10-20,1.175,1.185,1.145,1.165,13207610
2022-10-21,1.16,1.175,1.16,1.165,10202727
2022-10-24,1.195,1.205,1.18,1.185,17588981
2022-10-25,1.18,1.2,1.175,1.195,9637217
2022-10-26,1.2,1.205,1.185,1.19,7830215
2022-10-27,1.2,1.2,1.185,1.19,10199656
2022-10-28,1.195,1.215,1.19,1.205,21530938
2022-10-31,1.23,1.2625,1.225,1.26,30164605
2022-11-01,1.26,1.275,1.245,1.26,11101042
2022-11-02,1.265,1.285,1.26,1.28,14409837
2022-11-03,1.27,1.27,1.25,1.26,8944926
2022-11-04,1.255,1.265,1.245,1.255,8121378
2022-11-07,1.275,1.285,1.25,1.26,6538624
