date,open,high,low,close,volume
2022-08-29,26.25,26.51,26.13,26.36,578024
2022-08-30,26.39,26.68,25.96,26.57,674313
2022-08-31,26.28,26.68,26.21,26.59,1111652
2022-09-01,26.4,27.03,26.19,26.75,448585
2022-09-02,26.84,27.02,26.67,26.74,318263
2022-09-05,26.7,26.84,26.1,26.22,368448
2022-09-06,26.31,26.43,25.86,25.98,416290
2022-09-07,26.07,26.44,25.72,26.2,609059
2022-09-08,26.44,26.89,26.23,26.89,491820
2022-09-09,26.89,27.22,26.57,27.06,463132
2022-09-12,27.22,27.25,26.68,26.88,338896
2022-09-13,26.9,26.95,26.68,26.89,424489
2022-09-14,26.35,26.61,26.06,26.44,573435
2022-09-15,26.46,26.47,25.795,25.96,502502
2022-09-16,25.74,26.08,25.61,26.08,1156291
2022-09-19,26.09,26.25,25.91,26.0,297661
2022-09-20,26.02,26.12,25.81,25.96,360601
2022-09-21,25.7,25.7,25.21,25.42,516912
2022-09-23,25.18,25.28,24.66,24.76,565778
2022-09-26,24.54,24.99,24.39,24.57,653686
2022-09-27,24.67,24.83,24.24,24.5,595408
2022-09-28,24.32,24.96,24.23,24.94,599635
2022-09-29,25.19,25.71,25.19,25.44,561644
2022-09-30,25.08,25.26,24.975,25.19,519944
2022-10-03,25.21,25.72,24.47,25.12,263965
2022-10-04,25.29,26.06,25.25,26.01,379456
2022-10-05,26.03,26.69,25.75,26.51,358248
2022-10-06,26.35,26.74,26.19,26.64,239069
2022-10-07,26.3,26.6,26.3,26.42,403028
2022-10-10,25.97,26.17,25.89,25.89,153690
2022-10-11,25.94,26.22,25.86,25.9,255463
2022-10-12,25.8,25.98,25.6,25.62,232466
2022-10-13,25.5,26.33,25.28,26.0,328302
2022-10-14,26.22,26.61,26.06,26.32,246006
2022-10-17,26.05,26.52,25.96,26.41,271175
2022-10-18,26.74,27.28,26.6,27.23,385694
2022-10-19,27.19,27.4,26.97,27.09,328927
2022-10-20,26.87,26.87,26.53,26.68,291710
2022-10-21,26.68,26.85,26.55,26.6,246850
2022-10-24,26.94,27.07,26.67,26.88,200276
2022-10-25,27.07,27.34,26.98,27.17,185928
2022-10-26,27.32,27.7,27.12,27.61,312738
2022-10-27,27.82,28.22,27.53,27.97,467470
2022-10-28,27.78,27.91,27.44,27.75,349482
2022-10-31,28.0,28.3,27.82,28.23,528120
2022-11-01,28.25,28.61,28.25,28.55,285356
2022-11-02,28.82,29.1,28.57,28.92,249646
2022-11-03,28.54,28.62,28.0,28.15,248065
2022-11-04,28.03,28.175,27.82,28.16,154149
2022-11-07,28.44,28.82,28.01,28.17,286606
2022-11-08,28.4,28.4,28.09,28.36,158341
2022-11-09,28.39,28.53,28.14,28.28,316517
2022-11-10,27.99,28.065,27.23,27.7,812939
2022-11-11,28.41,28.72,28.0,28.45,550207
2022-11-14,28.39,28.42,27.59,27.66,436203
2022-11-15,27.65,28.17,27.42,28.08,319971
2022-11-16,28.06,28.13,27.325,27.47,293675
2022-11-17,27.62,27.78,27.17,27.54,355133
2022-11-18,27.52,28.05,27.5,28.04,428628
2022-11-21,28.16,28.18,27.515,27.65,296304
2022-11-22,27.75,27.99,27.53,27.87,352965
2022-11-23,28.08,28.14,27.7,28.03,255914
2022-11-24,27.96,28.43,27.73,28.42,337750
2022-11-25,28.46,28.78,28.33,28.56,185747
2022-11-28,28.56,28.79,28.29,28.41,308984
2022-11-29,28.45,28.71,27.77,28.7,289659
2022-11-30,28.44,29.02,28.44,28.83,495904
2022-12-01,29.0,29.13,28.6,28.77,276646
2022-12-02,28.7,28.89,28.27,28.89,354758
2022-12-05,28.87,28.89,28.17,28.37,370042
2022-12-06,28.11,28.64,28.08,28.64,312551
2022-12-07,28.23,28.57,27.885,28.44,507810
2022-12-08,28.31,28.53,28.08,28.11,171302
2022-12-09,28.37,28.37,28.0,28.27,178584
2022-12-12,28.3,28.44,27.98,28.42,259219
2022-12-13,28.68,28.75,28.26,28.53,255965
2022-12-14,28.73,28.84,28.51,28.58,259167
2022-12-15,28.55,28.95,28.41,28.6,381977
2022-12-16,28.3,28.32,27.85,28.03,675091
2022-12-19,28.37,28.55,28.07,28.11,168255
2022-12-20,27.97,28.17,27.56,27.64,257969
2022-12-21,27.86,28.2,27.81,27.95,210929
2022-12-22,28.01,28.5,27.95,28.44,148843
2022-12-23,28.22,28.27,28.02,28.12,140146
