date,open,high,low,close,volume
2022-08-29,11.08,11.28,10.98,11.28,1749488
2022-08-30,11.24,11.25,11.07,11.12,1788120
2022-08-31,11.04,11.17,11.0,11.09,3433933
2022-09-01,11.04,11.15,10.77,10.78,2084555
2022-09-02,10.72,10.83,10.66,10.66,1538064
2022-09-05,10.65,10.83,10.57,10.65,1555739
2022-09-06,10.6,10.79,10.51,10.59,2120576
2022-09-07,10.5,10.7,10.445,10.52,3093251
2022-09-08,10.5,10.74,10.5,10.66,2198559
2022-09-09,10.66,10.83,10.44,10.68,2523021
2022-09-12,10.8,10.85,10.65,10.8,1637520
2022-09-13,10.88,10.96,10.79,10.88,1748720
2022-09-14,10.75,10.86,10.73,10.73,2634132
2022-09-15,10.81,10.93,10.525,10.57,3706523
2022-09-16,10.5,10.58,10.35,10.56,5086045
2022-09-19,10.52,10.55,10.39,10.39,1448162
2022-09-20,10.5,10.555,10.41,10.44,1230106
2022-09-21,10.33,10.45,10.23,10.24,1606814
2022-09-23,10.21,10.27,9.9,9.93,2284629
2022-09-26,9.8,9.97,9.8,9.87,2078417
2022-09-27,9.89,9.95,9.68,9.72,2390005
2022-09-28,9.73,9.85,9.69,9.84,1877724
2022-09-29,9.94,10.02,9.83,9.83,1754237
2022-09-30,9.85,10.03,9.59,9.59,3372691
2022-10-03,9.6,9.71,9.52,9.68,1726953
2022-10-04,9.76,9.86,9.695,9.84,1861676
2022-10-05,9.9,9.94,9.68,9.83,1929020
2022-10-06,9.72,9.94,9.72,9.84,1563250
2022-10-07,9.73,9.86,9.68,9.81,1653979
2022-10-10,9.7,9.73,9.45,9.45,1949970
2022-10-11,9.55,9.62,9.45,9.46,1796990
2022-10-12,9.45,9.49,9.22,9.22,1867592
2022-10-13,9.1,9.26,9.03,9.21,2395173
2022-10-14,9.35,9.53,9.3,9.5,1824141
2022-10-17,9.47,9.55,9.38,9.55,1676898
2022-10-18,9.6,9.65,9.4,9.56,2079458
2022-10-19,9.65,9.93,9.6,9.88,2018142
2022-10-20,9.85,9.85,9.55,9.67,1491749
2022-10-21,9.62,9.73,9.61,9.63,1808722
2022-10-24,9.8,9.85,9.7,9.84,1433595
2022-10-25,9.92,9.99,9.81,9.88,1775222
2022-10-26,10.0,10.27,9.9,10.26,2678369
2022-10-27,10.31,10.51,10.1,10.13,3201388
2022-10-28,10.2,10.51,10.15,10.42,1664670
2022-10-31,10.53,10.57,10.38,10.51,2429483
2022-11-01,10.53,10.65,10.42,10.59,1527006
2022-11-02,10.58,10.67,10.48,10.67,1912393
2022-11-03,10.51,10.52,10.32,10.38,2106763
2022-11-04,10.33,10.5,10.31,10.48,1353374
2022-11-07,10.38,10.62,10.35,10.61,1504294
2022-11-08,10.5,10.82,10.49,10.81,1861576
2022-11-09,10.8,10.82,10.67,10.71,1827285
2022-11-10,10.73,10.93,10.64,10.84,1745315
2022-11-11,11.0,11.125,10.895,10.95,1995744
2022-11-14,10.96,11.0,10.88,10.88,2309324
2022-11-15,10.91,11.03,10.88,10.92,1388392
2022-11-16,10.89,10.95,10.635,10.71,1726078
2022-11-17,10.77,10.96,10.62,10.89,1596232
2022-11-18,10.88,11.05,10.88,11.02,1418633
2022-11-21,11.11,11.24,11.07,11.24,1499782
2022-11-22,11.26,11.28,11.1,11.11,1881370
2022-11-23,11.18,11.255,11.11,11.25,1393845
2022-11-24,11.12,11.25,11.12,11.21,1173845
2022-11-25,11.25,11.39,11.21,11.38,1006414
2022-11-28,11.33,11.45,11.21,11.36,1219279
2022-11-29,11.39,11.43,11.165,11.23,1186533
2022-11-30,11.21,11.31,11.14,11.19,7026693
2022-12-01,11.3,11.39,11.17,11.31,1155574
2022-12-02,11.29,11.38,11.235,11.28,1199521
2022-12-05,11.28,11.3,11.02,11.06,2207486
2022-12-06,11.03,11.23,11.03,11.16,2265081
2022-12-07,11.09,11.23,10.93,10.97,2952543
2022-12-08,10.96,11.125,10.91,11.0,1945405
2022-12-09,10.97,10.99,10.86,10.93,1872565
2022-12-12,10.85,10.94,10.75,10.8,1440488
2022-12-13,10.82,10.95,10.78,10.87,1322133
2022-12-14,10.98,11.13,10.94,11.08,1582267
2022-12-15,11.25,11.26,11.0,11.0,2381837
2022-12-16,10.9,10.9,10.76,10.76,3666569
2022-12-19,10.75,10.85,10.74,10.78,570433
2022-12-20,10.7,10.82,10.58,10.7,1742642
2022-12-21,10.78,11.11,10.74,10.97,2030471
2022-12-22,10.89,11.18,10.82,11.16,1970235
2022-12-23,11.09,11.15,10.98,11.11,896487
2022-12-28,11.14,11.18,11.04,11.12,784720
2022-12-29,10.87,10.87,10.665,10.77,1638083
2022-12-30,10.79,10.83,10.67,10.76,1322156
2023-01-03,10.78,10.8,10.54,10.54,1128386
2023-01-04,10.69,10.725,10.57,10.61,1427288
2023-01-05,10.7,10.76,10.565,10.65,1414087
2023-01-06,10.51,10.68,10.51,10.54,875786
2023-01-09,10.59,10.65,10.46,10.55,642051
2023-01-10,10.55,10.69,10.4,10.44,840977
2023-01-11,10.44,10.51,10.37,10.45,1244892
2023-01-12,10.45,10.6,10.44,10.53,1083671
2023-01-13,10.6,10.67,10.45,10.45,1278412
2023-01-16,10.57,10.57,10.39,10.47,874496
2023-01-17,10.43,10.49,10.41,10.42,1246075
2023-01-18,10.55,10.55,10.355,10.4,1554899
2023-01-19,10.45,10.595,10.3,10.57,3295590
2023-01-20,10.63,10.7,10.53,10.53,2390592
2023-01-23,10.5,10.61,10.47,10.54,1658128
