date,open,high,low,close,volume
2022-08-29,30.24,30.4,29.9,29.98,208528
2022-08-30,29.97,30.23,29.35,29.77,417439
2022-08-31,29.66,30.35,29.6,30.32,533274
2022-09-01,30.76,30.76,29.65,30.26,321898
2022-09-02,30.5,30.5,29.78,29.79,93537
2022-09-05,29.8,30.03,29.14,29.47,106958
2022-09-06,29.47,29.925,29.3,29.66,162329
2022-09-07,29.7,29.94,29.4,29.9,191311
2022-09-08,30.14,30.83,30.14,30.83,209024
2022-09-09,30.85,31.0,30.26,30.36,130440
2022-09-12,30.85,31.58,30.4,31.47,107383
2022-09-13,32.09,32.38,31.52,32.35,197220
2022-09-14,31.25,32.19,31.25,31.85,367135
2022-09-15,32.0,32.07,30.8,30.99,416758
2022-09-16,30.71,31.4,30.6,30.9,1102969
2022-09-19,30.9,31.24,30.29,30.29,136512
2022-09-20,30.28,30.39,29.69,29.84,179405
2022-09-21,29.8,29.94,29.1,29.22,240997
2022-09-23,28.88,29.11,27.52,27.73,383862
2022-09-26,27.32,27.82,26.9,27.61,312183
2022-09-27,27.95,28.11,27.09,28.06,868326
2022-09-28,27.96,28.31,27.21,27.7,336159
2022-09-29,28.0,28.65,27.73,28.56,311063
2022-09-30,27.95,28.19,27.545,27.77,1103514
2022-10-03,28.0,28.0,26.7,26.73,183532
2022-10-04,27.05,28.69,27.01,28.69,294814
2022-10-05,29.06,29.89,28.91,29.86,233948
2022-10-06,28.95,29.3,28.68,28.92,220296
2022-10-07,28.6,28.87,28.35,28.35,188220
2022-10-10,27.8,28.27,27.06,27.13,215581
2022-10-11,27.25,27.53,26.88,27.12,241439
2022-10-12,27.12,27.88,27.0,27.59,269607
2022-10-13,27.6,27.93,26.68,26.78,172880
2022-10-14,27.52,27.85,26.7,26.77,162554
2022-10-17,26.77,27.01,26.07,26.49,149469
2022-10-18,26.81,27.76,26.76,27.48,198274
2022-10-19,27.85,28.02,27.5,27.85,136848
2022-10-20,27.36,27.45,26.26,26.51,183523
2022-10-21,26.28,26.39,25.65,25.65,197890
2022-10-24,26.44,26.83,26.15,26.65,172852
2022-10-25,27.0,27.42,26.85,27.29,143137
2022-10-26,27.8,28.34,27.43,27.97,160448
2022-10-27,27.85,28.28,27.35,27.98,342787
2022-10-28,27.68,28.0,25.98,26.98,569756
2022-10-31,27.75,29.01,27.47,29.01,388715
2022-11-01,28.45,29.19,28.43,28.65,332792
2022-11-02,28.45,29.26,27.895,28.58,517711
2022-11-03,27.79,28.14,27.51,27.92,147711
2022-11-04,27.9,28.24,27.21,27.71,207100
2022-11-07,28.08,28.33,27.76,27.88,129016
2022-11-08,28.58,28.58,27.34,27.55,241204
2022-11-09,27.5,28.01,27.19,27.28,195747
2022-11-10,27.07,27.2,26.64,27.01,96990
2022-11-11,29.11,30.25,28.3,29.27,268894
2022-11-14,29.51,29.51,28.42,28.67,168628
2022-11-15,28.78,29.42,28.69,29.42,180540
2022-11-16,29.4,29.4,28.83,29.03,102620
2022-11-17,29.3,29.49,28.76,29.24,176764
2022-11-18,29.4,29.4,28.7,28.83,144649
2022-11-21,28.99,29.16,28.49,28.49,146901
2022-11-22,28.72,28.72,27.81,28.08,230632
2022-11-23,28.16,28.35,27.63,28.0,117523
2022-11-24,28.29,28.42,27.91,28.31,138087
2022-11-25,28.5,29.04,28.39,28.77,89297
2022-11-28,28.8,29.37,28.51,29.02,155449
2022-11-29,29.05,29.14,27.86,28.02,295208
2022-11-30,27.8,28.38,27.38,28.31,203603
2022-12-01,29.07,29.68,28.71,29.35,136781
2022-12-02,29.19,29.59,29.12,29.42,196350
2022-12-05,29.4,29.65,29.15,29.51,289683
2022-12-06,29.12,29.55,29.01,29.31,237857
2022-12-07,28.74,29.05,28.04,28.04,310308
2022-12-08,28.04,28.47,27.68,27.92,190489
2022-12-09,28.2,28.34,27.74,28.1,122098
2022-12-12,28.43,28.45,27.75,27.9,180883
2022-12-13,28.13,28.14,27.82,28.05,130699
2022-12-14,28.6,28.72,28.05,28.5,102912
2022-12-15,28.59,28.59,27.91,28.11,159855
2022-12-16,27.73,28.06,27.54,27.78,166007
2022-12-19,27.5,27.75,27.05,27.33,113513
2022-12-20,27.03,27.38,25.67,25.71,272591
2022-12-21,25.82,26.3,25.68,25.68,180901
2022-12-22,25.82,26.42,25.78,26.26,168281
2022-12-23,25.89,26.03,25.45,25.46,268571
2022-12-28,25.31,25.78,25.31,25.58,96101
2022-12-29,25.73,25.73,25.21,25.31,97957
2022-12-30,25.8,25.85,25.53,25.67,158812
2023-01-03,26.0,26.02,25.54,25.82,144507
2023-01-04,26.0,26.73,25.94,26.42,140791
2023-01-05,26.61,27.06,26.54,26.95,133908
2023-01-06,26.75,27.17,26.61,27.1,81354
2023-01-09,27.38,28.11,27.27,27.6,86863
2023-01-10,27.6,27.98,27.6,27.85,108331
2023-01-11,27.88,28.43,27.84,28.37,89361
2023-01-12,28.64,28.91,28.5,28.65,208885
2023-01-13,28.91,29.34,28.73,29.02,104743
2023-01-16,29.35,29.86,29.1,29.56,232375
2023-01-17,29.61,29.77,29.24,29.48,115909
2023-01-18,29.7,30.15,29.45,30.09,123410
2023-01-19,29.99,30.04,29.28,29.35,169667
2023-01-20,29.34,29.5,28.22,28.59,178986
2023-01-23,28.35,29.605,28.35,29.51,215388
2023-01-24,29.59,30.27,29.53,30.07,212722
2023-01-25,30.0,30.83,29.88,30.8,218423
2023-01-27,31.14,31.61,30.83,31.4,248756
2023-01-30,31.84,32.31,31.24,31.8,187703
2023-01-31,31.73,32.17,30.98,31.83,317236
2023-02-01,32.0,32.11,31.48,31.55,536432
2023-02-02,32.3,33.48,31.98,33.18,228231
2023-02-03,33.72,33.72,32.78,33.4,378480
2023-02-06,32.52,34.02,31.86,33.32,533266
