date,open,high,low,close,volume
2022-08-29,42.43,42.68,41.91,42.19,11010300
2022-08-30,42.25,42.47,41.72,41.75,10425900
2022-08-31,40.48,40.85,40.33,40.6,20407381
2022-09-01,37.5,38.14,37.4,37.51,17909609
2022-09-02,36.9,36.93,36.6,36.74,15075170
2022-09-05,37.09,37.91,37.06,37.91,7746045
2022-09-06,38.12,38.435,37.27,37.27,10117100
2022-09-07,36.91,37.04,36.27,36.27,13944460
2022-09-08,36.2,36.92,36.13,36.92,11667010
2022-09-09,37.44,38.09,37.32,38.09,11379210
2022-09-12,39.03,39.51,38.85,39.41,10834930
2022-09-13,39.71,39.77,39.09,39.3,10040960
2022-09-14,38.6,38.96,38.42,38.6,9185555
2022-09-15,38.62,39.16,38.51,38.74,10946060
2022-09-16,38.3,38.45,37.815,38.04,21333699
2022-09-19,38.06,38.37,37.81,37.81,6836174
2022-09-20,38.58,39.18,38.33,39.18,9899024
2022-09-21,38.45,38.57,37.96,37.96,10894170
2022-09-23,38.65,38.77,37.91,38.17,14658970
2022-09-26,37.18,37.18,36.2,36.2,15642240
2022-09-27,36.71,37.2,36.65,37.2,13355200
2022-09-28,37.9,38.16,37.15,37.25,13346490
2022-09-29,38.18,38.51,38.01,38.17,11073500
2022-09-30,38.84,39.04,38.45,38.52,15119660
2022-10-03,39.04,39.14,38.44,38.6,9151827
2022-10-04,39.65,40.15,39.37,40.07,11311420
2022-10-05,40.81,40.83,40.03,40.5,12182060
2022-10-06,40.49,40.83,40.21,40.76,8714047
2022-10-07,40.27,40.57,40.06,40.06,7933706
2022-10-10,39.82,40.24,39.76,40.07,7780582
2022-10-11,40.75,40.85,39.92,39.92,8779440
2022-10-12,39.99,40.09,39.38,39.54,9175727
2022-10-13,39.3,39.62,39.03,39.23,8255474
2022-10-14,39.83,40.22,39.75,40.02,8740723
2022-10-17,39.09,39.26,38.67,39.09,7633835
2022-10-18,39.8,39.86,39.24,39.63,7806149
2022-10-19,39.35,39.59,39.01,39.25,7334568
2022-10-20,38.6,39.02,38.13,38.35,13657770
2022-10-21,38.41,38.6,38.01,38.07,13750660
2022-10-24,39.47,39.8,38.88,39.06,9358628
2022-10-25,38.99,39.26,38.28,38.5,8839939
2022-10-26,38.75,38.83,38.36,38.54,7826578
2022-10-27,39.42,39.71,39.1,39.46,7888837
2022-10-28,38.63,38.68,37.35,37.48,12670930
2022-10-31,37.08,37.56,36.93,37.36,13078720
2022-11-01,37.46,38.42,37.4,38.42,9094921
2022-11-02,38.8,39.55,38.71,39.24,13308600
2022-11-03,37.99,38.26,37.83,37.98,10304800
2022-11-04,38.16,38.79,38.08,38.56,8384703
2022-11-07,40.14,40.54,39.65,40.48,12173000
2022-11-08,40.7,40.77,40.2,40.35,7078905
2022-11-09,40.9,41.34,40.71,41.18,9795001
2022-11-10,40.54,40.82,40.38,40.56,7642987
2022-11-11,41.5,42.2,41.32,42.09,16330080
2022-11-14,43.65,44.48,43.5,44.01,19335779
2022-11-15,43.25,43.97,43.18,43.94,9882482
