date,open,high,low,close,volume
2022-08-29,20.6,20.87,20.32,20.41,217498
2022-08-30,20.34,20.66,20.25,20.37,247408
2022-08-31,20.35,20.58,20.34,20.42,179541
2022-09-01,20.12,20.3,19.95,20.16,192458
2022-09-02,20.15,20.39,20.05,20.12,141331
2022-09-05,20.21,20.42,20.15,20.38,105759
2022-09-06,20.43,20.56,20.35,20.39,137833
2022-09-07,20.4,20.47,20.06,20.28,196348
2022-09-08,20.31,20.71,20.3,20.71,187327
2022-09-09,20.71,20.87,20.71,20.71,139687
2022-09-12,21.1,21.33,20.8,21.1,103340
2022-09-13,21.27,21.58,21.2,21.5,143813
2022-09-14,20.92,21.06,20.63,20.81,226001
2022-09-15,20.97,21.01,20.53,20.72,229833
2022-09-16,20.67,21.42,20.5,20.5,281839
2022-09-19,20.63,20.69,20.36,20.51,176681
2022-09-20,21.5,21.89,21.33,21.69,480616
2022-09-21,21.5,21.94,21.05,21.77,408758
2022-09-23,21.77,22.03,21.01,21.42,408977
2022-09-26,21.12,21.32,20.85,21.09,272870
2022-09-27,21.31,21.42,21.01,21.17,241267
2022-09-28,21.1,21.24,20.89,21.15,205294
2022-09-29,21.42,21.53,21.1,21.17,205845
2022-09-30,21.33,21.6,21.11,21.54,302188
2022-10-03,21.55,21.56,21.05,21.56,170895
2022-10-04,21.64,22.01,21.59,21.97,187147
2022-10-05,22.15,22.62,22.0,22.57,262898
2022-10-06,22.49,22.7,22.27,22.37,239673
2022-10-07,22.36,22.74,22.2,22.32,132564
2022-10-10,22.0,22.12,21.82,21.95,147778
2022-10-11,22.0,22.15,21.42,21.51,283189
2022-10-12,21.51,21.81,21.38,21.62,155517
2022-10-13,21.61,21.7,21.36,21.36,157383
2022-10-14,21.67,21.83,21.55,21.71,177142
2022-10-17,21.71,22.29,21.58,22.25,219149
2022-10-18,22.56,22.66,22.06,22.08,207221
2022-10-19,22.2,22.39,21.99,22.13,187245
2022-10-20,21.77,21.87,21.44,21.62,215856
2022-10-21,21.62,21.73,21.41,21.48,115314
2022-10-24,21.88,21.88,21.58,21.63,204529
2022-10-25,21.95,21.99,21.53,21.84,101658
2022-10-26,21.87,22.05,21.73,22.0,188950
2022-10-27,22.2,22.35,21.87,22.1,250986
2022-10-28,22.0,22.18,21.88,21.97,235351
2022-10-31,22.15,22.16,21.87,22.13,293308
2022-11-01,21.6,21.8,21.48,21.63,377835
2022-11-02,21.58,21.63,21.07,21.26,486436
2022-11-03,21.0,21.04,20.71,20.71,263971
2022-11-04,21.0,21.12,20.7,20.96,236894
2022-11-07,21.1,21.48,21.03,21.15,163106
2022-11-08,21.2,21.2,20.34,20.61,392043
2022-11-09,20.7,20.92,20.46,20.56,206384
2022-11-10,20.5,20.53,20.22,20.5,199609
2022-11-11,21.0,21.14,20.7,21.01,274408
2022-11-14,21.0,21.07,20.8,20.82,237675
2022-11-15,20.8,20.96,20.69,20.86,144492
2022-11-16,20.92,20.92,20.73,20.82,176855
2022-11-17,20.91,21.1,20.79,21.08,145151
2022-11-18,21.19,21.19,20.73,20.73,128389
2022-11-21,20.91,20.99,20.71,20.89,122534
2022-11-22,20.89,21.2,20.81,21.05,214199
2022-11-23,21.3,21.9,21.25,21.88,197067
2022-11-24,22.0,22.0,21.72,21.84,143584
2022-11-25,21.95,22.0,21.75,21.83,112453
2022-11-28,21.85,22.67,21.85,22.53,247471
2022-11-29,22.48,22.98,22.39,22.48,234449
2022-11-30,22.3,22.51,22.05,22.41,317143
2022-12-01,22.51,23.06,22.51,22.88,242365
2022-12-02,22.8,22.8,22.49,22.53,298144
2022-12-05,22.53,22.78,22.48,22.58,101789
2022-12-06,22.6,22.76,22.44,22.44,125174
2022-12-07,22.29,22.41,22.06,22.1,109705
2022-12-08,22.11,22.2,21.8,22.07,76283
2022-12-09,22.08,22.13,21.81,22.03,140524
2022-12-12,22.05,22.4,21.67,21.81,101229
2022-12-13,21.89,21.92,21.59,21.73,126411
2022-12-14,21.9,22.33,21.87,22.22,186860
2022-12-15,22.3,22.5,22.09,22.09,170048
2022-12-16,22.23,22.76,21.925,22.59,247698
2022-12-19,22.75,22.87,22.33,22.33,309814
2022-12-20,22.79,22.79,22.15,22.18,126800
2022-12-21,22.2,22.45,22.16,22.36,142626
2022-12-22,22.32,22.48,22.27,22.39,101310
2022-12-23,22.1,22.27,21.9,22.22,84563
2022-12-28,22.24,22.365,22.11,22.26,67522
2022-12-29,22.41,22.41,22.01,22.2,85144
2022-12-30,22.48,22.48,22.135,22.17,60324
2023-01-03,22.14,22.33,21.58,21.83,108896
2023-01-04,21.85,22.72,21.8,22.42,163442
2023-01-05,22.37,22.88,22.37,22.54,117925
2023-01-06,22.64,22.94,22.51,22.92,90161
2023-01-09,23.07,23.24,22.83,22.93,113495
2023-01-10,22.93,23.1,22.81,23.02,77999
2023-01-11,22.99,23.07,22.84,23.01,65431
2023-01-12,23.1,23.35,22.96,23.11,158723
2023-01-13,23.3,23.62,23.2,23.42,99231
2023-01-16,23.49,23.8,23.46,23.65,104430
2023-01-17,23.57,23.94,23.57,23.79,97804
2023-01-18,23.9,24.03,23.67,23.93,95204
2023-01-19,23.99,24.22,23.85,24.08,128265
