date,open,high,low,close,volume
2022-08-29,6.91,6.955,6.86,6.91,2603052
2022-08-30,6.99,7.04,6.94,6.96,2737427
2022-08-31,6.93,7.05,6.91,7.03,2530696
2022-09-01,6.94,6.96,6.83,6.86,3619315
2022-09-02,6.85,7.01,6.82,6.99,1834469
2022-09-05,7.02,7.04,6.96,6.99,1413901
2022-09-06,6.97,6.99,6.86,6.87,1545546
2022-09-07,6.79,6.83,6.61,6.61,4806539
2022-09-08,6.61,6.75,6.61,6.75,1745200
2022-09-09,6.77,6.89,6.755,6.8,2508319
2022-09-12,6.86,6.93,6.84,6.91,1844089
2022-09-13,6.96,7.01,6.93,6.99,2251617
2022-09-14,6.87,6.87,6.78,6.8,1959846
2022-09-15,6.93,6.93,6.83,6.9,2460401
2022-09-16,6.82,6.9,6.81,6.86,3169448
2022-09-19,6.88,6.9,6.85,6.85,1213121
2022-09-20,6.88,6.95,6.87,6.88,1458730
2022-09-21,6.82,6.86,6.79,6.82,1628388
2022-09-23,6.8,6.82,6.695,6.75,2464997
2022-09-26,6.7,6.72,6.63,6.65,1560218
2022-09-27,6.63,6.69,6.61,6.68,1628614
2022-09-28,6.64,6.67,6.58,6.63,1592222
2022-09-29,6.66,6.72,6.63,6.63,1846921
2022-09-30,6.6,6.62,6.5,6.51,2661817
2022-10-03,6.52,6.61,6.45,6.57,1586444
2022-10-04,6.63,6.9,6.62,6.9,2200384
2022-10-05,6.98,7.025,6.9,6.98,2567673
2022-10-06,6.96,6.99,6.915,6.98,1275408
2022-10-07,6.94,6.94,6.85,6.87,2001173
2022-10-10,6.82,6.83,6.75,6.81,2000606
2022-10-11,6.87,6.9,6.815,6.83,1665174
2022-10-12,6.91,7.6,6.89,7.59,9254306
2022-10-13,7.58,7.76,7.52,7.61,5953968
2022-10-14,7.74,7.79,7.65,7.73,3608743
2022-10-17,7.69,7.72,7.64,7.67,2353699
2022-10-18,7.74,7.74,7.61,7.7,3256940
2022-10-19,7.7,7.75,7.66,7.7,2312334
2022-10-20,7.57,7.67,7.555,7.62,3706909
2022-10-21,7.56,7.6,7.51,7.51,3730264
2022-10-24,7.69,7.69,7.53,7.53,3311514
2022-10-25,7.6,7.63,7.52,7.63,2712687
2022-10-26,7.64,7.72,7.63,7.7,4055835
2022-10-27,7.46,7.46,7.2,7.33,4587466
2022-10-28,7.33,7.4,7.31,7.34,1955639
2022-10-31,7.38,7.45,7.32,7.36,2374928
2022-11-01,7.33,7.44,7.31,7.43,2379931
2022-11-02,7.43,7.45,7.37,7.43,1694350
2022-11-03,7.34,7.34,7.255,7.26,1738696
2022-11-04,7.24,7.31,7.19,7.29,2268616
2022-11-07,7.35,7.37,7.21,7.22,1588715
2022-11-08,7.21,7.3,7.2,7.3,1599453
2022-11-09,7.3,7.34,7.255,7.29,1564903
2022-11-10,7.31,7.33,7.21,7.23,1587178
2022-11-11,7.35,7.38,7.28,7.38,2600506
2022-11-14,7.38,7.38,7.27,7.28,2166070
2022-11-15,7.29,7.38,7.26,7.27,1339601
2022-11-16,7.28,7.31,7.2,7.24,1439589
2022-11-17,7.3,7.3,7.215,7.25,2002275
2022-11-18,7.25,7.28,7.23,7.25,1175840
2022-11-21,7.29,7.34,7.26,7.34,1437154
2022-11-22,7.35,7.4,7.33,7.36,1221254
2022-11-23,7.4,7.43,7.37,7.42,1373526
2022-11-24,7.43,7.5,7.38,7.46,1583596
2022-11-25,7.49,7.6,7.47,7.56,2040529
2022-11-28,7.35,7.35,7.02,7.14,10175170
2022-11-29,7.07,7.15,7.01,7.14,4601048
2022-11-30,7.16,7.21,7.11,7.18,3731753
2022-12-01,7.2,7.27,7.19,7.23,2470374
2022-12-02,7.23,7.25,7.16,7.16,1785536
2022-12-05,7.17,7.22,7.15,7.18,1330777
2022-12-06,7.16,7.24,7.12,7.15,2860336
2022-12-07,7.11,7.13,7.02,7.1,2770355
2022-12-08,7.1,7.14,6.96,6.98,2899908
2022-12-09,6.99,7.05,6.95,6.95,1600359
2022-12-12,6.95,6.96,6.85,6.87,2471111
2022-12-13,6.94,7.04,6.91,7.0,2998997
2022-12-14,7.03,7.05,6.96,7.0,2436476
2022-12-15,6.91,6.98,6.91,6.92,2975736
2022-12-16,6.82,6.87,6.73,6.8,5901092
2022-12-19,6.8,6.85,6.79,6.82,1602766
2022-12-20,6.83,6.85,6.74,6.77,2417573
2022-12-21,6.81,6.87,6.79,6.86,3530136
2022-12-22,6.88,6.95,6.87,6.9,2105074
2022-12-23,6.87,6.895,6.82,6.89,1265531
2022-12-28,6.9,6.92,6.83,6.86,1110279
2022-12-29,6.89,6.9,6.815,6.83,1059489
2022-12-30,6.9,6.96,6.875,6.9,1788412
2023-01-03,6.95,6.96,6.76,6.79,1982711
2023-01-04,6.87,6.93,6.82,6.93,1971566
2023-01-05,6.93,6.97,6.88,6.9,1912439
2023-01-06,6.91,6.94,6.86,6.86,1170159
2023-01-09,6.87,6.93,6.87,6.88,966184
2023-01-10,6.9,6.94,6.85,6.9,1522483
2023-01-11,6.92,6.96,6.895,6.91,1039267
2023-01-12,6.95,6.98,6.91,6.98,1660112
2023-01-13,7.0,7.065,6.98,7.05,1798840
2023-01-16,7.05,7.12,7.04,7.08,1220266
2023-01-17,7.08,7.1,7.03,7.05,1148225
2023-01-18,7.04,7.06,6.99,7.0,2457310
