date,open,high,low,close,volume
2022-08-29,1.73,1.75,1.71,1.745,6367021
2022-08-30,1.78,1.7925,1.74,1.745,6727827
2022-08-31,1.68,1.75,1.67,1.71,9630054
2022-09-01,1.69,1.7,1.62,1.635,12908654
2022-09-02,1.61,1.65,1.6,1.64,10231865
2022-09-05,1.685,1.7425,1.665,1.725,10167078
2022-09-06,1.73,1.78,1.705,1.76,10545763
2022-09-07,1.74,1.745,1.67,1.67,7133343
2022-09-08,1.63,1.66,1.62,1.65,9728939
2022-09-09,1.66,1.67,1.64,1.65,5349577
2022-09-12,1.695,1.695,1.6575,1.665,4816200
2022-09-13,1.69,1.71,1.66,1.67,10969775
2022-09-14,1.65,1.6625,1.63,1.65,6759558
2022-09-15,1.685,1.72,1.67,1.705,7542216
2022-09-16,1.675,1.68,1.625,1.635,10299469
2022-09-19,1.63,1.635,1.6,1.605,5107066
2022-09-20,1.625,1.64,1.605,1.635,6267438
2022-09-21,1.63,1.64,1.61,1.62,4369693
2022-09-23,1.61,1.63,1.555,1.58,7922421
2022-09-26,1.52,1.535,1.445,1.47,17198417
2022-09-27,1.45,1.495,1.445,1.46,14742474
2022-09-28,1.49,1.5325,1.43,1.44,10724116
2022-09-29,1.495,1.5,1.46,1.47,9372683
2022-09-30,1.48,1.495,1.46,1.485,9364873
2022-10-03,1.495,1.52,1.48,1.495,4945760
2022-10-04,1.535,1.555,1.51,1.555,7597165
2022-10-05,1.58,1.595,1.5575,1.59,10361398
2022-10-06,1.59,1.61,1.57,1.595,5344339
2022-10-07,1.595,1.625,1.5875,1.605,7100825
2022-10-10,1.61,1.635,1.595,1.595,6753042
2022-10-11,1.575,1.58,1.5375,1.545,9262975
2022-10-12,1.56,1.56,1.51,1.51,8083359
2022-10-13,1.52,1.535,1.51,1.52,6040016
2022-10-14,1.58,1.615,1.56,1.605,6559422
2022-10-17,1.565,1.5675,1.535,1.545,3955037
2022-10-18,1.59,1.6,1.525,1.54,6879583
2022-10-19,1.44,1.54,1.415,1.525,18320098
2022-10-20,1.56,1.5975,1.53,1.555,10053697
2022-10-21,1.56,1.59,1.555,1.585,11943436
2022-10-24,1.595,1.605,1.565,1.565,5091357
2022-10-25,1.57,1.59,1.555,1.56,4729210
2022-10-26,1.565,1.585,1.55,1.565,5398696
2022-10-27,1.595,1.61,1.585,1.605,5044149
2022-10-28,1.6,1.615,1.59,1.595,2826720
2022-10-31,1.62,1.635,1.575,1.59,5413253
2022-11-01,1.585,1.64,1.57,1.635,4832511
2022-11-02,1.65,1.685,1.635,1.65,9098011
2022-11-03,1.63,1.64,1.585,1.615,4247609
2022-11-04,1.61,1.655,1.59,1.63,6405517
2022-11-07,1.645,1.665,1.61,1.635,7980744
2022-11-08,1.64,1.655,1.63,1.635,9723916
2022-11-09,1.63,1.725,1.615,1.72,12155707
2022-11-10,1.675,1.7,1.65,1.7,6810389
2022-11-11,1.73,1.765,1.7175,1.76,12797725
2022-11-14,1.765,1.7925,1.75,1.785,10111399
2022-11-15,1.78,1.785,1.73,1.735,5207532
2022-11-16,1.76,1.765,1.73,1.74,4007235
2022-11-17,1.73,1.74,1.7,1.715,2387997
2022-11-18,1.7,1.725,1.7,1.72,3265248
2022-11-21,1.715,1.715,1.67,1.695,3947106
2022-11-22,1.7,1.72,1.695,1.71,4263976
2022-11-23,1.745,1.77,1.735,1.755,3883549
2022-11-24,1.755,1.785,1.74,1.75,3752335
2022-11-25,1.76,1.76,1.73,1.755,2361479
2022-11-28,1.745,1.75,1.695,1.71,3915631
2022-11-29,1.715,1.735,1.69,1.73,5823467
2022-11-30,1.725,1.785,1.715,1.78,10334738
2022-12-01,1.795,1.85,1.765,1.845,10523487
2022-12-02,1.81,1.845,1.795,1.8,9808596
2022-12-05,1.805,1.91,1.8,1.895,7421581
2022-12-06,1.84,1.84,1.77,1.82,11688150
2022-12-07,1.755,1.765,1.615,1.64,21595919
2022-12-08,1.645,1.66,1.615,1.645,9672883
2022-12-09,1.66,1.695,1.645,1.66,8837157
2022-12-12,1.605,1.63,1.585,1.62,10199085
2022-12-13,1.62,1.64,1.6,1.605,10735828
2022-12-14,1.635,1.65,1.615,1.625,9554640
2022-12-15,1.64,1.65,1.625,1.635,7336702
2022-12-16,1.615,1.64,1.61,1.625,7088784
2022-12-19,1.625,1.635,1.615,1.625,2102612
2022-12-20,1.625,1.625,1.6,1.6,3640584
2022-12-21,1.62,1.645,1.61,1.635,4437968
2022-12-22,1.64,1.65,1.62,1.63,5571081
2022-12-23,1.61,1.615,1.58,1.595,5288457
2022-12-28,1.605,1.64,1.605,1.635,3867197
2022-12-29,1.61,1.62,1.575,1.59,4461924
2022-12-30,1.6,1.61,1.59,1.595,3136072
2023-01-03,1.61,1.61,1.56,1.58,3116849
2023-01-04,1.565,1.59,1.555,1.58,4558363
2023-01-05,1.565,1.57,1.515,1.54,8429820
2023-01-06,1.545,1.56,1.535,1.555,5158495
2023-01-09,1.565,1.595,1.56,1.58,4163725
2023-01-10,1.58,1.6025,1.56,1.565,6018907
2023-01-11,1.56,1.6,1.56,1.58,4737431
2023-01-12,1.59,1.61,1.575,1.595,6439475
2023-01-13,1.6,1.63,1.595,1.61,4787311
2023-01-16,1.61,1.62,1.6,1.61,4404228
2023-01-17,1.6,1.605,1.585,1.605,3503952
2023-01-18,1.615,1.625,1.565,1.57,8613123
