date,open,high,low,close,volume
2022-08-29,6.92,7.06,6.8,7.06,486036
2022-08-30,7.07,7.18,7.02,7.17,349499
2022-08-31,7.01,7.28,7.01,7.28,352749
2022-09-01,7.16,7.21,6.92,6.92,369950
2022-09-02,6.9,6.97,6.65,6.82,762160
2022-09-05,6.85,6.95,6.75,6.75,540217
2022-09-06,6.69,6.73,6.37,6.37,4618554
2022-09-07,6.3,6.3,6.05,6.06,1221859
2022-09-08,6.14,6.25,6.05,6.1,890995
2022-09-09,6.11,6.3,6.1,6.24,1288375
2022-09-12,6.4,6.47,6.31,6.36,563588
2022-09-13,6.45,6.47,6.26,6.32,532663
2022-09-14,6.19,6.31,6.04,6.24,462781
2022-09-15,6.3,6.42,6.22,6.32,789778
2022-09-16,6.3,6.38,6.15,6.2,578091
2022-09-19,6.2,6.27,6.12,6.17,465536
2022-09-20,6.23,6.26,6.11,6.14,223745
2022-09-21,6.14,6.19,5.99,5.99,508811
2022-09-23,5.96,5.98,5.67,5.75,936358
2022-09-26,5.68,5.68,5.48,5.56,1197555
2022-09-27,5.54,5.57,5.41,5.44,672328
2022-09-28,5.51,5.65,5.415,5.53,1255709
2022-09-29,5.74,5.87,5.63,5.82,636926
2022-09-30,5.75,5.81,5.6,5.67,434774
2022-10-03,5.64,5.66,5.5,5.54,247447
2022-10-04,5.65,5.86,5.6,5.86,524943
2022-10-05,6.05,6.16,5.98,6.03,562446
2022-10-06,6.03,6.09,5.93,6.03,636961
2022-10-07,5.91,5.98,5.81,5.81,403055
2022-10-10,5.75,5.75,5.41,5.41,851041
2022-10-11,5.5,5.55,5.33,5.36,569475
2022-10-12,5.36,5.37,5.14,5.14,589379
2022-10-13,5.1,5.14,5.02,5.05,790964
2022-10-14,5.15,5.15,5.01,5.06,699167
2022-10-17,5.01,5.06,4.91,4.98,957462
2022-10-18,5.06,5.23,5.0,5.18,1167038
2022-10-19,5.05,5.15,4.95,4.98,1245990
2022-10-20,5.0,5.04,4.91,4.91,1013824
2022-10-21,4.95,4.95,4.81,4.84,783220
2022-10-24,4.96,5.03,4.87,4.89,810915
2022-10-25,4.93,4.98,4.81,4.88,654619
2022-10-26,4.8,4.83,3.79,3.87,6603185
2022-10-27,3.75,3.95,3.64,3.85,2016728
2022-10-28,3.84,3.93,3.83,3.87,1209971
2022-10-31,3.91,3.96,3.85,3.87,931883
2022-11-01,3.9,4.12,3.885,4.03,919415
2022-11-02,4.13,4.13,3.95,3.95,963004
2022-11-03,3.9,4.04,3.84,4.01,719954
2022-11-04,3.98,4.0,3.91,3.95,604104
2022-11-07,3.98,4.11,3.95,4.01,452905
2022-11-08,4.1,4.1,3.93,3.95,677749
2022-11-09,3.95,4.1,3.94,4.07,704341
2022-11-10,4.05,4.05,3.87,3.9,755945
2022-11-11,4.06,4.16,4.01,4.06,884248
2022-11-14,4.1,4.1,3.985,4.04,487234
2022-11-15,4.01,4.15,3.98,4.1,808847
2022-11-16,4.08,4.12,4.01,4.07,446469
2022-11-17,4.03,4.16,4.03,4.13,388995
2022-11-18,4.14,4.15,4.01,4.04,368074
2022-11-21,4.07,4.07,3.94,3.94,454990
2022-11-22,3.95,4.06,3.92,4.04,450481
2022-11-23,4.05,4.09,3.95,3.96,366176
2022-11-24,4.0,4.06,3.97,4.02,244497
2022-11-25,4.03,4.1,3.99,4.07,333927
2022-11-28,4.03,4.07,3.95,3.95,299081
2022-11-29,3.93,4.0,3.9,3.95,417511
2022-11-30,3.95,3.96,3.85,3.9,830090
