date,open,high,low,close,volume
2022-08-29,3.66,3.71,3.61,3.61,717917
2022-08-30,3.58,3.63,3.515,3.57,857282
2022-08-31,3.5,3.66,3.425,3.65,1095047
2022-09-01,3.5,3.58,3.48,3.51,825557
2022-09-02,3.43,3.49,3.39,3.44,832183
2022-09-05,3.54,3.645,3.47,3.47,1369495
2022-09-06,3.44,3.54,3.44,3.5,1414025
2022-09-07,3.4,3.5,3.35,3.44,1775086
2022-09-08,3.6,3.64,3.43,3.44,1651080
2022-09-09,3.46,3.61,3.43,3.51,1349735
2022-09-12,3.55,3.59,3.45,3.46,1476798
2022-09-13,3.51,3.6,3.47,3.49,1672216
2022-09-14,3.37,3.38,3.28,3.34,1720655
2022-09-15,3.31,3.32,3.18,3.25,1083466
2022-09-16,3.0,3.11,2.5,2.87,12805502
2022-09-19,2.89,2.94,2.815,2.83,2441819
2022-09-20,2.86,2.93,2.805,2.88,1868126
2022-09-21,2.88,2.92,2.835,2.84,1770344
2022-09-23,2.8,2.88,2.78,2.8,1571976
2022-09-26,2.67,2.71,2.57,2.59,1600249
2022-09-27,2.68,2.78,2.585,2.65,2498009
2022-09-28,2.73,2.75,2.63,2.71,1792184
2022-09-29,2.9,3.04,2.76,2.76,1386555
2022-09-30,2.8,3.01,2.79,3.0,2626292
2022-10-03,3.12,3.15,3.01,3.1,1421089
2022-10-04,3.25,3.535,3.19,3.47,3481226
2022-10-05,3.57,3.65,3.43,3.63,2611306
2022-10-06,3.54,3.62,3.44,3.61,2102684
2022-10-07,3.61,3.72,3.58,3.67,1615257
2022-10-10,3.48,3.53,3.3,3.3,1715194
2022-10-11,3.23,3.33,3.2,3.24,981349
2022-10-12,3.22,3.3,3.185,3.27,1061399
2022-10-13,3.24,3.31,3.22,3.28,955533
2022-10-14,3.27,3.27,3.18,3.2,1030108
2022-10-17,3.11,3.19,3.1,3.13,971681
2022-10-18,3.23,3.31,3.21,3.26,1047301
2022-10-19,3.32,3.32,3.21,3.24,1379620
2022-10-20,3.19,3.21,3.08,3.12,1849610
2022-10-21,3.15,3.21,3.09,3.2,614091
2022-10-24,3.37,3.42,3.28,3.33,1031883
2022-10-25,3.4,3.46,3.29,3.32,518896
2022-10-26,3.25,3.34,3.24,3.28,1017751
2022-10-27,3.38,3.47,3.35,3.44,865672
2022-10-28,3.39,3.47,3.37,3.46,800230
2022-10-31,3.48,3.48,3.37,3.39,801611
2022-11-01,3.37,3.47,3.37,3.47,590483
2022-11-02,3.44,3.55,3.44,3.55,1038656
2022-11-03,3.4,3.45,3.335,3.41,800734
2022-11-04,3.4,3.52,3.36,3.5,914534
2022-11-07,3.67,3.89,3.67,3.85,1363055
2022-11-08,3.87,3.87,3.78,3.83,834008
2022-11-09,3.95,4.245,3.95,4.17,3141929
2022-11-10,3.99,4.155,3.96,4.1,2153735
2022-11-11,4.3,4.39,4.24,4.31,2029602
2022-11-14,4.28,4.32,4.21,4.24,1486611
2022-11-15,4.26,4.29,4.19,4.29,1169525
2022-11-16,4.22,4.26,4.15,4.17,1027344
2022-11-17,4.19,4.27,4.13,4.25,1712580
2022-11-18,4.27,4.27,4.15,4.24,777352
2022-11-21,4.27,4.37,4.27,4.31,1232566
2022-11-22,4.31,4.35,4.21,4.28,1081454
2022-11-23,4.39,4.49,4.29,4.35,971261
2022-11-24,4.41,4.43,4.345,4.37,856704
