date,open,high,low,close,volume
2022-08-29,24.32,24.45,23.99,24.35,1590201
2022-08-30,24.38,24.89,24.35,24.7,1956112
2022-08-31,24.66,24.75,24.35,24.7,2006839
2022-09-01,24.53,24.74,24.31,24.6,1467767
2022-09-02,24.62,24.74,24.135,24.24,1412681
2022-09-05,24.29,24.52,23.66,23.88,1443464
2022-09-06,24.24,24.3,23.89,24.1,2108139
2022-09-07,24.02,24.6,23.99,24.57,1719933
2022-09-08,24.65,24.75,24.38,24.75,1085714
2022-09-09,24.56,24.75,24.23,24.62,2289409
2022-09-12,24.82,25.14,24.73,25.06,1023451
2022-09-13,25.32,25.33,24.15,24.44,3439597
2022-09-14,24.24,24.9,24.15,24.73,3540987
2022-09-15,24.84,25.09,24.59,24.91,1718928
2022-09-16,25.3,26.23,25.2,26.01,9688634
2022-09-19,25.87,26.12,24.96,24.98,2529564
2022-09-20,25.2,25.32,24.92,25.06,2151384
2022-09-21,25.23,25.27,24.66,24.98,2476087
2022-09-23,24.9,25.38,24.68,24.81,2640557
2022-09-26,24.74,24.88,24.45,24.79,2541590
2022-09-27,24.94,25.08,24.65,24.7,1813145
2022-09-28,24.75,24.815,24.14,24.56,2438667
2022-09-29,24.77,24.9,24.48,24.64,1982800
2022-09-30,24.74,25.11,24.59,24.76,2020528
2022-10-03,24.5,24.86,23.95,24.54,1261991
2022-10-04,25.0,25.46,24.92,25.24,2518929
2022-10-05,25.55,25.97,25.26,25.65,2977722
2022-10-06,25.58,25.83,25.27,25.72,1571809
2022-10-07,25.58,26.06,25.5,25.82,1353090
2022-10-10,25.61,25.79,25.39,25.56,1200959
2022-10-11,25.82,25.96,25.25,25.38,1223270
2022-10-12,25.23,25.38,24.97,24.98,1687399
2022-10-13,25.06,25.06,24.72,24.74,1147167
2022-10-14,25.2,25.5,25.13,25.39,1544098
2022-10-17,25.25,25.46,24.99,25.08,1420291
2022-10-18,25.36,25.43,25.02,25.17,2322569
2022-10-19,25.18,25.4,25.04,25.21,1809652
2022-10-20,24.96,25.09,24.46,24.61,2456412
2022-10-21,24.64,24.9,24.51,24.63,1743124
2022-10-24,24.7,24.98,24.39,24.57,987807
2022-10-25,24.54,24.87,24.47,24.68,1576665
2022-10-26,24.59,24.82,24.38,24.55,2016616
2022-10-27,24.51,24.75,24.43,24.69,1398419
2022-10-28,24.69,24.85,24.43,24.54,1701798
2022-10-31,25.0,25.445,24.84,25.27,1980766
2022-11-01,24.85,25.5,24.85,25.5,1221695
2022-11-02,25.48,25.71,25.235,25.62,2068167
2022-11-03,25.25,26.14,25.12,25.94,1441445
2022-11-04,25.84,25.98,25.54,25.9,1855877
2022-11-07,25.89,25.89,25.43,25.73,1332301
2022-11-08,25.97,26.12,25.755,25.86,1481282
2022-11-09,26.21,26.4,25.89,26.0,2279432
