date,open,high,low,close,volume
2022-08-29,292.21,296.0,292.14,294.24,576469
2022-08-30,293.33,295.55,290.87,293.9,764086
2022-08-31,294.85,295.65,292.465,293.54,687419
2022-09-01,291.0,294.83,289.74,293.79,1050116
2022-09-02,295.4,297.46,293.85,295.99,722506
2022-09-05,296.0,296.54,293.81,294.8,492215
2022-09-06,294.42,296.09,293.4,294.0,854340
2022-09-07,292.08,293.91,291.0,293.41,819143
2022-09-08,295.69,299.64,295.09,299.61,1380469
2022-09-09,299.81,301.32,297.09,298.64,785888
2022-09-12,299.15,299.89,296.08,296.3,458311
2022-09-13,293.96,296.86,293.02,295.1,486003
2022-09-14,288.05,291.0,285.57,289.63,755335
2022-09-15,288.05,290.53,286.39,287.61,825555
2022-09-16,288.92,289.35,285.52,285.83,1638262
2022-09-19,285.05,286.12,282.51,282.98,448478
2022-09-20,284.02,285.47,281.24,283.03,659731
2022-09-21,282.0,283.99,280.23,281.14,529054
2022-09-23,279.2,280.84,276.0,278.14,884747
2022-09-26,277.0,287.97,276.82,284.81,1016680
2022-09-27,286.42,287.56,282.29,284.64,871383
2022-09-28,279.11,282.86,278.01,282.35,732918
2022-09-29,283.2,288.62,282.82,286.74,867237
2022-09-30,285.0,286.94,282.98,285.02,1194926
2022-10-03,284.84,285.84,281.97,283.26,382109
2022-10-04,288.3,288.98,286.32,287.4,653041
2022-10-05,289.55,291.48,289.12,290.5,909313
2022-10-06,290.6,291.72,289.49,290.2,640615
2022-10-07,288.78,291.65,288.78,288.85,507958
2022-10-10,284.05,285.33,282.98,283.22,488119
2022-10-11,283.51,286.83,282.04,282.86,558933
2022-10-12,282.28,283.5,279.11,279.7,787692
2022-10-13,278.39,278.85,275.03,276.43,787646
2022-10-14,279.55,281.99,279.02,280.43,658001
2022-10-17,274.0,278.0,272.38,276.83,927231
2022-10-18,279.98,281.5,275.56,275.7,653902
2022-10-19,274.36,278.69,274.0,276.96,566994
2022-10-20,274.01,275.0,270.5,271.64,948137
2022-10-21,269.86,270.85,267.24,267.5,999709
2022-10-24,270.07,274.2,270.07,273.05,473216
2022-10-25,276.28,278.65,275.72,276.0,553552
2022-10-26,276.21,277.1,272.32,275.31,484451
2022-10-27,275.89,277.935,273.77,275.95,488610
2022-10-28,273.97,275.95,273.02,274.25,416077
2022-10-31,278.6,280.98,275.88,280.48,722256
2022-11-01,280.68,283.26,277.5,283.26,592060
2022-11-02,285.4,285.44,281.1,282.71,601870
2022-11-03,280.4,280.86,276.25,278.34,482415
2022-11-04,278.06,280.93,273.54,275.6,689880
2022-11-07,273.5,277.25,273.5,277.16,332587
2022-11-08,277.8,281.97,276.63,280.7,467663
2022-11-09,281.19,284.25,279.23,279.61,534611
2022-11-10,284.97,284.98,282.12,282.73,611770
2022-11-11,286.86,293.97,285.0,292.29,1261984
2022-11-14,288.79,291.7,285.92,286.55,632082
2022-11-15,286.43,291.47,285.92,290.75,712941
2022-11-16,288.92,290.78,285.06,289.4,709363
2022-11-17,291.49,293.47,290.22,293.33,715264
2022-11-18,293.34,294.45,291.625,294.4,706749
2022-11-21,296.6,298.88,295.28,296.96,586635
2022-11-22,298.36,299.0,296.46,297.32,462016
2022-11-23,300.0,301.38,296.91,297.7,510644
2022-11-24,298.3,300.05,297.2,299.0,497678
2022-11-25,300.15,301.42,299.08,299.72,431447
2022-11-28,299.8,301.0,297.61,300.34,427444
2022-11-29,300.03,304.7,298.0,302.58,614839
2022-11-30,300.2,301.76,298.2,300.11,1539048
2022-12-01,302.13,302.49,297.925,298.66,947058
2022-12-02,300.95,303.5,299.7,301.89,898983
2022-12-05,299.51,301.47,297.5,300.0,400815
2022-12-06,301.19,302.88,299.54,300.79,584077
2022-12-07,298.0,302.38,297.52,299.19,878535
2022-12-08,300.38,300.55,296.84,297.5,432301
2022-12-09,298.58,299.83,297.01,298.46,560564
2022-12-12,295.52,298.2,295.02,298.2,481412
2022-12-13,298.23,299.0,294.31,297.04,650889
2022-12-14,298.01,300.35,296.12,299.31,582951
