date,open,high,low,close,volume
2022-08-29,3.99,4.065,3.96,4.04,5385595
2022-08-30,4.04,4.05,3.97,3.97,5184786
2022-08-31,3.88,3.96,3.86,3.92,8944353
2022-09-01,3.85,3.91,3.83,3.87,7698116
2022-09-02,3.84,3.87,3.8,3.81,4842058
2022-09-05,3.88,3.89,3.82,3.83,7082295
2022-09-06,3.7,3.75,3.56,3.69,18694980
2022-09-07,3.68,3.73,3.64,3.7,14747360
2022-09-08,3.71,3.75,3.675,3.73,8430392
2022-09-09,3.69,3.81,3.69,3.78,9436195
2022-09-12,3.8,3.83,3.77,3.83,5155167
2022-09-13,3.79,3.79,3.72,3.78,25855279
2022-09-14,3.72,3.75,3.68,3.73,7042770
2022-09-15,3.78,3.81,3.73,3.79,7937310
2022-09-16,3.76,3.8,3.73,3.76,11882880
2022-09-19,3.77,3.79,3.72,3.77,4233679
2022-09-20,3.81,3.84,3.77,3.78,4171346
2022-09-21,3.72,3.72,3.635,3.68,4311407
2022-09-23,3.6,3.6,3.5,3.55,7733870
2022-09-26,3.46,3.48,3.34,3.34,8363690
2022-09-27,3.4,3.45,3.35,3.38,6632891
2022-09-28,3.48,3.51,3.41,3.5,14798080
2022-09-29,3.59,3.64,3.51,3.58,8645933
2022-09-30,3.49,3.55,3.45,3.51,30317801
2022-10-03,3.51,3.6,3.48,3.58,5671911
2022-10-04,3.65,3.725,3.62,3.7,7565568
2022-10-05,3.72,3.79,3.57,3.61,13106590
2022-10-06,3.61,3.73,3.58,3.69,9848087
2022-10-07,3.68,3.7,3.63,3.63,5315339
2022-10-10,3.59,3.6,3.52,3.52,5384405
2022-10-11,3.55,3.57,3.51,3.56,18779279
2022-10-12,3.54,3.61,3.52,3.59,7371798
2022-10-13,3.54,3.59,3.52,3.56,12279900
2022-10-14,3.65,3.67,3.61,3.65,6983821
2022-10-17,3.56,3.57,3.53,3.55,8907998
2022-10-18,3.61,3.625,3.53,3.6,10042460
2022-10-19,3.61,3.7,3.6,3.69,11257520
2022-10-20,3.66,3.7,3.57,3.58,9400617
2022-10-21,3.56,3.58,3.53,3.54,9268941
2022-10-24,3.63,3.68,3.62,3.63,4884473
2022-10-25,3.66,3.66,3.56,3.62,9590496
2022-10-26,3.63,3.67,3.6,3.62,5042316
2022-10-27,3.64,3.66,3.62,3.65,7291480
2022-10-28,3.61,3.69,3.61,3.65,4355825
2022-10-31,3.78,3.81,3.71,3.75,20394689
2022-11-01,3.79,3.85,3.76,3.84,13241640
2022-11-02,3.85,3.91,3.83,3.85,11149950
2022-11-03,3.76,3.775,3.69,3.72,6866010
2022-11-04,3.71,3.79,3.67,3.76,5940794
2022-11-07,3.79,3.8,3.715,3.72,4588658
2022-11-08,3.71,3.74,3.665,3.7,6719902
2022-11-09,3.74,3.76,3.72,3.73,5046099
2022-11-10,3.67,3.73,3.67,3.7,3720604
2022-11-11,3.77,3.77,3.7,3.74,30465400
2022-11-14,3.76,3.8,3.72,3.74,7024470
2022-11-15,4.1,4.12,3.96,3.96,17986580
2022-11-16,3.91,3.99,3.85,3.92,8453347
2022-11-17,3.92,3.98,3.87,3.9,7731119
2022-11-18,3.9,3.94,3.89,3.91,6753452
2022-11-21,3.94,3.98,3.88,3.97,5661939
2022-11-22,4.01,4.06,3.98,3.98,9801591
2022-11-23,4.03,4.14,4.02,4.14,10876910
2022-11-24,4.14,4.15,4.05,4.05,5537941
2022-11-25,4.08,4.1,4.045,4.08,5310051
2022-11-28,4.1,4.11,4.055,4.08,8826156
2022-11-29,4.09,4.1,4.01,4.06,9564397
2022-11-30,4.08,4.08,3.985,4.0,17206650
2022-12-01,4.0,4.03,3.955,4.0,12991880
2022-12-02,3.98,4.0,3.93,3.97,10491930
2022-12-05,3.81,3.86,3.8,3.84,9737498
2022-12-06,3.86,3.87,3.81,3.86,8815425
2022-12-07,3.87,3.88,3.83,3.86,5873082
2022-12-08,3.85,3.91,3.8,3.88,6260650
2022-12-09,3.9,3.925,3.86,3.9,6052463
2022-12-12,3.92,3.93,3.88,3.88,4249852
2022-12-13,3.91,3.92,3.86,3.86,10422050
2022-12-14,3.88,3.92,3.87,3.9,4665636
2022-12-15,3.86,3.93,3.85,3.92,6093124
2022-12-16,3.9,3.91,3.83,3.86,13895560
2022-12-19,3.85,3.865,3.8,3.81,5480048
2022-12-20,3.83,3.83,3.76,3.8,6401792
2022-12-21,3.85,3.855,3.815,3.84,4865831
2022-12-22,3.86,3.905,3.85,3.86,4636665
2022-12-23,3.8,3.86,3.8,3.83,2339135
2022-12-28,3.82,3.84,3.76,3.79,2282471
2022-12-29,3.75,3.75,3.725,3.75,22521699
2022-12-30,3.78,3.8,3.75,3.76,4763072
2023-01-03,3.82,3.84,3.655,3.73,6572448
2023-01-04,3.78,3.78,3.66,3.68,6840931
2023-01-05,3.68,3.68,3.575,3.6,12201650
2023-01-06,3.62,3.69,3.61,3.69,4503525
2023-01-09,3.7,3.76,3.68,3.72,24172770
2023-01-10,3.72,3.785,3.71,3.78,3980981
2023-01-11,3.76,3.82,3.74,3.81,6243119
2023-01-12,3.84,3.85,3.78,3.8,6290662
2023-01-13,3.83,3.88,3.81,3.81,6596948
2023-01-16,3.82,3.84,3.755,3.8,24075830
2023-01-17,3.81,3.815,3.765,3.8,4075502
2023-01-18,3.8,3.85,3.8,3.85,4912585
2023-01-19,3.84,3.84,3.8,3.83,3216454
2023-01-20,3.83,3.85,3.77,3.79,5407530
2023-01-23,3.82,3.82,3.73,3.8,4993745
2023-01-24,3.77,3.82,3.76,3.81,3843636
2023-01-25,3.83,3.83,3.73,3.73,5200191
2023-01-27,3.76,3.77,3.63,3.65,9081863
2023-01-30,3.66,3.66,3.52,3.52,8146147
2023-01-31,3.53,3.54,3.42,3.44,8939910
2023-02-01,3.43,3.465,3.405,3.44,10426340
2023-02-02,3.45,3.48,3.37,3.4,8827263
2023-02-03,3.43,3.46,3.38,3.42,5821275
2023-02-06,3.43,3.53,3.425,3.53,12830060
2023-02-07,3.51,3.57,3.51,3.52,7506621
2023-02-08,3.52,3.57,3.48,3.49,6535278
2023-02-09,3.5,3.54,3.46,3.47,5090810
2023-02-10,3.45,3.51,3.44,3.47,6409851
2023-02-13,3.49,3.52,3.46,3.49,6929476
2023-02-14,3.47,3.48,3.415,3.44,7623473
2023-02-15,3.48,3.51,3.45,3.5,7912793
2023-02-16,3.52,3.59,3.51,3.59,8716426
2023-02-17,3.57,3.57,3.5,3.53,7435148
2023-02-20,3.5,3.555,3.49,3.51,3546006
2023-02-21,3.51,3.56,3.5,3.53,3620554
2023-02-22,3.5,3.53,3.45,3.5,5006392
2023-02-23,3.53,3.58,3.51,3.55,6141438
2023-02-24,3.54,3.56,3.49,3.52,5331404
2023-02-27,3.51,3.52,3.43,3.46,6099475
2023-02-28,3.48,3.51,3.43,3.44,8140903
2023-03-01,3.42,3.45,3.38,3.45,9965579
2023-03-02,3.45,3.45,3.405,3.43,5055610
2023-03-03,3.44,3.48,3.44,3.45,4811921
2023-03-06,3.45,3.51,3.44,3.47,5428674
2023-03-07,3.45,3.54,3.45,3.52,9431113
2023-03-08,3.51,3.52,3.455,3.47,5516624
2023-03-09,3.51,3.51,3.46,3.47,3359399
2023-03-10,3.44,3.44,3.36,3.38,6231659
2023-03-13,3.35,3.37,3.29,3.32,4715549
2023-03-14,3.25,3.29,3.13,3.16,14546210
2023-03-15,3.18,3.28,3.18,3.27,8468610
2023-03-16,3.21,3.24,3.19,3.2,14968700
2023-03-17,3.2,3.24,3.18,3.23,8088554
2023-03-20,3.18,3.2,3.115,3.12,5114890
2023-03-21,3.25,3.33,3.19,3.24,12007880
2023-03-22,3.23,3.25,3.18,3.21,6511775
2023-03-23,3.21,3.24,3.17,3.18,6774220
2023-03-24,3.16,3.21,3.16,3.17,6483299
2023-03-27,3.2,3.22,3.16,3.21,5266778
2023-03-28,3.22,3.24,3.18,3.19,8132514
2023-03-29,3.18,3.22,3.17,3.2,4998025
2023-03-30,3.21,3.25,3.19,3.2,9068634
2023-03-31,3.18,3.205,3.13,3.13,13891540
2023-04-03,3.16,3.19,3.15,3.16,6439253
2023-04-04,3.16,3.21,3.15,3.18,12437780
2023-04-05,3.19,3.19,3.16,3.16,14107120
2023-04-06,3.19,3.2,3.13,3.13,9735197
2023-04-11,3.18,3.23,3.14,3.2,5787715
2023-04-12,3.22,3.27,3.21,3.24,6015275
2023-04-13,3.24,3.24,3.21,3.21,5635693
2023-04-14,3.21,3.24,3.19,3.22,4126653
2023-04-17,3.23,3.25,3.21,3.22,3783536
2023-04-18,3.23,3.24,3.185,3.22,6889314
2023-04-19,3.18,3.21,3.16,3.2,5407362
2023-04-20,3.2,3.28,3.18,3.25,8111697
2023-04-21,3.25,3.35,3.23,3.28,10426700
2023-04-24,3.28,3.33,3.26,3.3,6010748
2023-04-26,3.28,3.29,3.18,3.18,10967900
2023-04-27,3.19,3.21,3.17,3.19,3462647
2023-04-28,3.21,3.23,3.18,3.19,6582604
2023-05-01,3.22,3.27,3.22,3.23,4049044
2023-05-02,3.22,3.26,3.19,3.19,4549102
2023-05-03,3.16,3.18,3.1,3.12,8332742
2023-05-04,3.11,3.15,3.11,3.14,3050453
2023-05-05,3.12,3.13,3.085,3.1,4196158
2023-05-08,3.15,3.2,3.15,3.19,4489754
2023-05-09,3.19,3.27,3.15,3.21,8853752
2023-05-10,3.2,3.3,3.2,3.27,8025804
2023-05-11,3.26,3.31,3.255,3.29,7483706
2023-05-12,3.27,3.28,3.22,3.23,7975021
2023-05-15,3.22,3.25,3.2,3.22,4981336
2023-05-16,3.22,3.235,3.18,3.19,7757213
2023-05-17,2.97,3.05,2.86,2.94,35660219
