date,open,high,low,close,volume
2022-08-29,4.97,4.98,4.89,4.95,726976
2022-08-30,4.98,5.015,4.925,4.99,632237
2022-08-31,4.97,5.03,4.95,5.0,997718
2022-09-01,4.98,4.985,4.93,4.93,898943
2022-09-02,4.93,4.96,4.92,4.92,630372
2022-09-05,4.94,4.98,4.91,4.94,660601
2022-09-06,4.98,5.01,4.93,4.95,755825
2022-09-07,4.93,4.96,4.88,4.9,913542
2022-09-08,4.95,5.03,4.92,5.02,552866
2022-09-09,4.95,5.02,4.95,4.98,529790
2022-09-12,5.0,5.04,4.98,5.0,885670
2022-09-13,5.02,5.06,4.99,5.04,897286
2022-09-14,4.92,4.93,4.88,4.93,764306
2022-09-15,4.71,4.73,4.62,4.69,1321837
2022-09-16,4.72,4.74,4.63,4.71,4054650
2022-09-19,4.71,4.8,4.68,4.69,634973
2022-09-20,4.73,4.78,4.69,4.72,498917
2022-09-21,4.71,4.72,4.6,4.62,1013257
2022-09-23,4.71,4.72,4.505,4.55,571782
2022-09-26,4.5,4.5,4.42,4.46,459728
2022-09-27,4.49,4.51,4.37,4.38,852224
2022-09-28,4.38,4.425,4.31,4.34,785822
2022-09-29,4.4,4.44,4.36,4.39,596089
2022-09-30,4.34,4.36,4.24,4.24,1009327
2022-10-03,4.26,4.3,4.22,4.24,484023
2022-10-04,4.29,4.33,4.24,4.31,811474
2022-10-05,4.41,4.48,4.375,4.41,1272606
2022-10-06,4.43,4.49,4.415,4.48,692961
2022-10-07,4.43,4.58,4.43,4.54,916833
2022-10-10,4.49,4.535,4.43,4.45,993885
2022-10-11,4.47,4.49,4.4,4.4,467959
2022-10-12,4.41,4.46,4.39,4.4,434181
2022-10-13,4.4,4.43,4.35,4.35,461859
2022-10-14,4.44,4.5,4.37,4.4,597619
2022-10-17,4.31,4.34,4.26,4.29,368925
2022-10-18,4.36,4.485,4.345,4.48,655680
2022-10-19,4.55,4.7,4.5,4.57,758708
2022-10-20,4.5,4.51,4.35,4.41,592733
2022-10-21,4.41,4.44,4.36,4.36,531056
2022-10-24,4.54,4.54,4.42,4.43,288780
2022-10-25,4.47,4.47,4.42,4.43,295691
2022-10-26,4.67,4.67,4.48,4.55,432364
2022-10-27,4.5,4.58,4.47,4.55,664240
2022-10-28,4.55,4.59,4.49,4.51,309255
2022-10-31,4.62,4.67,4.61,4.64,563569
2022-11-01,4.61,4.75,4.59,4.75,686406
2022-11-02,4.74,4.77,4.69,4.75,877246
2022-11-03,4.63,4.68,4.63,4.64,617377
2022-11-04,4.6,4.72,4.6,4.69,411362
2022-11-07,4.7,4.72,4.64,4.69,376572
2022-11-08,4.66,4.66,4.485,4.57,2687042
2022-11-09,4.56,4.6,4.54,4.57,758010
2022-11-10,4.53,4.57,4.525,4.57,608927
2022-11-11,4.7,4.75,4.62,4.67,1166064
2022-11-14,4.66,4.69,4.57,4.6,520281
2022-11-15,4.62,4.7,4.58,4.63,452321
2022-11-16,4.65,4.73,4.635,4.69,400317
2022-11-17,4.7,4.72,4.635,4.7,382007
2022-11-18,4.7,4.74,4.69,4.72,387056
2022-11-21,4.75,4.75,4.665,4.68,465029
2022-11-22,4.76,4.77,4.7,4.7,483362
2022-11-23,4.74,4.74,4.64,4.68,2597549
2022-11-24,4.68,4.71,4.64,4.68,537444
2022-11-25,4.75,4.75,4.67,4.67,311003
2022-11-28,4.69,4.705,4.66,4.67,639145
2022-11-29,4.69,4.71,4.66,4.68,1033708
2022-11-30,4.71,4.72,4.605,4.65,1480620
2022-12-01,4.7,4.75,4.665,4.73,768341
2022-12-02,4.73,4.75,4.69,4.69,561273
2022-12-05,4.73,4.77,4.65,4.65,962895
2022-12-06,4.65,4.775,4.65,4.77,672166
2022-12-07,4.72,4.75,4.7,4.72,1188134
2022-12-08,4.73,4.73,4.65,4.68,627242
2022-12-09,4.7,4.78,4.66,4.77,670878
2022-12-12,4.75,4.76,4.68,4.74,850894
2022-12-13,4.73,4.78,4.71,4.78,911886
2022-12-14,4.79,4.81,4.745,4.8,594624
2022-12-15,4.78,4.78,4.705,4.72,560906
2022-12-16,4.66,4.66,4.56,4.6,1553437
2022-12-19,4.64,4.68,4.57,4.58,2434175
2022-12-20,4.63,4.63,4.42,4.44,613687
2022-12-21,4.5,4.59,4.475,4.51,603257
2022-12-22,4.6,4.6,4.45,4.47,619752
2022-12-23,4.43,4.46,4.4,4.46,277389
2022-12-28,4.44,4.44,4.4,4.42,538760
2022-12-29,4.4,4.455,4.39,4.45,524797
2022-12-30,4.46,4.48,4.41,4.45,466419
2023-01-03,4.5,4.55,4.315,4.36,328865
2023-01-04,4.4,4.42,4.35,4.39,583142
2023-01-05,4.38,4.42,4.34,4.35,591226
2023-01-06,4.41,4.41,4.35,4.36,446359
2023-01-09,4.41,4.46,4.4,4.43,239648
2023-01-10,4.45,4.52,4.44,4.48,445715
2023-01-11,4.49,4.55,4.49,4.55,289906
2023-01-12,4.55,4.615,4.5,4.6,315333
2023-01-13,4.63,4.68,4.6,4.66,368209
2023-01-16,4.68,4.71,4.65,4.67,323006
2023-01-17,4.67,4.71,4.64,4.7,205173
2023-01-18,4.69,4.695,4.64,4.68,606392
2023-01-19,4.73,4.73,4.67,4.69,263337
2023-01-20,4.7,4.73,4.67,4.67,446818
2023-01-23,4.72,4.73,4.64,4.66,360483
2023-01-24,4.62,4.71,4.59,4.7,1175349
2023-01-25,4.72,4.75,4.65,4.67,727442
2023-01-27,4.75,4.79,4.73,4.75,365189
2023-01-30,4.85,4.87,4.75,4.75,583040
2023-01-31,4.81,4.81,4.65,4.71,549675
2023-02-01,4.72,4.79,4.69,4.76,515432
2023-02-02,4.82,4.9,4.79,4.88,524454
2023-02-03,4.94,5.055,4.91,5.03,828117
2023-02-06,5.0,5.01,4.83,4.85,371966
2023-02-07,4.9,4.92,4.79,4.88,635320
2023-02-08,4.9,4.97,4.86,4.95,845923
2023-02-09,4.96,5.02,4.93,4.96,796818
2023-02-10,4.93,4.97,4.92,4.94,760603
2023-02-13,4.64,4.68,4.58,4.63,2599448
2023-02-14,4.65,4.66,4.56,4.56,992835
2023-02-15,4.61,4.66,4.59,4.59,1055661
2023-02-16,4.62,4.63,4.56,4.59,1661078
2023-02-17,4.59,4.6,4.445,4.48,2048111
2023-02-20,4.52,4.52,4.37,4.4,889624
2023-02-21,4.4,4.45,4.38,4.39,1601004
2023-02-22,4.35,4.41,4.32,4.37,2839493
2023-02-23,4.44,4.45,4.35,4.35,1437454
2023-02-24,4.37,4.445,4.36,4.43,1687510
2023-02-27,4.43,4.43,4.33,4.33,816776
2023-02-28,4.36,4.42,4.295,4.31,1294933
2023-03-01,4.32,4.4,4.26,4.29,1347145
2023-03-02,4.3,4.36,4.27,4.28,1510462
2023-03-03,4.32,4.34,4.29,4.3,992357
2023-03-06,4.35,4.385,4.305,4.32,1063088
2023-03-07,4.33,4.38,4.3,4.35,1758678
2023-03-08,4.35,4.35,4.27,4.28,1128159
2023-03-09,4.3,4.49,4.245,4.26,1376425
2023-03-10,4.25,4.29,4.215,4.28,1185399
2023-03-13,4.26,4.26,4.16,4.16,850277
2023-03-14,4.08,4.17,4.06,4.15,2265770
2023-03-15,4.2,4.35,4.165,4.2,1904969
2023-03-16,3.97,4.0,3.89,3.89,2240744
2023-03-17,3.95,4.025,3.92,3.98,1639572
2023-03-20,3.98,4.01,3.93,3.98,931849
2023-03-21,3.97,4.0,3.96,3.99,954111
2023-03-22,4.11,4.11,3.96,3.96,981324
2023-03-23,3.96,4.0,3.955,3.97,738245
2023-03-24,3.97,4.0,3.93,3.98,623327
2023-03-27,3.99,4.09,3.97,3.98,965512
2023-03-28,4.02,4.11,4.0,4.09,826750
2023-03-29,4.1,4.1,4.03,4.05,904482
2023-03-30,4.08,4.21,4.08,4.16,878773
2023-03-31,4.2,4.22,4.06,4.07,1390609
2023-04-03,4.06,4.12,4.03,4.1,753830
2023-04-04,4.11,4.21,4.1,4.19,1207190
