date,open,high,low,close,volume
2022-08-29,1.19,1.205,1.165,1.175,511615
2022-08-30,1.16,1.25,1.16,1.22,415510
2022-08-31,1.255,1.255,1.185,1.205,932081
2022-09-01,1.185,1.185,1.13,1.15,1324929
2022-09-02,1.15,1.155,1.11,1.115,678916
2022-09-05,1.11,1.14,1.1,1.14,337516
2022-09-06,1.15,1.155,1.115,1.125,286939
2022-09-07,1.12,1.15,1.105,1.135,1095813
2022-09-08,1.15,1.15,1.13,1.15,297193
2022-09-09,1.15,1.15,1.125,1.15,482125
2022-09-12,1.145,1.145,1.05,1.08,663907
2022-09-13,1.08,1.125,1.07,1.125,413770
2022-09-14,1.085,1.11,1.065,1.07,210995
2022-09-15,1.09,1.12,1.07,1.12,254740
2022-09-16,1.11,1.11,0.99,1.04,1302191
2022-09-19,1.045,1.06,1.01,1.04,381913
2022-09-20,1.03,1.055,1.015,1.02,411727
2022-09-21,1.04,1.04,0.92,0.965,651128
2022-09-23,0.965,0.98,0.935,0.97,610955
2022-09-26,0.965,0.965,0.88,0.905,658849
2022-09-27,0.89,0.91,0.85,0.9,1223760
2022-09-28,0.9,0.935,0.89,0.89,381192
2022-09-29,0.96,1.03,0.94,1.025,577168
2022-09-30,1.01,1.01,0.97,1.0,507766
2022-10-03,1.0,1.0,0.95,0.955,574290
2022-10-04,1.0,1.0,0.965,1.0,451637
2022-10-05,1.025,1.045,0.995,1.0,355217
2022-10-06,1.025,1.025,0.98,1.0,860699
2022-10-07,1.015,1.165,1.01,1.125,1157229
2022-10-10,1.12,1.12,0.995,1.0,1278282
2022-10-11,1.01,1.01,0.96,0.975,779113
2022-10-12,0.97,1.03,0.965,1.03,520334
2022-10-13,1.085,1.085,1.035,1.05,595302
2022-10-14,1.065,1.08,1.04,1.07,606894
2022-10-17,1.07,1.08,1.05,1.065,547687
2022-10-18,1.055,1.16,1.055,1.15,1739430
2022-10-19,1.16,1.205,1.145,1.155,1254781
2022-10-20,1.135,1.135,1.05,1.12,1758968
2022-10-21,1.1,1.14,1.1,1.12,254940
2022-10-24,1.175,1.175,1.13,1.16,668122
2022-10-25,1.165,1.165,1.14,1.15,311831
2022-10-26,1.155,1.18,1.135,1.15,425866
2022-10-27,1.155,1.225,1.155,1.18,500241
