date,open,high,low,close,volume
2022-08-29,19.9,20.25,19.87,20.13,4319335
2022-08-30,20.09,20.39,20.09,20.15,2963278
2022-08-31,20.0,20.1,19.59,19.67,6532874
2022-09-01,19.41,19.47,18.76,19.17,10723850
2022-09-02,19.28,19.45,19.16,19.21,2695279
2022-09-05,19.02,19.08,18.73,18.85,2948866
2022-09-06,18.8,19.04,18.69,18.82,3457237
2022-09-07,18.71,18.85,18.42,18.59,6739177
2022-09-08,18.8,19.26,18.68,19.26,4175380
2022-09-09,19.0,19.08,18.79,19.05,3014637
2022-09-12,19.26,19.34,19.13,19.18,2611298
2022-09-13,19.3,19.7,19.3,19.68,3041596
2022-09-14,19.03,19.21,18.48,18.69,3547213
2022-09-15,18.62,18.765,18.17,18.29,8125506
2022-09-16,17.95,18.04,17.79,17.8,9098652
2022-09-19,17.9,18.04,17.725,17.87,4539567
2022-09-20,17.92,18.07,17.82,17.84,3381825
2022-09-21,17.56,17.63,17.44,17.55,3194658
2022-09-23,17.18,17.22,16.85,16.9,4857811
2022-09-26,16.64,16.96,16.61,16.78,6548698
2022-09-27,16.52,16.675,16.3,16.36,6446198
2022-09-28,16.12,16.3,15.78,16.1,7419321
2022-09-29,16.4,16.51,16.06,16.23,4474823
2022-09-30,15.86,15.96,15.72,15.78,5879779
2022-10-03,15.61,15.99,15.61,15.84,3877203
2022-10-04,16.17,16.77,16.04,16.74,6609104
2022-10-05,17.45,17.6,17.11,17.28,9935680
2022-10-06,17.02,17.06,16.61,16.85,6276515
2022-10-07,16.58,16.69,16.44,16.46,3751247
2022-10-10,15.93,16.17,15.84,16.14,3692246
2022-10-11,16.47,16.48,15.82,15.88,4869688
2022-10-12,15.94,16.07,15.82,15.96,5877484
2022-10-13,15.75,15.82,15.57,15.74,4188467
2022-10-14,16.04,16.27,15.74,16.01,3638074
2022-10-17,15.86,16.08,15.77,16.03,6633997
2022-10-18,16.37,16.74,16.35,16.62,4905678
2022-10-19,16.75,16.83,16.67,16.71,4742558
2022-10-20,16.48,16.53,16.32,16.52,9203008
2022-10-21,16.4,16.52,15.92,15.92,4422536
2022-10-24,16.23,16.55,16.16,16.29,3662010
2022-10-25,16.35,16.665,16.34,16.56,2837077
2022-10-26,17.0,17.09,16.85,16.95,3472217
2022-10-27,16.78,17.065,16.74,16.93,2715365
2022-10-28,16.89,16.91,16.45,16.75,4337401
2022-10-31,17.3,17.3,16.7,17.0,4622228
2022-11-01,16.98,17.68,16.86,17.65,5199797
2022-11-02,17.54,17.64,17.05,17.11,6280637
2022-11-03,16.65,17.11,16.54,16.97,3845544
2022-11-04,16.84,16.96,16.685,16.83,3954858
2022-11-07,16.91,17.05,16.88,16.98,2255866
2022-11-08,16.94,17.11,16.75,17.03,3442959
2022-11-09,17.12,17.36,17.12,17.13,3440738
2022-11-10,16.95,17.27,16.82,17.23,3751944
2022-11-11,18.36,18.57,18.24,18.27,8633354
2022-11-14,18.2,18.5,18.07,18.17,4862309
2022-11-15,17.97,18.14,17.81,17.88,3844245
2022-11-16,17.82,18.12,17.8,17.89,2591973
2022-11-17,18.15,18.21,17.8,18.18,3877746
2022-11-18,18.28,18.55,18.255,18.36,4709406
2022-11-21,18.44,18.5,18.12,18.12,2629026
2022-11-22,18.38,18.38,18.07,18.15,2987066
2022-11-23,18.17,18.26,18.01,18.23,3037254
2022-11-24,18.26,18.575,18.2,18.56,3024612
2022-11-25,18.76,18.88,18.55,18.77,2541129
2022-11-28,18.81,19.0,18.725,18.91,5007066
2022-11-29,18.54,18.765,18.48,18.69,4042271
2022-11-30,19.0,19.12,18.66,19.12,11030425
2022-12-01,19.44,19.44,19.0,19.2,2917181
2022-12-02,18.97,19.03,18.41,18.41,8077332
2022-12-05,18.51,18.94,18.44,18.73,3362257
2022-12-06,18.67,18.75,18.35,18.52,4453931
2022-12-07,18.28,18.33,18.0,18.0,5478303
2022-12-08,18.22,18.36,17.97,18.23,3328401
2022-12-09,18.38,18.49,18.04,18.18,6090871
2022-12-12,18.21,18.4,18.17,18.2,2692594
2022-12-13,18.24,18.33,18.07,18.31,4007490
2022-12-14,18.68,18.93,18.52,18.6,3513361
2022-12-15,18.53,18.73,18.45,18.45,6103382
2022-12-16,18.01,18.33,17.94,18.22,7744343
2022-12-19,18.0,18.14,17.91,17.91,1679834
2022-12-20,17.85,17.93,17.06,17.1,5648143
2022-12-21,17.39,17.625,17.24,17.5,5287299
2022-12-22,17.7,17.73,17.445,17.73,3107194
2022-12-23,17.5,17.53,17.425,17.43,1791167
2022-12-28,17.26,17.53,17.25,17.42,1721809
2022-12-29,17.22,17.43,17.08,17.37,3425925
