date,open,high,low,close,volume
2022-08-29,4.13,4.15,4.09,4.13,3321937
2022-08-30,4.12,4.205,4.11,4.17,5106137
2022-08-31,4.21,4.26,4.17,4.21,15923770
2022-09-01,4.12,4.19,4.055,4.12,4768504
2022-09-02,4.2,4.27,4.165,4.23,4024689
2022-09-05,4.26,4.27,4.19,4.19,3433359
2022-09-06,4.22,4.24,4.15,4.18,4467615
2022-09-07,4.17,4.175,4.09,4.14,4406320
2022-09-08,4.16,4.27,4.16,4.27,5573684
2022-09-09,4.26,4.27,4.185,4.22,5173868
2022-09-12,4.25,4.26,4.21,4.22,2427494
2022-09-13,4.25,4.26,4.21,4.24,4382163
2022-09-14,4.12,4.17,4.06,4.1,4443755
2022-09-15,4.11,4.13,4.06,4.08,7962188
2022-09-16,4.02,4.05,3.98,4.04,12725044
2022-09-19,4.09,4.16,4.08,4.13,4552934
2022-09-20,4.14,4.19,4.12,4.12,4070588
2022-09-21,4.06,4.12,4.02,4.03,5614763
2022-09-23,3.95,3.96,3.84,3.89,6495644
2022-09-26,3.84,3.925,3.82,3.82,5817045
2022-09-27,3.77,3.81,3.7,3.74,7970487
2022-09-28,3.69,3.755,3.68,3.75,5582052
2022-09-29,3.81,3.86,3.81,3.82,5298634
2022-09-30,3.75,3.85,3.73,3.83,12430519
2022-10-03,3.83,3.89,3.82,3.88,3869277
2022-10-04,3.93,4.07,3.92,4.06,6208907
2022-10-05,4.14,4.14,4.0,4.03,7472781
2022-10-06,3.96,4.03,3.96,4.02,5936068
2022-10-07,3.93,3.97,3.905,3.93,3299559
2022-10-10,3.86,3.88,3.82,3.87,3159886
2022-10-11,3.86,3.9,3.83,3.84,4151678
2022-10-12,3.87,3.93,3.86,3.92,3697936
2022-10-13,3.86,3.88,3.82,3.85,3400603
2022-10-14,3.91,3.95,3.88,3.92,4318680
2022-10-17,3.88,3.92,3.87,3.88,2495460
2022-10-18,3.94,4.05,3.92,4.03,4764040
2022-10-19,4.05,4.08,4.0,4.03,4482329
2022-10-20,3.96,4.02,3.94,4.0,4107835
2022-10-21,3.97,4.01,3.95,3.95,3028251
2022-10-24,4.02,4.02,3.95,3.95,4046525
2022-10-25,3.98,4.06,3.97,4.03,4496297
2022-10-26,4.06,4.17,4.04,4.15,5553496
2022-10-27,4.14,4.2,4.12,4.16,5845594
2022-10-28,4.17,4.235,4.17,4.22,5493568
2022-10-31,4.32,4.33,4.24,4.31,7337874
2022-11-01,4.34,4.42,4.29,4.42,5986161
2022-11-02,4.39,4.41,4.335,4.39,5179185
2022-11-03,4.3,4.35,4.24,4.32,5085738
2022-11-04,4.3,4.33,4.265,4.29,5601310
2022-11-07,4.3,4.32,4.18,4.18,5290055
2022-11-08,4.19,4.23,4.155,4.22,4564647
2022-11-09,4.23,4.33,4.23,4.3,6750112
2022-11-10,4.3,4.33,4.275,4.3,4523079
2022-11-11,4.47,4.5,4.43,4.47,6462785
2022-11-14,4.45,4.47,4.36,4.38,3261705
2022-11-15,4.38,4.385,4.33,4.33,3212122
2022-11-16,4.33,4.39,4.31,4.35,3600877
2022-11-17,4.36,4.36,4.27,4.32,5665444
2022-11-18,4.34,4.365,4.275,4.28,5348823
2022-11-21,4.32,4.365,4.3,4.3,2503249
2022-11-22,4.31,4.34,4.28,4.29,3894901
2022-11-23,4.31,4.32,4.24,4.25,6152348
2022-11-24,4.3,4.36,4.29,4.35,3817716
2022-11-25,4.35,4.45,4.33,4.45,4092309
2022-11-28,4.48,4.485,4.39,4.43,4616223
2022-11-29,4.39,4.4,4.36,4.37,4912749
2022-11-30,4.38,4.48,4.36,4.48,15932187
2022-12-01,4.52,4.55,4.455,4.5,4944776
