date,open,high,low,close,volume
2022-08-29,4.3,4.32,4.21,4.21,2696344
2022-08-30,4.22,4.34,4.22,4.33,2693287
2022-08-31,4.33,4.35,4.2,4.23,7223222
2022-09-01,4.16,4.21,4.15,4.19,5121925
2022-09-02,4.22,4.23,4.16,4.17,3334415
2022-09-05,4.2,4.21,4.11,4.2,1789658
2022-09-06,4.2,4.28,4.18,4.2,3143462
2022-09-07,4.18,4.21,4.13,4.2,2781239
2022-09-08,4.23,4.3,4.23,4.27,2294642
2022-09-09,4.23,4.3,4.23,4.29,1427390
2022-09-12,4.32,4.44,4.3,4.42,2718832
2022-09-13,4.47,4.52,4.44,4.5,2543117
2022-09-14,4.37,4.38,4.29,4.32,1955953
2022-09-15,4.33,4.355,4.27,4.27,2431406
2022-09-16,4.24,4.295,4.23,4.28,3922979
2022-09-19,4.27,4.29,4.19,4.23,3088902
2022-09-20,4.29,4.31,4.25,4.29,1957549
2022-09-21,4.26,4.3,4.22,4.29,3090041
2022-09-23,4.23,4.33,4.08,4.09,4461225
2022-09-26,4.04,4.19,4.03,4.14,4313810
2022-09-27,4.15,4.18,4.115,4.12,4559697
2022-09-28,4.09,4.16,4.06,4.14,5201530
2022-09-29,4.22,4.26,4.13,4.16,2812055
2022-09-30,4.1,4.15,4.04,4.04,3407217
2022-10-03,4.03,4.07,3.99,4.01,1835200
2022-10-04,4.07,4.18,4.06,4.15,3837493
2022-10-05,4.15,4.21,4.11,4.2,5158250
2022-10-06,4.19,4.24,4.17,4.2,1547839
2022-10-07,4.2,4.2,4.14,4.16,2216585
2022-10-10,4.1,4.18,4.06,4.15,2260255
2022-10-11,4.17,4.185,4.11,4.11,2201818
2022-10-12,4.13,4.21,4.12,4.12,2897288
2022-10-13,4.13,4.16,4.12,4.15,2734242
2022-10-14,3.99,4.01,3.96,3.99,3352501
2022-10-17,3.95,3.965,3.9,3.93,2109446
2022-10-18,3.99,4.04,3.96,4.01,2137649
2022-10-19,4.04,4.07,3.96,3.99,1897196
2022-10-20,3.93,3.95,3.9,3.91,2064366
2022-10-21,3.92,3.99,3.895,3.94,3180708
2022-10-24,4.0,4.05,3.97,4.01,1631503
2022-10-25,4.05,4.06,4.01,4.05,1373587
2022-10-26,4.07,4.12,4.05,4.06,2159928
2022-10-27,4.1,4.16,4.08,4.11,2638153
2022-10-28,4.09,4.11,4.02,4.03,2492137
2022-10-31,4.1,4.17,4.09,4.16,3419804
2022-11-01,4.16,4.235,4.15,4.23,1517552
2022-11-02,4.26,4.27,4.17,4.18,3640346
2022-11-03,4.12,4.12,4.07,4.09,1691357
2022-11-04,4.06,4.1,4.04,4.07,1372859
2022-11-07,4.08,4.1,4.02,4.06,2209354
2022-11-08,4.06,4.08,4.03,4.08,2089406
2022-11-09,4.08,4.1,4.04,4.05,1557837
2022-11-10,4.02,4.04,3.98,4.02,1499398
2022-11-11,4.12,4.17,4.1,4.15,2727419
2022-11-14,4.16,4.17,4.075,4.09,1679712
2022-11-15,4.08,4.17,4.08,4.14,2140964
2022-11-16,4.14,4.15,4.09,4.1,1046149
2022-11-17,4.12,4.16,4.115,4.12,1638864
2022-11-18,4.15,4.15,4.11,4.11,1167507
2022-11-21,4.15,4.15,4.09,4.12,1480696
2022-11-22,4.15,4.16,4.1,4.15,1293750
2022-11-23,4.16,4.3,4.13,4.23,3052590
2022-11-24,4.23,4.26,4.13,4.17,3145954
2022-11-25,4.2,4.35,4.2,4.3,2981205
2022-11-28,4.29,4.34,4.26,4.28,2245053
2022-11-29,4.32,4.32,4.19,4.27,2747816
2022-11-30,4.22,4.27,4.22,4.25,3387427
2022-12-01,4.3,4.34,4.285,4.32,1650646
2022-12-02,4.34,4.37,4.315,4.32,2088417
2022-12-05,4.35,4.4,4.32,4.36,2163080
2022-12-06,4.33,4.4,4.31,4.33,1861797
2022-12-07,4.3,4.31,4.23,4.26,2716730
2022-12-08,4.29,4.3,4.24,4.27,1845261
2022-12-09,4.3,4.32,4.26,4.3,1348636
2022-12-12,4.3,4.3,4.2,4.24,1906355
2022-12-13,4.28,4.3,4.23,4.27,1412984
2022-12-14,4.24,4.3,4.24,4.27,2082446
2022-12-15,4.23,4.245,4.16,4.17,3053023
2022-12-16,4.16,4.19,4.11,4.15,4303521
2022-12-19,4.14,4.21,4.14,4.19,1883658
2022-12-20,4.15,4.18,4.055,4.06,2405986
2022-12-21,4.1,4.155,4.08,4.11,1358646
