date,open,high,low,close,volume
2022-08-29,41.35,41.5,40.15,40.51,739238
2022-08-30,41.13,41.48,40.945,41.32,580691
2022-08-31,40.65,40.89,40.36,40.69,949611
2022-09-01,40.04,40.08,39.51,39.82,525237
2022-09-02,39.97,39.97,39.3,39.47,452000
2022-09-05,39.75,40.23,39.68,40.15,343904
2022-09-06,39.72,40.56,39.72,39.77,348947
2022-09-07,39.23,39.37,38.57,39.18,713813
2022-09-08,39.46,40.51,39.46,40.5,597852
2022-09-09,40.1,41.24,40.1,41.0,673121
2022-09-12,41.77,42.71,41.47,42.56,517478
2022-09-13,42.66,42.95,42.41,42.61,428746
2022-09-14,41.7,41.82,40.7,40.75,512101
2022-09-15,41.42,41.75,41.01,41.4,501884
2022-09-16,40.76,41.78,40.76,41.39,788595
2022-09-19,41.44,41.44,40.74,40.83,369019
2022-09-20,40.89,41.38,40.77,40.83,381490
2022-09-21,40.1,40.34,39.87,40.17,424303
2022-09-23,39.3,39.56,38.16,38.42,715370
2022-09-26,37.99,39.22,37.56,38.86,651927
2022-09-27,38.74,39.29,38.66,38.77,331959
2022-09-28,38.35,39.33,38.04,38.38,483678
2022-09-29,39.2,39.36,38.84,38.86,233486
2022-09-30,38.2,38.39,37.67,37.96,609283
2022-10-03,37.92,38.06,37.52,37.63,323509
2022-10-04,38.38,40.06,38.37,39.94,609924
2022-10-05,40.39,40.88,39.86,40.24,505130
2022-10-06,40.02,40.41,39.66,40.3,327518
2022-10-07,39.79,40.74,39.5,40.22,354464
2022-10-10,39.5,39.9,39.3,39.77,232712
2022-10-11,39.8,40.42,39.25,39.25,554146
2022-10-12,39.3,39.7,39.12,39.42,461392
2022-10-13,39.18,40.5,39.15,40.25,636891
2022-10-14,40.93,41.62,40.51,41.17,514035
2022-10-17,40.72,40.94,40.26,40.63,333901
2022-10-18,41.2,41.95,41.06,41.89,549925
2022-10-19,42.2,42.29,41.16,41.42,306054
2022-10-20,40.65,40.73,40.4,40.53,342468
2022-10-21,40.4,40.74,40.22,40.4,432144
2022-10-24,41.33,41.79,41.01,41.22,302081
2022-10-25,41.25,42.15,41.22,42.02,420390
2022-10-26,42.7,43.49,42.55,42.81,821024
2022-10-27,43.68,44.09,42.6,42.98,1101385
2022-10-28,42.93,43.03,41.65,41.9,556693
2022-10-31,42.49,42.91,41.75,42.91,566400
2022-11-01,43.03,43.75,42.81,43.57,381954
2022-11-02,43.89,44.36,43.6,43.98,395432
2022-11-03,43.14,43.19,42.34,42.57,446703
2022-11-04,42.16,42.7,41.83,42.5,442929
2022-11-07,43.0,43.35,42.68,42.92,364318
2022-11-08,43.46,43.63,42.76,43.33,470157
2022-11-09,43.4,43.52,42.69,42.86,466309
2022-11-10,42.54,42.765,41.91,42.12,833668
2022-11-11,43.9,44.9,43.18,43.48,1224521
2022-11-14,43.5,43.7,42.355,43.12,513633
2022-11-15,42.8,43.515,42.6,43.17,305447
2022-11-16,43.48,43.49,42.865,42.97,371796
2022-11-17,42.97,43.42,42.72,42.86,464093
2022-11-18,43.04,43.08,42.715,42.74,243753
2022-11-21,42.84,43.02,42.45,42.56,406903
2022-11-22,42.85,42.87,42.39,42.84,294506
2022-11-23,43.27,44.09,43.11,44.05,454196
2022-11-24,44.4,44.5,43.67,43.96,545293
2022-11-25,44.21,45.1,44.06,44.81,308696
2022-11-28,44.82,44.89,44.27,44.53,354759
2022-11-29,44.6,44.61,43.67,44.2,406868
2022-11-30,44.0,44.77,43.74,44.69,652285
2022-12-01,45.1,45.1,44.7,44.92,447911
2022-12-02,45.18,45.37,44.59,44.97,468455
2022-12-05,45.0,45.6,44.6,45.26,532820
2022-12-06,45.02,45.72,44.65,44.65,643111
2022-12-07,44.3,44.69,43.9,44.53,514602
2022-12-08,45.15,45.17,44.465,44.56,500084
2022-12-09,44.87,45.09,44.2,44.67,406392
2022-12-12,44.75,44.88,43.81,44.36,281651
2022-12-13,44.44,44.895,44.15,44.65,311767
2022-12-14,44.75,45.05,43.72,44.04,492248
2022-12-15,43.7,43.745,42.01,42.83,1150207
2022-12-16,42.65,42.82,42.39,42.46,931380
2022-12-19,42.5,43.345,42.49,42.94,350699
2022-12-20,42.5,42.95,41.58,41.63,509649
2022-12-21,41.9,42.815,41.79,42.08,350414
