date,open,high,low,close,volume
2022-08-29,33.0,33.46,32.825,33.24,1164154
2022-08-30,33.11,33.69,32.98,33.05,1331003
2022-08-31,32.86,33.87,32.45,33.51,2156477
2022-09-01,32.83,33.43,32.63,33.21,1283566
2022-09-02,33.59,34.15,33.17,33.24,930818
2022-09-05,33.11,34.49,33.04,33.71,731919
2022-09-06,33.55,33.92,33.21,33.21,1107454
2022-09-07,33.0,33.12,32.4,32.73,1345015
2022-09-08,33.14,33.96,32.85,33.74,967852
2022-09-09,33.32,34.31,33.32,34.05,880536
2022-09-12,34.46,34.97,34.2,34.72,1013498
2022-09-13,34.75,35.6,34.33,35.32,1361758
2022-09-14,33.98,34.105,33.055,33.97,1709562
2022-09-15,33.81,34.21,33.46,33.51,1063082
2022-09-16,33.32,33.43,31.88,31.99,2107305
2022-09-19,32.54,32.545,31.93,32.0,825510
2022-09-20,32.3,32.76,32.11,32.57,1200301
2022-09-21,31.95,32.83,31.85,32.54,1275869
2022-09-23,31.78,31.91,30.56,30.89,1402161
2022-09-26,30.23,31.35,29.48,31.1,1233598
2022-09-27,30.77,31.01,30.39,30.79,1824369
2022-09-28,30.7,31.02,30.05,30.51,956498
2022-09-29,31.1,31.82,30.91,30.98,2229322
2022-09-30,30.7,31.09,30.595,30.84,1295517
2022-10-03,30.95,31.33,30.62,30.7,705838
2022-10-04,31.35,32.08,31.29,32.08,1304675
2022-10-05,33.99,34.82,33.58,34.29,2714491
2022-10-06,33.87,34.23,33.1,33.57,1253488
2022-10-07,33.3,33.81,32.92,33.47,878609
2022-10-10,32.78,33.2,31.95,32.45,780824
2022-10-11,33.0,33.61,32.72,32.97,898354
2022-10-12,32.75,33.07,32.39,32.87,1287795
2022-10-13,32.6,33.04,32.2,32.24,1139810
2022-10-14,32.78,33.02,32.42,32.9,801201
2022-10-17,32.0,32.19,31.37,31.4,1269051
2022-10-18,32.34,32.64,32.01,32.47,1370994
2022-10-19,32.74,33.33,32.6,33.16,934264
2022-10-20,32.59,32.72,32.08,32.25,1411373
2022-10-21,31.95,32.14,31.71,31.74,1181147
2022-10-24,32.86,33.09,32.63,32.93,1358733
2022-10-25,33.22,33.71,32.87,33.19,962205
2022-10-26,33.95,34.14,33.07,33.32,835706
2022-10-27,33.14,33.5,32.77,32.99,866124
2022-10-28,33.21,33.75,33.14,33.46,689835
2022-10-31,34.21,34.22,33.67,34.0,880265
2022-11-01,33.9,34.68,33.565,34.68,793728
2022-11-02,34.58,34.84,33.96,34.11,1374108
2022-11-03,33.45,33.45,32.81,33.05,829873
2022-11-04,32.72,33.69,32.4,32.97,1108129
2022-11-07,33.54,33.84,33.15,33.39,995879
2022-11-08,29.9,30.02,28.49,28.81,5068920
2022-11-09,28.7,28.75,27.39,28.49,4272668
2022-11-10,28.1,28.68,28.085,28.2,2255182
2022-11-11,29.62,29.93,29.11,29.8,4766916
2022-11-14,29.88,30.27,29.14,29.4,1553930
2022-11-15,29.3,30.43,29.285,29.99,1916623
2022-11-16,29.65,29.89,29.0,29.19,1226166
2022-11-17,29.27,29.76,29.08,29.7,1145341
2022-11-18,29.65,29.85,29.485,29.55,1601402
2022-11-21,29.3,29.5,28.92,29.13,1209662
2022-11-22,29.45,29.45,28.91,28.91,1478301
2022-11-23,29.01,29.27,28.51,29.2,1358180
2022-11-24,29.3,30.42,29.29,30.18,1371078
2022-11-25,30.4,30.86,29.81,30.07,1626187
2022-11-28,30.0,30.0,29.37,29.68,1551422
2022-11-29,29.56,29.75,29.11,29.4,1224428
2022-11-30,29.26,29.48,29.01,29.2,3044417
2022-12-01,29.99,31.075,29.99,30.78,2948311
2022-12-02,30.8,31.32,30.7,31.13,1958146
2022-12-05,30.71,31.04,30.41,30.64,1166370
2022-12-06,30.11,30.2,29.35,29.36,1336250
2022-12-07,29.0,29.0,28.3,28.55,2353361
2022-12-08,28.3,29.265,27.95,29.16,1930451
2022-12-09,29.5,29.62,29.04,29.26,997061
2022-12-12,29.07,29.7,28.79,29.46,1128548
2022-12-13,29.9,29.91,29.15,29.15,1670973
2022-12-14,30.03,30.3,29.58,29.93,2693775
2022-12-15,29.11,30.05,29.01,29.68,1578656
2022-12-16,29.3,29.69,28.96,29.48,2112570
2022-12-19,28.58,29.055,28.51,28.8,1906114
2022-12-20,28.42,28.6,27.36,27.36,3028571
2022-12-21,27.37,27.69,27.05,27.14,2227371
2022-12-22,27.74,27.74,26.39,26.56,1801132
2022-12-23,26.2,26.39,25.91,26.2,1236549
2022-12-28,26.2,26.46,26.05,26.13,717528
2022-12-29,26.13,26.22,25.84,26.08,746314
2022-12-30,26.38,26.45,26.3,26.4,607154
2023-01-03,26.76,26.76,25.86,26.12,566325
2023-01-04,26.6,27.08,26.3,26.96,1493697
2023-01-05,27.18,27.555,26.98,27.47,1106367
2023-01-06,26.9,27.36,26.8,27.33,929884
2023-01-09,28.06,28.55,28.01,28.34,1026205
2023-01-10,28.36,28.91,28.3,28.72,1468479
2023-01-11,28.87,29.42,28.77,29.18,941267
2023-01-12,29.3,29.36,28.5,28.9,1271987
2023-01-13,29.15,29.75,29.15,29.6,1136024
2023-01-16,29.7,29.76,28.92,29.49,1058394
2023-01-17,29.51,30.22,29.5,30.02,871491
2023-01-18,30.12,30.26,29.765,29.81,1046712
2023-01-19,29.92,29.98,29.36,29.7,1399480
2023-01-20,29.25,29.42,28.56,29.16,1548755
2023-01-23,29.4,29.98,29.25,29.76,1442445
2023-01-24,30.05,30.73,30.03,30.64,1441075
2023-01-25,31.0,31.72,30.88,31.44,2254333
2023-01-27,31.82,31.87,31.44,31.55,1367547
2023-01-30,31.8,32.05,31.24,31.3,1543886
2023-01-31,31.1,31.69,31.02,31.45,1484161
2023-02-01,32.04,33.05,31.87,32.8,2778811
2023-02-02,34.06,34.65,33.81,34.21,3398614
2023-02-03,34.64,34.73,34.06,34.56,1920449
2023-02-06,34.38,34.38,33.62,33.63,1615444
2023-02-07,33.6,33.9,33.37,33.7,1357535
2023-02-08,33.98,34.03,33.11,33.18,1488369
2023-02-09,33.0,33.36,32.64,32.92,1348493
2023-02-10,32.55,32.8,32.05,32.07,951237
2023-02-13,31.81,32.48,31.73,31.75,1101038
2023-02-14,29.49,30.96,28.975,30.4,4231815
2023-02-15,30.23,31.75,30.22,31.0,2216692
2023-02-16,31.14,32.595,31.14,32.49,2316034
2023-02-17,31.75,32.6,31.7,32.47,1998004
2023-02-20,32.56,32.82,32.26,32.43,1113121
2023-02-21,32.5,32.54,31.98,32.4,1397864
2023-02-22,31.42,31.91,30.78,30.89,2151415
2023-02-23,30.95,31.46,30.82,30.91,935405
2023-02-24,31.15,31.74,30.89,31.41,927104
2023-02-27,30.98,31.23,30.34,30.75,1309906
2023-02-28,30.84,31.35,30.68,31.03,2573877
2023-03-01,30.91,31.37,30.1,31.01,1352293
2023-03-02,30.9,31.0,30.05,30.33,2021023
2023-03-03,30.74,31.23,30.44,30.48,945760
2023-03-06,30.78,31.69,30.7,31.5,1128479
2023-03-07,30.95,31.86,30.6,31.7,1140326
2023-03-08,31.2,31.63,31.01,31.4,1311704
2023-03-09,31.62,31.68,31.07,31.56,970208
2023-03-10,31.1,31.5,30.93,31.2,1174170
2023-03-13,30.87,31.15,30.21,30.98,731580
2023-03-14,30.56,31.1,30.39,30.96,1965621
2023-03-15,31.1,31.45,30.38,30.73,1454921
2023-03-16,30.08,31.045,30.02,30.53,4046301
2023-03-17,30.77,30.77,30.06,30.17,2875314
2023-03-20,29.95,30.19,29.74,29.92,1040588
2023-03-21,30.05,30.65,29.98,30.49,664709
2023-03-22,30.91,31.47,30.89,31.06,1257235
2023-03-23,31.03,31.15,30.83,31.0,790916
2023-03-24,30.71,31.58,30.41,31.5,818191
2023-03-27,31.7,31.98,31.345,31.74,727808
2023-03-28,31.98,31.99,31.37,31.64,840782
2023-03-29,31.7,32.77,31.31,32.64,1456232
2023-03-30,32.71,33.04,32.0,32.1,2146170
2023-03-31,32.57,32.6,31.69,31.83,1025510
2023-04-03,32.51,32.83,31.36,31.61,989493
2023-04-04,31.61,32.5,31.58,31.93,895357
2023-04-05,31.92,32.255,31.65,32.16,1760161
2023-04-06,32.25,32.4,31.6,31.76,1562093
2023-04-11,32.16,32.42,31.72,32.33,1530306
2023-04-12,32.8,33.16,32.47,32.69,938716
2023-04-13,32.68,33.175,32.41,33.05,958253
2023-04-14,33.2,33.56,32.98,33.35,850603
2023-04-17,33.65,34.21,33.39,34.01,832836
2023-04-18,33.8,34.0,33.56,33.82,661501
2023-04-19,33.92,33.95,32.84,33.05,1457464
2023-04-20,33.01,33.9,32.75,33.49,1561768
2023-04-21,33.4,34.6,33.34,33.63,1734688
2023-04-24,33.81,33.96,32.97,33.2,650565
2023-04-26,32.95,33.79,32.64,33.33,1607138
2023-04-27,33.31,33.48,32.85,33.08,834327
2023-04-28,33.8,33.8,33.03,33.49,1331423
2023-05-01,33.86,34.3,33.85,33.98,884420
2023-05-02,33.89,34.42,33.4,33.51,1299588
2023-05-03,33.28,33.33,32.85,33.22,927734
2023-05-04,33.6,34.01,33.31,33.87,1504708
2023-05-05,33.71,33.96,33.34,33.64,1503119
2023-05-08,34.06,34.33,33.74,34.13,904292
2023-05-09,34.05,34.24,33.74,34.16,1104891
2023-05-10,34.3,34.42,33.99,34.28,859169
2023-05-11,34.22,34.67,33.97,34.52,1160632
2023-05-12,34.5,34.74,33.85,34.15,812785
2023-05-15,34.06,34.1,33.49,33.99,961214
2023-05-16,36.01,37.02,35.815,36.8,3729584
2023-05-17,37.3,37.73,36.58,37.43,1992163
2023-05-18,37.56,37.73,37.03,37.62,2017580
