date,open,high,low,close,volume
2022-08-29,10.2,10.215,10.1,10.17,927335
2022-08-30,10.11,10.305,10.11,10.27,1020718
2022-08-31,10.11,10.3,10.11,10.27,2216529
2022-09-01,10.15,10.19,10.03,10.15,2921938
2022-09-02,10.19,10.3,10.12,10.18,1113578
2022-09-05,10.09,10.14,9.96,10.01,1594827
2022-09-06,9.96,10.09,9.92,10.05,1058707
2022-09-07,9.97,10.05,9.9,9.95,1323712
2022-09-08,10.13,10.2,10.02,10.2,1035334
2022-09-09,10.02,10.26,10.02,10.17,1127942
2022-09-12,10.25,10.42,10.22,10.37,899625
2022-09-13,10.37,10.46,10.34,10.39,985300
2022-09-14,10.11,10.16,9.88,9.96,1648571
2022-09-15,9.94,9.98,9.79,9.87,1527166
2022-09-16,9.72,9.74,9.62,9.72,3216593
2022-09-19,9.73,9.86,9.69,9.75,827358
2022-09-20,9.86,9.93,9.75,9.76,1235405
2022-09-21,9.65,9.71,9.54,9.66,867689
2022-09-23,9.48,9.66,9.27,9.34,1304177
2022-09-26,9.16,9.255,9.01,9.01,1422712
2022-09-27,8.93,9.0,8.875,8.91,1889558
2022-09-28,8.91,8.985,8.88,8.94,1321098
2022-09-29,9.21,9.29,9.04,9.13,1180685
2022-09-30,8.94,9.04,8.885,8.92,1938529
2022-10-03,8.8,8.92,8.72,8.88,657883
2022-10-04,8.95,9.16,8.95,9.16,1089255
2022-10-05,9.32,9.42,9.27,9.41,1363283
2022-10-06,9.23,9.31,9.14,9.25,2228900
2022-10-07,9.1,9.16,9.05,9.06,1329784
2022-10-10,8.95,8.95,8.56,8.61,1698249
2022-10-11,8.61,8.67,8.47,8.48,1630818
2022-10-12,8.48,8.52,8.05,8.24,3934620
2022-10-13,8.13,8.29,8.04,8.07,2411319
2022-10-14,8.21,8.29,8.12,8.14,2576248
2022-10-17,8.02,8.14,7.82,7.82,2087707
2022-10-18,8.06,8.29,7.93,8.28,3591025
2022-10-19,8.25,8.37,8.2,8.25,2779074
2022-10-20,8.12,8.26,8.03,8.18,2409108
2022-10-21,8.15,8.25,8.08,8.13,1879497
2022-10-24,8.3,8.32,8.17,8.18,1313768
2022-10-25,8.32,8.32,8.19,8.19,911089
2022-10-26,8.29,8.44,8.26,8.41,1132054
2022-10-27,8.41,8.51,8.4,8.45,1234370
2022-10-28,8.4,8.78,8.4,8.78,1484229
2022-10-31,8.92,8.92,8.65,8.69,1531461
2022-11-01,8.68,8.8,8.52,8.71,1767905
2022-11-02,8.67,8.77,8.55,8.59,2192627
2022-11-03,8.33,8.36,7.78,7.84,3772008
2022-11-04,7.78,7.79,7.54,7.72,6163018
2022-11-07,7.74,7.925,7.73,7.85,3622930
2022-11-08,7.88,8.05,7.87,8.02,2338297
2022-11-09,8.03,8.14,7.93,8.01,1810137
2022-11-10,7.92,8.09,7.91,7.96,1182803
2022-11-11,8.2,8.23,7.96,7.99,2777687
2022-11-14,7.99,8.05,7.87,7.87,1436830
2022-11-15,7.84,8.0,7.81,7.97,2121313
2022-11-16,7.95,7.99,7.84,7.94,1487307
2022-11-17,7.97,8.01,7.86,7.93,1864714
2022-11-18,7.88,8.02,7.8,7.8,1517718
2022-11-21,7.87,8.0,7.87,7.91,1676415
2022-11-22,7.97,7.97,7.81,7.93,1086192
2022-11-23,8.0,8.02,7.84,7.87,2014397
2022-11-24,7.86,7.9,7.685,7.72,7757480
2022-11-25,7.8,7.84,7.7,7.73,1560253
2022-11-28,7.77,7.81,7.71,7.72,1541548
2022-11-29,7.74,7.77,7.62,7.62,2084573
2022-11-30,7.64,7.76,7.53,7.61,6012765
2022-12-01,7.73,7.84,7.66,7.7,2416648
2022-12-02,7.66,7.71,7.51,7.51,4530499
2022-12-05,7.52,7.56,7.36,7.48,3447961
2022-12-06,7.45,7.6,7.41,7.48,2675611
2022-12-07,7.4,7.45,7.26,7.37,4035969
2022-12-08,7.38,7.4,7.22,7.22,2952764
2022-12-09,7.24,7.39,7.23,7.33,4152643
2022-12-12,7.3,7.43,7.3,7.32,2069373
2022-12-13,7.37,7.43,7.32,7.36,2024138
2022-12-14,7.47,7.5,7.37,7.5,2410925
2022-12-15,7.5,7.54,7.39,7.45,2689397
2022-12-16,7.37,7.51,7.31,7.41,9171905
2022-12-19,7.37,7.42,7.305,7.32,1488696
2022-12-20,7.3,7.34,7.11,7.11,2549536
2022-12-21,7.19,7.5,7.16,7.5,3446517
2022-12-22,7.55,7.55,7.42,7.53,2165034
2022-12-23,7.43,7.54,7.35,7.54,1403059
2022-12-28,7.49,7.69,7.46,7.69,2574742
2022-12-29,7.65,7.94,7.54,7.94,3047376
2022-12-30,7.99,7.99,7.84,7.84,1773151
2023-01-03,7.87,7.91,7.74,7.87,1292928
2023-01-04,7.98,7.98,7.79,7.83,1810991
2023-01-05,7.95,7.98,7.89,7.98,1830385
2023-01-06,7.86,8.01,7.8,7.92,2069659
2023-01-09,8.01,8.02,7.9,7.92,1199141
2023-01-10,7.85,8.03,7.77,8.03,1947260
2023-01-11,8.0,8.17,7.93,8.13,2623452
2023-01-12,8.2,8.3,8.11,8.3,1860747
2023-01-13,8.41,8.41,8.275,8.34,3088080
2023-01-16,8.38,8.38,8.21,8.31,1394789
2023-01-17,8.31,8.475,8.31,8.45,3186111
2023-01-18,8.45,8.45,8.28,8.28,2052801
2023-01-19,8.34,8.38,8.255,8.34,1043262
2023-01-20,8.36,8.38,8.11,8.23,2582387
2023-01-23,8.26,8.29,8.16,8.19,1844675
2023-01-24,8.23,8.4,8.22,8.38,1591687
2023-01-25,8.41,8.545,8.39,8.42,3071328
2023-01-27,8.49,8.56,8.4,8.51,1763182
2023-01-30,8.6,8.7,8.52,8.66,1919303
2023-01-31,8.65,8.66,8.48,8.59,3045869
2023-02-01,8.69,8.93,8.61,8.67,2331925
2023-02-02,8.78,8.85,8.69,8.74,2800046
2023-02-03,8.95,9.02,8.81,8.97,2538653
2023-02-06,8.89,8.9,8.585,8.67,2446389
2023-02-07,8.6,8.775,8.58,8.7,1793630
2023-02-08,8.7,8.73,8.52,8.57,2283732
2023-02-09,8.52,8.55,8.37,8.4,3814356
2023-02-10,8.41,8.48,8.23,8.3,2520317
2023-02-13,8.05,8.07,7.625,7.79,6020900
2023-02-14,7.75,7.87,7.67,7.85,2882737
2023-02-15,8.0,8.0,7.76,7.89,2651872
2023-02-16,7.97,8.11,7.93,8.04,2013970
2023-02-17,7.92,7.93,7.73,7.76,3518341
2023-02-20,7.75,7.83,7.72,7.78,1335537
2023-02-21,7.74,7.75,7.6,7.62,2863214
2023-02-22,7.52,7.73,7.52,7.68,1540185
2023-02-23,7.63,7.7,7.52,7.52,1864192
2023-02-24,7.5,7.71,7.5,7.71,2283065
2023-02-27,7.65,7.75,7.445,7.56,2291899
2023-02-28,7.57,7.66,7.53,7.64,4851780
2023-03-01,7.59,7.61,7.52,7.56,2590551
2023-03-02,7.62,7.64,7.315,7.41,3383170
2023-03-03,7.5,7.55,7.36,7.4,1752521
2023-03-06,7.45,7.48,7.41,7.45,2267709
2023-03-07,7.45,7.52,7.37,7.49,2234255
2023-03-08,7.4,7.47,7.38,7.42,2157744
2023-03-09,7.49,7.49,7.19,7.25,3759972
2023-03-10,7.14,7.17,7.07,7.15,2201080
2023-03-13,7.09,7.11,7.01,7.04,2935310
2023-03-14,6.98,7.04,6.76,6.99,4073545
2023-03-15,7.01,7.08,6.94,7.07,3099109
2023-03-16,7.0,7.27,6.98,7.25,3937560
2023-03-17,7.27,7.27,7.05,7.14,4348291
2023-03-20,7.05,7.13,7.0,7.03,1330234
2023-03-21,7.08,7.27,6.995,7.24,2663562
2023-03-22,7.25,7.34,7.16,7.33,2106689
2023-03-23,7.22,7.255,7.125,7.24,1925284
2023-03-24,7.15,7.21,7.08,7.14,1954874
2023-03-27,7.17,7.4,7.16,7.35,1572898
2023-03-28,7.36,7.42,7.29,7.38,1417248
2023-03-29,7.35,7.38,7.28,7.3,1359909
2023-03-30,7.34,7.34,7.18,7.21,2308952
2023-03-31,7.25,7.315,7.13,7.23,2303043
2023-04-03,7.27,7.41,7.24,7.26,1937173
2023-04-04,7.3,7.35,7.29,7.34,2604085
2023-04-05,7.39,7.42,7.32,7.41,2540900
2023-04-06,7.41,7.48,7.38,7.39,2442492
2023-04-11,7.5,7.615,7.46,7.54,2449909
2023-04-12,7.63,7.92,7.59,7.86,3602995
2023-04-13,7.9,8.19,7.86,8.11,4521129
2023-04-14,8.1,8.39,8.06,8.19,2975021
2023-04-17,8.25,8.3,7.98,8.05,2672656
2023-04-18,8.0,8.0,7.77,7.83,2877436
2023-04-19,7.75,7.8,7.67,7.7,1810273
2023-04-20,7.75,7.82,7.59,7.59,4097891
2023-04-21,7.56,7.785,7.56,7.76,4592327
2023-04-24,7.69,7.7,7.45,7.53,3658078
