date,open,high,low,close,volume
2022-08-29,173.02,174.68,171.56,174.06,562625
2022-08-30,175.79,176.94,174.13,175.17,451979
2022-08-31,174.89,177.48,174.89,177.26,865906
2022-09-01,174.18,175.475,172.66,174.45,782580
2022-09-02,175.55,178.49,175.5,177.2,719950
2022-09-05,178.84,179.35,177.33,179.35,449236
2022-09-06,179.45,179.74,178.0,178.18,618984
2022-09-07,177.05,177.98,172.2,172.72,775520
2022-09-08,174.99,178.65,174.69,178.38,628830
2022-09-09,178.37,180.43,175.94,177.83,786891
2022-09-12,180.0,181.37,179.34,181.06,477015
2022-09-13,184.06,184.18,181.57,182.25,553095
2022-09-14,176.57,177.32,174.4,176.3,771626
2022-09-15,175.97,177.15,175.05,176.54,872720
2022-09-16,175.19,175.7,171.66,172.67,1655015
2022-09-19,171.94,173.0,170.67,173.0,494188
2022-09-20,174.84,175.24,172.06,172.85,471159
2022-09-21,170.55,172.31,170.4,170.86,628047
2022-09-23,167.16,167.49,163.75,165.57,1103349
2022-09-26,160.18,164.99,160.18,163.52,1062543
2022-09-27,161.87,162.74,160.72,162.01,1026550
2022-09-28,162.03,163.0,157.12,158.04,1107109
2022-09-29,160.07,161.16,159.22,159.51,966730
2022-09-30,157.57,157.91,152.1,152.74,1925648
2022-10-03,152.7,153.4,149.51,151.41,912445
2022-10-04,154.0,158.28,153.51,158.28,956365
2022-10-05,162.51,164.59,161.03,162.1,1006463
2022-10-06,160.62,163.7,160.0,163.23,627553
2022-10-07,161.67,162.77,160.52,161.36,671982
2022-10-10,158.0,159.93,157.3,159.48,575554
2022-10-11,160.97,162.16,158.56,158.56,684753
2022-10-12,159.03,159.84,157.43,158.34,772444
2022-10-13,158.25,159.5,156.67,157.2,746706
2022-10-14,160.81,161.28,159.6,160.91,766008
2022-10-17,158.07,159.19,154.11,154.21,774436
2022-10-18,158.0,162.69,157.72,162.32,916163
2022-10-19,162.23,163.19,161.37,162.34,728004
2022-10-20,160.83,161.355,156.3,157.69,1041750
2022-10-21,156.27,158.17,155.33,157.69,1308149
2022-10-24,161.53,162.59,160.57,161.46,517056
2022-10-25,162.65,165.25,162.54,165.0,546362
2022-10-26,167.33,167.5,165.63,166.0,869005
2022-10-27,166.05,168.2,164.14,166.54,710489
2022-10-28,169.5,173.2,165.0,166.5,1352665
2022-10-31,170.0,170.02,168.11,169.5,1009179
2022-11-01,169.95,172.0,169.08,172.0,716419
2022-11-02,172.0,172.59,168.71,168.88,840470
2022-11-03,165.82,167.74,165.4,166.45,718967
2022-11-04,164.96,170.37,164.1,170.37,1320706
2022-11-07,168.14,169.15,166.9,168.2,734560
2022-11-08,169.0,170.29,168.44,169.74,643163
2022-11-09,170.0,173.28,169.87,171.45,667940
2022-11-10,170.5,171.39,169.15,169.79,617115
2022-11-11,177.0,180.36,176.5,179.3,1703275
2022-11-14,180.09,180.295,177.5,177.72,866223
2022-11-15,177.0,179.8,176.51,179.63,686246
2022-11-16,180.01,181.0,176.63,177.95,755958
2022-11-17,178.49,179.96,177.74,179.83,743593
2022-11-18,180.0,180.09,178.08,179.32,1050720
2022-11-21,178.2,179.66,177.175,177.56,619839
2022-11-22,177.39,177.46,175.83,176.0,692472
2022-11-23,177.37,179.34,177.03,178.72,567780
2022-11-24,178.61,179.39,177.25,177.99,519425
2022-11-25,177.69,178.71,177.475,177.95,445490
2022-11-28,177.43,178.83,176.53,178.45,507937
2022-11-29,177.74,178.11,176.62,178.0,500775
2022-11-30,177.26,179.69,176.75,178.71,2114525
2022-12-01,180.79,182.3,180.56,182.1,636585
2022-12-02,182.0,182.1,178.97,180.24,786263
2022-12-05,180.29,181.29,178.67,180.47,422540
2022-12-06,179.79,179.82,176.09,176.74,890141
2022-12-07,175.0,175.69,172.905,173.64,1060534
2022-12-08,173.23,173.76,170.65,171.16,648062
2022-12-09,170.09,171.76,166.0,168.04,1307702
2022-12-12,167.75,172.12,166.97,171.5,696532
2022-12-13,172.52,174.4,172.34,172.86,576141
2022-12-14,173.93,175.31,173.23,174.21,669906
2022-12-15,170.9,173.135,170.53,171.69,885805
2022-12-16,168.93,170.02,168.03,169.9,1597299
2022-12-19,168.02,169.1,167.5,168.77,433290
2022-12-20,168.39,169.14,165.27,166.1,544205
2022-12-21,167.05,168.68,166.28,167.77,533234
2022-12-22,169.24,169.76,168.53,168.65,1208237
2022-12-23,166.32,168.27,166.2,167.92,631234
2022-12-28,167.5,168.68,166.36,167.98,313542
2022-12-29,166.77,167.61,165.3,166.0,442859
2022-12-30,167.33,167.89,166.83,166.96,455019
2023-01-03,167.98,167.98,162.68,164.67,423539
2023-01-04,166.8,170.55,165.5,169.87,746284
2023-01-05,171.79,172.79,170.65,172.02,729959
2023-01-06,171.47,172.82,170.65,172.46,1088928
2023-01-09,174.41,175.19,173.23,174.1,368407
2023-01-10,174.68,175.08,173.1,173.52,585317
2023-01-11,173.9,174.29,172.64,174.17,989881
2023-01-12,175.73,177.74,174.4,177.0,622968
2023-01-13,178.5,179.0,177.61,178.27,616195
2023-01-16,179.56,180.64,178.84,180.0,524091
2023-01-17,179.92,180.48,178.65,179.28,718743
2023-01-18,179.06,180.39,177.83,179.6,430381
2023-01-19,181.39,182.46,178.41,181.98,914635
2023-01-20,181.0,181.47,180.02,180.8,1091244
2023-01-23,182.0,182.86,181.17,182.12,488584
2023-01-24,182.76,184.92,182.5,184.43,477089
2023-01-25,185.89,186.86,184.43,185.13,624789
2023-01-27,186.0,188.36,185.61,187.46,853569
2023-01-30,187.51,188.8,186.63,186.97,517343
2023-01-31,185.93,187.36,185.0,187.34,960647
2023-02-01,188.23,188.23,185.75,187.0,540285
2023-02-02,192.39,192.39,188.55,190.37,871734
2023-02-03,191.59,192.17,189.77,190.43,790011
2023-02-06,190.43,190.64,188.02,188.97,666192
2023-02-07,190.99,193.19,189.75,190.33,843831
2023-02-08,192.99,195.745,191.55,195.23,867310
2023-02-09,194.5,195.49,193.83,194.09,552283
2023-02-10,192.51,194.0,190.66,191.49,802325
2023-02-13,191.0,191.28,189.54,190.4,474847
2023-02-14,192.06,192.84,191.325,191.66,378992
2023-02-15,191.98,192.91,189.75,190.9,513019
2023-02-16,191.19,194.11,190.85,194.11,903508
2023-02-17,192.69,193.57,188.7,189.0,1490260
2023-02-20,190.78,191.66,190.02,190.73,360358
2023-02-21,189.0,190.75,188.53,190.39,327686
2023-02-22,188.0,190.29,187.54,190.29,409607
2023-02-23,188.2,189.71,188.05,188.84,465360
2023-02-24,189.64,189.79,188.05,188.91,486443
2023-02-27,187.2,188.45,185.76,188.45,1636942
2023-02-28,188.83,190.225,188.75,189.52,882174
2023-03-01,188.88,189.5,187.53,188.9,463085
2023-03-02,185.5,187.31,184.03,184.86,992203
2023-03-03,185.73,186.05,183.52,185.47,672416
2023-03-06,187.77,191.63,186.9,189.99,760966
2023-03-07,192.01,194.45,191.5,193.0,788957
2023-03-08,192.2,193.54,189.565,190.84,484386
2023-03-09,192.98,192.98,190.4,190.78,411173
2023-03-10,186.03,187.08,183.82,184.66,969140
2023-03-13,182.82,183.9,180.68,182.13,1051930
2023-03-14,178.5,178.99,174.305,176.53,1501843
2023-03-15,178.56,179.49,176.08,178.1,893822
2023-03-16,170.96,175.5,170.375,175.13,2181554
2023-03-17,176.01,177.3,174.68,175.79,1458258
