date,open,high,low,close,volume
2022-08-29,4.1,4.1,4.04,4.05,2629808
2022-08-30,4.09,4.11,4.055,4.07,2190105
2022-08-31,4.1,4.17,4.07,4.12,4590730
2022-09-01,4.07,4.17,4.07,4.15,4441404
2022-09-02,4.18,4.19,4.15,4.16,2209142
2022-09-05,4.18,4.18,4.14,4.18,3199744
2022-09-06,4.21,4.24,4.11,4.12,4716890
2022-09-07,4.12,4.24,4.11,4.14,6753993
2022-09-08,4.18,4.18,4.08,4.11,5696086
2022-09-09,4.1,4.12,4.04,4.11,5079648
2022-09-12,4.15,4.18,4.08,4.11,2034905
2022-09-13,4.13,4.21,4.11,4.18,3378413
2022-09-14,4.14,4.18,4.08,4.1,3618061
2022-09-15,4.13,4.13,4.0,4.0,3959468
2022-09-16,3.96,4.0,3.93,3.97,4674599
2022-09-19,3.97,4.01,3.95,3.98,2267409
2022-09-20,3.99,4.05,3.96,4.04,3430116
2022-09-21,4.02,4.06,3.99,4.01,2874791
2022-09-23,4.0,4.04,3.94,3.96,1996152
2022-09-26,3.93,4.02,3.92,4.0,1912154
2022-09-27,4.03,4.04,3.98,3.98,2275632
2022-09-28,3.94,3.99,3.93,3.95,2344229
2022-09-29,3.96,4.0,3.93,3.93,1581646
2022-09-30,3.9,3.94,3.87,3.87,4254357
2022-10-03,3.87,3.91,3.85,3.87,2106861
2022-10-04,3.9,3.99,3.88,3.95,2228659
2022-10-05,3.96,3.97,3.91,3.93,2831324
2022-10-06,3.9,3.97,3.89,3.93,6280400
2022-10-07,3.89,3.96,3.89,3.95,1475514
2022-10-10,3.9,3.94,3.875,3.9,2166986
2022-10-11,3.9,3.93,3.88,3.89,3496254
2022-10-12,3.92,3.93,3.82,3.82,4279512
2022-10-13,3.81,3.86,3.77,3.78,2545379
2022-10-14,3.81,3.87,3.81,3.86,2244826
2022-10-17,3.84,3.86,3.8,3.8,2712817
2022-10-18,3.84,3.92,3.83,3.9,2535434
2022-10-19,3.93,3.98,3.92,3.95,2051368
2022-10-20,4.0,4.01,3.93,3.96,3239105
2022-10-21,3.95,3.97,3.9,3.9,2604745
2022-10-24,3.95,3.96,3.93,3.95,1226415
2022-10-25,4.0,4.0,3.94,3.96,2287640
2022-10-26,3.96,3.98,3.92,3.94,3968755
2022-10-27,3.94,4.01,3.93,3.99,2138615
2022-10-28,3.98,4.04,3.98,4.01,1548620
2022-10-31,4.1,4.1,4.045,4.1,2991859
2022-11-01,4.07,4.12,4.06,4.09,3009824
2022-11-02,4.09,4.12,4.01,4.04,5981329
2022-11-03,3.98,4.01,3.96,3.98,1830690
2022-11-04,3.97,3.99,3.94,3.96,3070975
2022-11-07,3.98,4.015,3.95,3.98,5117845
2022-11-08,3.98,4.01,3.95,4.01,2354867
2022-11-09,4.02,4.05,4.0,4.02,2907123
2022-11-10,4.01,4.03,3.99,4.01,2550340
2022-11-11,4.06,4.12,4.04,4.1,2748518
2022-11-14,4.05,4.1,3.91,3.94,4532893
2022-11-15,3.97,3.98,3.93,3.95,2266885
2022-11-16,3.98,3.99,3.93,3.97,1509216
2022-11-17,4.02,4.07,3.995,4.07,2021077
2022-11-18,4.09,4.115,4.07,4.09,1277373
2022-11-21,4.12,4.16,4.11,4.15,1938098
2022-11-22,4.16,4.18,4.12,4.14,2483535
2022-11-23,4.15,4.2,4.14,4.18,2444679
