date,open,high,low,close,volume
2022-08-29,5.02,5.08,4.92,5.0,3593684
2022-08-30,5.09,5.18,5.045,5.06,2215319
2022-08-31,4.89,4.95,4.77,4.9,4318382
2022-09-01,4.9,5.07,4.89,5.0,2827540
2022-09-02,5.02,5.11,4.96,5.1,2141917
2022-09-05,5.15,5.45,5.15,5.39,6081996
2022-09-06,5.45,5.79,5.42,5.72,5692349
2022-09-07,5.72,5.76,5.4,5.41,6098379
2022-09-08,5.27,5.56,5.26,5.44,4668597
2022-09-09,5.36,5.58,5.34,5.54,2959588
2022-09-12,5.6,5.63,5.49,5.49,1694070
2022-09-13,5.57,5.61,5.47,5.5,2276220
2022-09-14,5.39,5.5,5.31,5.49,2546679
2022-09-15,5.62,5.85,5.51,5.82,4108735
2022-09-16,5.6,5.71,5.47,5.57,5374242
2022-09-19,5.48,5.51,5.37,5.46,3835290
2022-09-20,5.81,5.98,5.59,5.94,7338661
2022-09-21,6.0,6.2,5.96,6.16,6340189
2022-09-23,6.23,6.46,6.22,6.33,5825632
2022-09-26,5.99,6.11,5.3,5.4,10408044
2022-09-27,5.51,5.93,5.5,5.73,6856008
2022-09-28,5.93,6.23,5.84,5.9,7713093
2022-09-29,6.15,6.36,6.06,6.28,5819162
2022-09-30,6.23,6.31,6.06,6.29,3940528
2022-10-03,6.35,6.45,6.09,6.3,3337651
2022-10-04,6.43,6.75,6.29,6.7,5453347
2022-10-05,6.79,6.81,6.4,6.62,5015736
2022-10-06,6.76,6.87,6.7,6.77,4459429
2022-10-07,6.67,6.9,6.6,6.85,4969990
2022-10-10,6.76,6.87,6.625,6.7,4825591
2022-10-11,6.7,6.75,6.52,6.6,5435845
2022-10-12,6.62,6.9,6.62,6.65,5035533
2022-10-13,6.69,6.89,6.68,6.72,6191332
2022-10-14,6.89,6.95,6.8,6.86,9318594
2022-10-17,6.85,6.92,6.81,6.87,2881510
2022-10-18,6.92,7.0,6.83,6.91,3361107
2022-10-19,6.74,6.99,6.45,6.93,6812481
2022-10-20,6.9,6.95,6.76,6.89,14598254
2022-10-21,6.98,7.465,6.93,7.42,9362108
2022-10-24,7.05,7.18,6.88,7.1,8157075
2022-10-25,7.12,7.25,6.66,6.66,6849827
2022-10-26,6.53,6.66,6.17,6.19,7473107
2022-10-27,6.29,6.45,6.2,6.31,5364335
2022-10-28,6.31,6.35,5.57,5.7,12042479
2022-10-31,5.62,5.85,5.45,5.65,8262376
2022-11-01,5.43,5.77,5.4,5.63,10236756
2022-11-02,5.63,5.82,5.56,5.75,6457046
2022-11-03,5.85,6.14,5.735,6.09,6559179
2022-11-04,6.12,6.5,6.0,6.45,6868849
2022-11-07,6.5,6.6,6.28,6.45,5406759
2022-11-08,6.4,6.48,5.94,5.95,5708832
2022-11-09,5.75,5.79,5.46,5.57,8454746
2022-11-10,5.3,5.43,5.17,5.31,10344830
2022-11-11,5.3,5.3,5.03,5.16,12718038
2022-11-14,5.13,5.485,5.11,5.25,7111843
2022-11-15,5.3,5.37,5.16,5.32,4910559
2022-11-16,5.47,5.68,5.43,5.54,6025376
2022-11-17,5.49,5.52,5.16,5.18,5032400
2022-11-18,5.22,5.33,5.17,5.28,4290572
2022-11-21,5.3,5.41,5.26,5.38,3567040
2022-11-22,5.45,5.8,5.45,5.77,6817822
2022-11-23,5.91,6.1,5.82,5.93,5370818
2022-11-24,6.0,6.06,5.35,5.41,9597136
2022-11-25,5.55,5.65,5.29,5.39,9279727
2022-11-28,5.41,5.75,5.41,5.68,5893622
2022-11-29,5.84,5.93,5.52,5.57,7191137
2022-11-30,5.71,5.99,5.7,5.95,9799387
2022-12-01,6.0,6.12,5.76,5.88,5547536
2022-12-02,5.76,5.81,5.67,5.74,4215180
2022-12-05,5.8,5.855,5.51,5.65,5474194
2022-12-06,5.68,5.8,5.62,5.77,3038907
2022-12-07,5.79,5.87,5.68,5.79,3537432
2022-12-08,5.7,5.74,5.58,5.64,3370907
2022-12-09,5.64,5.845,5.62,5.79,3432135
2022-12-12,5.7,5.83,5.65,5.71,3841970
2022-12-13,5.8,5.82,5.6,5.74,3885008
2022-12-14,5.75,5.96,5.73,5.8,4282739
2022-12-15,5.92,6.14,5.9,6.07,7000084
2022-12-16,6.0,6.31,5.97,6.24,7131750
2022-12-19,6.3,6.51,6.25,6.49,3742762
2022-12-20,6.47,6.63,6.35,6.37,5105830
2022-12-21,6.51,6.64,6.37,6.53,11275898
2022-12-22,6.6,6.695,6.485,6.53,4321108
2022-12-23,6.5,6.62,6.45,6.55,3113262
2022-12-28,6.55,6.55,6.24,6.44,3703156
2022-12-29,6.33,6.36,6.19,6.22,4708298
2022-12-30,6.26,6.47,6.26,6.36,2644246
2023-01-03,6.4,6.43,5.76,5.82,6630776
2023-01-04,5.83,5.94,5.71,5.91,5750290
2023-01-05,5.85,6.0,5.66,5.87,4888411
2023-01-06,5.98,6.165,5.92,6.04,3921123
2023-01-09,6.13,6.3,6.08,6.23,2992794
2023-01-10,6.2,6.33,6.09,6.2,3996635
2023-01-11,6.2,6.34,6.12,6.14,3416174
2023-01-12,5.98,6.02,5.82,5.92,6723086
2023-01-13,6.03,6.29,6.01,6.22,4854558
2023-01-16,6.27,6.53,6.26,6.52,4786938
2023-01-17,6.42,6.49,6.19,6.37,5075223
2023-01-18,6.4,6.6,6.31,6.56,3702207
2023-01-19,6.53,6.6,6.33,6.58,4177939
2023-01-20,6.69,6.885,6.55,6.76,6418755
2023-01-23,6.79,6.88,6.625,6.65,4339174
2023-01-24,6.64,6.695,6.51,6.65,3985773
2023-01-25,6.62,6.725,6.41,6.42,5818851
2023-01-27,6.27,6.29,5.8,5.84,14514969
2023-01-30,5.89,6.12,5.88,5.88,6784616
2023-01-31,5.76,5.89,5.65,5.86,5673651
2023-02-01,5.86,6.03,5.805,5.82,6591180
2023-02-02,5.84,5.88,5.73,5.75,4922905
2023-02-03,5.67,5.81,5.56,5.79,4946490
2023-02-06,5.74,5.96,5.71,5.94,4117961
2023-02-07,6.03,6.29,6.02,6.16,5636252
2023-02-08,6.23,6.325,6.02,6.11,6574703
2023-02-09,5.95,6.01,5.78,5.81,6770279
2023-02-10,5.5,5.53,5.24,5.31,15572607
2023-02-13,5.5,5.51,5.32,5.4,11484276
2023-02-14,5.41,5.52,5.32,5.41,6913860
2023-02-15,5.53,5.75,5.51,5.73,6566038
2023-02-16,5.66,5.81,5.27,5.52,10552241
2023-02-17,5.49,5.56,5.19,5.2,9680397
2023-02-20,5.15,5.255,5.1,5.11,5871911
2023-02-21,5.11,5.245,5.1,5.16,3256013
2023-02-22,5.17,5.295,5.13,5.2,4324951
2023-02-23,5.19,5.405,5.18,5.35,5049249
2023-02-24,5.49,5.59,5.35,5.38,4007518
2023-02-27,5.43,5.58,5.39,5.4,3910987
2023-02-28,5.49,5.55,5.39,5.43,5174983
2023-03-01,5.38,5.5,5.28,5.45,3772356
2023-03-02,5.5,5.71,5.48,5.69,5448123
2023-03-03,5.61,5.865,5.6,5.77,4381353
2023-03-06,5.81,5.81,5.46,5.61,4603219
2023-03-07,5.47,5.685,5.45,5.65,4303698
2023-03-08,5.49,5.59,5.32,5.51,7219363
2023-03-09,5.39,5.89,5.39,5.82,5315414
2023-03-10,5.71,5.79,5.51,5.57,4821094
2023-03-13,5.65,5.65,5.42,5.52,4994233
2023-03-14,5.4,5.42,5.21,5.24,5933011
2023-03-15,5.31,5.44,5.26,5.29,4208288
2023-03-16,5.11,5.16,5.03,5.12,6181136
2023-03-17,5.15,5.25,5.08,5.19,7891502
2023-03-20,5.09,5.13,4.9,4.9,5970966
2023-03-21,5.1,5.49,5.05,5.32,8214630
2023-03-22,5.45,5.65,5.39,5.6,6144816
2023-03-23,5.55,5.605,5.47,5.54,5689992
2023-03-24,5.51,5.53,5.39,5.49,4040989
2023-03-27,5.6,5.6,5.4,5.42,4516905
2023-03-28,5.49,5.67,5.48,5.65,3618092
2023-03-29,5.67,5.7,5.46,5.46,5111532
2023-03-30,5.52,5.59,5.5,5.55,3168756
2023-03-31,5.56,5.7,5.54,5.68,4251941
2023-04-03,5.83,5.89,5.76,5.79,3291413
2023-04-04,6.0,6.14,5.95,6.06,7449066
2023-04-05,5.87,6.02,5.85,5.99,6092493
2023-04-06,5.95,5.99,5.73,5.86,6626806
2023-04-11,5.89,5.98,5.85,5.86,5215746
2023-04-12,5.75,5.89,5.61,5.83,7064846
2023-04-13,5.8,5.93,5.71,5.9,7943857
2023-04-14,5.94,5.96,5.775,5.8,7561351
2023-04-17,5.37,5.4,5.14,5.25,11738596
2023-04-18,5.3,5.32,5.21,5.26,5387512
2023-04-19,5.26,5.29,5.22,5.26,4070673
2023-04-20,5.23,5.28,5.14,5.21,7380889
2023-04-21,5.2,5.34,5.19,5.33,8134915
2023-04-24,5.32,5.35,5.2,5.25,3401309
2023-04-26,5.27,5.42,5.25,5.34,5674530
2023-04-27,5.3,5.39,5.28,5.34,2361784
2023-04-28,5.33,5.38,5.27,5.31,3889291
2023-05-01,5.34,5.44,5.34,5.42,3455207
2023-05-02,5.39,5.43,5.31,5.31,2806172
2023-05-03,5.31,5.35,5.26,5.28,2641632
2023-05-04,5.23,5.295,5.17,5.19,3580551
2023-05-05,5.15,5.17,5.01,5.06,4619557
2023-05-08,5.11,5.28,5.05,5.21,5862342
2023-05-09,5.22,5.23,5.07,5.17,4496462
2023-05-10,5.15,5.27,5.15,5.26,2222000
2023-05-11,5.22,5.23,5.125,5.17,2608323
2023-05-12,5.15,5.18,5.04,5.18,4148857
2023-05-15,5.17,5.26,5.12,5.13,2307162
2023-05-16,5.11,5.16,5.075,5.09,2820064
2023-05-17,5.06,5.09,5.02,5.08,3247539
2023-05-18,5.14,5.27,5.11,5.27,4711759
2023-05-19,5.16,5.24,5.02,5.11,5607556
2023-05-22,5.22,5.34,5.13,5.15,6364735
2023-05-23,5.22,5.42,5.21,5.33,5892312
2023-05-24,5.31,5.37,5.24,5.25,3891382
