date,open,high,low,close,volume
2022-08-29,7.97,8.04,7.76,7.81,830647
2022-08-30,7.87,8.09,7.79,8.05,1211676
2022-08-31,8.03,8.195,8.015,8.18,1040723
2022-09-01,8.03,8.13,7.99,8.08,1046607
2022-09-02,8.18,8.19,7.97,8.0,678114
2022-09-05,7.99,8.07,7.75,7.79,466222
2022-09-06,7.79,7.84,7.71,7.77,1312588
2022-09-07,7.87,7.87,7.645,7.74,810371
2022-09-08,7.71,7.75,7.63,7.69,854098
2022-09-09,7.66,7.75,7.58,7.69,871841
2022-09-12,7.69,7.755,7.64,7.74,603899
2022-09-13,7.8,7.92,7.77,7.89,916800
2022-09-14,7.69,7.87,7.68,7.82,1610566
2022-09-15,7.85,7.95,7.82,7.92,1049266
2022-09-16,7.88,7.97,7.84,7.95,1730000
2022-09-19,7.88,7.92,7.78,7.83,615285
2022-09-20,7.91,7.91,7.7,7.77,499444
2022-09-21,7.73,7.74,7.56,7.59,823061
2022-09-23,7.56,7.66,7.52,7.56,873666
2022-09-26,7.47,7.5,7.35,7.42,691773
2022-09-27,7.37,7.4,7.3,7.35,818610
2022-09-28,7.35,7.42,7.29,7.4,1281467
2022-09-29,7.52,7.535,7.43,7.49,524437
2022-09-30,7.41,7.5,7.38,7.43,910107
2022-10-03,7.43,7.48,7.35,7.35,443628
2022-10-04,7.5,7.5,7.39,7.46,679294
2022-10-05,7.46,7.53,7.37,7.5,1100991
2022-10-06,7.48,7.58,7.43,7.55,665398
2022-10-07,7.45,7.52,7.44,7.48,490601
2022-10-10,7.42,7.5,7.4,7.46,569364
2022-10-11,7.46,7.565,7.44,7.51,585777
2022-10-12,7.51,7.51,7.51,7.51,0
2022-10-13,7.0,7.03,6.54,6.61,7581005
2022-10-14,6.7,6.96,6.645,6.91,2782995
2022-10-17,6.84,6.86,6.68,6.72,977314
2022-10-18,6.8,6.84,6.72,6.74,1271043
2022-10-19,6.85,6.89,6.8,6.85,1339790
2022-10-20,6.84,6.91,6.77,6.81,886567
2022-10-21,6.8,6.83,6.69,6.7,775520
2022-10-24,6.83,6.84,6.67,6.77,1006636
2022-10-25,6.87,6.87,6.74,6.76,768177
2022-10-26,6.74,6.77,6.67,6.76,1326582
2022-10-27,6.79,6.81,6.63,6.67,1443701
2022-10-28,6.64,6.7,6.52,6.52,1046191
2022-10-31,6.66,6.71,6.58,6.67,1153939
2022-11-01,6.7,6.89,6.7,6.85,1085771
2022-11-02,6.8,7.04,6.8,6.96,2349360
2022-11-03,6.79,6.94,6.79,6.91,762421
2022-11-04,6.8,6.86,6.71,6.81,1244427
2022-11-07,6.8,6.91,6.77,6.91,820615
2022-11-08,6.91,6.94,6.82,6.89,742039
2022-11-09,6.95,7.04,6.88,6.97,768566
2022-11-10,6.95,7.0,6.86,6.89,940789
2022-11-11,6.91,6.94,6.81,6.84,1091146
2022-11-14,6.78,6.81,6.68,6.71,1167436
2022-11-15,6.84,6.84,6.71,6.81,664169
2022-11-16,6.74,6.805,6.66,6.74,838217
2022-11-17,6.84,6.9,6.8,6.9,1093796
2022-11-18,6.95,7.16,6.89,7.12,1399680
2022-11-21,7.21,7.24,7.085,7.24,1223265
2022-11-22,7.13,7.25,7.13,7.2,810342
2022-11-23,7.27,7.27,7.16,7.22,537986
2022-11-24,7.21,7.21,7.105,7.15,925385
2022-11-25,7.2,7.22,7.12,7.2,488388
2022-11-28,7.25,7.275,7.16,7.25,924585
2022-11-29,7.28,7.29,7.17,7.2,1158740
2022-11-30,7.15,7.3,7.14,7.3,1479665
2022-12-01,7.4,7.4,7.2,7.23,621256
2022-12-02,7.2,7.22,7.1,7.13,778172
2022-12-05,7.08,7.13,7.04,7.08,529233
2022-12-06,7.12,7.13,7.03,7.06,1299905
2022-12-07,7.04,7.245,7.04,7.23,1542594
2022-12-08,7.24,7.26,7.13,7.17,492670
2022-12-09,7.19,7.2,7.115,7.2,410866
2022-12-12,7.21,7.25,7.08,7.17,675652
2022-12-13,7.2,7.27,7.14,7.23,865781
2022-12-14,7.33,7.33,7.19,7.28,685169
2022-12-15,7.24,7.24,7.14,7.21,1203302
2022-12-16,7.21,7.32,7.12,7.27,2839241
2022-12-19,7.28,7.34,7.2,7.34,646483
2022-12-20,7.4,7.4,7.22,7.25,1030922
2022-12-21,7.32,7.45,7.27,7.44,1340832
2022-12-22,7.48,7.7,7.43,7.7,1117773
2022-12-23,7.7,7.74,7.65,7.73,1564735
2022-12-28,7.73,7.81,7.68,7.77,932329
2022-12-29,7.76,7.8,7.72,7.76,612210
2022-12-30,7.79,7.82,7.725,7.75,597338
2023-01-03,7.75,7.76,7.6,7.61,632730
2023-01-04,7.8,7.815,7.645,7.79,858499
2023-01-05,7.69,7.8,7.62,7.69,886647
2023-01-06,7.55,7.71,7.55,7.67,433423
2023-01-09,7.72,7.74,7.61,7.63,421221
2023-01-10,7.56,7.61,7.51,7.56,554297
2023-01-11,7.6,7.625,7.55,7.58,907520
2023-01-12,7.68,7.72,7.6,7.67,628893
2023-01-13,7.7,7.75,7.64,7.7,507306
2023-01-16,7.64,7.73,7.59,7.66,783462
2023-01-17,7.66,7.705,7.63,7.7,430635
2023-01-18,7.7,7.76,7.66,7.73,942924
2023-01-19,7.76,7.8,7.69,7.79,916928
2023-01-20,7.82,7.85,7.76,7.78,872720
2023-01-23,7.8,7.87,7.57,7.85,711047
2023-01-24,7.85,7.915,7.79,7.89,594068
2023-01-25,7.97,7.975,7.85,7.89,638504
2023-01-27,7.89,8.0,7.82,7.94,926888
2023-01-30,7.95,7.95,7.76,7.8,635908
2023-01-31,7.86,7.91,7.82,7.87,721680
2023-02-01,7.85,7.86,7.78,7.8,494340
2023-02-02,7.84,7.84,7.65,7.74,2367335
2023-02-03,7.79,7.81,7.67,7.74,805019
2023-02-06,7.74,7.865,7.71,7.86,510796
2023-02-07,7.81,7.97,7.79,7.94,1089780
2023-02-08,7.89,8.12,7.87,8.04,2854677
2023-02-09,8.09,8.1,7.93,7.96,572448
2023-02-10,7.91,8.03,7.91,8.01,780531
2023-02-13,7.96,8.025,7.93,8.0,723633
2023-02-14,8.01,8.01,7.88,7.9,761496
2023-02-15,7.92,8.05,7.91,7.98,551610
2023-02-16,8.03,8.09,7.97,8.04,769941
2023-02-17,8.06,8.12,7.94,7.94,1013322
2023-02-20,7.4,7.5,6.88,7.02,3104711
2023-02-21,7.31,7.405,7.16,7.17,2068603
2023-02-22,7.21,7.36,7.15,7.33,1257819
2023-02-23,7.31,7.49,7.31,7.42,1330282
2023-02-24,7.42,7.54,7.41,7.44,1217006
2023-02-27,7.49,7.52,7.42,7.49,1142428
2023-02-28,7.55,7.64,7.51,7.6,2937588
2023-03-01,7.5,7.63,7.49,7.58,693543
2023-03-02,7.48,7.51,7.42,7.47,923580
2023-03-03,7.38,7.6,7.33,7.39,745979
2023-03-06,7.46,7.5,7.285,7.3,984718
2023-03-07,7.28,7.39,7.27,7.31,1823682
2023-03-08,7.27,7.3,7.13,7.22,1769765
2023-03-09,7.25,7.395,7.15,7.36,936071
2023-03-10,7.25,7.33,7.2,7.25,780649
2023-03-13,7.18,7.22,7.04,7.04,802098
2023-03-14,6.92,6.94,6.74,6.88,1612874
2023-03-15,6.93,7.06,6.92,7.0,4347247
2023-03-16,7.08,7.08,6.92,6.99,2602624
2023-03-17,7.1,7.11,6.78,6.89,7909281
2023-03-20,6.76,6.84,6.74,6.81,1204421
2023-03-21,6.87,6.92,6.83,6.83,418331
2023-03-22,6.95,7.02,6.89,6.97,1019941
2023-03-23,6.93,7.01,6.92,7.0,1295305
2023-03-24,6.83,6.945,6.8,6.93,639917
2023-03-27,6.95,7.03,6.89,7.0,439142
2023-03-28,7.0,7.06,6.9,6.92,935512
2023-03-29,6.97,6.985,6.865,6.97,657698
2023-03-30,6.98,6.99,6.91,6.98,837373
2023-03-31,7.09,7.18,7.02,7.05,1150691
2023-04-03,6.97,7.07,6.97,7.06,681160
2023-04-04,7.11,7.17,7.05,7.16,454660
2023-04-05,7.24,7.28,7.15,7.22,658723
2023-04-06,7.29,7.29,7.18,7.23,488300
2023-04-11,7.28,7.305,7.19,7.24,957503
2023-04-12,7.27,7.41,7.22,7.39,794950
2023-04-13,7.43,7.47,7.39,7.39,1097425
2023-04-14,7.44,7.51,7.37,7.45,808373
2023-04-17,7.46,7.53,7.42,7.45,328770
2023-04-18,7.44,7.44,7.35,7.39,1398301
2023-04-19,7.35,7.51,7.34,7.48,433252
2023-04-20,7.53,7.59,7.5,7.57,873885
2023-04-21,7.59,7.66,7.53,7.64,688705
2023-04-24,7.66,7.73,7.55,7.7,630660
2023-04-26,7.82,7.87,7.7,7.75,1197529
2023-04-27,7.7,7.75,7.67,7.69,482581
2023-04-28,7.75,7.815,7.71,7.72,1534519
2023-05-01,7.78,7.78,7.58,7.58,1049245
2023-05-02,7.66,7.71,7.555,7.63,1109637
2023-05-03,7.5,7.57,7.45,7.52,1262807
2023-05-04,7.48,7.72,7.48,7.71,955798
2023-05-05,7.79,7.91,7.73,7.9,1329945
2023-05-08,7.92,8.095,7.92,8.04,2464248
2023-05-09,8.05,8.19,7.99,8.12,3103594
2023-05-10,8.1,8.1,7.99,8.02,2519679
2023-05-11,8.02,8.04,7.9,8.0,3518190
2023-05-12,8.01,8.06,7.98,8.06,801289
2023-05-15,8.03,8.13,7.95,8.13,1134644
2023-05-16,8.1,8.17,8.09,8.13,1097420
2023-05-17,8.1,8.12,7.99,8.07,731801
