date,open,high,low,close,volume
2022-08-29,1.0,1.025,0.985,1.015,10208444
2022-08-30,1.02,1.03,1.01,1.025,8244620
2022-08-31,1.015,1.04,0.975,0.99,11171063
2022-09-01,0.96,0.97,0.93,0.935,19311614
2022-09-02,0.92,0.9275,0.895,0.905,15245070
2022-09-05,0.91,0.925,0.895,0.925,8421603
2022-09-06,0.92,0.925,0.89,0.895,13472729
2022-09-07,0.885,0.89,0.845,0.85,19600700
2022-09-08,0.865,0.875,0.86,0.87,10922433
2022-09-09,0.87,0.905,0.87,0.895,12896610
2022-09-12,0.945,0.96,0.93,0.955,15587258
2022-09-13,0.985,1.005,0.96,0.99,24672615
2022-09-14,0.95,0.955,0.93,0.93,13303401
2022-09-15,0.94,0.945,0.9,0.9,17088105
2022-09-16,0.89,0.905,0.88,0.885,15481702
2022-09-19,0.885,0.905,0.8525,0.855,8596920
2022-09-20,0.88,0.9,0.8725,0.895,10592859
2022-09-21,0.885,0.9,0.87,0.875,10518148
2022-09-23,0.86,0.8625,0.815,0.82,14750287
2022-09-26,0.795,0.805,0.78,0.795,15205621
2022-09-27,0.795,0.81,0.785,0.8,12283210
2022-09-28,0.805,0.805,0.76,0.77,15720741
2022-09-29,0.81,0.81,0.795,0.8,9987162
2022-09-30,0.795,0.795,0.775,0.79,9648281
2022-10-03,0.77,0.78,0.745,0.75,11694893
2022-10-04,0.77,0.8,0.76,0.8,12625827
2022-10-05,0.82,0.835,0.805,0.81,8197310
2022-10-06,0.805,0.83,0.795,0.82,6785376
2022-10-07,0.815,0.82,0.79,0.79,7529504
2022-10-10,0.775,0.785,0.77,0.77,7777800
2022-10-11,0.765,0.805,0.765,0.785,14282396
2022-10-12,0.78,0.78,0.7525,0.76,7374159
2022-10-13,0.75,0.76,0.735,0.74,11351925
2022-10-14,0.76,0.76,0.745,0.75,6302335
2022-10-17,0.74,0.75,0.73,0.74,6750094
2022-10-18,0.755,0.77,0.74,0.76,10168151
2022-10-19,0.765,0.77,0.75,0.75,5843326
2022-10-20,0.735,0.745,0.72,0.735,13160494
2022-10-21,0.725,0.735,0.71,0.71,9192877
2022-10-24,0.73,0.745,0.725,0.725,10174593
2022-10-25,0.73,0.735,0.705,0.71,7847596
2022-10-26,0.71,0.725,0.705,0.71,6027541
2022-10-27,0.72,0.755,0.715,0.75,9988177
2022-10-28,0.735,0.74,0.685,0.7,11930210
2022-10-31,0.725,0.74,0.72,0.73,7552351
2022-11-01,0.74,0.79,0.735,0.785,10761999
2022-11-02,0.8,0.82,0.785,0.795,10961134
2022-11-03,0.755,0.78,0.755,0.775,4339891
2022-11-04,0.775,0.805,0.765,0.78,8135860
2022-11-07,0.8,0.825,0.795,0.81,6679522
2022-11-08,0.835,0.845,0.815,0.83,10371756
2022-11-09,0.85,0.87,0.845,0.86,9312699
2022-11-10,0.845,0.85,0.835,0.85,3836867
2022-11-11,0.89,0.895,0.86,0.89,9261695
2022-11-14,0.905,0.94,0.905,0.94,10949108
2022-11-15,0.95,0.96,0.915,0.955,20253644
2022-11-16,0.96,0.99,0.95,0.99,10501922
2022-11-17,0.955,0.965,0.915,0.945,15719258
2022-11-18,0.94,0.955,0.93,0.935,69448917
2022-11-21,0.945,0.95,0.92,0.94,7289621
2022-11-22,0.94,0.96,0.935,0.945,4759735
2022-11-23,0.965,0.985,0.96,0.98,4999905
2022-11-24,0.985,0.99,0.96,0.97,5423541
2022-11-25,0.97,0.975,0.9525,0.955,3438772
2022-11-28,0.95,0.955,0.92,0.94,4278276
2022-11-29,0.935,0.96,0.925,0.955,4658671
2022-11-30,0.95,0.975,0.9425,0.975,6704859
2022-12-01,0.995,1.01,0.98,1.005,7440041
2022-12-02,1.005,1.03,1.005,1.03,6591253
2022-12-05,1.035,1.045,1.005,1.005,14788281
2022-12-06,0.99,1.0,0.965,0.995,7502801
2022-12-07,0.995,1.015,0.995,1.01,5186699
2022-12-08,1.015,1.04,0.99,0.995,9419140
2022-12-09,1.005,1.03,1.0,1.02,6245214
2022-12-12,0.99,1.01,0.99,1.01,4689600
2022-12-13,1.01,1.01,0.98,0.985,5091319
2022-12-14,0.995,1.03,0.99,1.03,5662811
2022-12-15,1.015,1.02,0.98,0.98,5305707
2022-12-16,0.96,0.995,0.935,0.945,14700277
2022-12-19,0.96,0.9975,0.96,0.99,7807824
2022-12-20,0.97,0.985,0.94,0.94,9056663
2022-12-21,0.97,0.985,0.96,0.985,5266028
2022-12-22,1.0,1.01,0.985,1.0,5485153
2022-12-23,0.975,0.98,0.95,0.975,21232381
2022-12-28,0.97,0.97,0.95,0.96,1920142
2022-12-29,0.955,0.975,0.9525,0.965,3841772
2022-12-30,0.965,0.99,0.96,0.97,3630607
2023-01-03,0.975,0.99,0.955,0.97,3764481
2023-01-04,0.98,1.01,0.975,1.01,6549807
2023-01-05,1.015,1.04,1.01,1.03,9805091
2023-01-06,1.015,1.06,1.01,1.05,7223390
2023-01-09,1.075,1.13,1.065,1.12,13664965
2023-01-10,1.11,1.125,1.075,1.075,7419462
2023-01-11,1.09,1.125,1.08,1.11,8045748
2023-01-12,1.125,1.135,1.1025,1.105,11319919
2023-01-13,1.12,1.13,1.11,1.11,4013063
2023-01-16,1.12,1.15,1.115,1.125,6761684
2023-01-17,1.13,1.135,1.105,1.12,3626850
2023-01-18,1.12,1.12,1.12,1.12,0
2023-01-19,1.04,1.065,1.025,1.045,26397698
2023-01-20,1.05,1.09,1.045,1.085,14799716
2023-01-23,1.095,1.125,1.095,1.12,8536272
2023-01-24,1.12,1.14,1.095,1.125,8451787
2023-01-25,1.115,1.125,1.095,1.095,16300702
2023-01-27,1.11,1.115,1.09,1.095,8383056
2023-01-30,1.09,1.1,1.08,1.095,11359899
2023-01-31,1.09,1.1325,1.08,1.095,15873067
2023-02-01,1.12,1.1675,1.12,1.13,18804309
2023-02-02,1.14,1.14,1.11,1.12,8136713
2023-02-03,1.12,1.12,1.09,1.115,6975178
2023-02-06,1.1,1.105,1.07,1.08,6848379
2023-02-07,1.075,1.08,1.055,1.065,9115390
2023-02-08,1.075,1.11,1.075,1.105,8392596
2023-02-09,1.09,1.12,1.085,1.115,5553344
2023-02-10,1.1,1.115,1.065,1.07,7893572
2023-02-13,1.05,1.065,1.05,1.065,4622445
2023-02-14,1.07,1.085,1.055,1.055,6003642
2023-02-15,1.075,1.08,1.045,1.045,5819097
2023-02-16,1.05,1.08,1.045,1.08,10136422
2023-02-17,1.08,1.08,1.04,1.045,7847058
2023-02-20,1.04,1.045,1.0125,1.02,5646731
2023-02-21,1.035,1.08,1.025,1.065,9300929
2023-02-22,1.03,1.055,1.03,1.045,2787585
2023-02-23,1.055,1.055,1.035,1.05,4313085
2023-02-24,1.045,1.0475,1.025,1.03,4339096
2023-02-27,1.015,1.015,0.955,0.96,13417434
2023-02-28,0.99,1.01,0.975,0.98,10331042
2023-03-01,0.97,0.995,0.96,0.985,7611147
2023-03-02,1.005,1.04,1.0,1.035,8484447
2023-03-03,1.035,1.0475,1.025,1.03,5701078
2023-03-06,1.045,1.055,1.01,1.02,8169162
2023-03-07,1.0,1.0125,0.995,1.005,5714079
2023-03-08,0.985,1.0,0.96,0.96,7356653
2023-03-09,0.985,1.005,0.96,1.0,14063132
2023-03-10,0.975,0.985,0.955,0.955,9078150
2023-03-13,0.94,0.95,0.905,0.905,10929946
2023-03-14,0.91,0.91,0.875,0.88,14248875
2023-03-15,0.89,0.9,0.88,0.885,10383951
2023-03-16,0.86,0.8825,0.86,0.865,24129550
2023-03-17,0.865,0.885,0.86,0.865,11317232
2023-03-20,0.86,0.885,0.8525,0.86,6059254
2023-03-21,0.875,0.9,0.87,0.88,6274459
2023-03-22,0.895,0.91,0.89,0.905,6071838
2023-03-23,0.895,0.905,0.88,0.88,11695988
2023-03-24,0.895,0.895,0.87,0.88,3746212
2023-03-27,0.885,0.895,0.86,0.865,4093896
2023-03-28,0.875,0.91,0.875,0.89,6440756
2023-03-29,0.885,0.91,0.885,0.89,10504355
2023-03-30,0.92,0.92,0.895,0.9,8268371
2023-03-31,0.9,0.92,0.8975,0.9,8972202
2023-04-03,0.915,0.93,0.9,0.905,7220701
2023-04-04,0.905,0.915,0.895,0.9,5095470
2023-04-05,0.9,0.905,0.89,0.895,6242320
2023-04-06,0.89,0.89,0.845,0.845,11225406
2023-04-11,0.86,0.91,0.86,0.905,11343657
2023-04-12,0.92,0.945,0.915,0.935,18241618
2023-04-13,0.94,1.0,0.935,0.985,14197517
2023-04-14,0.99,0.99,0.95,0.97,5121118
2023-04-17,0.975,1.0,0.975,0.985,6636831
2023-04-18,0.98,0.995,0.975,0.985,4387122
2023-04-19,0.99,1.0125,0.99,0.99,5770545
2023-04-20,0.99,0.99,0.975,0.985,4563306
