date,open,high,low,close,volume
2022-08-29,7.34,7.54,7.16,7.46,6616217
2022-08-30,7.57,7.85,7.49,7.79,6996053
2022-08-31,7.68,7.935,7.64,7.88,6074994
2022-09-01,7.71,7.77,7.45,7.45,5183485
2022-09-02,7.35,7.46,7.29,7.38,6869009
2022-09-05,7.5,7.56,7.435,7.47,6059119
2022-09-06,7.26,7.415,7.26,7.35,5080198
2022-09-07,7.2,7.28,7.1,7.24,5591767
2022-09-08,7.42,7.58,7.41,7.48,5194563
2022-09-09,7.4,7.78,7.4,7.72,6889623
2022-09-12,7.8,7.86,7.71,7.73,4361084
2022-09-13,7.8,8.03,7.75,8.02,7071479
2022-09-14,7.66,7.79,7.54,7.73,6975510
2022-09-15,7.85,7.85,7.68,7.72,5795969
2022-09-16,7.59,7.61,7.305,7.4,10464073
2022-09-19,7.6,7.66,7.54,7.61,4773855
2022-09-20,7.8,7.85,7.69,7.7,4615561
2022-09-21,7.51,7.57,7.425,7.54,4440218
2022-09-23,7.59,7.67,7.41,7.49,4659771
2022-09-26,7.19,7.2,6.96,6.96,8198253
2022-09-27,7.04,7.12,6.93,7.11,6122082
2022-09-28,7.05,7.22,7.02,7.17,4688575
2022-09-29,7.59,7.65,7.47,7.49,6007196
2022-09-30,7.51,7.885,7.46,7.83,6911298
2022-10-03,7.95,7.95,7.615,7.67,4378508
2022-10-04,7.93,8.28,7.93,8.24,9402853
2022-10-05,8.48,8.49,8.2,8.48,7474957
2022-10-06,8.36,8.6,8.3,8.5,5501164
2022-10-07,8.48,8.685,8.48,8.61,4945597
2022-10-10,8.25,8.32,8.22,8.23,5376420
2022-10-11,8.23,8.32,8.15,8.18,5445596
2022-10-12,8.12,8.24,8.06,8.07,5888919
2022-10-13,8.07,8.21,8.02,8.13,3872184
2022-10-14,8.08,8.14,7.97,7.98,5503203
2022-10-17,7.79,7.8,7.65,7.66,5649967
2022-10-18,7.87,8.11,7.76,8.09,4315286
2022-10-19,8.05,8.21,7.95,8.03,3519830
2022-10-20,7.82,7.96,7.78,7.9,5963632
2022-10-21,8.0,8.045,7.86,7.96,4487468
2022-10-24,8.34,8.47,8.25,8.36,7691913
2022-10-25,8.39,8.515,8.27,8.27,4574080
2022-10-26,8.41,8.595,8.38,8.56,5722229
2022-10-27,8.9,9.0,8.8,8.93,8140240
2022-10-28,8.89,8.93,8.8,8.93,7062460
2022-10-31,8.83,8.88,8.69,8.74,5459994
2022-11-01,8.77,8.84,8.68,8.84,3385271
2022-11-02,8.93,9.05,8.895,8.95,7725412
2022-11-03,8.59,8.69,8.47,8.65,5671300
2022-11-04,8.46,8.78,8.46,8.76,4487760
2022-11-07,9.13,9.29,9.1,9.29,10329962
2022-11-08,9.43,9.48,9.33,9.4,5620392
2022-11-09,9.88,10.13,9.79,10.04,12106863
2022-11-10,9.69,10.03,9.61,9.9,5711320
2022-11-11,10.5,10.65,9.99,10.23,11294026
2022-11-14,10.1,10.29,10.09,10.13,6359668
2022-11-15,10.3,10.38,10.15,10.15,6071006
2022-11-16,10.06,10.2,9.86,9.89,7452934
2022-11-17,9.95,10.07,9.88,10.06,5412564
2022-11-18,10.01,10.05,9.99,10.0,3782374
2022-11-21,10.02,10.1,9.92,10.0,4252782
2022-11-22,9.95,10.11,9.89,10.09,3501640
2022-11-23,10.35,10.4,10.245,10.31,3742720
2022-11-24,10.5,10.66,10.47,10.58,4358458
2022-11-25,10.44,10.66,10.4,10.61,2471030
2022-11-28,10.5,10.71,10.49,10.59,3892008
2022-11-29,10.33,10.54,10.22,10.54,6055879
2022-11-30,10.62,10.75,10.5,10.6,8208095
2022-12-01,11.08,11.21,10.79,10.92,9800634
2022-12-02,11.23,11.27,10.99,11.08,9967521
2022-12-05,11.01,11.07,10.86,10.92,7180247
2022-12-06,10.58,10.77,10.48,10.7,6821610
2022-12-07,10.65,10.79,10.615,10.72,6837838
2022-12-08,10.87,11.04,10.85,10.92,4677311
2022-12-09,10.79,11.14,10.78,11.14,4325118
2022-12-12,10.78,10.89,10.68,10.79,4840202
2022-12-13,10.9,10.93,10.72,10.83,4281904
2022-12-14,11.08,11.17,10.93,10.97,5714473
2022-12-15,10.8,11.005,10.8,10.86,3941933
2022-12-16,10.55,10.75,10.44,10.66,12933368
2022-12-19,10.83,11.25,10.83,11.02,5182875
2022-12-20,10.96,10.97,10.69,10.78,4380638
2022-12-21,11.11,11.32,11.11,11.21,4080051
2022-12-22,11.29,11.29,11.09,11.12,2127622
2022-12-23,10.95,11.12,10.86,11.06,2274146
2022-12-28,11.34,11.44,11.095,11.12,2130326
2022-12-29,11.0,11.07,10.88,11.07,2076342
2022-12-30,11.12,11.12,10.91,10.91,2740573
2023-01-03,10.93,11.145,10.93,11.11,2847972
2023-01-04,11.32,11.45,11.3,11.43,3928141
2023-01-05,11.55,11.73,11.55,11.62,4974036
2023-01-06,11.5,11.77,11.48,11.76,6573501
2023-01-09,11.89,11.99,11.86,11.96,2673805
2023-01-10,11.76,11.82,11.64,11.73,3849452
2023-01-11,11.93,11.99,11.82,11.89,2829273
2023-01-12,11.96,12.13,11.79,12.0,4554908
2023-01-13,12.05,12.32,12.025,12.08,5916111
2023-01-16,12.3,12.44,12.215,12.43,5077953
2023-01-17,12.44,12.44,12.195,12.25,6009851
