date,open,high,low,close,volume
2022-08-29,10.5615,10.5714,9.9472,10.1949,3801444
2022-08-30,10.2246,10.2841,9.967,10.1553,2542391
2022-08-31,10.0066,10.4327,9.9571,10.393,1828872
2022-09-01,10.2345,10.4624,10.2345,10.393,2013816
2022-09-02,10.6011,10.6209,10.1057,10.1354,2383972
2022-09-05,10.0066,10.1949,9.759,9.759,2435203
2022-09-06,9.6599,9.8877,9.65,9.759,1321598
2022-09-07,9.749,9.8085,9.4815,9.4815,1842060
2022-09-08,9.5608,9.6797,9.4815,9.6599,2141378
2022-09-09,9.5707,9.6797,9.4617,9.5113,1568886
2022-09-12,9.6599,9.9175,9.6202,9.8481,1552890
2022-09-13,9.9868,10.0562,9.858,10.0265,1508060
2022-09-14,9.7094,9.7391,9.432,9.5509,1963573
2022-09-15,9.541,9.7045,9.5014,9.5806,1832439
2022-09-16,9.4419,9.5955,9.432,9.4914,3411504
2022-09-19,9.4419,9.5608,9.3527,9.3924,1126322
2022-09-20,9.4617,9.5014,9.3527,9.3924,2037404
2022-09-21,9.2438,9.2933,9.1348,9.214,1485030
2022-09-23,8.9564,9.0159,8.8375,8.9763,2151367
2022-09-26,8.7781,9.1051,8.7484,9.0456,1669243
2022-09-27,9.0951,9.0951,8.9019,8.9763,1643515
2022-09-28,8.9465,8.9961,8.7682,8.8177,1496397
2022-09-29,8.9168,9.0456,8.8772,8.9763,1660911
2022-09-30,8.8772,8.9267,8.7087,8.7385,2213131
2022-10-03,8.6988,8.7187,8.4908,8.5601,695997
2022-10-04,8.7187,8.9763,8.6097,8.9465,2068507
2022-10-05,9.1249,9.4122,9.0753,9.3825,2624186
2022-10-06,9.3428,9.4122,9.2834,9.3329,1121237
2022-10-07,9.1942,9.2537,9.0258,9.0258,905961
2022-10-10,8.8177,8.8772,8.7187,8.7781,1050344
2022-10-11,8.7781,8.9069,8.7484,8.788,1465852
2022-10-12,8.6988,8.7187,8.5998,8.6691,1378423
2022-10-13,8.6097,8.6097,8.4313,8.4611,1259341
2022-10-14,8.6295,8.7385,8.4809,8.5403,1207246
2022-10-17,8.4214,8.5106,8.3719,8.5106,2052296
2022-10-18,8.6196,8.9267,8.6196,8.9069,1277807
2022-10-19,8.9069,9.1744,8.8673,9.1051,1794893
2022-10-20,8.9168,8.9465,8.6889,8.8475,1852964
2022-10-21,8.7187,8.9069,8.6295,8.6691,1860831
2022-10-24,8.8673,8.9961,8.8177,8.9366,1038480
2022-10-25,9.0159,9.1249,8.9168,8.9465,873671
2022-10-26,9.0753,9.0852,8.9663,9.0159,1009676
2022-10-27,8.9663,9.0654,8.9564,9.0456,1316625
2022-10-28,8.8772,8.9168,8.6295,8.6889,1834928
2022-10-31,8.9168,8.9763,8.2431,8.2431,7014313
2022-11-01,8.3323,8.9564,8.3124,8.6889,2664675
2022-11-02,8.5899,8.7484,8.5304,8.5899,1382807
2022-11-03,8.3224,8.3917,8.2233,8.3818,1712632
2022-11-04,8.2629,8.5502,8.2629,8.4908,2008650
2022-11-07,8.5205,8.58,8.4611,8.5304,1468666
2022-11-08,8.57,8.6295,8.4115,8.5601,1257891
2022-11-09,8.6493,8.7187,8.4809,8.58,1981720
2022-11-10,8.4611,8.7583,8.3719,8.6592,1527944
2022-11-11,9.115,9.3626,9.0654,9.1249,2793273
2022-11-14,9.2239,9.3428,9.0951,9.0951,1535924
2022-11-15,9.0951,9.1843,9.0109,9.1843,1859577
2022-11-16,9.1645,9.2239,9.0555,9.1843,727864
2022-11-17,9.1447,9.2239,9.0951,9.214,1069591
2022-11-18,9.3131,9.6648,9.115,9.3924,2190165
2022-11-21,9.3825,9.4617,9.2438,9.2735,1135131
2022-11-22,9.4023,9.4023,9.2685,9.3329,1396588
2022-11-23,9.3726,9.4122,9.2636,9.323,960638
2022-11-24,9.3428,9.5311,9.3032,9.4419,1618511
2022-11-25,9.5311,9.7094,9.5014,9.6599,1415296
2022-11-28,9.6896,9.8481,9.6599,9.7292,1755065
2022-11-29,9.7986,9.858,9.6302,9.8085,1596424
2022-11-30,9.6401,9.7887,9.5707,9.7788,2043742
2022-12-01,10.076,10.1057,9.2784,9.4023,3477726
2022-12-02,9.3626,9.3924,9.1001,9.214,3296101
2022-12-05,9.3032,9.432,9.2338,9.3428,2162324
2022-12-06,9.2239,9.3032,9.1546,9.2239,1268593
2022-12-07,9.0654,9.1942,8.9267,8.9267,1882339
2022-12-08,8.9961,9.1843,8.8375,9.0357,2013314
2022-12-09,9.0258,9.1051,8.9267,9.0654,987894
2022-12-12,9.115,9.1546,9.0258,9.1051,817871
2022-12-13,9.2041,9.323,9.1447,9.1942,939274
2022-12-14,9.2834,9.3032,9.115,9.2041,1344890
2022-12-15,9.0852,9.2438,9.0852,9.2338,1286079
2022-12-16,8.9465,9.1249,8.9317,9.0555,2486032
2022-12-19,9.1744,9.2239,9.0456,9.1942,844859
2022-12-20,9.0852,9.0852,8.5899,8.6988,2467126
2022-12-21,8.8673,9.0159,8.7979,8.8276,1122780
2022-12-22,8.9168,9.0555,8.8673,9.0456,849293
2022-12-23,8.8772,8.9862,8.8772,8.9168,666999
2022-12-28,8.8177,8.9366,8.8078,8.8375,622541
2022-12-29,9.0159,9.0159,8.8078,8.9069,519978
2022-12-30,9.0159,9.115,8.9763,9.0159,966233
2023-01-03,9.0357,9.0753,8.8722,8.9168,727187
2023-01-04,9.115,9.1546,8.9961,9.0852,711292
2023-01-05,9.1051,9.1893,9.0654,9.0852,1266256
2023-01-06,8.9267,8.9862,8.8326,8.9366,968490
2023-01-09,8.9763,9.006,8.8772,8.8772,745760
2023-01-10,8.9168,8.9168,8.8375,8.9069,770212
2023-01-11,8.9267,9.0654,8.8772,9.0456,701845
2023-01-12,9.1843,9.2735,9.1496,9.2537,748833
2023-01-13,9.3924,9.4617,9.3032,9.323,856839
2023-01-16,9.5212,9.65,9.4914,9.5212,1644885
2023-01-17,9.5311,9.65,9.4716,9.5806,886870
2023-01-18,9.5311,9.6995,9.5113,9.6401,1728535
2023-01-19,9.6797,9.6896,9.4914,9.5509,738835
2023-01-20,9.5014,9.5113,9.2982,9.3924,1316193
2023-01-23,9.541,9.5509,9.3726,9.432,746375
2023-01-24,9.5707,9.6004,9.427,9.5113,1093698
2023-01-25,9.6401,9.6995,9.4023,9.4617,1202240
2023-01-27,9.4716,9.6401,9.4518,9.5608,1212444
2023-01-30,9.759,10.076,9.6995,9.858,1598249
2023-01-31,9.8481,9.8481,9.6004,9.7986,1229706
2023-02-01,9.9175,10.0066,9.6896,9.6995,1134438
2023-02-02,9.8877,9.9769,9.8085,9.9769,1534353
2023-02-03,10.2345,10.294,10.1354,10.2444,1627027
2023-02-06,10.185,10.2593,10.1156,10.2048,721682
2023-02-07,10.0463,10.2345,10.0265,10.1949,967851
2023-02-08,10.2841,10.3435,10.2147,10.3138,1402357
2023-02-09,10.1057,10.2246,10.0463,10.1553,1394998
2023-02-10,9.9571,10.1354,9.9373,10.0364,1534799
2023-02-13,9.9175,9.9769,9.7689,9.8382,1904115
2023-02-14,9.9076,9.967,9.8778,9.9076,1376635
2023-02-15,10.0066,10.1057,9.9571,9.967,915007
2023-02-16,10.1255,10.2543,10.0562,10.1553,1647607
2023-02-17,9.9472,10.1156,9.9175,10.0958,1963438
2023-02-20,10.0066,10.0364,9.9274,10.0066,1307290
2023-02-21,9.9472,10.1057,9.9076,10.0165,667064
2023-02-22,9.858,9.9472,9.6995,9.8877,1846122
2023-02-23,10.0066,10.0066,9.759,9.8481,969541
2023-02-24,9.7094,9.9769,9.7094,9.9571,649810
2023-02-27,9.858,9.9621,9.7887,9.9373,2205804
2023-02-28,9.5608,10.3138,9.214,10.1751,5998209
2023-03-01,10.3534,10.6209,10.3138,10.4525,2879684
2023-03-02,10.3039,10.3039,10.0463,10.1553,2230400
2023-03-03,10.1949,10.2543,10.076,10.0958,1002876
2023-03-06,10.3039,10.4822,10.2841,10.393,1601603
2023-03-07,10.3237,10.5416,10.2444,10.5416,1541459
2023-03-08,10.4029,10.4822,10.3237,10.4228,1715292
2023-03-09,10.5317,10.5813,10.1354,10.2444,4524244
2023-03-10,10.0265,10.2147,10.0165,10.1255,1113929
2023-03-13,9.9571,10.0661,9.8184,9.9472,1781262
2023-03-14,9.7986,9.9769,9.759,9.9571,2070683
2023-03-15,10.076,10.1652,10.0661,10.0859,1285589
2023-03-16,9.9769,10.0958,9.9175,10.076,2627796
2023-03-17,10.1453,10.2345,10.0314,10.1156,2508357
2023-03-20,10.0562,10.076,9.9175,9.9868,1018406
2023-03-21,9.9967,10.0562,9.8778,9.9868,1556946
2023-03-22,10.0265,10.076,9.8481,9.9571,1209754
2023-03-23,9.8977,9.9274,9.7292,9.7986,1518712
