date,open,high,low,close,volume
2022-08-29,3.1769,3.1769,3.0835,3.1021,2370602
2022-08-30,3.0835,3.1302,3.0741,3.0928,3607760
2022-08-31,3.1208,3.1582,3.1021,3.1021,6405513
2022-09-01,3.0648,3.1115,3.0367,3.0928,2415939
2022-09-02,3.1302,3.1302,3.0928,3.0928,1709580
2022-09-05,3.018,3.0274,2.9713,2.9994,2754471
2022-09-06,3.0087,3.0274,2.9994,3.0087,5007118
2022-09-07,2.99,3.0274,2.9713,3.018,3874708
2022-09-08,3.0274,3.0367,2.99,3.0274,2696044
2022-09-09,2.9994,3.1068,2.9994,3.0835,2969082
2022-09-12,3.0928,3.1302,3.0835,3.1208,2284156
2022-09-13,3.1021,3.1722,3.0975,3.1489,3940194
2022-09-14,3.0648,3.1489,3.0648,3.1302,3749896
2022-09-15,3.1208,3.1675,3.1115,3.1115,2909246
2022-09-16,3.0648,3.1115,3.0648,3.0835,5412454
2022-09-19,3.0835,3.1021,3.0274,3.0367,4020455
2022-09-20,3.0648,3.0741,2.9853,3.0087,3890123
2022-09-21,2.9713,3.018,2.9713,2.99,3129838
2022-09-23,2.9433,2.9713,2.8592,2.8872,3296077
2022-09-26,2.8499,2.8872,2.8405,2.8779,3569287
2022-09-27,2.8592,2.8872,2.8312,2.8312,4011250
2022-09-28,2.8125,2.8405,2.7751,2.7751,2561968
2022-09-29,2.8312,2.8405,2.7938,2.7938,1422073
2022-09-30,2.7844,2.8312,2.7751,2.8031,4777770
2022-10-03,2.7751,2.8312,2.7658,2.8031,2182193
2022-10-04,2.8125,2.8685,2.8078,2.8592,2067985
2022-10-05,2.8779,2.9246,2.8685,2.9059,2112666
2022-10-06,2.8685,2.9153,2.8685,2.9059,1072685
2022-10-07,2.9059,2.9153,2.8592,2.8779,1577675
2022-10-10,2.8499,2.8499,2.8125,2.8405,850564
2022-10-11,2.8405,2.8685,2.8218,2.8405,1619611
2022-10-12,2.8218,2.8499,2.8031,2.8031,1492482
