date,open,high,low,close,volume
2022-08-29,0.75,0.77,0.735,0.77,1626319
2022-08-30,0.835,0.855,0.8025,0.815,3321297
2022-08-31,0.79,0.855,0.785,0.85,3084820
2022-09-01,0.825,0.84,0.8075,0.84,1799678
2022-09-02,0.815,0.83,0.785,0.785,1350998
2022-09-05,0.795,0.84,0.79,0.835,1293620
2022-09-06,0.85,0.9,0.85,0.9,2399667
2022-09-07,0.89,0.91,0.885,0.9,2208088
2022-09-08,0.9,0.9275,0.895,0.92,1269019
2022-09-09,0.94,0.96,0.92,0.925,2631039
2022-09-12,0.95,0.95,0.91,0.92,1906226
2022-09-13,0.915,0.95,0.915,0.945,1608938
2022-09-14,0.89,0.92,0.885,0.895,2586778
2022-09-15,0.92,0.93,0.9,0.9,2027221
2022-09-16,0.87,0.88,0.845,0.86,2968135
2022-09-19,0.845,0.85,0.825,0.825,1776909
2022-09-20,0.85,0.855,0.83,0.85,1189640
2022-09-21,0.83,0.845,0.82,0.84,862176
2022-09-23,0.82,0.825,0.77,0.79,2338806
2022-09-26,0.74,0.76,0.725,0.74,2706473
2022-09-27,0.745,0.765,0.735,0.75,1856827
2022-09-28,0.785,0.785,0.725,0.735,1702074
2022-09-29,0.775,0.785,0.76,0.775,1269088
2022-09-30,0.75,0.77,0.745,0.755,2044304
2022-10-03,0.745,0.755,0.7275,0.745,825787
2022-10-04,0.775,0.8,0.77,0.795,1188661
2022-10-05,0.825,0.825,0.79,0.8,1489876
2022-10-06,0.8,0.815,0.785,0.8,1455884
2022-10-07,0.785,0.795,0.775,0.78,1241395
2022-10-10,0.755,0.77,0.75,0.76,887365
2022-10-11,0.75,0.78,0.745,0.775,1921585
2022-10-12,0.77,0.77,0.74,0.755,1380646
2022-10-13,0.745,0.775,0.7425,0.765,942080
2022-10-14,0.795,0.8,0.77,0.775,827250
2022-10-17,0.755,0.765,0.75,0.765,696788
2022-10-18,0.785,0.805,0.78,0.8,1690665
2022-10-19,0.78,0.825,0.78,0.81,1159958
2022-10-20,0.81,0.825,0.8,0.815,1301770
2022-10-21,0.815,0.8325,0.81,0.82,1424007
2022-10-24,0.85,0.86,0.8375,0.85,970584
2022-10-25,0.845,0.85,0.825,0.825,901304
2022-10-26,0.83,0.85,0.83,0.84,1375116
