date,open,high,low,close,volume
2022-08-29,3.39,3.51,3.37,3.49,30978850
2022-08-30,3.5,3.6,3.45,3.58,27024051
2022-08-31,3.51,3.69,3.51,3.65,29572888
2022-09-01,3.64,3.68,3.57,3.63,45570826
2022-09-02,3.58,3.63,3.485,3.55,27579158
2022-09-05,3.62,3.715,3.57,3.7,23307276
2022-09-06,3.77,3.97,3.77,3.96,33163153
2022-09-07,3.94,4.03,3.9,3.95,33907030
2022-09-08,4.04,4.25,4.01,4.25,38665382
2022-09-09,4.37,4.51,4.27,4.5,41803007
2022-09-12,4.52,4.62,4.42,4.57,24179991
2022-09-13,4.61,4.79,4.58,4.74,25640754
2022-09-14,4.45,4.675,4.41,4.59,34346927
2022-09-15,4.65,4.795,4.64,4.69,30647892
2022-09-16,4.55,4.59,4.51,4.59,47633859
2022-09-19,4.62,4.88,4.62,4.75,29519874
2022-09-20,4.94,4.97,4.66,4.89,26962674
2022-09-21,4.91,5.08,4.87,4.94,33387515
2022-09-23,4.86,5.03,4.75,4.85,35019575
2022-09-26,4.66,4.69,4.38,4.41,39085274
2022-09-27,4.36,4.71,4.33,4.68,31353101
2022-09-28,4.79,4.795,4.53,4.55,28390641
2022-09-29,4.73,4.77,4.62,4.62,20154467
2022-09-30,4.55,4.59,4.465,4.56,21819983
2022-10-03,4.51,4.59,4.36,4.55,22888302
2022-10-04,4.74,5.11,4.72,5.11,39505699
2022-10-05,5.29,5.35,4.87,5.11,47191695
2022-10-06,5.13,5.61,5.13,5.4,45460887
2022-10-07,5.28,5.55,5.26,5.42,30122993
2022-10-10,5.34,5.45,5.21,5.21,20290069
2022-10-11,5.28,5.43,5.205,5.24,25791207
2022-10-12,5.3,5.32,5.03,5.17,22774793
2022-10-13,5.0,5.03,4.83,4.94,33380380
2022-10-14,5.11,5.18,4.61,4.69,54440123
2022-10-17,4.59,4.82,4.54,4.79,37126451
2022-10-18,4.99,5.02,4.72,4.8,26317152
2022-10-19,4.81,5.12,4.78,5.08,29669990
2022-10-20,5.04,5.19,4.9,4.97,21813238
2022-10-21,4.96,5.12,4.93,5.07,32458510
2022-10-24,5.28,5.41,5.2,5.38,28195680
2022-10-25,5.5,5.66,5.3,5.36,36907008
2022-10-26,5.37,5.4,4.96,4.98,27306747
2022-10-27,5.09,5.23,5.005,5.11,23934820
2022-10-28,5.05,5.17,4.78,4.87,25123179
2022-10-31,4.98,5.17,4.935,5.09,42054734
2022-11-01,5.16,5.37,5.15,5.31,28211374
2022-11-02,5.31,5.35,5.08,5.1,22513559
2022-11-03,4.91,5.07,4.89,5.03,21551028
2022-11-04,5.15,5.22,5.09,5.15,18111558
2022-11-07,5.25,5.29,5.16,5.2,14156421
2022-11-08,5.29,5.495,5.28,5.43,30749631
2022-11-09,5.5,5.55,5.445,5.5,23040545
2022-11-10,5.35,5.405,5.27,5.32,17677791
2022-11-11,5.49,5.54,5.28,5.37,29796413
2022-11-14,5.42,5.6,5.27,5.29,25666689
