date,open,high,low,close,volume
2022-08-29,20.59,20.65,20.1,20.2,147639
2022-08-30,20.18,20.78,19.93,20.76,493827
2022-08-31,20.63,21.28,20.62,21.28,273466
2022-09-01,20.8,20.98,20.66,20.72,200323
2022-09-02,20.69,21.01,20.63,20.68,284010
2022-09-05,21.05,21.28,20.8,21.27,225667
2022-09-06,21.17,21.55,21.06,21.33,303943
2022-09-07,21.14,21.2,20.74,20.9,437357
2022-09-08,21.29,21.79,21.08,21.79,196089
2022-09-09,21.29,21.72,21.08,21.63,269992
2022-09-12,21.97,22.2,21.65,22.04,105114
2022-09-13,22.21,22.45,22.11,22.43,195360
2022-09-14,21.5,21.92,21.5,21.73,261204
2022-09-15,21.77,22.02,21.46,21.82,236110
2022-09-16,21.6,22.07,21.6,21.95,342227
2022-09-19,21.63,21.93,21.59,21.85,244419
2022-09-20,22.08,22.345,21.98,22.17,219942
2022-09-21,21.73,22.08,21.58,21.78,407640
2022-09-23,21.41,21.5,20.95,21.21,379014
2022-09-26,20.8,21.09,20.4,20.41,324372
2022-09-27,20.41,20.67,20.3,20.49,268292
2022-09-28,20.34,20.85,20.28,20.67,234679
2022-09-29,22.11,23.88,21.96,23.69,671412
2022-09-30,23.28,23.64,22.45,22.55,556857
2022-10-03,22.55,23.18,22.36,22.43,226791
2022-10-04,23.25,24.18,22.82,24.18,506265
2022-10-05,24.78,25.18,24.05,24.16,555045
2022-10-06,24.1,24.39,23.8,24.07,220763
2022-10-07,23.65,24.15,23.63,24.1,190429
2022-10-10,23.49,23.49,22.87,22.96,320156
2022-10-11,23.0,23.27,22.87,22.94,333042
2022-10-12,22.85,23.46,22.8,23.13,354234
2022-10-13,23.08,23.35,22.99,23.18,244439
2022-10-14,23.51,23.59,23.26,23.38,250700
2022-10-17,22.94,23.49,22.94,23.35,192458
2022-10-18,23.23,23.88,23.14,23.84,210423
2022-10-19,24.03,24.17,23.57,23.89,246991
2022-10-20,23.37,23.53,22.95,23.18,162537
2022-10-21,23.04,23.54,22.92,23.2,218387
2022-10-24,23.71,23.84,23.14,23.3,170104
2022-10-25,23.24,23.84,23.24,23.71,166073
2022-10-26,24.16,24.2,23.82,24.06,228000
2022-10-27,24.17,24.49,23.98,24.08,146613
2022-10-28,23.94,23.99,23.63,23.71,126171
2022-10-31,24.5,25.04,24.485,25.03,367506
2022-11-01,25.3,25.7,25.14,25.63,360842
2022-11-02,25.74,25.82,25.38,25.57,168169
2022-11-03,24.97,25.13,24.65,24.74,156818
2022-11-04,24.57,24.92,24.5,24.82,124708
2022-11-07,24.95,25.61,24.77,24.97,167202
2022-11-08,25.0,25.06,24.635,24.85,143547
2022-11-09,24.82,24.98,24.65,24.7,169428
2022-11-10,24.5,24.6,24.17,24.36,198543
2022-11-11,25.3,25.7,25.19,25.52,307802
2022-11-14,25.75,25.91,25.3,25.35,158349
2022-11-15,25.25,25.32,25.0,25.14,266532
2022-11-16,25.14,25.2,24.82,25.2,200124
2022-11-17,25.38,25.38,25.07,25.27,169995
2022-11-18,25.35,25.35,24.96,25.03,135725
2022-11-21,25.4,25.4,25.06,25.06,159394
2022-11-22,25.11,25.31,25.03,25.12,193568
2022-11-23,25.3,25.38,25.07,25.35,124855
2022-11-24,25.44,25.49,25.17,25.31,141240
2022-11-25,25.45,25.67,25.39,25.63,66114
2022-11-28,25.68,25.73,25.39,25.58,209373
2022-11-29,25.62,25.67,25.41,25.53,204097
2022-11-30,25.38,25.61,25.22,25.37,358372
2022-12-01,25.73,25.88,25.48,25.53,197566
2022-12-02,25.8,25.89,25.25,25.4,302276
2022-12-05,25.48,25.62,25.31,25.46,150205
2022-12-06,25.56,25.6,25.27,25.39,241110
2022-12-07,25.13,25.18,24.82,24.9,360930
2022-12-08,25.0,25.01,24.54,24.76,298857
2022-12-09,24.9,25.01,24.53,24.99,202174
2022-12-12,24.99,25.0,24.61,24.88,165151
2022-12-13,25.24,25.24,24.81,25.12,115939
2022-12-14,25.25,25.44,24.99,25.16,174142
2022-12-15,25.17,25.34,24.93,25.12,188571
2022-12-16,24.8,25.04,24.69,24.99,216265
2022-12-19,24.96,24.96,24.69,24.88,115622
2022-12-20,24.75,24.88,24.28,24.31,229385
2022-12-21,24.68,24.78,24.49,24.55,135704
2022-12-22,24.79,25.3,24.77,25.24,183038
2022-12-23,24.8,24.98,24.61,24.64,113720
2022-12-28,24.66,25.06,24.64,24.86,133661
2022-12-29,24.8,24.8,24.43,24.6,121098
2022-12-30,25.1,25.1,24.76,24.84,93599
2023-01-03,25.0,25.01,24.5,24.84,160804
2023-01-04,25.19,25.75,25.0,25.74,213959
2023-01-05,25.81,25.9,25.52,25.68,169426
2023-01-06,25.67,25.93,25.51,25.79,136728
2023-01-09,26.0,26.21,25.93,26.19,188165
2023-01-10,25.38,25.39,24.75,24.85,271780
2023-01-11,24.97,25.34,24.97,25.11,192375
2023-01-12,25.39,25.5,25.09,25.32,192979
2023-01-13,25.5,25.83,25.32,25.7,171473
2023-01-16,25.87,26.34,25.82,26.26,310005
2023-01-17,26.26,26.37,26.13,26.32,151153
2023-01-18,26.2,26.95,26.0,26.72,309836
2023-01-19,26.79,26.94,26.58,26.87,208087
2023-01-20,26.5,26.86,26.23,26.81,190449
2023-01-23,26.95,26.97,26.63,26.63,247540
2023-01-24,27.48,28.37,27.48,27.6,402358
2023-01-25,27.66,27.89,27.47,27.5,279862
2023-01-27,27.8,27.8,27.45,27.5,275929
2023-01-30,27.72,27.84,27.54,27.54,270123
2023-01-31,27.71,27.97,27.54,27.74,233232
2023-02-01,27.96,28.03,27.52,27.75,496053
2023-02-02,28.26,28.26,27.64,27.65,430070
2023-02-03,27.96,27.96,27.6,27.75,648314
2023-02-06,27.75,27.75,27.11,27.11,198834
2023-02-07,27.09,27.165,26.7,26.72,253608
2023-02-08,26.59,26.83,26.43,26.51,226766
2023-02-09,26.45,26.71,26.39,26.62,220322
2023-02-10,26.2,26.59,26.2,26.52,112630
2023-02-13,26.35,26.48,26.02,26.05,317472
2023-02-14,26.58,26.64,26.27,26.56,233380
2023-02-15,26.83,26.87,26.55,26.65,198702
2023-02-16,26.75,27.2,26.74,27.2,255908
2023-02-17,26.77,27.35,26.77,27.3,176361
2023-02-20,27.45,27.53,27.03,27.23,225916
2023-02-21,26.37,27.02,26.36,26.86,180060
2023-02-22,26.5,26.85,26.41,26.85,294875
2023-02-23,27.02,27.24,26.94,27.04,187220
2023-02-24,27.0,27.34,27.0,27.32,114373
2023-02-27,26.99,27.205,26.92,27.2,154269
2023-02-28,27.5,27.5,27.06,27.34,245681
2023-03-01,27.01,27.49,27.0,27.43,134782
2023-03-02,27.51,27.65,27.23,27.28,197250
2023-03-03,27.22,27.25,27.0,27.04,86678
2023-03-06,27.25,27.55,27.11,27.53,86728
2023-03-07,27.19,28.03,27.19,27.94,134075
2023-03-08,27.5,27.96,27.5,27.75,173273
2023-03-09,28.12,28.22,27.89,28.0,152416
2023-03-10,27.41,27.79,27.41,27.51,206575
2023-03-13,27.15,27.43,26.9,27.0,208296
2023-03-14,26.71,26.88,26.3,26.41,267811
2023-03-15,26.31,26.85,26.31,26.85,186698
2023-03-16,26.56,26.56,25.585,26.02,388926
2023-03-17,25.63,26.52,25.47,26.44,219584
2023-03-20,26.29,26.43,25.46,25.53,150176
2023-03-21,25.5,25.84,25.41,25.79,92507
2023-03-22,26.37,26.49,25.63,25.8,183991
2023-03-23,25.62,25.62,24.53,24.95,350444
