date,open,high,low,close,volume
2022-08-29,5.03,5.16,5.0,5.16,10246901
2022-08-30,5.15,5.33,5.14,5.29,11439344
2022-08-31,5.25,5.44,5.24,5.32,12152536
2022-09-01,5.21,5.32,5.2,5.2,10145309
2022-09-02,5.25,5.3,5.23,5.28,9399281
2022-09-05,5.22,5.27,5.06,5.11,10791146
2022-09-06,5.14,5.17,5.07,5.09,8561663
2022-09-07,5.08,5.14,4.99,5.06,23397621
2022-09-08,5.15,5.25,5.13,5.25,9531275
2022-09-09,5.16,5.26,5.16,5.24,5557069
2022-09-12,5.3,5.3,5.22,5.28,9803252
2022-09-13,5.34,5.35,5.25,5.31,10304515
2022-09-14,5.16,5.26,5.15,5.23,8684816
2022-09-15,5.26,5.38,5.24,5.35,10334822
2022-09-16,5.27,5.36,5.26,5.3,9312004
2022-09-19,5.28,5.31,5.21,5.25,8947951
2022-09-20,5.31,5.32,5.265,5.28,6980776
2022-09-21,5.3,5.36,5.22,5.24,5808267
2022-09-23,5.12,5.15,5.09,5.14,7773202
2022-09-26,5.03,5.1,5.01,5.06,7089263
2022-09-27,5.05,5.15,5.05,5.12,14660953
2022-09-28,5.12,5.16,5.07,5.15,9196726
2022-09-29,5.22,5.31,5.21,5.24,11789032
2022-09-30,5.17,5.2,5.02,5.02,10422019
2022-10-03,5.02,5.06,4.87,4.98,4787393
2022-10-04,5.08,5.18,5.07,5.17,7568461
2022-10-05,5.23,5.33,5.21,5.3,11337830
2022-10-06,5.28,5.35,5.27,5.27,8618149
2022-10-07,5.26,5.375,5.24,5.35,7616244
2022-10-10,5.19,5.25,5.165,5.2,4106632
2022-10-11,5.22,5.3,5.205,5.24,5515515
2022-10-12,5.2,5.25,5.17,5.17,4284273
2022-10-13,5.76,5.84,5.59,5.62,28459274
2022-10-14,5.79,5.85,5.71,5.8,16426980
2022-10-17,5.75,5.85,5.71,5.83,9499021
2022-10-18,5.88,5.93,5.86,5.9,10091378
2022-10-19,5.97,6.075,5.95,6.0,14245524
2022-10-20,5.98,6.02,5.94,6.02,12859561
2022-10-21,5.96,6.0,5.83,5.84,15575331
2022-10-24,5.96,6.02,5.83,5.83,9615832
2022-10-25,5.93,5.95,5.89,5.94,7743569
2022-10-26,5.94,5.96,5.84,5.86,6872543
2022-10-27,5.84,5.895,5.82,5.83,6732997
2022-10-28,5.85,5.86,5.73,5.76,6541079
2022-10-31,5.85,5.86,5.8,5.84,5799333
2022-11-01,5.88,6.0,5.87,6.0,13183291
2022-11-02,6.0,6.02,5.97,5.98,11291586
2022-11-03,5.85,6.04,5.85,5.95,8044123
2022-11-04,5.9,5.99,5.88,5.97,8422380
2022-11-07,5.98,6.04,5.97,6.04,7116648
2022-11-08,6.05,6.14,6.02,6.13,9773593
2022-11-09,6.15,6.17,6.005,6.01,6829275
2022-11-10,5.98,6.03,5.95,5.98,5679481
2022-11-11,6.15,6.15,5.935,5.97,16357650
2022-11-14,5.94,5.94,5.775,5.82,8004783
2022-11-15,5.85,5.88,5.74,5.83,9281491
2022-11-16,5.84,5.87,5.77,5.8,7933161
2022-11-17,5.88,5.93,5.83,5.9,8911599
2022-11-18,5.9,5.935,5.87,5.88,6505128
2022-11-21,5.92,5.92,5.82,5.87,6309385
2022-11-22,5.91,5.92,5.86,5.87,15248937
2022-11-23,6.13,6.23,6.12,6.18,15290680
2022-11-24,6.3,6.36,6.19,6.19,9983472
2022-11-25,6.18,6.21,6.05,6.06,8504713
2022-11-28,6.17,6.17,6.1,6.14,8890449
2022-11-29,6.15,6.23,6.145,6.19,6502655
2022-11-30,6.23,6.24,6.16,6.24,18269284
2022-12-01,6.33,6.34,6.19,6.22,10791142
2022-12-02,6.18,6.22,6.14,6.17,6294002
2022-12-05,6.2,6.245,6.15,6.19,6716934
2022-12-06,6.24,6.26,6.13,6.17,12145299
2022-12-07,6.18,6.28,6.13,6.27,11592199
2022-12-08,6.2,6.245,6.07,6.09,10967761
2022-12-09,6.15,6.22,6.07,6.21,13539858
