date,open,high,low,close,volume
2022-08-29,15.5,15.89,15.5,15.77,736064
2022-08-30,15.86,16.13,15.77,16.01,467847
2022-08-31,15.9,16.12,15.82,16.01,1001601
2022-09-01,15.8,15.88,15.48,15.55,904269
2022-09-02,15.77,15.77,15.48,15.49,235319
2022-09-05,15.14,15.71,15.04,15.28,2992798
2022-09-06,15.41,15.5,14.8,14.85,817056
2022-09-07,14.7,14.785,14.41,14.71,984043
2022-09-08,14.92,15.28,14.92,15.28,789069
2022-09-09,15.05,15.42,15.01,15.36,719961
2022-09-12,15.99,16.05,15.49,15.62,452900
2022-09-13,15.64,15.91,15.56,15.85,779201
2022-09-14,15.0,15.44,14.71,15.06,1202988
2022-09-15,15.03,15.22,14.85,14.85,1149773
2022-09-16,14.72,14.8,14.47,14.73,5676557
2022-09-19,14.7,15.01,14.32,14.46,851325
2022-09-20,14.81,14.85,14.54,14.8,472655
2022-09-21,14.6,14.85,14.47,14.8,594937
2022-09-23,14.46,14.8,14.0,14.14,726178
2022-09-26,13.99,14.31,13.95,14.2,689993
2022-09-27,14.2,14.72,13.985,14.03,520321
2022-09-28,14.09,14.38,13.86,14.02,498215
2022-09-29,14.35,14.69,14.34,14.48,700977
2022-09-30,14.14,14.29,13.975,14.02,888764
2022-10-03,14.05,14.14,13.81,13.98,405687
2022-10-04,14.32,14.475,14.12,14.44,365254
2022-10-05,14.71,15.415,14.58,15.36,785998
2022-10-06,15.3,15.53,15.09,15.42,582514
2022-10-07,15.22,15.34,15.13,15.16,490543
2022-10-10,14.8,14.99,14.76,14.9,495945
2022-10-11,14.7,14.95,14.53,14.53,604153
2022-10-12,14.41,14.57,14.385,14.44,358439
2022-10-13,14.1,14.52,14.1,14.19,452074
2022-10-14,14.6,14.68,14.35,14.42,359900
2022-10-17,14.19,14.36,14.0,14.02,446907
2022-10-18,14.49,14.84,14.29,14.83,430727
2022-10-19,14.95,15.08,14.77,14.94,315120
2022-10-20,14.55,14.67,14.4,14.66,1050292
2022-10-21,14.53,14.82,14.43,14.55,322655
2022-10-24,14.87,15.11,14.83,15.1,385583
2022-10-25,15.18,15.21,14.63,14.63,1072602
2022-10-26,14.83,14.95,14.68,14.88,466112
2022-10-27,15.06,15.29,14.96,15.21,877829
2022-10-28,15.05,15.175,14.8,14.83,298221
2022-10-31,15.15,15.57,15.12,15.53,603393
2022-11-01,15.42,15.56,15.19,15.49,608376
2022-11-02,15.6,15.73,15.17,15.31,442365
2022-11-03,14.82,15.0,14.82,14.94,350142
2022-11-04,14.8,15.07,14.8,14.97,454262
2022-11-07,14.85,15.27,14.85,15.14,331167
2022-11-08,15.1,15.11,14.85,14.9,989072
2022-11-09,15.0,15.04,14.82,14.85,612709
2022-11-10,14.59,14.79,14.58,14.61,612962
2022-11-11,15.4,15.78,15.27,15.61,772006
2022-11-14,15.39,15.55,15.3,15.45,301829
2022-11-15,15.54,15.54,15.17,15.32,475783
2022-11-16,14.87,15.13,14.79,14.87,369825
2022-11-17,14.96,15.08,14.855,15.06,399698
2022-11-18,15.12,15.43,14.97,15.0,213095
2022-11-21,15.25,15.25,14.74,14.8,380712
2022-11-22,15.25,15.25,14.7,14.87,347090
2022-11-23,14.91,14.98,14.76,14.91,251602
2022-11-24,15.15,15.19,14.8,15.11,358939
2022-11-25,15.34,15.59,15.19,15.51,382899
2022-11-28,15.57,15.7,15.37,15.55,385067
2022-11-29,15.63,15.64,15.38,15.5,311551
2022-11-30,15.29,15.64,15.21,15.34,976678
2022-12-01,15.68,15.98,15.5,15.85,515729
2022-12-02,16.05,16.11,15.55,15.58,463819
2022-12-05,15.6,15.76,15.33,15.54,290721
2022-12-06,15.35,15.46,15.26,15.3,376814
2022-12-07,15.01,15.15,14.61,14.64,617033
2022-12-08,14.58,14.63,14.4,14.46,435293
2022-12-09,14.6,14.69,14.44,14.6,449384
2022-12-12,14.9,14.9,14.45,14.57,324581
2022-12-13,14.64,14.735,14.48,14.65,289711
2022-12-14,14.8,14.94,14.57,14.89,346471
2022-12-15,14.59,14.74,14.43,14.43,367921
2022-12-16,14.21,14.67,14.175,14.48,707312
2022-12-19,14.39,14.45,14.01,14.08,347443
2022-12-20,14.25,14.25,13.82,13.82,437901
2022-12-21,14.0,14.19,13.91,14.03,426734
2022-12-22,14.14,14.27,13.96,14.0,348456
2022-12-23,13.88,13.98,13.75,13.93,282888
2022-12-28,13.87,13.93,13.75,13.81,247873
2022-12-29,13.85,14.09,13.68,13.78,299902
2022-12-30,14.16,14.37,13.91,14.15,333409
2023-01-03,14.12,14.16,13.69,13.81,251480
2023-01-04,13.95,14.19,13.94,14.19,314362
2023-01-05,14.21,14.24,14.03,14.13,440279
2023-01-06,13.84,14.15,13.84,14.09,157996
2023-01-09,14.45,14.56,14.26,14.4,341290
2023-01-10,14.34,14.44,14.14,14.39,293270
2023-01-11,14.19,14.73,14.19,14.69,246994
2023-01-12,14.92,15.04,14.71,14.97,480922
2023-01-13,15.07,15.54,14.88,15.48,531256
2023-01-16,15.55,15.84,15.535,15.84,427731
2023-01-17,15.83,15.94,15.5,15.83,749507
2023-01-18,15.83,15.98,15.67,15.73,271073
2023-01-19,15.8,15.88,15.58,15.64,435688
2023-01-20,15.54,15.54,15.16,15.31,496001
2023-01-23,15.72,15.72,15.21,15.21,405106
2023-01-24,15.49,15.63,15.33,15.55,373593
2023-01-25,15.41,15.82,15.35,15.7,327736
2023-01-27,15.75,15.91,15.62,15.85,361548
2023-01-30,16.0,16.23,16.0,16.08,320798
2023-01-31,16.04,16.27,15.93,16.09,412603
2023-02-01,16.2,16.34,16.1,16.22,386591
2023-02-02,16.64,17.09,16.55,17.02,396955
2023-02-03,17.33,17.43,17.06,17.32,421300
2023-02-06,17.2,17.23,16.95,17.14,346715
2023-02-07,16.82,17.0,16.68,16.9,449715
2023-02-08,16.76,17.04,16.74,16.86,335902
2023-02-09,16.96,17.0,16.67,16.88,330863
2023-02-10,16.5,16.88,16.5,16.77,384828
2023-02-13,16.55,16.82,16.51,16.7,288156
2023-02-14,16.96,16.96,16.47,16.48,597235
2023-02-15,16.81,16.9,16.65,16.84,343109
2023-02-16,16.91,17.35,16.89,17.25,418662
2023-02-17,16.93,17.13,16.84,16.98,388641
2023-02-20,17.03,17.03,16.57,16.75,466870
2023-02-21,16.56,16.93,16.56,16.87,181553
2023-02-22,16.63,16.9,16.11,16.52,560593
2023-02-23,16.09,16.34,15.71,15.89,660786
2023-02-24,15.9,16.46,15.9,16.41,349565
2023-02-27,15.89,16.31,15.89,16.21,337500
2023-02-28,16.62,16.62,16.3,16.54,1222592
2023-03-01,16.21,16.36,16.12,16.31,393779
2023-03-02,16.56,16.56,15.89,16.05,1162785
2023-03-03,15.96,16.04,15.58,15.83,420659
2023-03-06,15.97,16.295,15.86,16.2,147105
2023-03-07,16.0,16.31,15.92,16.26,271281
2023-03-08,16.0,16.32,16.0,16.25,269854
2023-03-09,16.3,16.55,16.27,16.36,432502
2023-03-10,15.96,16.38,15.9,16.31,456419
2023-03-13,16.15,16.17,15.83,16.01,270263
2023-03-14,15.79,15.96,15.51,15.96,549957
2023-03-15,15.92,16.13,15.31,16.06,406670
2023-03-16,15.95,16.04,15.69,15.99,713328
2023-03-17,15.98,16.19,15.86,16.12,805132
2023-03-20,15.91,16.09,15.77,16.03,264884
2023-03-21,16.05,16.14,15.95,16.11,399567
2023-03-22,16.44,16.47,16.12,16.38,389742
2023-03-23,16.23,16.38,16.15,16.16,463553
2023-03-24,16.16,16.16,15.86,16.03,238005
2023-03-27,16.45,16.48,16.14,16.33,231991
2023-03-28,16.35,16.56,16.16,16.52,1315104
2023-03-29,16.41,16.84,16.41,16.77,291919
2023-03-30,16.92,17.23,16.69,17.17,622022
2023-03-31,17.22,17.49,17.12,17.35,402923
2023-04-03,17.5,17.73,17.44,17.65,353013
2023-04-04,17.73,17.95,17.67,17.9,534227
2023-04-05,17.88,17.98,17.65,17.97,453383
2023-04-06,17.94,17.96,17.47,17.56,625425
2023-04-11,17.75,17.84,17.59,17.66,362982
2023-04-12,17.79,17.89,17.64,17.72,188869
