date,open,high,low,close,volume
2022-08-29,32.0,32.18,31.8,32.06,1032989
2022-08-30,31.94,32.36,31.93,32.21,1102302
2022-08-31,32.0,32.47,31.9,32.13,860594
2022-09-01,31.86,32.15,31.81,31.99,1153246
2022-09-02,32.15,32.42,32.11,32.11,594698
2022-09-05,31.78,31.91,31.54,31.71,843167
2022-09-06,31.66,32.16,31.66,32.15,1294448
2022-09-07,32.84,33.86,32.81,33.51,2495219
2022-09-08,34.16,34.425,33.96,34.37,1523342
2022-09-09,34.34,34.49,34.14,34.25,800461
2022-09-12,34.37,34.51,34.1,34.51,871189
2022-09-13,34.6,34.79,34.43,34.7,1654037
2022-09-14,34.3,34.96,34.22,34.8,2653230
2022-09-15,34.67,34.74,34.36,34.54,1480085
2022-09-16,33.81,33.84,33.41,33.6,1878875
2022-09-19,33.27,33.61,33.11,33.46,1197783
2022-09-20,33.47,33.54,33.16,33.28,764889
2022-09-21,32.87,32.95,32.64,32.72,1168345
2022-09-23,32.08,32.275,31.91,32.04,1285924
2022-09-26,32.63,33.05,32.55,32.96,1295901
2022-09-27,32.99,33.15,32.72,33.06,1410745
2022-09-28,32.82,33.26,32.82,33.26,752150
2022-09-29,33.61,34.06,33.61,33.81,1031385
2022-09-30,33.52,33.83,33.44,33.83,1071336
2022-10-03,33.85,33.98,33.47,33.55,973640
2022-10-04,34.27,34.55,34.18,34.45,1455133
2022-10-05,35.02,35.735,35.02,35.61,1732663
2022-10-06,35.58,35.76,35.48,35.59,1184789
2022-10-07,35.61,35.68,35.28,35.35,941266
2022-10-10,34.73,35.08,34.57,34.76,792712
2022-10-11,34.83,35.09,34.19,34.47,1148110
2022-10-12,34.34,34.41,34.07,34.24,1396741
2022-10-13,33.61,33.92,33.45,33.75,1487303
2022-10-14,34.21,34.38,33.9,34.14,1064951
2022-10-17,33.98,34.14,33.78,33.87,530086
2022-10-18,34.18,34.63,34.14,34.35,902325
2022-10-19,34.53,34.9,34.53,34.63,990005
2022-10-20,34.2,34.27,33.74,33.87,1190394
2022-10-21,34.2,34.63,34.2,34.52,1087570
2022-10-24,34.91,35.38,34.86,35.19,621599
2022-10-25,35.61,35.78,35.12,35.2,1300302
2022-10-26,35.64,35.84,35.3,35.42,1457903
2022-10-27,35.93,36.1,35.68,35.7,1501547
2022-10-28,34.63,34.69,33.43,33.91,1506767
2022-10-31,34.29,34.35,33.67,34.05,837829
2022-11-01,34.82,35.08,34.61,34.76,1979854
2022-11-02,34.5,34.94,34.5,34.79,989790
2022-11-03,34.13,34.41,34.08,34.25,743446
2022-11-04,33.39,33.46,33.19,33.46,1216230
2022-11-07,32.72,32.76,32.31,32.36,1121557
2022-11-08,32.55,32.83,32.48,32.57,855453
2022-11-09,32.66,32.94,32.56,32.61,624585
2022-11-10,32.92,33.27,32.83,33.02,978313
2022-11-11,34.29,34.61,34.23,34.47,1848580
2022-11-14,33.55,33.66,33.27,33.3,974040
2022-11-15,33.0,33.52,32.9,33.46,1239481
2022-11-16,33.17,33.17,32.96,33.04,713997
2022-11-17,33.37,33.57,33.22,33.52,581963
2022-11-18,32.87,33.59,32.85,33.43,1071635
2022-11-21,33.72,33.9,33.36,33.65,571461
2022-11-22,33.96,34.09,33.8,34.09,760060
2022-11-23,34.48,34.83,34.03,34.29,846907
2022-11-24,34.0,34.0,33.66,33.66,894668
2022-11-25,33.86,34.01,33.6,33.94,499527
2022-11-28,34.03,34.28,33.99,34.02,749796
2022-11-29,33.8,33.99,33.41,33.55,853243
2022-11-30,33.31,33.78,33.12,33.45,1681961
2022-12-01,33.9,34.03,33.33,33.55,1431633
2022-12-02,33.58,34.19,33.58,34.1,1844456
2022-12-05,34.2,34.27,33.56,33.61,1441599
2022-12-06,32.92,32.92,32.33,32.83,1415947
2022-12-07,32.5,33.03,32.5,32.83,1248557
2022-12-08,33.15,33.26,32.99,33.04,3982269
2022-12-09,32.9,32.95,32.62,32.66,749432
2022-12-12,32.39,32.54,32.1,32.45,579614
2022-12-13,32.62,32.89,32.5,32.5,490032
2022-12-14,32.82,33.05,32.54,32.93,609844
2022-12-15,32.42,32.63,32.25,32.39,1043376
2022-12-16,32.02,32.09,31.77,31.77,713420
2022-12-19,31.41,31.67,31.31,31.47,667190
2022-12-20,31.35,31.43,30.91,31.04,662892
2022-12-21,31.2,31.47,31.14,31.14,679663
2022-12-22,31.43,31.43,31.14,31.2,360364
2022-12-23,31.27,31.49,31.17,31.49,519142
2022-12-28,31.0,31.0,30.42,30.5,543917
