date,open,high,low,close,volume
2022-08-29,20.37,20.71,20.26,20.43,1689674
2022-08-30,20.64,20.75,20.4,20.58,1249972
2022-08-31,20.46,21.005,20.46,20.86,2124205
2022-09-01,20.48,20.71,20.35,20.37,1177399
2022-09-02,20.33,21.01,20.32,20.59,1609488
2022-09-05,20.63,20.64,20.335,20.51,619420
2022-09-06,20.91,20.99,20.64,20.9,1121821
2022-09-07,20.47,20.61,19.95,20.19,1741763
2022-09-08,20.44,20.97,20.42,20.96,1845878
2022-09-09,20.9,20.93,20.595,20.72,1513535
2022-09-12,21.0,21.05,20.68,20.99,864687
2022-09-13,21.3,21.74,21.24,21.45,1118157
2022-09-14,20.59,21.24,20.32,21.1,1745534
2022-09-15,21.2,21.25,20.81,20.93,1197804
2022-09-16,20.68,20.87,20.59,20.65,1513290
2022-09-19,20.42,20.53,20.18,20.4,649480
2022-09-20,20.67,20.75,20.29,20.32,669524
2022-09-21,20.0,20.14,19.9,20.14,1061714
2022-09-23,19.68,19.81,19.005,19.06,1343822
2022-09-26,18.83,19.755,18.8,19.63,1214172
2022-09-27,19.49,19.575,19.22,19.36,880372
2022-09-28,19.23,19.54,19.14,19.44,1086476
2022-09-29,19.79,20.03,19.64,19.87,1117272
2022-09-30,19.66,19.74,19.05,19.17,2415055
2022-10-03,19.08,19.23,18.78,18.91,788741
2022-10-04,19.43,20.22,19.25,20.21,1405419
2022-10-05,20.9,21.78,20.83,21.4,2161566
2022-10-06,21.07,21.43,21.06,21.07,1094743
2022-10-07,20.82,21.01,20.7,20.72,882910
2022-10-10,20.18,20.25,19.89,20.2,843139
2022-10-11,20.2,20.29,19.89,19.89,956073
2022-10-12,19.54,19.78,19.46,19.56,758050
2022-10-13,19.58,19.85,19.42,19.8,1166540
2022-10-14,20.18,20.63,20.06,20.28,1279615
2022-10-17,19.89,20.2,19.78,20.09,2230637
2022-10-18,20.5,21.58,20.49,21.53,1548720
2022-10-19,21.66,21.9,20.86,21.12,1082117
2022-10-20,20.83,20.83,20.31,20.53,2027164
2022-10-21,20.55,20.57,20.03,20.03,898151
2022-10-24,20.41,20.66,20.35,20.63,656750
2022-10-25,20.93,21.29,20.86,21.1,675464
2022-10-26,21.22,21.38,21.09,21.16,795387
2022-10-27,21.25,21.42,21.08,21.13,575626
2022-10-28,20.95,21.255,20.89,21.21,763092
2022-10-31,21.94,22.0,21.41,21.59,835803
2022-11-01,21.65,22.18,21.59,22.02,670463
2022-11-02,21.85,22.0,21.54,21.89,686736
2022-11-03,21.01,21.69,20.985,21.66,984405
2022-11-04,21.24,21.77,21.24,21.77,944235
2022-11-07,21.66,21.85,21.4,21.85,881904
2022-11-08,22.05,22.18,21.52,21.8,856011
2022-11-09,22.0,22.0,20.77,20.81,1057276
2022-11-10,20.61,20.64,20.24,20.42,826165
2022-11-11,21.92,22.4,21.54,21.78,1857542
2022-11-14,22.11,22.125,21.6,21.6,903442
2022-11-15,21.48,21.8,21.4,21.76,796410
2022-11-16,21.75,21.75,21.23,21.41,821259
2022-11-17,21.57,21.91,21.47,21.78,1189388
2022-11-18,21.58,21.79,21.36,21.56,718404
2022-11-21,21.17,21.5,20.86,20.97,1023034
2022-11-22,21.0,21.1,20.86,20.94,660584
2022-11-23,21.1,21.1,20.8,21.03,600286
2022-11-24,21.15,21.6,21.05,21.49,529224
2022-11-25,21.7,21.76,21.4,21.48,456531
2022-11-28,21.48,22.115,21.3,21.96,822334
2022-11-29,22.0,22.28,21.78,22.23,1091124
2022-11-30,21.96,22.4,21.84,22.08,3961032
2022-12-01,23.41,23.46,22.52,22.65,1221190
2022-12-02,22.53,23.34,22.42,23.17,1358179
2022-12-05,23.12,23.14,22.71,23.06,760056
2022-12-06,23.02,23.39,22.71,23.06,1194911
2022-12-07,22.72,22.85,22.2,22.2,1153843
2022-12-08,22.2,22.22,21.68,21.81,758889
2022-12-09,21.82,22.02,21.75,21.8,647836
2022-12-12,21.74,21.95,21.48,21.85,718138
2022-12-13,21.96,22.15,21.79,22.03,732872
2022-12-14,22.49,22.49,21.97,22.14,841040
2022-12-15,21.83,22.09,21.74,21.83,930646
2022-12-16,21.22,21.77,21.07,21.57,845820
2022-12-19,21.49,21.66,21.35,21.51,1357218
2022-12-20,21.4,21.4,20.32,20.32,951727
2022-12-21,20.56,20.79,20.44,20.48,1023609
2022-12-22,20.89,21.3,20.78,21.2,900072
2022-12-23,20.84,21.02,20.775,20.85,505422
2022-12-28,20.52,20.8,20.52,20.66,402448
2022-12-29,20.51,20.76,20.5,20.73,461634
2022-12-30,20.96,21.1,20.83,20.95,491539
2023-01-03,21.0,21.0,20.35,20.43,286500
2023-01-04,20.85,21.22,20.68,21.1,984309
2023-01-05,21.22,21.45,21.17,21.3,873647
2023-01-06,20.71,21.01,20.68,20.9,505795
2023-01-09,21.29,21.44,21.04,21.09,534041
2023-01-10,21.1,21.26,20.82,21.26,632914
2023-01-11,21.28,22.08,21.26,21.99,819511
2023-01-12,22.29,22.4,22.05,22.32,778280
2023-01-13,22.55,23.32,22.55,23.2,942491
2023-01-16,23.72,24.305,23.67,24.08,1179582
2023-01-17,24.45,24.49,23.57,23.72,1095431
2023-01-18,23.9,24.22,23.74,23.96,1149788
2023-01-19,24.11,24.27,23.81,24.16,2203107
2023-01-20,24.17,24.17,23.86,23.96,1602309
2023-01-23,24.36,24.44,24.15,24.33,846827
2023-01-24,24.65,24.86,24.39,24.39,880380
2023-01-25,24.24,24.68,23.53,23.67,1403465
2023-01-27,23.65,23.87,23.28,23.34,1575761
2023-01-30,23.82,24.49,23.65,24.39,1438794
2023-01-31,24.15,24.27,23.81,24.21,1392035
2023-02-01,24.54,24.65,23.83,24.08,912921
2023-02-02,25.28,25.9,25.2,25.37,1696073
2023-02-03,25.65,25.86,25.11,25.63,1571495
2023-02-06,25.09,25.64,25.08,25.57,1261687
2023-02-07,25.24,25.74,25.18,25.74,1612222
2023-02-08,25.86,26.03,25.07,25.19,1549954
2023-02-09,25.16,25.39,25.08,25.2,961392
2023-02-10,24.8,25.16,24.465,24.48,802447
2023-02-13,23.96,24.22,23.82,24.12,1229865
2023-02-14,24.47,24.65,24.3,24.37,860837
2023-02-15,24.75,25.02,24.28,24.55,575198
2023-02-16,24.77,25.4,24.73,25.26,975935
2023-02-17,24.84,24.84,24.47,24.78,699284
2023-02-20,24.7,24.71,24.31,24.32,835866
2023-02-21,23.39,24.3,22.89,23.9,1548823
2023-02-22,24.02,24.41,23.38,24.25,1194743
2023-02-23,24.54,24.72,24.28,24.4,883654
2023-02-24,24.45,24.69,24.16,24.47,586968
2023-02-27,24.13,24.31,23.8,24.08,1194660
2023-02-28,24.47,24.47,24.06,24.18,1508885
2023-03-01,23.88,24.35,23.82,23.82,1377933
2023-03-02,23.76,23.78,23.17,23.31,2935377
2023-03-03,23.49,23.65,23.29,23.48,1943906
2023-03-06,23.95,24.13,23.78,24.0,2777287
2023-03-07,23.99,24.15,23.72,24.06,567442
2023-03-08,24.09,24.155,23.93,24.03,790760
2023-03-09,24.32,24.83,24.32,24.68,1138167
2023-03-10,24.29,24.3,23.655,23.81,1374325
2023-03-13,23.47,24.24,23.2,24.02,936668
2023-03-14,23.74,23.92,23.175,23.43,1671497
2023-03-15,23.79,23.83,23.12,23.27,1253626
2023-03-16,23.0,23.26,22.7,23.11,1616543
2023-03-17,23.13,23.375,22.79,23.26,1972554
2023-03-20,23.01,23.35,22.98,23.24,718233
2023-03-21,23.25,23.54,23.24,23.47,435691
2023-03-22,23.63,23.69,23.05,23.42,937676
2023-03-23,23.14,23.19,22.83,22.98,601623
2023-03-24,22.82,23.2,22.76,23.05,865613
2023-03-27,23.1,23.41,23.1,23.22,480176
2023-03-28,23.18,23.35,22.96,23.35,1198837
2023-03-29,23.16,23.48,22.93,23.41,923373
2023-03-30,23.58,24.03,23.47,23.83,890177
2023-03-31,24.04,24.3,23.83,23.92,832591
2023-04-03,24.23,24.63,24.14,24.21,809024
2023-04-04,23.09,23.985,22.58,23.98,1987645
2023-04-05,24.62,25.035,24.34,24.89,1245748
2023-04-06,24.34,25.01,24.28,24.8,910471
2023-04-11,25.4,25.4,24.98,25.03,708826
2023-04-12,25.28,25.29,24.97,25.19,645613
2023-04-13,25.2,25.2,24.895,25.11,827074
2023-04-14,25.18,25.25,24.95,25.02,318781
2023-04-17,25.4,25.495,25.15,25.23,511239
2023-04-18,25.08,25.1,24.75,25.1,548665
2023-04-19,24.76,24.82,24.58,24.65,847368
2023-04-20,24.62,24.73,24.4,24.57,549951
2023-04-21,24.49,24.49,24.14,24.19,607390
2023-04-24,24.16,24.48,24.16,24.34,478677
2023-04-26,24.24,24.47,24.05,24.4,1267677
2023-04-27,24.26,24.47,24.13,24.39,1212003
2023-04-28,24.7,24.72,24.3,24.42,875987
2023-05-01,24.55,24.72,24.09,24.13,528569
2023-05-02,24.01,24.49,23.95,23.95,482818
2023-05-03,23.54,23.65,23.34,23.57,640116
2023-05-04,23.51,23.75,23.38,23.75,414138
2023-05-05,23.94,24.02,23.6,23.6,976149
2023-05-08,23.6,23.94,23.56,23.7,476544
2023-05-09,23.91,23.91,23.39,23.46,489240
2023-05-10,23.3,23.57,23.26,23.48,645143
2023-05-11,23.67,24.49,23.61,24.37,1031172
2023-05-12,24.54,24.56,23.965,24.32,1049953
2023-05-15,24.24,24.26,23.89,24.03,531051
2023-05-16,23.87,23.91,23.5,23.76,794217
2023-05-17,23.78,23.96,23.66,23.78,578075
2023-05-18,23.95,24.19,23.77,23.85,448300
2023-05-19,24.06,24.54,23.99,24.37,575654
2023-05-22,24.27,24.33,24.03,24.29,631661
2023-05-23,24.32,24.4,24.19,24.3,536093
2023-05-24,24.08,24.47,23.98,24.3,719308
2023-05-25,24.14,24.4,23.92,24.03,588363
2023-05-26,24.06,24.12,23.82,23.95,429353
2023-05-29,24.3,24.49,24.04,24.12,512861
2023-05-30,24.34,24.34,23.95,24.18,466651
2023-05-31,24.07,24.18,23.53,23.53,2836944
2023-06-01,23.69,23.8,23.29,23.66,952144
2023-06-02,23.72,23.91,23.53,23.57,600095
2023-06-05,23.73,23.87,23.38,23.48,883438
2023-06-06,23.3,23.4,22.92,22.96,1330240
2023-06-07,23.16,23.16,22.63,22.69,881219
2023-06-08,22.58,22.58,21.58,21.64,1339087
2023-06-09,21.65,21.91,21.47,21.6,2299413
2023-06-13,21.7,21.95,21.68,21.84,2162735
2023-06-14,21.81,21.96,21.58,21.6,2229229
2023-06-15,21.54,22.015,21.48,21.56,1707047
2023-06-16,21.67,22.15,21.67,22.15,2034084
2023-06-19,22.08,22.36,21.99,22.23,861702
2023-06-20,22.3,22.3,21.88,22.06,953788
2023-06-21,22.33,22.61,22.2,22.2,1873202
2023-06-22,21.57,21.94,21.47,21.61,1141882
2023-06-23,21.72,21.76,21.53,21.59,711605
2023-06-26,21.48,21.73,21.37,21.69,1120460
2023-06-27,21.47,21.58,21.37,21.51,852664
2023-06-28,21.38,21.42,20.84,21.21,1824270
2023-06-29,21.4,21.78,21.28,21.51,3123464
2023-06-30,21.34,21.72,21.26,21.72,1470256
2023-07-03,21.67,21.75,21.35,21.75,729266
2023-07-04,21.5,21.87,21.49,21.8,556931
2023-07-05,21.91,22.67,21.81,22.65,1491450
2023-07-06,22.42,22.63,22.35,22.63,1202110
2023-07-07,22.19,22.245,22.05,22.24,1535281
2023-07-10,22.36,22.45,22.11,22.2,696743
2023-07-11,22.32,22.94,22.25,22.9,737509
2023-07-12,23.12,23.38,22.7,22.9,574515
2023-07-13,23.4,23.62,23.29,23.57,908269
2023-07-14,23.86,24.28,23.69,24.1,819969
2023-07-17,24.25,24.37,24.01,24.2,1836551
2023-07-18,24.25,24.48,24.05,24.32,644568
2023-07-19,24.6,24.64,24.27,24.47,845941
2023-07-20,24.48,24.55,24.195,24.23,495293
2023-07-21,23.83,23.83,23.07,23.25,899617
2023-07-24,23.49,23.69,23.32,23.59,677875
2023-07-25,23.61,23.88,23.46,23.83,847768
2023-07-26,23.95,24.12,23.77,24.01,600580
2023-07-27,24.24,24.95,24.23,24.87,981477
2023-07-28,24.68,24.77,24.38,24.69,484350
2023-07-31,24.93,25.04,24.62,24.9,700860
2023-08-01,25.01,25.37,24.96,25.22,552856
2023-08-02,25.2,25.44,24.76,24.84,1687092
2023-08-03,24.81,25.5,24.24,24.68,865372
2023-08-04,24.68,24.85,24.44,24.76,712791
2023-08-07,24.74,24.93,24.67,24.75,286607
2023-08-08,24.92,25.06,24.81,25.06,862616
2023-08-09,25.16,25.84,25.09,25.8,1358659
2023-08-10,25.41,25.58,25.225,25.39,1350555
2023-08-11,25.72,26.16,25.54,25.61,1058558
2023-08-14,25.44,26.0,25.42,25.76,1085501
2023-08-15,23.85,24.66,23.21,24.66,4066599
2023-08-16,23.9,24.68,23.3,23.52,2332425
2023-08-17,23.14,23.64,22.64,23.45,2103702
2023-08-18,23.2,23.68,23.01,23.51,1688801
2023-08-21,23.45,23.93,23.33,23.36,1026925
2023-08-22,23.5,23.65,23.16,23.16,1495094
2023-08-23,23.22,23.38,22.805,23.05,1817110
2023-08-24,23.2,23.57,23.0,23.38,1001605
2023-08-25,22.84,23.245,22.83,23.19,671268
2023-08-28,23.34,23.41,23.0,23.06,525888
2023-08-29,23.01,23.29,22.87,22.93,940322
2023-08-30,23.3,23.56,23.05,23.47,1472488
2023-08-31,23.63,23.77,23.11,23.11,3208676
2023-09-01,23.41,23.495,23.02,23.13,787479
2023-09-04,23.22,23.33,22.785,22.84,469342
2023-09-05,22.74,22.87,22.59,22.84,921660
2023-09-06,22.5,22.62,22.35,22.56,805933
2023-09-07,22.38,22.63,22.12,22.5,912480
2023-09-08,22.58,22.685,22.465,22.53,719306
2023-09-11,22.53,22.58,22.3,22.41,599508
2023-09-12,22.36,22.4,22.04,22.18,1185010
2023-09-13,22.11,22.16,21.78,22.09,745312
2023-09-14,22.16,22.21,21.99,22.09,936294
2023-09-15,22.46,22.6,22.36,22.36,1309851
2023-09-18,22.13,22.13,21.78,21.78,454642
2023-09-19,21.54,21.79,21.45,21.62,800001
2023-09-20,21.6,22.04,21.57,21.93,1235493
2023-09-21,21.64,21.88,21.51,21.68,1097812
2023-09-22,21.23,21.59,21.02,21.59,912866
2023-09-25,21.45,21.97,21.4,21.97,578229
2023-09-26,21.89,21.93,21.6,21.79,616146
2023-09-27,21.6,22.0,21.54,22.0,1332194
2023-09-28,21.71,22.23,21.53,21.76,1181823
2023-09-29,21.72,22.22,21.68,22.07,1111404
2023-10-02,22.11,22.43,22.04,22.16,717198
2023-10-03,21.73,21.89,21.59,21.78,1639195
2023-10-04,21.54,21.76,21.345,21.37,861621
2023-10-05,21.63,21.94,21.49,21.91,907589
2023-10-06,21.91,22.03,21.8,21.95,611002
2023-10-09,21.95,22.13,21.81,21.99,896639
2023-10-10,22.31,22.51,22.01,22.44,992983
2023-10-11,22.63,22.82,22.34,22.74,1006883
2023-10-12,23.1,23.55,23.0,23.47,1431763
2023-10-13,23.17,23.42,23.065,23.1,901092
2023-10-16,22.74,23.0,22.6,22.66,951218
2023-10-17,22.99,23.07,22.76,22.96,611206
2023-10-18,23.1,23.25,22.69,22.87,754836
2023-10-19,22.54,22.61,22.06,22.44,715513
2023-10-20,22.13,22.29,21.96,21.99,627595
2023-10-23,21.82,21.98,21.61,21.74,391566
2023-10-24,21.66,21.73,21.48,21.48,587787
2023-10-25,21.59,21.72,21.27,21.3,859443
2023-10-26,20.89,20.99,20.53,20.79,1173657
2023-10-27,20.78,20.86,20.46,20.46,654662
2023-10-30,20.28,20.68,20.135,20.46,644018
2023-10-31,20.44,20.69,20.42,20.61,839839
2023-11-01,20.57,20.8,20.53,20.77,556241
2023-11-02,21.05,21.68,21.05,21.64,703819
2023-11-03,21.89,22.04,21.65,21.8,986774
2023-11-06,21.93,22.27,21.8,22.06,891570
2023-11-07,22.07,22.2,21.87,22.09,418095
2023-11-08,22.45,22.6,22.25,22.4,787226
2023-11-09,22.59,22.69,22.3,22.43,401635
2023-11-10,22.25,22.28,21.78,21.78,669279
2023-11-13,21.91,21.92,21.37,21.52,423969
2023-11-14,21.99,22.34,21.52,21.99,657151
2023-11-15,23.0,23.49,22.6,23.31,1348466
2023-11-16,23.75,24.23,23.165,23.18,1499217
2023-11-17,23.27,23.5,23.02,23.18,1649271
2023-11-20,23.22,23.63,23.2,23.49,706669
2023-11-21,23.75,23.75,23.32,23.62,1075309
2023-11-22,23.64,23.65,23.05,23.05,539574
2023-11-23,23.11,23.39,23.02,23.02,1345834
2023-11-24,23.08,23.15,22.84,22.89,293767
2023-11-27,22.89,22.98,22.49,22.78,581075
2023-11-28,23.02,23.15,22.8,22.8,509286
2023-11-29,22.8,23.49,22.7,23.38,691100
2023-11-30,23.53,23.88,23.08,23.88,2303611
2023-12-01,23.3,23.83,23.28,23.83,876732
2023-12-04,24.09,24.26,23.9,24.18,853112
2023-12-05,24.06,24.14,23.49,23.76,754698
2023-12-06,23.91,24.69,23.65,24.54,874973
2023-12-07,24.66,24.92,24.6,24.8,632348
2023-12-08,25.01,25.14,24.44,24.83,467036
2023-12-11,24.95,24.95,24.44,24.59,538601
2023-12-12,24.5,24.74,24.26,24.57,844590
2023-12-13,24.73,24.81,24.34,24.53,537603
2023-12-14,25.0,25.35,24.63,25.16,803382
2023-12-15,25.13,25.36,25.01,25.12,1721914
2023-12-18,25.1,25.48,24.98,25.25,430330
2023-12-19,25.37,25.865,25.24,25.75,756340
2023-12-20,26.08,26.32,25.86,26.1,701058
2023-12-21,25.96,26.1,25.69,26.01,686738
2023-12-22,26.13,26.39,26.01,26.13,554753
2023-12-27,26.91,26.91,26.27,26.38,234358
2023-12-28,26.7,26.73,26.45,26.58,240405
2023-12-29,26.55,26.73,26.42,26.73,417555
2024-01-02,26.8,26.98,26.755,26.87,320009
2024-01-03,26.23,26.54,25.8,25.92,705711
2024-01-04,25.78,26.05,25.655,25.92,548591
2024-01-05,25.92,26.02,25.7,25.82,249424
2024-01-08,25.69,25.93,25.65,25.66,372898
2024-01-09,26.26,26.39,26.05,26.05,345793
2024-01-10,26.14,26.26,25.92,25.95,1206301
2024-01-11,26.25,26.26,25.91,26.01,548813
2024-01-12,25.69,26.04,25.63,25.9,348223
2024-01-15,25.9,26.03,25.815,25.91,33264
2024-01-16,25.7,25.79,25.445,25.56,535433
2024-01-17,25.16,25.4,24.55,24.95,995980
2024-01-18,24.7,25.0,24.6,24.86,937059
2024-01-19,25.13,25.5,25.13,25.23,871101
2024-01-22,25.34,25.6,25.15,25.33,625135
2024-01-23,25.26,25.67,25.21,25.55,496538
2024-01-24,25.54,25.64,25.34,25.5,488669
2024-01-25,25.5,25.64,25.36,25.56,441449
2024-01-29,25.14,25.59,25.01,25.17,640231
2024-01-30,25.53,25.6,25.27,25.31,465830
2024-01-31,25.3,25.46,25.03,25.45,808660
2024-02-01,25.11,25.17,24.68,24.96,624934
2024-02-02,25.17,26.03,25.11,26.03,756055
2024-02-05,25.77,26.15,25.67,25.97,719981
2024-02-06,25.72,25.88,25.43,25.82,514681
2024-02-07,25.75,26.21,25.71,26.02,480549
2024-02-08,26.01,26.48,25.96,26.23,559125
2024-02-09,26.3,26.78,26.18,26.75,1624740
2024-02-12,26.77,27.1,26.62,26.84,352690
2024-02-13,23.71,25.96,23.26,25.62,4327637
2024-02-14,25.05,25.62,23.805,24.28,3030140
2024-02-15,24.63,25.15,24.52,24.76,2095008
2024-02-16,25.0,25.8,24.8,25.35,1457270
2024-02-19,25.14,25.47,25.0,25.38,758647
2024-02-20,25.43,26.38,25.41,26.21,1640018
2024-02-21,26.35,26.93,25.82,25.88,1919488
2024-02-22,25.89,26.26,25.61,25.61,645531
2024-02-23,25.86,25.98,25.19,25.37,594856
2024-02-26,25.44,25.92,25.18,25.61,508656
2024-02-27,25.66,25.76,25.45,25.62,364091
2024-02-28,25.74,25.93,25.26,25.84,584336
2024-02-29,26.0,26.37,25.87,26.23,1343398
2024-03-01,26.25,26.6,26.1,26.1,605601
2024-03-04,26.23,26.48,25.72,26.26,542818
2024-03-05,26.26,26.39,25.76,26.3,637042
2024-03-06,26.34,26.39,25.84,26.26,586720
2024-03-07,26.58,26.88,26.25,26.48,585454
2024-03-08,26.83,27.2,26.69,27.1,551819
2024-03-11,26.98,26.98,26.42,26.54,438724
2024-03-12,26.56,26.98,26.56,26.61,528450
2024-03-13,26.73,27.1,26.73,26.9,665443
2024-03-14,26.9,26.9,26.25,26.31,1936281
2024-03-15,25.95,26.08,25.54,25.62,1601177
2024-03-18,25.37,25.74,25.335,25.59,719832
2024-03-19,25.32,25.61,25.01,25.45,944621
2024-03-20,25.47,25.61,25.22,25.27,1281131
2024-03-21,25.33,25.74,25.02,25.08,1582236
2024-03-22,24.96,25.22,24.68,25.22,909698
2024-03-25,25.35,25.61,25.28,25.34,447497
2024-03-26,25.07,25.07,24.7,24.73,973224
2024-03-27,24.86,24.95,24.66,24.87,734739
2024-03-28,25.03,25.19,24.63,25.05,892575
2024-04-02,24.81,25.11,24.55,24.62,767570
2024-04-03,24.37,24.43,23.58,23.95,946409
2024-04-04,24.24,24.46,24.105,24.25,682438
2024-04-05,24.18,24.37,23.92,24.12,570799
2024-04-08,24.24,24.51,24.14,24.47,555287
2024-04-09,24.47,24.72,24.22,24.65,424237
2024-04-10,24.79,25.35,24.72,25.24,877191
2024-04-11,24.71,25.03,24.67,24.75,682018
2024-04-12,24.72,25.1,24.71,24.95,673777
2024-04-15,24.64,24.9,24.5,24.77,925518
2024-04-16,24.58,24.7,24.25,24.41,777107
2024-04-17,24.3,24.49,24.12,24.17,494371
2024-04-18,24.18,24.25,23.95,24.0,438077
2024-04-19,23.75,23.75,23.275,23.73,842601
2024-04-22,24.14,25.0,24.06,25.0,1481200
2024-04-23,24.96,25.27,24.85,25.01,559541
2024-04-24,25.35,25.5,24.95,24.95,457740
2024-04-26,24.51,24.64,24.03,24.03,661391
2024-04-29,24.5,24.65,24.2,24.3,724447
2024-04-30,24.17,24.27,23.89,24.27,577469
2024-05-01,23.88,23.89,23.56,23.69,640900
2024-05-02,23.76,23.92,23.37,23.37,727641
2024-05-03,23.47,23.81,23.45,23.79,714093
2024-05-06,23.89,24.02,23.71,23.93,615246
2024-05-07,24.18,24.3,23.885,24.19,501420
2024-05-08,24.14,24.2,23.65,23.72,953023
2024-05-09,23.77,23.8,23.33,23.36,616169
2024-05-10,23.43,23.65,23.35,23.44,360756
2024-05-13,23.35,23.54,23.205,23.3,398839
2024-05-14,23.29,23.35,22.82,22.85,788520
2024-05-15,23.0,23.13,22.72,22.8,685635
2024-05-16,23.25,23.38,22.93,22.93,903748
2024-05-17,22.73,22.84,22.58,22.76,1103455
2024-05-20,22.78,23.08,22.64,23.05,933527
2024-05-21,23.01,23.55,22.95,23.44,2319896
2024-05-22,23.55,23.6,22.595,22.84,1093823
2024-05-23,22.62,23.22,22.55,22.9,800349
2024-05-24,22.5,22.75,22.33,22.44,775580
2024-05-27,22.6,22.67,22.09,22.23,864235
2024-05-28,22.34,22.515,22.23,22.31,742056
2024-05-29,22.01,22.38,21.91,22.21,1261719
2024-05-30,21.96,22.5,21.96,22.35,728392
2024-05-31,22.46,22.46,22.17,22.44,2090604
2024-06-03,22.75,22.82,22.38,22.72,820893
2024-06-04,22.73,22.935,22.62,22.68,623767
2024-06-05,23.1,23.885,23.08,23.78,1699188
2024-06-06,23.82,23.85,23.04,23.12,1332667
2024-06-07,23.18,23.3,23.0,23.19,587356
2024-06-11,22.94,23.245,22.71,22.84,990735
2024-06-12,22.87,23.1,22.83,22.83,736054
2024-06-13,23.38,23.63,23.34,23.37,851910
2024-06-14,23.35,23.47,23.06,23.06,615042
2024-06-17,23.08,23.1,22.93,23.0,530100
2024-06-18,23.2,23.33,22.87,22.92,571655
2024-06-19,22.89,22.89,22.53,22.7,659141
2024-06-20,22.56,22.75,22.37,22.42,885260
2024-06-21,22.58,22.59,22.26,22.36,1988310
2024-06-24,22.68,22.73,21.95,21.97,699007
2024-06-25,22.15,22.23,21.96,22.04,982788
2024-06-26,22.13,22.17,21.665,21.76,1233383
2024-06-27,21.43,21.68,21.36,21.68,878986
2024-06-28,21.76,21.83,21.25,21.36,1585784
2024-07-01,21.1,21.2,20.91,21.11,1594425
2024-07-02,21.12,21.24,20.92,20.92,1530952
2024-07-03,21.0,21.03,20.34,20.36,2031961
2024-07-04,20.57,20.66,19.91,20.08,2019360
2024-07-05,20.08,20.36,20.03,20.26,1257317
2024-07-08,20.22,20.31,19.955,20.0,1138082
2024-07-09,19.91,20.04,19.785,19.84,1788064
2024-07-10,19.73,19.97,19.48,19.94,2511557
2024-07-11,20.1,20.26,19.87,20.06,1441643
2024-07-12,20.28,20.98,20.2,20.72,1789577
2024-07-15,20.84,21.6,20.8,21.54,1876440
2024-07-16,21.47,21.61,21.32,21.51,1237816
2024-07-17,21.54,21.71,21.08,21.44,1607684
2024-07-18,21.28,21.58,21.08,21.4,926190
2024-07-19,21.06,21.43,20.89,21.28,1492422
2024-07-22,21.02,21.13,20.89,20.89,974924
2024-07-23,21.11,21.38,20.66,20.77,1226928
2024-07-24,20.72,20.87,20.38,20.54,1140111
2024-07-25,19.7,20.275,19.5,20.2,1819479
2024-07-26,20.06,20.76,20.01,20.59,1121196
2024-07-29,20.61,20.875,20.51,20.68,882584
2024-07-30,20.48,20.82,20.335,20.78,863362
2024-07-31,20.92,21.97,20.78,21.97,2102698
2024-08-01,22.11,22.685,22.03,22.55,2197846
2024-08-02,22.1,22.26,21.7,22.03,2149827
2024-08-05,21.54,21.655,21.17,21.25,1121270
2024-08-06,21.2,21.3,20.465,20.53,1769778
2024-08-07,20.54,21.17,20.47,21.02,1172145
2024-08-08,20.96,21.22,20.88,21.06,999148
2024-08-09,21.45,21.945,21.31,21.81,1426709
2024-08-12,21.93,22.3,21.76,22.13,1249579
