date,open,high,low,close,volume
2022-08-29,3.61,3.64,3.595,3.61,4240347
2022-08-30,3.62,3.645,3.6,3.61,6556702
2022-08-31,3.61,3.62,3.59,3.62,9788244
2022-09-01,3.56,3.56,3.5,3.55,7280206
2022-09-02,3.54,3.58,3.51,3.54,5116480
2022-09-05,3.55,3.57,3.515,3.54,3041904
2022-09-06,3.57,3.58,3.51,3.54,5227751
2022-09-07,3.52,3.53,3.46,3.5,9130144
2022-09-08,3.51,3.61,3.51,3.61,6692674
2022-09-09,3.58,3.6,3.53,3.58,6565195
2022-09-12,3.63,3.65,3.59,3.59,6460226
2022-09-13,3.61,3.63,3.57,3.62,6965227
2022-09-14,3.5,3.5,3.44,3.45,9498657
2022-09-15,3.45,3.49,3.435,3.47,12783889
2022-09-16,3.41,3.45,3.41,3.45,16750369
2022-09-19,3.45,3.51,3.45,3.49,3931004
2022-09-20,3.5,3.51,3.43,3.44,5268660
2022-09-21,3.38,3.395,3.33,3.34,7142470
2022-09-23,3.34,3.36,3.26,3.29,9379446
2022-09-26,3.25,3.29,3.24,3.24,6455471
2022-09-27,3.21,3.23,3.16,3.19,7339371
2022-09-28,3.16,3.19,3.125,3.18,7111373
2022-09-29,3.25,3.26,3.22,3.24,6473279
2022-09-30,3.18,3.29,3.16,3.27,11165741
2022-10-03,3.26,3.33,3.24,3.27,5302989
2022-10-04,3.31,3.41,3.3,3.41,5541010
2022-10-05,3.42,3.45,3.36,3.37,6353921
2022-10-06,3.32,3.4,3.31,3.38,7124885
2022-10-07,3.32,3.34,3.3,3.31,4150978
2022-10-10,3.26,3.29,3.24,3.27,3566285
2022-10-11,3.27,3.28,3.23,3.24,4205494
2022-10-12,3.25,3.29,3.24,3.27,5046865
2022-10-13,3.24,3.26,3.21,3.23,3902350
2022-10-14,3.28,3.28,3.23,3.26,3678682
2022-10-17,3.24,3.27,3.23,3.23,4074241
2022-10-18,3.25,3.35,3.25,3.33,7657354
2022-10-19,3.38,3.39,3.34,3.34,7349106
2022-10-20,3.32,3.34,3.27,3.34,6691576
2022-10-21,3.31,3.34,3.3,3.3,3531662
2022-10-24,3.34,3.37,3.32,3.33,4453100
2022-10-25,3.36,3.39,3.34,3.38,6092343
2022-10-26,3.44,3.5,3.42,3.48,5932160
2022-10-27,3.48,3.485,3.44,3.45,4963734
2022-10-28,3.48,3.54,3.47,3.52,3951751
2022-10-31,3.58,3.61,3.53,3.6,7297322
2022-11-01,3.61,3.63,3.55,3.62,5881035
2022-11-02,3.59,3.6,3.52,3.52,9264812
2022-11-03,3.47,3.48,3.42,3.46,4010651
2022-11-04,3.47,3.52,3.44,3.49,6544894
2022-11-07,3.5,3.52,3.46,3.48,5499007
2022-11-08,3.5,3.51,3.46,3.51,3950568
2022-11-09,3.52,3.57,3.51,3.57,4173577
2022-11-10,3.57,3.57,3.53,3.57,4464823
2022-11-11,3.68,3.74,3.67,3.72,8359975
2022-11-14,3.67,3.74,3.66,3.68,6100371
2022-11-15,3.67,3.69,3.6,3.62,5038008
2022-11-16,3.61,3.64,3.58,3.62,4889367
2022-11-17,3.64,3.67,3.61,3.66,3842217
2022-11-18,3.68,3.72,3.66,3.67,5046239
2022-11-21,3.69,3.74,3.68,3.74,4475845
2022-11-22,3.75,3.76,3.7,3.71,3886125
2022-11-23,3.73,3.74,3.69,3.71,3849359
2022-11-24,3.73,3.78,3.72,3.76,7068369
2022-11-25,3.79,3.795,3.75,3.79,2681340
2022-11-28,3.8,3.81,3.76,3.79,4976682
2022-11-29,3.79,3.82,3.78,3.8,6998259
2022-11-30,3.8,3.82,3.75,3.8,16158936
2022-12-01,3.88,3.92,3.85,3.9,6817635
2022-12-02,3.86,3.88,3.81,3.83,7210171
2022-12-05,3.89,3.93,3.84,3.9,7644840
2022-12-06,3.89,3.91,3.86,3.86,6195598
2022-12-07,3.85,3.875,3.81,3.85,9062521
2022-12-08,3.86,3.87,3.82,3.86,6064712
2022-12-09,3.88,3.885,3.83,3.87,5085737
2022-12-12,3.87,3.9,3.86,3.87,3961755
2022-12-13,3.89,3.89,3.83,3.86,7181807
2022-12-14,3.93,3.95,3.885,3.9,8077103
2022-12-15,3.9,3.925,3.85,3.85,9765479
2022-12-16,3.84,3.9,3.805,3.88,16815825
2022-12-19,3.83,3.88,3.83,3.84,3765536
2022-12-20,3.82,3.85,3.63,3.65,12361184
2022-12-21,3.73,3.81,3.71,3.75,7586318
2022-12-22,3.73,3.78,3.72,3.77,7128351
2022-12-23,3.74,3.755,3.71,3.75,3351287
2022-12-28,3.73,3.76,3.725,3.74,3798037
2022-12-29,3.63,3.67,3.585,3.66,6575017
2022-12-30,3.69,3.7,3.61,3.63,5891445
2023-01-03,3.64,3.66,3.58,3.6,3956653
2023-01-04,3.66,3.66,3.59,3.63,5763668
2023-01-05,3.65,3.7,3.61,3.63,6891503
2023-01-06,3.63,3.645,3.6,3.61,5294573
2023-01-09,3.64,3.67,3.62,3.64,4626031
2023-01-10,3.7,3.71,3.65,3.66,5116862
2023-01-11,3.66,3.735,3.64,3.72,3453450
2023-01-12,3.78,3.79,3.73,3.74,4021164
2023-01-13,3.75,3.79,3.74,3.76,4055756
2023-01-16,3.76,3.83,3.76,3.83,6236594
2023-01-17,3.82,3.88,3.82,3.87,6860339
2023-01-18,3.91,3.91,3.84,3.86,8186198
2023-01-19,3.9,3.92,3.855,3.88,8499797
2023-01-20,3.81,3.91,3.74,3.89,12522423
2023-01-23,3.9,3.91,3.85,3.89,5754530
2023-01-24,3.86,3.935,3.84,3.92,6181005
2023-01-25,3.94,3.96,3.89,3.89,9981334
2023-01-27,3.94,3.94,3.9,3.94,8572314
2023-01-30,3.98,4.0,3.95,3.96,10147583
2023-01-31,3.97,4.0,3.9,3.93,11905138
2023-02-01,3.98,4.06,3.96,4.04,12039904
2023-02-02,4.07,4.11,4.03,4.07,7957516
2023-02-03,4.12,4.21,4.1,4.19,9281998
2023-02-06,4.13,4.14,4.075,4.08,8127832
2023-02-07,4.08,4.1,3.99,4.0,9875765
2023-02-08,4.01,4.03,3.96,4.0,6312292
2023-02-09,3.98,4.0,3.87,3.91,8046214
2023-02-10,3.83,3.92,3.83,3.9,5481639
2023-02-13,3.86,3.925,3.86,3.9,4984471
2023-02-14,3.92,3.94,3.9,3.9,5302402
2023-02-15,3.93,3.93,3.83,3.84,10196120
2023-02-16,3.86,3.94,3.84,3.94,9677434
2023-02-17,3.9,3.905,3.865,3.88,5693884
2023-02-20,3.85,3.94,3.85,3.89,7859477
2023-02-21,3.77,3.79,3.68,3.76,14155706
2023-02-22,3.81,3.83,3.74,3.81,7753217
2023-02-23,3.79,3.81,3.75,3.75,5961222
2023-02-24,3.79,3.86,3.79,3.84,7578912
2023-02-27,3.79,3.81,3.74,3.76,6444332
2023-02-28,3.79,3.87,3.76,3.84,16965986
2023-03-01,3.82,3.83,3.755,3.78,4190193
2023-03-02,3.74,3.77,3.72,3.75,4915660
2023-03-03,3.78,3.79,3.71,3.73,3221661
2023-03-06,3.75,3.83,3.75,3.79,4358736
2023-03-07,3.8,3.83,3.77,3.82,5578787
2023-03-08,3.81,3.83,3.78,3.8,4390292
2023-03-09,3.88,3.9,3.83,3.83,4661406
2023-03-10,3.76,3.79,3.73,3.75,4025893
2023-03-13,3.75,3.76,3.65,3.7,3726085
2023-03-14,3.68,3.8,3.67,3.77,16355015
2023-03-15,3.81,3.92,3.785,3.89,13141384
2023-03-16,3.8,3.87,3.8,3.85,11352770
2023-03-17,3.85,3.92,3.81,3.91,25557977
2023-03-20,3.83,3.85,3.8,3.82,8523232
2023-03-21,3.84,3.9,3.815,3.85,8260198
2023-03-22,3.88,3.88,3.82,3.85,12423736
2023-03-23,3.82,3.86,3.8,3.84,13541322
2023-03-24,3.82,3.87,3.81,3.85,3928101
2023-03-27,3.88,3.95,3.87,3.91,6824856
2023-03-28,3.91,3.93,3.88,3.92,7373863
2023-03-29,3.92,3.92,3.88,3.91,5866741
2023-03-30,3.95,3.96,3.9,3.91,6805967
2023-03-31,3.96,4.0,3.935,3.98,14753745
2023-04-03,4.06,4.1,4.01,4.08,12018519
2023-04-04,4.05,4.15,4.05,4.15,15033644
2023-04-05,4.22,4.25,4.13,4.13,14375882
2023-04-06,4.14,4.14,4.07,4.1,7427951
2023-04-11,4.19,4.25,4.17,4.25,11800079
2023-04-12,4.27,4.27,4.13,4.18,9967420
2023-04-13,4.1,4.16,4.09,4.14,12856747
2023-04-14,4.12,4.21,4.11,4.2,4591388
2023-04-17,4.2,4.28,4.16,4.28,5754576
2023-04-18,4.27,4.29,4.2,4.26,8299248
2023-04-19,4.25,4.26,4.2,4.22,4872770
2023-04-20,4.24,4.25,4.18,4.2,8145696
2023-04-21,4.22,4.23,4.19,4.21,5491143
2023-04-24,4.23,4.29,4.22,4.27,5222812
2023-04-26,4.3,4.39,4.25,4.38,10708276
2023-04-27,4.38,4.39,4.29,4.38,13369003
2023-04-28,4.37,4.465,4.34,4.45,10969936
2023-05-01,4.48,4.54,4.48,4.5,7061238
2023-05-02,4.5,4.54,4.34,4.37,11611308
2023-05-03,4.34,4.35,4.28,4.32,8525124
2023-05-04,4.31,4.43,4.31,4.42,10116550
2023-05-05,4.48,4.54,4.43,4.52,6578012
2023-05-08,4.48,4.59,4.48,4.58,8446480
2023-05-09,4.56,4.56,4.44,4.44,18995890
2023-05-10,4.44,4.52,4.42,4.48,7164092
2023-05-11,4.48,4.49,4.43,4.48,9393413
2023-05-12,4.47,4.485,4.42,4.48,7609525
2023-05-15,4.5,4.52,4.47,4.52,4083259
2023-05-16,4.5,4.52,4.47,4.48,5607066
2023-05-17,4.41,4.455,4.41,4.43,6630362
2023-05-18,4.45,4.48,4.385,4.41,5711212
2023-05-19,4.41,4.45,4.37,4.44,3624287
2023-05-22,4.45,4.46,4.385,4.39,4723371
2023-05-23,4.42,4.47,4.41,4.45,5510085
2023-05-24,4.44,4.46,4.375,4.39,6684393
2023-05-25,4.34,4.375,4.325,4.34,5958546
2023-05-26,4.33,4.37,4.3,4.34,12581615
2023-05-29,4.38,4.44,4.38,4.41,4991615
2023-05-30,4.4,4.41,4.35,4.36,3811568
2023-05-31,4.35,4.37,4.24,4.26,18692780
2023-06-01,4.3,4.35,4.27,4.35,7849546
2023-06-02,4.33,4.41,4.31,4.39,5173572
2023-06-05,4.44,4.44,4.38,4.41,4676281
