date,open,high,low,close,volume
2022-08-29,0.6549,0.6646,0.65,0.6597,923337
2022-08-30,0.6597,0.6646,0.6549,0.6597,701576
2022-08-31,0.6646,0.6646,0.6549,0.6646,1109154
2022-09-01,0.6597,0.6646,0.6549,0.6646,819746
2022-09-02,0.65,0.6646,0.6452,0.6597,1119565
2022-09-05,0.65,0.6816,0.65,0.6743,55134739
2022-09-06,0.6694,0.6791,0.667,0.6743,2011419
2022-09-07,0.6694,0.6767,0.6597,0.6694,676259
2022-09-08,0.6791,0.6937,0.6694,0.6743,4088863
2022-09-09,0.684,0.7131,0.684,0.7082,4645661
2022-09-12,0.7131,0.7131,0.6791,0.6937,1837073
2022-09-13,0.6985,0.7034,0.6888,0.6985,1221181
2022-09-14,0.6694,0.6888,0.6694,0.6888,12657799
2022-09-15,0.6791,0.6985,0.6791,0.6888,11575914
2022-09-16,0.6888,0.6888,0.6791,0.684,15343984
2022-09-19,0.6791,0.684,0.6403,0.6791,1353286
2022-09-20,0.6888,0.6888,0.6719,0.6888,1115499
2022-09-21,0.6791,0.6888,0.6597,0.6791,1736776
2022-09-23,0.6694,0.684,0.6452,0.6791,2099112
2022-09-26,0.6403,0.65,0.6209,0.6403,3052407
2022-09-27,0.6209,0.6694,0.6112,0.6694,15854560
2022-09-28,0.6403,0.6597,0.6306,0.6403,1422206
2022-09-29,0.65,0.6694,0.6452,0.65,1669855
2022-09-30,0.65,0.6525,0.6355,0.65,1976986
2022-10-03,0.6403,0.65,0.6355,0.65,573805
2022-10-04,0.65,0.6597,0.6452,0.6597,1717259
2022-10-05,0.6597,0.6694,0.6549,0.6549,9142104
2022-10-06,0.6597,0.6694,0.65,0.6694,2856781
2022-10-07,0.6597,0.6646,0.65,0.6646,2697553
2022-10-10,0.6549,0.6622,0.6403,0.6403,1006143
2022-10-11,0.6403,0.6549,0.6355,0.6355,1855176
2022-10-12,0.6355,0.65,0.6306,0.65,1350624
2022-10-13,0.6403,0.6694,0.6355,0.6452,2680806
2022-10-14,0.6452,0.6452,0.6258,0.6306,1471410
2022-10-17,0.6209,0.6452,0.6209,0.6403,1071193
2022-10-18,0.65,0.6549,0.6452,0.6452,1859608
2022-10-19,0.65,0.6549,0.6452,0.65,2042134
2022-10-20,0.6355,0.65,0.6355,0.6355,548200
2022-10-21,0.6355,0.6452,0.6306,0.6452,3724121
2022-10-24,0.6452,0.65,0.6355,0.6403,797244
2022-10-25,0.6355,0.65,0.6306,0.6306,826184
2022-10-26,0.6403,0.6403,0.6306,0.6403,590933
2022-10-27,0.6403,0.6403,0.6306,0.6306,349692
2022-10-28,0.6306,0.6403,0.6258,0.6258,1253905
2022-10-31,0.6258,0.6403,0.6112,0.6161,2474118
2022-11-01,0.6161,0.6282,0.6112,0.6258,888473
2022-11-02,0.6306,0.65,0.6306,0.6355,3377468
2022-11-03,0.6258,0.6403,0.6161,0.6161,1083538
2022-11-04,0.6209,0.6209,0.5967,0.6015,789495
2022-11-07,0.5724,0.587,0.5579,0.5773,2409831
2022-11-08,0.5724,0.5918,0.5724,0.5918,428987
2022-11-09,0.5773,0.5967,0.5773,0.5773,1165831
2022-11-10,0.5773,0.5918,0.5724,0.5724,281504
2022-11-11,0.5773,0.5918,0.5773,0.5821,677346
2022-11-14,0.5821,0.5821,0.5724,0.5821,1113268
2022-11-15,0.5821,0.6015,0.5821,0.5967,536571
2022-11-16,0.5967,0.6064,0.5967,0.6064,369643
2022-11-17,0.6112,0.6112,0.5991,0.6112,317367
2022-11-18,0.6015,0.6209,0.6015,0.6209,598716
2022-11-21,0.6209,0.6209,0.6039,0.6064,2076288
2022-11-22,0.6112,0.6112,0.587,0.5918,892830
2022-11-23,0.5918,0.6064,0.5821,0.6015,1058282
2022-11-24,0.6015,0.6112,0.5967,0.6064,810998
2022-11-25,0.5918,0.6112,0.5918,0.6015,241721
2022-11-28,0.6015,0.6015,0.587,0.5918,2220150
2022-11-29,0.587,0.6161,0.587,0.6112,658413
2022-11-30,0.6015,0.6306,0.6015,0.6306,1387876
2022-12-01,0.6112,0.6161,0.5967,0.6112,763841
2022-12-02,0.5967,0.6112,0.5967,0.6064,478738
2022-12-05,0.6015,0.6136,0.5967,0.6112,768448
2022-12-06,0.6015,0.6161,0.6015,0.6112,1305389
2022-12-07,0.6015,0.6161,0.5918,0.5918,954210
2022-12-08,0.6112,0.6112,0.5918,0.5967,763542
2022-12-09,0.6064,0.6064,0.5918,0.5918,3931589
2022-12-12,0.5918,0.5918,0.553,0.553,1632565
2022-12-13,0.5288,0.5918,0.5288,0.5821,2782984
2022-12-14,0.553,0.5918,0.553,0.5918,822815
2022-12-15,0.587,0.6112,0.587,0.6112,2835875
2022-12-16,0.6161,0.6161,0.587,0.6112,7447712
2022-12-19,0.6112,0.6161,0.5991,0.6112,439950
2022-12-20,0.6112,0.6112,0.587,0.5918,737161
2022-12-21,0.587,0.6015,0.5821,0.5967,1429687
2022-12-22,0.587,0.5967,0.587,0.5967,1203620
2022-12-23,0.5918,0.5967,0.587,0.5918,563291
2022-12-28,0.5918,0.6015,0.587,0.5967,400570
2022-12-29,0.5918,0.5918,0.5821,0.587,630283
2022-12-30,0.587,0.5967,0.587,0.5918,712253
2023-01-03,0.5724,0.5918,0.5724,0.587,520518
2023-01-04,0.5918,0.5918,0.5821,0.5918,224643
2023-01-05,0.5918,0.5918,0.5821,0.587,496060
2023-01-06,0.5918,0.5918,0.5821,0.587,626254
2023-01-09,0.5918,0.5918,0.5773,0.5773,628214
2023-01-10,0.5773,0.5918,0.5773,0.5821,485425
2023-01-11,0.5918,0.5918,0.5773,0.5821,716569
2023-01-12,0.5821,0.587,0.5773,0.587,423288
2023-01-13,0.5821,0.587,0.5773,0.587,415803
2023-01-16,0.587,0.587,0.5773,0.5821,722179
2023-01-17,0.5821,0.5894,0.5773,0.5821,938437
2023-01-18,0.5821,0.587,0.5773,0.587,581560
2023-01-19,0.5821,0.587,0.5773,0.587,224723
2023-01-20,0.587,0.5918,0.5797,0.5918,522562
2023-01-23,0.5918,0.5918,0.5773,0.5821,529836
2023-01-24,0.5821,0.5918,0.5821,0.587,431711
2023-01-25,0.5821,0.6015,0.5821,0.6015,556145
2023-01-27,0.6015,0.6112,0.5991,0.6112,326541
2023-01-30,0.6112,0.6185,0.6064,0.6112,694808
2023-01-31,0.6064,0.6306,0.6064,0.6161,713748
2023-02-01,0.6161,0.6258,0.6161,0.6258,822795
2023-02-02,0.6209,0.6403,0.6209,0.6403,907748
