date,open,high,low,close,volume
2022-08-29,4.73,4.74,4.67,4.69,1459513
2022-08-30,4.71,4.83,4.71,4.77,888445
2022-08-31,4.79,4.87,4.77,4.84,1053098
2022-09-01,4.79,4.82,4.75,4.75,577826
2022-09-02,4.77,4.815,4.73,4.77,693142
2022-09-05,4.84,4.9,4.82,4.84,1170584
2022-09-06,4.84,4.9,4.82,4.9,1205193
2022-09-07,4.89,4.89,4.8,4.84,876938
2022-09-08,4.9,4.94,4.88,4.91,861691
2022-09-09,4.91,4.92,4.86,4.87,1046050
2022-09-12,4.94,4.94,4.83,4.85,1095543
2022-09-13,4.9,4.9,4.82,4.82,1105173
2022-09-14,4.76,4.765,4.705,4.75,2033618
2022-09-15,4.62,4.63,4.53,4.53,1752126
2022-09-16,4.54,4.605,4.48,4.48,10160117
2022-09-19,4.51,4.55,4.46,4.46,1109245
2022-09-20,4.51,4.57,4.48,4.56,991986
2022-09-21,4.5,4.57,4.5,4.56,1211000
2022-09-23,4.52,4.55,4.46,4.48,1469825
2022-09-26,4.45,4.53,4.44,4.51,1195850
2022-09-27,4.48,4.51,4.47,4.47,803932
2022-09-28,4.43,4.45,4.34,4.39,1719003
2022-09-29,4.44,4.5,4.44,4.48,1205412
2022-09-30,4.43,4.45,4.4,4.44,1242852
2022-10-03,4.4,4.44,4.36,4.37,587662
2022-10-04,4.43,4.52,4.43,4.49,1169969
2022-10-05,4.48,4.54,4.47,4.53,1274523
2022-10-06,4.5,4.53,4.47,4.49,671361
2022-10-07,4.46,4.49,4.45,4.48,798210
2022-10-10,4.44,4.47,4.43,4.46,379554
2022-10-11,4.45,4.56,4.45,4.53,1081717
2022-10-12,4.52,4.585,4.49,4.55,902948
2022-10-13,4.51,4.55,4.49,4.54,819472
2022-10-14,4.6,4.63,4.57,4.6,1300394
2022-10-17,4.55,4.6,4.55,4.55,549561
2022-10-18,4.58,4.66,4.56,4.64,943383
2022-10-19,4.65,4.67,4.63,4.64,634867
2022-10-20,4.62,4.63,4.57,4.63,813373
2022-10-21,4.57,4.59,4.505,4.55,1782838
2022-10-24,4.64,4.64,4.56,4.59,585849
2022-10-25,4.62,4.64,4.58,4.61,424956
2022-10-26,4.61,4.63,4.56,4.63,899934
2022-10-27,4.62,4.62,4.57,4.59,844978
2022-10-28,4.61,4.66,4.61,4.62,713500
2022-10-31,4.66,4.68,4.62,4.65,1221886
2022-11-01,4.7,4.7,4.65,4.68,662370
2022-11-02,4.69,4.72,4.62,4.64,881944
2022-11-03,4.61,4.66,4.61,4.64,637847
2022-11-04,4.64,4.74,4.63,4.74,1437775
2022-11-07,4.72,4.74,4.65,4.74,1111859
2022-11-08,4.7,4.72,4.67,4.72,725492
2022-11-09,4.7,4.775,4.685,4.75,1843300
2022-11-10,4.74,4.75,4.695,4.72,1041070
2022-11-11,4.78,4.78,4.67,4.73,1086315
2022-11-14,4.73,4.73,4.65,4.65,1385621
2022-11-15,4.66,4.67,4.6,4.64,1619960
2022-11-16,4.64,4.67,4.62,4.65,866205
2022-11-17,4.67,4.7,4.64,4.68,828034
2022-11-18,4.71,4.74,4.67,4.72,802124
2022-11-21,4.75,4.82,4.74,4.78,755373
2022-11-22,4.79,4.87,4.79,4.83,756974
2022-11-23,4.86,4.87,4.79,4.85,1331500
2022-11-24,4.82,4.84,4.805,4.82,996612
2022-11-25,4.81,4.84,4.79,4.84,672611
2022-11-28,4.83,4.9,4.82,4.9,630315
2022-11-29,4.85,4.89,4.79,4.83,879398
2022-11-30,4.81,4.84,4.77,4.78,1358620
2022-12-01,4.81,4.845,4.78,4.81,1063763
2022-12-02,4.83,4.89,4.83,4.84,634483
2022-12-05,4.86,4.895,4.82,4.84,461413
2022-12-06,4.88,4.93,4.85,4.9,1135846
2022-12-07,4.92,5.01,4.91,4.98,1165162
2022-12-08,4.99,5.0,4.93,4.93,783766
2022-12-09,4.98,4.99,4.93,4.99,1030418
2022-12-12,4.99,4.99,4.93,4.97,634793
2022-12-13,4.98,5.01,4.95,4.97,1176486
2022-12-14,4.97,4.97,4.925,4.94,857175
2022-12-15,4.92,4.95,4.91,4.92,961329
2022-12-16,4.93,5.065,4.93,5.05,2079402
2022-12-19,5.01,5.055,5.0,5.01,443454
2022-12-20,5.03,5.03,4.98,4.98,718804
2022-12-21,4.99,5.05,4.97,5.05,1076876
2022-12-22,5.02,5.035,4.98,5.03,886163
2022-12-23,5.04,5.09,5.02,5.07,889369
2022-12-28,5.04,5.055,5.01,5.04,455939
2022-12-29,5.07,5.08,5.04,5.07,547689
2022-12-30,5.08,5.095,5.0,5.02,597067
2023-01-03,5.02,5.02,4.91,4.94,459638
2023-01-04,5.02,5.02,4.93,4.94,909856
2023-01-05,4.95,4.98,4.92,4.93,630717
2023-01-06,4.95,4.96,4.9,4.9,474816
2023-01-09,4.94,4.94,4.88,4.91,455331
2023-01-10,4.9,4.91,4.86,4.88,289225
2023-01-11,4.88,4.9,4.81,4.85,665120
2023-01-12,4.84,4.855,4.78,4.83,793845
2023-01-13,4.87,4.885,4.84,4.88,642458
2023-01-16,4.85,4.88,4.825,4.87,639867
2023-01-17,4.88,4.88,4.85,4.86,482405
2023-01-18,4.88,4.895,4.86,4.87,663755
2023-01-19,4.9,4.9,4.84,4.87,657396
2023-01-20,4.88,4.88,4.82,4.83,707449
2023-01-23,4.85,4.9,4.81,4.87,973870
2023-01-24,4.9,4.9,4.8,4.81,1194231
2023-01-25,4.81,4.81,4.74,4.79,1255872
2023-01-27,4.84,4.84,4.77,4.78,1377662
2023-01-30,4.78,4.84,4.76,4.81,692524
2023-01-31,4.81,4.855,4.775,4.8,750628
2023-02-01,4.8,4.81,4.775,4.79,413488
2023-02-02,4.85,4.875,4.81,4.81,1503519
2023-02-03,4.83,4.84,4.79,4.82,582569
2023-02-06,4.82,4.83,4.78,4.82,374516
2023-02-07,4.83,4.87,4.8,4.81,793928
2023-02-08,4.86,4.86,4.8,4.83,825078
2023-02-09,4.85,4.85,4.77,4.81,886014
2023-02-10,4.83,4.87,4.79,4.83,961137
2023-02-13,4.82,4.85,4.77,4.79,1254375
2023-02-14,4.81,4.83,4.79,4.82,870781
2023-02-15,4.78,4.805,4.75,4.8,838133
2023-02-16,4.81,4.86,4.8,4.81,745032
2023-02-17,4.81,4.875,4.79,4.83,652438
2023-02-20,4.82,4.82,4.73,4.74,936502
