date,open,high,low,close,volume
2022-08-29,7.78,7.895,7.71,7.85,11115848
2022-08-30,8.08,8.12,7.96,7.97,14787386
2022-08-31,7.78,7.925,7.74,7.89,15968034
2022-09-01,7.79,7.85,7.67,7.67,14405925
2022-09-02,7.7,7.76,7.63,7.73,9975651
2022-09-05,7.92,8.02,7.83,7.97,11242624
2022-09-06,8.06,8.09,7.94,7.94,9731570
2022-09-07,7.76,7.84,7.755,7.81,11561173
2022-09-08,7.6,7.81,7.58,7.77,17480906
2022-09-09,7.67,7.86,7.65,7.85,11719742
2022-09-12,7.87,7.87,7.69,7.71,13079789
2022-09-13,7.84,7.91,7.81,7.83,8334875
2022-09-14,7.67,7.785,7.67,7.69,9819998
2022-09-15,7.82,7.99,7.78,7.96,13080625
2022-09-16,7.8,7.85,7.68,7.77,34475769
2022-09-19,7.7,7.79,7.67,7.71,5176499
2022-09-20,7.84,7.89,7.79,7.83,8550683
2022-09-21,7.78,7.81,7.69,7.75,8692356
2022-09-23,7.61,7.66,7.34,7.42,16558559
2022-09-26,7.11,7.14,6.865,6.88,18332349
2022-09-27,6.93,7.04,6.87,6.95,21589854
2022-09-28,6.9,7.13,6.82,6.86,17853917
2022-09-29,7.09,7.12,7.02,7.02,13871366
2022-09-30,7.04,7.13,6.99,7.09,10735963
2022-10-03,7.23,7.3,7.135,7.17,8161308
2022-10-04,7.35,7.49,7.31,7.47,13462196
2022-10-05,7.57,7.65,7.5,7.61,10689140
2022-10-06,7.68,7.76,7.68,7.75,13207376
2022-10-07,7.78,7.93,7.77,7.9,12253087
2022-10-10,7.9,7.92,7.76,7.82,8787656
2022-10-11,7.76,7.8,7.71,7.72,7738555
2022-10-12,7.69,7.71,7.515,7.53,9611103
2022-10-13,7.53,7.55,7.44,7.47,8234659
2022-10-14,7.71,7.825,7.67,7.8,7120207
2022-10-17,7.58,7.62,7.525,7.57,7274360
2022-10-18,7.63,7.64,7.42,7.48,9546426
2022-10-19,7.33,7.46,7.26,7.38,8492919
2022-10-20,7.55,7.66,7.48,7.53,13450325
2022-10-21,7.43,7.61,7.41,7.6,17722591
2022-10-24,7.72,7.75,7.57,7.59,8288685
2022-10-25,7.64,7.68,7.61,7.66,8762332
2022-10-26,7.65,7.69,7.605,7.61,6557249
2022-10-27,7.78,7.81,7.71,7.76,7368649
2022-10-28,7.74,7.85,7.67,7.77,10548954
2022-10-31,7.76,7.8,7.64,7.7,11350658
2022-11-01,7.78,7.85,7.65,7.85,10224500
2022-11-02,7.91,8.02,7.89,7.91,11608034
2022-11-03,7.78,7.87,7.71,7.82,8592337
2022-11-04,7.83,8.02,7.82,8.0,13116488
2022-11-07,8.09,8.09,7.925,7.99,13286039
2022-11-08,8.06,8.08,7.52,7.57,18933661
2022-11-09,7.45,7.66,7.43,7.64,12305935
2022-11-10,7.49,7.69,7.49,7.52,14321536
2022-11-11,7.65,7.69,7.41,7.5,19167072
2022-11-14,7.6,7.61,7.45,7.45,11357899
2022-11-15,7.4,7.48,7.33,7.43,10121378
2022-11-16,7.44,7.52,7.38,7.43,11586271
2022-11-17,7.42,7.43,7.35,7.36,10788258
2022-11-18,7.38,7.47,7.37,7.38,8225208
2022-11-21,7.41,7.41,7.28,7.31,11195111
2022-11-22,7.31,7.49,7.31,7.47,14997982
2022-11-23,7.55,7.59,7.49,7.52,8524330
2022-11-24,7.42,7.53,7.4,7.4,9257440
2022-11-25,7.42,7.45,7.32,7.45,7793058
2022-11-28,7.39,7.4,7.2,7.25,12624560
2022-11-29,7.2,7.38,7.12,7.33,13294440
2022-11-30,7.24,7.4,7.19,7.4,22138600
2022-12-01,7.47,7.48,7.375,7.43,9953574
2022-12-02,7.38,7.44,7.125,7.15,20344599
2022-12-05,7.16,7.38,7.15,7.34,11530183
2022-12-06,7.16,7.29,7.15,7.25,9764919
2022-12-07,7.27,7.28,7.14,7.17,24117617
2022-12-08,7.15,7.17,7.03,7.09,23396639
2022-12-09,7.02,7.195,7.01,7.06,17207277
2022-12-12,6.99,7.17,6.98,7.11,14216712
2022-12-13,7.19,7.19,7.09,7.1,10663366
2022-12-14,7.18,7.23,7.11,7.16,13971947
2022-12-15,7.17,7.23,7.1,7.23,15018093
2022-12-16,7.15,7.245,7.15,7.22,21159822
2022-12-19,7.16,7.27,7.16,7.22,7869092
2022-12-20,7.22,7.32,7.13,7.13,12792132
2022-12-21,7.19,7.335,7.19,7.32,9963364
2022-12-22,7.37,7.415,7.295,7.31,6384368
2022-12-23,7.25,7.29,7.15,7.2,6243310
2022-12-28,7.35,7.38,7.28,7.38,5579323
2022-12-29,7.24,7.275,7.07,7.09,9235968
2022-12-30,7.11,7.205,7.095,7.14,5794553
2023-01-03,7.2,7.22,7.04,7.08,5101825
2023-01-04,6.99,7.06,6.96,6.96,9621880
2023-01-05,6.88,6.925,6.83,6.9,11899092
2023-01-06,6.91,7.055,6.89,7.02,7319628
2023-01-09,7.05,7.16,7.045,7.11,5078983
2023-01-10,7.1,7.12,7.04,7.05,4585109
2023-01-11,7.08,7.105,7.04,7.06,4791614
2023-01-12,7.11,7.19,7.09,7.13,7524462
2023-01-13,7.25,7.4,7.24,7.3,11192684
2023-01-16,7.3,7.38,7.29,7.34,6592467
2023-01-17,7.28,7.4,7.25,7.38,8228891
2023-01-18,7.45,7.5,7.35,7.36,11509268
2023-01-19,7.33,7.33,7.15,7.24,8710773
2023-01-20,7.33,7.415,7.29,7.35,10785666
2023-01-23,7.39,7.47,7.33,7.36,7021567
2023-01-24,7.36,7.4,7.32,7.36,9149596
2023-01-25,7.35,7.37,7.2,7.24,8072044
2023-01-27,7.25,7.295,7.18,7.24,9984421
2023-01-30,7.25,7.26,7.15,7.17,9505426
2023-01-31,7.1,7.18,7.09,7.11,15164787
2023-02-01,7.19,7.2,7.01,7.04,10697262
2023-02-02,6.97,6.99,6.91,6.93,17216773
2023-02-03,6.91,7.01,6.88,6.99,9995822
2023-02-06,6.99,7.05,6.97,7.01,9641913
2023-02-07,7.0,7.1,7.0,7.05,7794245
2023-02-08,7.15,7.155,7.03,7.03,9511384
2023-02-09,7.0,7.09,6.95,7.03,6954133
2023-02-10,6.99,7.02,6.95,6.95,8633217
2023-02-13,7.09,7.11,7.02,7.07,8876224
2023-02-14,7.07,7.17,7.02,7.11,9074760
2023-02-15,7.11,7.12,7.03,7.06,5233686
2023-02-16,7.01,7.04,6.925,7.01,13053049
2023-02-17,6.95,6.98,6.85,6.85,15159068
2023-02-20,6.83,6.85,6.76,6.77,6895937
2023-02-21,6.77,6.855,6.745,6.81,12452134
2023-02-22,6.88,7.12,6.87,7.02,15360532
2023-02-23,7.05,7.05,6.9,6.93,9215777
2023-02-24,6.95,7.02,6.94,7.01,7416627
2023-02-27,6.9,6.93,6.82,6.89,11126318
2023-02-28,6.95,7.04,6.94,7.0,17383972
2023-03-01,6.93,7.09,6.93,7.06,9899396
2023-03-02,7.13,7.14,7.07,7.11,9542122
2023-03-03,7.1,7.22,7.09,7.2,7572463
2023-03-06,7.24,7.25,7.1,7.14,7429206
2023-03-07,7.14,7.33,7.11,7.33,10692599
2023-03-08,7.26,7.36,7.23,7.32,11802526
2023-03-09,7.38,7.415,7.33,7.4,9076908
2023-03-10,7.24,7.29,7.14,7.2,23365132
2023-03-13,7.22,7.275,7.17,7.24,10181185
2023-03-14,7.14,7.15,6.96,7.11,18503934
2023-03-15,7.05,7.18,7.02,7.17,14859044
2023-03-16,6.96,6.99,6.82,6.82,29900996
2023-03-17,6.9,6.975,6.88,6.93,17965958
2023-03-20,6.83,6.92,6.725,6.74,8908525
2023-03-21,6.86,6.9,6.77,6.77,7849967
2023-03-22,6.9,7.02,6.85,6.99,8187159
2023-03-23,6.91,7.0,6.88,6.9,5082053
2023-03-24,6.82,6.89,6.79,6.85,10077171
2023-03-27,6.87,6.88,6.725,6.74,7163942
2023-03-28,6.9,6.985,6.87,6.95,13032664
2023-03-29,6.93,7.02,6.89,6.99,10320324
2023-03-30,6.98,7.01,6.865,6.98,13280911
2023-03-31,7.01,7.04,6.89,6.9,16840114
2023-04-03,7.18,7.28,7.06,7.07,13459283
2023-04-04,7.12,7.25,7.11,7.2,8851706
2023-04-05,7.15,7.24,7.09,7.16,9233429
